qualification_name,qualification_code,subject_name,subject_code,size,grade_structure,prior_attainment_band,grade,count,percentage
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",<1,*,1,33.33%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",<1,B,1,33.33%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",<1,D,1,33.33%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",1-<2,C,1,50%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",1-<2,E,1,50%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",2-<3,*,1,2.86%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",2-<3,B,4,11.43%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",2-<3,C,8,22.86%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",2-<3,D,9,25.71%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",2-<3,E,7,20%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",2-<3,U,6,17.14%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",3-<4,*,1,0.23%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",3-<4,A,17,3.99%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",3-<4,B,38,8.92%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",3-<4,C,94,22.07%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",3-<4,D,116,27.23%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",3-<4,E,100,23.47%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",3-<4,U,60,14.08%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",4-<5,*,34,1.47%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",4-<5,A,139,6%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",4-<5,B,385,16.62%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",4-<5,C,651,28.1%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",4-<5,D,521,22.49%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",4-<5,E,399,17.22%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",4-<5,U,188,8.11%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",5-<6,*,227,3.48%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",5-<6,A,871,13.36%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",5-<6,B,1541,23.63%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",5-<6,C,1845,28.3%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",5-<6,D,1123,17.22%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",5-<6,E,612,9.39%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",5-<6,U,301,4.62%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",6-<7,*,890,8.36%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",6-<7,A,2589,24.31%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",6-<7,B,3000,28.17%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",6-<7,C,2341,21.98%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",6-<7,D,1186,11.14%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",6-<7,E,459,4.31%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",6-<7,U,186,1.75%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",7-<8,*,2373,18.84%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",7-<8,A,4331,34.39%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",7-<8,B,3311,26.29%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",7-<8,C,1733,13.76%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",7-<8,D,586,4.65%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",7-<8,E,178,1.41%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",7-<8,U,81,0.64%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",8-<9,*,4740,41.95%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",8-<9,A,3955,35%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",8-<9,B,1799,15.92%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",8-<9,C,589,5.21%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",8-<9,D,159,1.41%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",8-<9,E,33,0.29%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",8-<9,U,25,0.22%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",9>=,*,873,62.94%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",9>=,A,369,26.6%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",9>=,B,110,7.93%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",9>=,C,30,2.16%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",9>=,D,4,0.29%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",9>=,E,1,0.07%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",All,*,9457,20.31%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",All,A,12632,27.13%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",All,B,10480,22.51%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",All,C,7488,16.08%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",All,D,3808,8.18%
Extended Project (Diploma),101,Study Skills,HC7,0.3,"*,A,B,C,D,E",All,E,1838,3.95%
