LA,ESTAB,URN,PERCTOT,PPERSABS10
205,4002,141617,6.4,18.6
205,4004,143129,7.6,21.3
205,4106,139364,9.3,32.2
205,4315,139365,10.2,34.8
205,4620,137935,7.9,22.4
205,4632,138607,5.8,14.3
205,5400,137157,5.9,13.6
205,6905,131752,7.4,19.9
205,6906,136172,7.9,27.9
205,7014,147793,9.6,29.3
205,7153,100379,10.7,34.6
205,7203,100381,19.7,66
205,7204,100382,12.9,39.1
205,7206,135175,9.3,32
206,2000,140495,6.2,15.5
206,2001,143020,4.4,12.2
206,2003,145731,8.6,27.2
206,2015,100397,4.8,9.2
206,2128,100401,7.1,23.9
206,2166,100402,4.5,9
206,2170,100403,5.3,13.3
206,2251,100405,4.6,6.7
206,2261,100406,5.8,17
206,2279,100407,8.2,29.1
