RECTYPE,ALPHAIND,REGION,LASORT,LEA,ESTAB,URN,PCON_CODE,PCON_NAME,SCHNAME_AC,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,CONTFLAG,NFTYPE/FESITYPE,RELDENOM,ADMPOL,ADMPOL_PT,GEND1618,FEEDER,AGERANGE,ICLOSE,TABKS2,TAB15,CONFEXAM,DUMMY,TPUP1618,TALLPUP_1618,TALLPUP_ALEV_1618,TALLPPE_ALEV_1618,TALLPPEGRD_ALEV_1618,TINCLUDE_B3,TB3PTSE,TB3PTSE_GRD,TINCLUDE_AAB_2FAC,PTAAB_2FAC,TALLPUP_ACAD_1618,TALLPPE_ACAD_1618,TALLPPEGRD_ACAD_1618,TALLPUP_AGEN,TALLPPE_AGEN,TALLPPEGRD_AGEN,TALLPUP_TLEV,TALLPPE_TLEV,TALLPPEGRD_TLEV,TALLPUP_TLEVDENOM,TLEV_PER,TALLPUP_AGENDENOM,AGEN_PER,T_SCOPEEX_E,PROGEX_E,ENTRY_PER_E,T_SCOPEEX_M,PROGEX_M,ENTRY_PER_M,TALLPUP_SCOPE_L3M,L3M_PER,T_InScope_ALEV_Ret,PT_Retained_ALEV_Ret,PT_Ret_Assessed_ALEV,T_InScope_ALEV_2ndYr,PT_Retained_ALEV_2ndYr,T_InScope_ACAD_Ret,PT_Retained_ACAD_Ret,PT_Ret_Assessed_ACAD,T_InScope_ACAD_2ndYr,PT_Retained_ACAD_2ndYr,T_InScope_AGEN_Ret,PT_Retained_AGEN_Ret,PT_Ret_Assessed_AGEN,T_InScope_AGEN_2ndYr,PT_Retained_AGEN_2ndYr,T_InScope_TLEV_Ret,PT_Retained_TLEV_Ret,PT_Ret_Assessed_TLEV,T_InScope_TLEV_2ndYr,PT_Retained_TLEV_2ndYr,TALLPUP_TechCert,TALLPPE_TechCert,TALLPPEGRD_TechCert,T_InScope_TechCert_Ret,PT_Retained_TechCert_Ret,PT_Ret_Assessed_TechCert,TALLPUP_ANYL2VOC,TechCert_PER,TALLPUP_1618_DIS,TALLPUP_ALEV_1618_DIS,TALLPPE_ALEV_1618_DIS,TALLPPEGRD_ALEV_DIS,TALLPUP_ACAD_1618_DIS,TALLPPE_ACAD_1618_DIS,TALLPPEGRD_ACAD_DIS,TALLPUP_AGEN_DIS,TALLPPE_AGEN_DIS,TALLPPEGRD_AGEN_DIS,TALLPUP_TLEV_DIS,TALLPPE_TLEV_DIS,TALLPPEGRD_TLEV_DIS,T_SCOPEEX_E_DIS,PROGEX_E_DIS,T_SCOPEEX_M_DIS,PROGEX_M_DIS,T_InScope_ALEV_Ret_DIS,PT_Retained_ALEV_Ret_DIS,T_InScope_ACAD_Ret_DIS,PT_Retained_ACAD_Ret_DIS,T_InScope_AGEN_Ret_DIS,PT_Retained_AGEN_Ret_DIS,T_InScope_TLEV_Ret_DIS,PT_Retained_TLEV_Ret_DIS,TALLPUP_TechCert_DIS,TALLPPE_TechCert_DIS,TALLPPEGRD_TechCert_DIS,T_InScope_TechCert_Ret_DIS,PT_Retained_TechCert_Ret_DIS,TALLPUP_1618_NOTDIS,TALLPUP_ALEV_1618_NOTDIS,TALLPPE_ALEV_1618_NOTDIS,TALLPPEGRD_ALEV_NOTDIS,TALLPUP_ACAD_1618_NOTDIS,TALLPPE_ACAD_1618_NOTDIS,TALLPPEGRD_ACAD_NOTDIS,TALLPUP_AGEN_NOTDIS,TALLPPE_AGEN_NOTDIS,TALLPPEGRD_AGEN_NOTDIS,TALLPUP_TLEV_NOTDIS,TALLPPE_TLEV_NOTDIS,TALLPPEGRD_TLEV_NOTDIS,T_SCOPEEX_E_NOTDIS,PROGEX_E_NOTDIS,T_SCOPEEX_M_NOTDIS,PROGEX_M_NOTDIS,T_InScope_ALEV_Ret_NOTDIS,PT_Retained_ALEV_Ret_NOTDIS,T_InScope_ACAD_Ret_NOTDIS,PT_Retained_ACAD_Ret_NOTDIS,T_InScope_AGEN_Ret_NOTDIS,PT_Retained_AGEN_Ret_NOTDIS,T_InScope_TLEV_Ret_NOTDIS,PT_Retained_TLEV_Ret_NOTDIS,TALLPUP_TechCert_NOTDIS,TALLPPE_TechCert_NOTDIS,TALLPPEGRD_TechCert_NOTDIS,T_InScope_TechCert_Ret_NOTDIS,PT_Retained_TechCert_Ret_NOTDIS,TALLPUP_1618_21,TALLPUP_1618_20,TALLPUP_1618_19,TALLPUP_ALEV_1618_21,TALLPUP_ALEV_1618_20,TALLPUP_ALEV_1618_19,TALLPPE_ALEV_1618_21,TALLPPE_ALEV_1618_20,TALLPPE_ALEV_1618_19,TALLPPEGRD_ALEV_1618_21,TALLPPEGRD_ALEV_1618_20,TALLPPEGRD_ALEV_1618_19,TALLPUP_ACAD_1618_21,TALLPUP_ACAD_1618_20,TALLPUP_ACAD_1618_19,TALLPPE_ACAD_1618_21,TALLPPE_ACAD_1618_20,TALLPPE_ACAD_1618_19,TALLPPEGRD_ACAD_1618_21,TALLPPEGRD_ACAD_1618_20,TALLPPEGRD_ACAD_1618_19,TALLPUP_AGEN_21,TALLPUP_AGEN_20,TALLPUP_AGEN_19,TALLPPE_AGEN_21,TALLPPE_AGEN_20,TALLPPE_AGEN_19,TALLPPEGRD_AGEN_21,TALLPPEGRD_AGEN_20,TALLPPEGRD_AGEN_19,TALLPUP_TLEV_21,TALLPUP_TLEV_20,TALLPUP_TLEV_19,TALLPPE_TLEV_21,TALLPPE_TLEV_20,TALLPPE_TLEV_19,TALLPPEGRD_TLEV_21,TALLPPEGRD_TLEV_20,TALLPPEGRD_TLEV_19,TALLPUP_TECHCERT_21,TALLPUP_TECHCERT_20,TALLPUP_TECHCERT_19,TALLPPE_TECHCERT_21,TALLPPE_TECHCERT_20,TALLPPE_TECHCERT_19,TALLPPEGRD_TECHCERT_21,TALLPPEGRD_TECHCERT_20,TALLPPEGRD_TECHCERT_19,T_AIMS_CA_21,T_AIMS_CA_20,T_AIMS_CA_19,T_SCOPEEX_E_21,T_SCOPEEX_E_20,T_SCOPEEX_E_19,PROGEX_E_21,PROGEX_E_20,PROGEX_E_19,T_SCOPEEX_M_21,T_SCOPEEX_M_20,T_SCOPEEX_M_19,PROGEX_M_21,PROGEX_M_20,PROGEX_M_19,ENTRIES_ALEV_21,ENTRIES_ALEV_20,ENTRIES_ALEV_19,VA_INS_ALEV_21,VA_INS_ALEV_20,VA_INS_ALEV_19,UCI_INS_ALEV_21,UCI_INS_ALEV_20,UCI_INS_ALEV_19,LCI_INS_ALEV_21,LCI_INS_ALEV_20,LCI_INS_ALEV_19,ENTRIES_ACAD_21,ENTRIES_ACAD_20,ENTRIES_ACAD_19,VA_INS_ACAD_21,VA_INS_ACAD_20,VA_INS_ACAD_19,UCI_INS_ACAD_21,UCI_INS_ACAD_20,UCI_INS_ACAD_19,LCI_INS_ACAD_21,LCI_INS_ACAD_20,LCI_INS_ACAD_19,ENTRIES_AGEN_21,ENTRIES_AGEN_20,ENTRIES_AGEN_19,VA_INS_AGEN_21,VA_INS_AGEN_20,VA_INS_AGEN_19,UCI_INS_AGEN_21,UCI_INS_AGEN_20,UCI_INS_AGEN_19,LCI_INS_AGEN_21,LCI_INS_AGEN_20,LCI_INS_AGEN_19,T_INSCOPE_ALEV_RET_21,T_INSCOPE_ALEV_RET_20,T_INSCOPE_ALEV_RET_19,PT_RETAINED_ALEV_RET_21,PT_RETAINED_ALEV_RET_20,PT_RETAINED_ALEV_RET_19,T_INSCOPE_ACAD_RET_21,T_INSCOPE_ACAD_RET_20,T_INSCOPE_ACAD_RET_19,PT_RETAINED_ACAD_RET_21,PT_RETAINED_ACAD_RET_20,PT_RETAINED_ACAD_RET_19,T_INSCOPE_AGEN_RET_21,T_INSCOPE_AGEN_RET_20,T_INSCOPE_AGEN_RET_19,PT_RETAINED_AGEN_RET_21,PT_RETAINED_AGEN_RET_20,PT_RETAINED_AGEN_RET_19,T_INSCOPE_TLEV_RET_21,T_INSCOPE_TLEV_RET_20,T_INSCOPE_TLEV_RET_19,PT_RETAINED_TLEV_RET_21,PT_RETAINED_TLEV_RET_20,PT_RETAINED_TLEV_RET_19,T_INSCOPE_TECHCERT_RET_21,T_INSCOPE_TECHCERT_RET_20,T_INSCOPE_TECHCERT_RET_19,PT_RETAINED_TECHCERT_RET_21,PT_RETAINED_TECHCERT_RET_20,PT_RETAINED_TECHCERT_RET_19,TALLPUP_1618_DIS_21,TALLPUP_1618_DIS_20,TALLPUP_1618_DIS_19,TALLPUP_ALEV_1618_DIS_21,TALLPUP_ALEV_1618_DIS_20,TALLPUP_ALEV_1618_DIS_19,TALLPPE_ALEV_1618_DIS_21,TALLPPE_ALEV_1618_DIS_20,TALLPPE_ALEV_1618_DIS_19,TALLPPEGRD_ALEV_DIS_21,TALLPPEGRD_ALEV_DIS_20,TALLPPEGRD_ALEV_DIS_19,TALLPUP_ACAD_1618_DIS_21,TALLPUP_ACAD_1618_DIS_20,TALLPUP_ACAD_1618_DIS_19,TALLPPE_ACAD_1618_DIS_21,TALLPPE_ACAD_1618_DIS_20,TALLPPE_ACAD_1618_DIS_19,TALLPPEGRD_ACAD_DIS_21,TALLPPEGRD_ACAD_DIS_20,TALLPPEGRD_ACAD_DIS_19,TALLPUP_AGEN_DIS_21,TALLPUP_AGEN_DIS_20,TALLPUP_AGEN_DIS_19,TALLPPE_AGEN_DIS_21,TALLPPE_AGEN_DIS_20,TALLPPE_AGEN_DIS_19,TALLPPEGRD_AGEN_DIS_21,TALLPPEGRD_AGEN_DIS_20,TALLPPEGRD_AGEN_DIS_19,TALLPUP_TLEV_DIS_21,TALLPUP_TLEV_DIS_20,TALLPUP_TLEV_DIS_19,TALLPPE_TLEV_DIS_21,TALLPPE_TLEV_DIS_20,TALLPPE_TLEV_DIS_19,TALLPPEGRD_TLEV_DIS_21,TALLPPEGRD_TLEV_DIS_20,TALLPPEGRD_TLEV_DIS_19,TALLPUP_TECHCERT_DIS_21,TALLPUP_TECHCERT_DIS_20,TALLPUP_TECHCERT_DIS_19,TALLPPE_TECHCERT_DIS_21,TALLPPE_TECHCERT_DIS_20,TALLPPE_TECHCERT_DIS_19,TALLPPEGRD_TECHCERT_DIS_21,TALLPPEGRD_TECHCERT_DIS_20,TALLPPEGRD_TECHCERT_DIS_19,T_SCOPEEX_E_DIS_21,T_SCOPEEX_E_DIS_20,T_SCOPEEX_E_DIS_19,PROGEX_E_DIS_21,PROGEX_E_DIS_20,PROGEX_E_DIS_19,T_SCOPEEX_M_DIS_21,T_SCOPEEX_M_DIS_20,T_SCOPEEX_M_DIS_19,PROGEX_M_DIS_21,PROGEX_M_DIS_20,PROGEX_M_DIS_19,ENTRIES_ALEV_DIS_21,ENTRIES_ALEV_DIS_20,ENTRIES_ALEV_DIS_19,VA_INS_ALEV_DIS_21,VA_INS_ALEV_DIS_20,VA_INS_ALEV_DIS_19,UCI_INS_ALEV_DIS_21,UCI_INS_ALEV_DIS_20,UCI_INS_ALEV_DIS_19,LCI_INS_ALEV_DIS_21,LCI_INS_ALEV_DIS_20,LCI_INS_ALEV_DIS_19,ENTRIES_ACAD_DIS_21,ENTRIES_ACAD_DIS_20,ENTRIES_ACAD_DIS_19,VA_INS_ACAD_DIS_21,VA_INS_ACAD_DIS_20,VA_INS_ACAD_DIS_19,UCI_INS_ACAD_DIS_21,UCI_INS_ACAD_DIS_20,UCI_INS_ACAD_DIS_19,LCI_INS_ACAD_DIS_21,LCI_INS_ACAD_DIS_20,LCI_INS_ACAD_DIS_19,ENTRIES_AGEN_DIS_21,ENTRIES_AGEN_DIS_20,ENTRIES_AGEN_DIS_19,VA_INS_AGEN_DIS_21,VA_INS_AGEN_DIS_20,VA_INS_AGEN_DIS_19,UCI_INS_AGEN_DIS_21,UCI_INS_AGEN_DIS_20,UCI_INS_AGEN_DIS_19,LCI_INS_AGEN_DIS_21,LCI_INS_AGEN_DIS_20,LCI_INS_AGEN_DIS_19,T_INSCOPE_ALEV_RET_DIS_21,T_INSCOPE_ALEV_RET_DIS_20,T_INSCOPE_ALEV_RET_DIS_19,PT_RETAINED_ALEV_RET_DIS_21,PT_RETAINED_ALEV_RET_DIS_20,PT_RETAINED_ALEV_RET_DIS_19,T_INSCOPE_ACAD_RET_DIS_21,T_INSCOPE_ACAD_RET_DIS_20,T_INSCOPE_ACAD_RET_DIS_19,PT_RETAINED_ACAD_RET_DIS_21,PT_RETAINED_ACAD_RET_DIS_20,PT_RETAINED_ACAD_RET_DIS_19,T_INSCOPE_AGEN_RET_DIS_21,T_INSCOPE_AGEN_RET_DIS_20,T_INSCOPE_AGEN_RET_DIS_19,PT_RETAINED_AGEN_RET_DIS_21,PT_RETAINED_AGEN_RET_DIS_20,PT_RETAINED_AGEN_RET_DIS_19,T_INSCOPE_TLEV_RET_DIS_21,T_INSCOPE_TLEV_RET_DIS_20,T_INSCOPE_TLEV_RET_DIS_19,PT_RETAINED_TLEV_RET_DIS_21,PT_RETAINED_TLEV_RET_DIS_20,PT_RETAINED_TLEV_RET_DIS_19,T_INSCOPE_TECHCERT_RET_DIS_21,T_INSCOPE_TECHCERT_RET_DIS_20,T_INSCOPE_TECHCERT_RET_DIS_19,PT_RETAINED_TECHCERT_RET_DIS_21,PT_RETAINED_TECHCERT_RET_DIS_20,PT_RETAINED_TECHCERT_RET_DIS_19,TALLPUP_1618_NOTDIS_21,TALLPUP_1618_NOTDIS_20,TALLPUP_1618_NOTDIS_19,TALLPUP_ALEV_1618_NOTDIS_21,TALLPUP_ALEV_1618_NOTDIS_20,TALLPUP_ALEV_1618_NOTDIS_19,TALLPPE_ALEV_1618_NOTDIS_21,TALLPPE_ALEV_1618_NOTDIS_20,TALLPPE_ALEV_1618_NOTDIS_19,TALLPPEGRD_ALEV_NOTDIS_21,TALLPPEGRD_ALEV_NOTDIS_20,TALLPPEGRD_ALEV_NOTDIS_19,TALLPUP_ACAD_1618_NOTDIS_21,TALLPUP_ACAD_1618_NOTDIS_20,TALLPUP_ACAD_1618_NOTDIS_19,TALLPPE_ACAD_1618_NOTDIS_21,TALLPPE_ACAD_1618_NOTDIS_20,TALLPPE_ACAD_1618_NOTDIS_19,TALLPPEGRD_ACAD_NOTDIS_21,TALLPPEGRD_ACAD_NOTDIS_20,TALLPPEGRD_ACAD_NOTDIS_19,TALLPUP_AGEN_NOTDIS_21,TALLPUP_AGEN_NOTDIS_20,TALLPUP_AGEN_NOTDIS_19,TALLPPE_AGEN_NOTDIS_21,TALLPPE_AGEN_NOTDIS_20,TALLPPE_AGEN_NOTDIS_19,TALLPPEGRD_AGEN_NOTDIS_21,TALLPPEGRD_AGEN_NOTDIS_20,TALLPPEGRD_AGEN_NOTDIS_19,TALLPUP_TLEV_NOTDIS_21,TALLPUP_TLEV_NOTDIS_20,TALLPUP_TLEV_NOTDIS_19,TALLPPE_TLEV_NOTDIS_21,TALLPPE_TLEV_NOTDIS_20,TALLPPE_TLEV_NOTDIS_19,TALLPPEGRD_TLEV_NOTDIS_21,TALLPPEGRD_TLEV_NOTDIS_20,TALLPPEGRD_TLEV_NOTDIS_19,TALLPUP_TECHCERT_NOTDIS_21,TALLPUP_TECHCERT_NOTDIS_20,TALLPUP_TECHCERT_NOTDIS_19,TALLPPE_TECHCERT_NOTDIS_21,TALLPPE_TECHCERT_NOTDIS_20,TALLPPE_TECHCERT_NOTDIS_19,TALLPPEGRD_TECHCERT_NOTDIS_21,TALLPPEGRD_TECHCERT_NOTDIS_20,TALLPPEGRD_TECHCERT_NOTDIS_19,T_SCOPEEX_E_NOTDIS_21,T_SCOPEEX_E_NOTDIS_20,T_SCOPEEX_E_NOTDIS_19,PROGEX_E_NOTDIS_21,PROGEX_E_NOTDIS_20,PROGEX_E_NOTDIS_19,T_SCOPEEX_M_NOTDIS_21,T_SCOPEEX_M_NOTDIS_20,T_SCOPEEX_M_NOTDIS_19,PROGEX_M_NOTDIS_21,PROGEX_M_NOTDIS_20,PROGEX_M_NOTDIS_19,ENTRIES_ALEV_NOTDIS_21,ENTRIES_ALEV_NOTDIS_20,ENTRIES_ALEV_NOTDIS_19,VA_INS_ALEV_NOTDIS_21,VA_INS_ALEV_NOTDIS_20,VA_INS_ALEV_NOTDIS_19,UCI_INS_ALEV_NOTDIS_21,UCI_INS_ALEV_NOTDIS_20,UCI_INS_ALEV_NOTDIS_19,LCI_INS_ALEV_NOTDIS_21,LCI_INS_ALEV_NOTDIS_20,LCI_INS_ALEV_NOTDIS_19,ENTRIES_ACAD_NOTDIS_21,ENTRIES_ACAD_NOTDIS_20,ENTRIES_ACAD_NOTDIS_19,VA_INS_ACAD_NOTDIS_21,VA_INS_ACAD_NOTDIS_20,VA_INS_ACAD_NOTDIS_19,UCI_INS_ACAD_NOTDIS_21,UCI_INS_ACAD_NOTDIS_20,UCI_INS_ACAD_NOTDIS_19,LCI_INS_ACAD_NOTDIS_21,LCI_INS_ACAD_NOTDIS_20,LCI_INS_ACAD_NOTDIS_19,ENTRIES_AGEN_NOTDIS_21,ENTRIES_AGEN_NOTDIS_20,ENTRIES_AGEN_NOTDIS_19,VA_INS_AGEN_NOTDIS_21,VA_INS_AGEN_NOTDIS_20,VA_INS_AGEN_NOTDIS_19,UCI_INS_AGEN_NOTDIS_21,UCI_INS_AGEN_NOTDIS_20,UCI_INS_AGEN_NOTDIS_19,LCI_INS_AGEN_NOTDIS_21,LCI_INS_AGEN_NOTDIS_20,LCI_INS_AGEN_NOTDIS_19,T_INSCOPE_ALEV_RET_NOTDIS_21,T_INSCOPE_ALEV_RET_NOTDIS_20,T_INSCOPE_ALEV_RET_NOTDIS_19,PT_RETAINED_ALEV_RET_NOTDIS_21,PT_RETAINED_ALEV_RET_NOTDIS_20,PT_RETAINED_ALEV_RET_NOTDIS_19,T_INSCOPE_ACAD_RET_NOTDIS_21,T_INSCOPE_ACAD_RET_NOTDIS_20,T_INSCOPE_ACAD_RET_NOTDIS_19,PT_RETAINED_ACAD_RET_NOTDIS_21,PT_RETAINED_ACAD_RET_NOTDIS_20,PT_RETAINED_ACAD_RET_NOTDIS_19,T_INSCOPE_AGEN_RET_NOTDIS_21,T_INSCOPE_AGEN_RET_NOTDIS_20,T_INSCOPE_AGEN_RET_NOTDIS_19,PT_RETAINED_AGEN_RET_NOTDIS_21,PT_RETAINED_AGEN_RET_NOTDIS_20,PT_RETAINED_AGEN_RET_NOTDIS_19,T_INSCOPE_TLEV_RET_NOTDIS_21,T_INSCOPE_TLEV_RET_NOTDIS_20,T_INSCOPE_TLEV_RET_NOTDIS_19,PT_RETAINED_TLEV_RET_NOTDIS_21,PT_RETAINED_TLEV_RET_NOTDIS_20,PT_RETAINED_TLEV_RET_NOTDIS_19,T_INSCOPE_TECHCERT_RET_NOTDIS_21,T_INSCOPE_TECHCERT_RET_NOTDIS_20,T_INSCOPE_TECHCERT_RET_NOTDIS_19,PT_RETAINED_TECHCERT_RET_NOTDIS_21,PT_RETAINED_TECHCERT_RET_NOTDIS_20,PT_RETAINED_TECHCERT_RET_NOTDIS_19
1,56696,32,4,203,4717,138966,E14000690,Eltham,,Shooters Hill Sixth Form College,Red Lion Lane,,Shooters Hill,London,SE18 4LD,2083199700,0,ACC1619,Does not apply,NA,NA,MIXED,0, 16-19,0,,,,,1455,675,49,25.91,C-,38,25.09,C-,38,0.0%,54,25.83,C-,69,26.92,Merit+,23,29.71,Merit+,95,24.2%,141,48.9%,,,,,,,,,47,93.6%,85.1%,47,87.2%,47,93.6%,85.1%,47,87.2%,88,95.5%,84.1%,86,76.7%,14,100.0%,92.9%,14,92.9%,NE,NE,NE,NE,NE,NE,43,0.0%,305,12,21.21,D,12,21.21,D,20,24.68,Merit,10,32.7,Dist-,,,,,16,93.8%,16,93.8%,28,92.9%,6,100.0%,NE,NE,NE,NE,NE,341,34,26.33,C-,39,26.21,C-,42,27.86,Merit+,11,26.64,Merit,,,,,28,92.9%,28,92.9%,53,96.2%,7,100.0%,NE,NE,NE,NE,NE,,,688,,,54,,,18.69,,,D,,,57,,,18.56,,,D,,,25,,,20.4,,,Merit-,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,,,,336,,,0.29,,,431,,,0.29,,,118,,,-0.4,,,-0.2,,,-0.6,,,124,,,-0.42,,,-0.23,,,-0.62,,,17,,,-0.34,,,0.13,,,-0.8,,,61,,,86.9%,,,62,,,87.1%,,,23,,,87.0%,,,NE,,,NE,,,NE,,,NE,,,316,,,22,,,17.73,,,D-,,,23,,,17.75,,,D-,,,7,,,8.13,,,U,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,166,,,0.09,,,221,,,0.18,,,50,,,-0.64,,,-0.32,,,-0.96,,,52,,,-0.64,,,-0.32,,,-0.96,,,7,,,-1.25,,,-0.55,,,-1.96,,,27,,,77.8%,,,27,,,77.8%,,,8,,,87.5%,,,NE,,,NE,,,NE,,,NE,,,347,,,31,,,19.77,,,D,,,33,,,19.52,,,D,,,12,,,22.83,,,Merit-,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,167,,,0.47,,,208,,,0.39,,,68,,,-0.22,,,0.04,,,-0.49,,,72,,,-0.27,,,-0.01,,,-0.53,,,10,,,0.25,,,0.86,,,-0.36,,,33,,,93.9%,,,34,,,94.1%,,,10,,,80.0%,,,NE,,,NE,,,NE,,,NE
1,22978,32,4,203,6007,147681,E14000718,Greenwich and Woolwich,,Greenwich Engineering and Medical School,31 Thomas Street,Woolwich,,,SE18 6HU,2036450562,0,IND,Unknown,,NA,MIXED,0, 15-18,0,,,R,,5,5,3,SUPP,SUPP,3,SUPP,SUPP,3,SUPP,3,SUPP,SUPP,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NA,NA,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,59574,32,4,203,6041,136100,E14000690,Eltham,,StreetVibes Media Academy,6 Eltham High Street,,,London,SE9 1DA,2030318240,0,IND,None,,NA,MIXED,0, 11-19,0,,,R,,11,6,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NA,NA,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,46488,32,4,203,6169,100200,E14000690,Eltham,,Riverston School,63-69 Eltham Road,Lee Green,,London,SE12 8UF,2083184327,0,IND,None,,NA,MIXED,0, 1-21,0,,,R,,26,8,4,SUPP,SUPP,1,SUPP,SUPP,1,SUPP,4,SUPP,SUPP,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NA,NA,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,9,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,,,,5,,,SUPP,,,5,,,SUPP,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA
1,13290,32,4,203,6293,100202,E14000690,Eltham,,Colfe's School,Horn Park Lane,Lee,,London,SE12 8AW,2084638102,0,IND,None,,NA,MIXED,0, 3-19,0,,,,,219,90,81,50.6,A,56,50.36,A,56,50.0%,81,50.66,A,3,SUPP,SUPP,NE,NE,NE,NE,NE,3,SUPP,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NA,NA,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,81,,,81,,,43.42,,,B+,,,81,,,43.61,,,B+,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,NE,,,,,,NE,,,NE,,,NE,,,NE,,,228,,,0.51,,,0.65,,,0.37,,,239,,,0.51,,,0.64,,,0.37,,,NE,,,NE,,,NE,,,NE,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA
