RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_20,OVERALL_DESTPER_20,COHORT_DIS_20,OVERALL_DESTPER_DIS_20,COHORT_NONDIS_20,OVERALL_DESTPER_NONDIS_20,COHORT_19,OVERALL_DESTPER_19,COHORT_DIS_19,OVERALL_DESTPER_DIS_19,COHORT_NONDIS_19,OVERALL_DESTPER_NONDIS_19
2,371,7002,106818,0,Doncaster School for the Deaf,NMSS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,6,100%,SUPP,SUPP,SUPP,SUPP
1,371,4036,138116,0,Campsmount Academy,ACC,123,116,4,7,105,42,43,18,2,5,2,94%,3%,6%,85%,34%,35%,15%,2%,4%,2%,33,30,0,1,29,13,12,4,0,SUPP,SUPP,91%,0%,3%,88%,39%,36%,12%,0%,SUPP,SUPP,90,86,4,6,76,29,31,14,2,SUPP,SUPP,96%,4%,7%,84%,32%,34%,16%,2%,SUPP,SUPP,120,95%,48,SUPP,72,SUPP,116,96%,37,89%,79,99%
1,371,4040,137899,0,Hungerhill School,ACC,230,225,13,6,206,61,56,88,1,4,1,98%,6%,3%,90%,27%,24%,38%,SP,2%,SP,42,39,0,0,39,23,SUPP,10,SUPP,SUPP,SUPP,93%,0%,0%,93%,55%,SUPP,24%,SUPP,SUPP,SUPP,188,186,13,6,167,38,SUPP,78,SUPP,SUPP,SUPP,99%,7%,3%,89%,20%,SUPP,41%,SUPP,SUPP,SUPP,221,95%,35,86%,186,96%,221,98%,27,100%,194,97%
1,371,4012,146639,0,The Laurel Academy,AC,118,104,3,6,95,76,3,16,0,14,0,88%,3%,5%,81%,64%,3%,14%,0%,12%,0%,59,49,0,3,46,40,1,5,0,10,0,83%,0%,5%,78%,68%,2%,8%,0%,17%,0%,59,55,3,3,49,36,2,11,0,4,0,93%,5%,5%,83%,61%,3%,19%,0%,7%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,371,4033,137603,0,Ridgewood School,ACC,232,223,8,11,204,52,132,17,3,6,3,96%,3%,5%,88%,22%,57%,7%,1%,3%,1%,34,31,1,2,28,14,13,1,0,2,1,91%,3%,6%,82%,41%,38%,3%,0%,6%,3%,198,192,7,9,176,38,119,16,3,4,2,97%,4%,5%,89%,19%,60%,8%,2%,2%,1%,226,97%,41,98%,185,97%,236,97%,25,96%,211,98%
1,371,4606,140865,0,The McAuley Catholic High School,ACC,269,255,11,8,236,60,148,25,3,10,4,95%,4%,3%,88%,22%,55%,9%,1%,4%,1%,61,54,0,5,49,17,30,2,0,6,1,89%,0%,8%,80%,28%,49%,3%,0%,10%,2%,208,201,11,3,187,43,118,23,3,4,3,97%,5%,1%,90%,21%,57%,11%,1%,2%,1%,266,95%,44,91%,222,96%,257,98%,55,96%,202,98%
1,371,4007,143938,0,Outwood Academy Danum,AC,218,195,2,7,186,73,93,18,2,19,4,89%,1%,3%,85%,33%,43%,8%,1%,9%,2%,77,66,SUPP,SUPP,63,32,29,SUPP,SUPP,11,0,86%,SUPP,SUPP,82%,42%,38%,SUPP,SUPP,14%,0%,141,129,SUPP,SUPP,123,41,64,SUPP,SUPP,8,4,91%,SUPP,SUPP,87%,29%,45%,SUPP,SUPP,6%,3%,185,89%,75,85%,110,92%,179,91%,67,85%,112,95%
2,371,7014,147582,0,Coppice School,ACCS,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,6,100%,4,SUPP,2,SUPP,9,100%,SUPP,SUPP,SUPP,SUPP
1,371,4008,144364,0,Sir Thomas Wharton Academy,ACC,152,142,2,10,130,46,66,13,5,9,1,93%,1%,7%,86%,30%,43%,9%,3%,6%,1%,61,55,0,4,51,27,21,0,3,SUPP,SUPP,90%,0%,7%,84%,44%,34%,0%,5%,SUPP,SUPP,91,87,2,6,79,19,45,13,2,SUPP,SUPP,96%,2%,7%,87%,21%,49%,14%,2%,SUPP,SUPP,164,93%,43,79%,121,98%,138,96%,42,90%,96,99%
