RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,344,4001,143554,"St Mary's Catholic College, A Voluntary Academy",AC,0,0,-4,7,-15,53,62%,0%,62%,11%,6%,0%,0%,53,62%,-4,7,-15,0,0%,NA,NA,NA,0,0%,NA,NA,NA,38%,0%,38%,0%,0%,0%,0%
1,344,4052,137171,Wirral Grammar School for Girls,ACC,0,0,5,12,-2,145,92%,8%,83%,44%,39%,1%,1%,145,92%,5,11,-1,0,0%,NA,NA,NA,0,0%,NA,NA,NA,91%,9%,82%,45%,18%,0%,0%
1,344,4056,137243,West Kirby Grammar School,ACC,0,0,3,10,-4,140,89%,1%,86%,46%,39%,3%,1%,140,89%,3,9,-3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,86%,0%,86%,36%,29%,0%,0%
1,344,4060,138355,Hilbre High School,ACC,0,0,-6,3,-15,76,58%,1%,55%,17%,16%,0%,1%,72,60%,-6,3,-15,2,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,47%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,4066,105103,The Mosslands School,CY,0,0,-11,2,-24,39,46%,0%,41%,13%,13%,0%,5%,28,54%,-10,5,-25,11,27%,-13,15,-41,0,0%,NA,NA,NA,53%,0%,53%,16%,16%,0%,0%
1,344,4067,136895,The Oldershaw School,ACC,0,0,-11,5,-27,26,54%,0%,54%,4%,4%,0%,0%,26,54%,-11,4,-26,0,0%,NA,NA,NA,0,0%,NA,NA,NA,56%,0%,56%,SUPP,SUPP,0%,0%
1,344,4069,137815,Weatherhead High School,ACC,0,0,-7,0,-14,123,62%,0%,61%,18%,15%,0%,1%,117,63%,-7,0,-14,6,33%,-2,36,-40,0,0%,NA,NA,NA,52%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,4071,105107,South Wirral High School,FD,0,0,-23,-10,-35,46,39%,2%,35%,2%,2%,0%,2%,42,43%,-22,-9,-34,0,0%,NA,NA,NA,4,SUPP,SUPP,SUPP,SUPP,64%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,4605,139031,St John Plessington Catholic College,ACC,0,0,-4,3,-11,131,67%,3%,63%,14%,12%,0%,1%,131,67%,-4,3,-11,0,0%,NA,NA,NA,0,0%,NA,NA,NA,76%,SUPP,71%,15%,15%,0%,SUPP
1,344,5400,139144,Calday Grange Grammar School,ACC,0,0,5,10,0,216,87%,SP,87%,44%,37%,1%,0%,216,87%,5,10,0,0,0%,NA,NA,NA,0,0%,NA,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,344,5401,137476,Wirral Grammar School for Boys,ACC,0,0,1,8,-6,131,81%,6%,73%,33%,35%,2%,2%,131,81%,1,8,-6,0,0%,NA,NA,NA,0,0%,NA,NA,NA,63%,13%,50%,25%,25%,0%,0%
1,344,5900,136780,St Anselm's College,ACC,0,0,6,14,-2,95,82%,4%,77%,36%,31%,4%,1%,95,82%,6,14,-2,0,0%,NA,NA,NA,0,0%,NA,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,5901,137929,Upton Hall School FCJ,ACC,0,0,8,16,0,102,90%,4%,85%,38%,33%,2%,1%,102,90%,8,16,0,0,0%,NA,NA,NA,0,0%,NA,NA,NA,92%,SUPP,85%,23%,31%,SUPP,SUPP
1,344,6905,135877,Birkenhead High School Academy,AC,0,0,3,12,-6,74,74%,3%,69%,14%,14%,0%,3%,74,74%,3,12,-6,0,0%,NA,NA,NA,0,0%,NA,NA,NA,60%,0%,60%,10%,10%,0%,0%
1,344,8000,130493,Wirral Metropolitan College,General Further Education College,0,0,-19,-13,-24,255,24%,SP,20%,1%,SP,0%,4%,21,38%,-23,-5,-40,3,SUPP,SUPP,SUPP,SUPP,231,22%,-18,-11,-24,20%,SUPP,17%,SUPP,SUPP,0%,SUPP
1,344,8600,144829,Birkenhead Sixth Form College,ACC1619,0,0,-1,2,-4,566,66%,1%,64%,11%,11%,SP,1%,549,67%,0,3,-3,0,0%,NA,NA,NA,17,29%,-8,15,-31,60%,1%,59%,11%,10%,SUPP,1%
LA,344,,,,,,,-3,NA,NA,2273,67%,2%,64%,21%,19%,1%,1%,1997,73%,-1,NA,NA,22,32%,-9,NA,NA,254,22%,-18,NA,NA,72%,2%,68%,25%,22%,1%,1%
1,383,5400,137083,Abbey Grange Church of England Academy,ACC,0,0,9,15,2,169,80%,1%,78%,32%,28%,3%,2%,159,83%,9,15,2,10,40%,2,32,-28,0,0%,NA,NA,NA,76%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,383,8008,130542,Leeds College of Building,General Further Education College,0,0,6,13,-1,127,52%,31%,19%,2%,2%,0%,2%,3,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,121,52%,6,14,-2,41%,5%,36%,0%,0%,0%,0%
1,383,8025,135771,Leeds City College,General Further Education College,0,0,-3,0,-5,1121,46%,1%,33%,3%,2%,0%,12%,389,57%,-4,0,-8,145,50%,8,15,0,587,38%,-5,-1,-8,45%,SP,30%,1%,1%,0%,15%
1,383,8600,130548,Notre Dame Catholic Sixth Form College,Sixth Form College,0,0,10,13,6,799,79%,1%,76%,23%,21%,1%,2%,735,81%,9,11,6,23,52%,10,29,-9,41,61%,20,34,5,79%,1%,76%,20%,19%,0%,2%
1,383,4006,108055,Lawnswood School,CY,0,0,7,20,-6,38,74%,0%,71%,16%,13%,0%,3%,33,76%,4,18,-10,5,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,79%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,383,4032,108057,Allerton High School,CY,0,0,3,10,-4,114,75%,0%,74%,29%,25%,1%,1%,104,79%,5,12,-2,0,0%,NA,NA,NA,10,30%,-19,11,-49,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,383,4040,108058,Allerton Grange School,CY,0,0,17,27,6,69,81%,0%,81%,23%,23%,0%,0%,69,81%,17,26,7,0,0%,NA,NA,NA,0,0%,NA,NA,NA,94%,0%,94%,19%,19%,0%,0%
1,383,4046,146247,Temple Moor High School,ACC,0,0,-13,-2,-23,60,58%,2%,53%,17%,12%,0%,3%,57,56%,-17,-6,-27,3,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,57%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,383,4055,139282,John Smeaton Academy,AC,0,1,-18,-1,-34,26,54%,0%,54%,15%,15%,0%,0%,26,54%,-18,-2,-33,0,0%,NA,NA,NA,0,0%,NA,NA,NA,71%,0%,71%,29%,29%,0%,0%
1,383,4062,108075,Ralph Thoresby School,FD,0,0,2,13,-9,54,69%,6%,63%,2%,2%,0%,0%,54,69%,2,13,-9,0,0%,NA,NA,NA,0,0%,NA,NA,NA,53%,0%,53%,SUPP,SUPP,0%,0%
1,383,4063,108076,Roundhay School,CY,0,0,15,20,9,243,87%,SP,85%,24%,22%,1%,2%,229,87%,13,18,7,13,85%,41,67,14,1,SUPP,SUPP,SUPP,SUPP,81%,SUPP,80%,6%,5%,0%,SUPP
1,383,4065,137065,Co-op Academy Leeds,AC,0,0,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,0,SUPP,NA,NA,NA,0,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,383,4070,141940,Elliott Hudson College,F1619,0,0,2,6,-2,407,73%,SP,68%,16%,16%,1%,4%,405,73%,2,6,-2,2,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,78%,0%,72%,14%,14%,1%,6%
1,383,4072,142604,University Technical College Leeds,UTC,0,0,3,14,-8,54,63%,11%,50%,17%,15%,0%,2%,26,69%,-5,10,-20,28,57%,10,28,-8,0,0%,NA,NA,NA,62%,SUPP,54%,15%,15%,0%,SUPP
1,383,4102,108079,Pudsey Grammar School,FD,0,0,-16,-5,-26,65,48%,3%,40%,5%,5%,2%,5%,65,48%,-16,-5,-26,0,0%,NA,NA,NA,0,0%,NA,NA,NA,73%,0%,64%,9%,9%,SUPP,9%
1,383,4103,138336,Rodillian Academy,ACC,0,0,-21,-12,-29,101,57%,1%,54%,17%,15%,1%,2%,101,57%,-21,-12,-29,0,0%,NA,NA,NA,0,0%,NA,NA,NA,42%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,383,4105,137383,Woodkirk Academy,ACC,0,0,-6,0,-12,161,67%,2%,63%,17%,15%,1%,2%,151,70%,-5,1,-11,0,0%,NA,NA,NA,10,20%,-29,1,-59,67%,0%,63%,4%,4%,SUPP,4%
1,383,4106,108083,Benton Park School,CY,0,0,-2,5,-9,114,65%,4%,61%,11%,10%,0%,1%,101,68%,-3,5,-11,0,0%,NA,NA,NA,13,38%,-1,25,-27,60%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,383,4107,138304,Crawshaw Academy,AC,0,0,-8,7,-23,30,57%,0%,57%,7%,7%,0%,0%,30,57%,-8,6,-22,0,0%,NA,NA,NA,0,0%,NA,NA,NA,82%,0%,82%,SUPP,SUPP,0%,0%
1,383,4108,108085,Guiseley School,FD,0,0,-1,9,-11,61,77%,3%,70%,34%,26%,2%,3%,61,77%,-1,9,-11,0,0%,NA,NA,NA,0,0%,NA,NA,NA,67%,SUPP,50%,50%,33%,SUPP,SUPP
1,383,4110,144588,Co-op Academy Priesthorpe,ACC,0,0,17,27,6,63,79%,3%,73%,5%,3%,0%,3%,63,79%,17,27,6,0,0%,NA,NA,NA,0,0%,NA,NA,NA,94%,0%,94%,6%,SUPP,0%,0%
1,383,4111,108088,Wetherby High School,FD,0,0,-11,3,-25,36,56%,3%,53%,11%,11%,0%,0%,36,56%,-11,2,-24,0,0%,NA,NA,NA,0,0%,NA,NA,NA,67%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,383,4112,136343,Garforth Academy,ACC,0,0,-6,1,-13,147,64%,6%,56%,19%,18%,0%,2%,121,69%,-6,1,-13,23,43%,-2,17,-21,3,SUPP,SUPP,SUPP,SUPP,67%,7%,60%,7%,7%,0%,0%
1,383,4113,143238,Brigshaw High School,ACC,0,0,-14,-3,-24,70,59%,1%,53%,10%,10%,0%,4%,61,61%,-16,-5,-26,9,44%,-7,24,-38,0,0%,NA,NA,NA,38%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,383,4114,146217,Boston Spa Academy,ACC,0,0,-1,8,-10,81,68%,1%,57%,27%,25%,0%,10%,64,78%,3,13,-7,0,0%,NA,NA,NA,17,29%,-14,9,-37,64%,SUPP,55%,18%,9%,0%,SUPP
1,383,4115,137775,Horsforth School,ACC,0,0,-5,2,-12,119,74%,1%,71%,32%,28%,3%,2%,119,74%,-5,2,-12,0,0%,NA,NA,NA,0,0%,NA,NA,NA,100%,SUPP,88%,38%,38%,0%,SUPP
1,383,4501,137704,Otley Prince Henry's Grammar School Specialist Language College,ACC,0,0,9,16,1,136,86%,3%,82%,36%,32%,1%,1%,136,86%,9,15,2,0,0%,NA,NA,NA,0,0%,NA,NA,NA,92%,17%,75%,33%,25%,SUPP,0%
1,383,4601,139351,"St. Mary's Menston, a Catholic Voluntary Academy",ACC,0,0,0,7,-7,129,79%,3%,75%,34%,24%,2%,1%,129,79%,0,7,-7,0,0%,NA,NA,NA,0,0%,NA,NA,NA,50%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
LA,383,,,,,,,1,NA,NA,4701,66%,2%,59%,16%,14%,1%,5%,3621,72%,1,NA,NA,277,51%,9,NA,NA,803,41%,-3,NA,NA,67%,3%,60%,18%,16%,1%,4%
1,384,4014,145938,Outwood Academy Hemsworth,AC,0,0,2,15,-11,42,62%,2%,55%,7%,7%,0%,5%,35,66%,3,16,-10,7,43%,-3,33,-39,0,0%,NA,NA,NA,33%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,384,4015,136633,Castleford Academy,ACC,0,0,-16,4,-36,18,28%,6%,11%,0%,0%,0%,11%,0,0%,NA,NA,NA,0,0%,NA,NA,NA,18,28%,-16,6,-38,33%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,384,4023,136462,Ossett Academy and Sixth Form College,ACC,0,0,1,9,-7,104,71%,3%,65%,14%,14%,1%,3%,84,77%,2,10,-6,0,0%,NA,NA,NA,20,45%,-2,19,-23,78%,0%,78%,17%,17%,SUPP,0%
1,384,4026,136613,Airedale Academy,ACC,0,0,-48,-17,-78,8,25%,0%,25%,13%,0%,0%,0%,7,29%,-49,-18,-79,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,384,4030,137011,"Minsthorpe Community College, A Specialist Science College",ACC,0,0,-11,1,-23,45,51%,0%,49%,7%,7%,0%,2%,34,59%,-9,4,-22,11,27%,-18,10,-46,0,0%,NA,NA,NA,56%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,384,4604,138951,St Wilfrid's Catholic High School & Sixth Form College: A Voluntary Academy,ACC,0,0,2,9,-5,118,72%,3%,66%,24%,23%,0%,3%,103,71%,-3,4,-10,0,0%,NA,NA,NA,15,80%,37,61,12,83%,0%,83%,33%,33%,0%,0%
1,384,6905,135961,Outwood Grange Academy,AC,0,0,-6,1,-13,138,71%,5%,62%,14%,12%,0%,4%,137,72%,-6,0,-12,1,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,64%,0%,64%,9%,9%,0%,0%
1,384,8000,130549,Wakefield College,General Further Education College,0,0,-3,0,-6,778,48%,2%,34%,3%,2%,SP,12%,203,63%,-6,0,-11,143,40%,-2,5,-9,432,44%,-2,2,-6,49%,1%,29%,2%,2%,SUPP,19%
1,384,8600,144732,New College Pontefract,ACC1619,0,0,0,2,-2,1071,68%,2%,63%,19%,17%,1%,2%,743,78%,0,2,-2,15,40%,-6,18,-30,313,46%,1,6,-4,71%,1%,68%,19%,19%,1%,3%
LA,384,,,,,,,-1,NA,NA,2322,61%,2%,53%,13%,11%,SP,6%,1346,73%,-2,NA,NA,177,39%,-3,NA,NA,799,45%,0,NA,NA,61%,3%,54%,13%,12%,SP,5%
1,815,4002,142884,Scarborough University Technical College,UTC,0,0,-8,14,-30,14,50%,0%,50%,14%,14%,0%,0%,2,SUPP,SUPP,SUPP,SUPP,12,50%,-7,20,-34,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4006,144976,Outwood Academy Easingwold,AC,0,0,8,22,-6,34,88%,0%,88%,50%,44%,0%,0%,34,88%,8,21,-5,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4035,121666,Thirsk School & Sixth Form College,CY,0,0,-5,5,-15,60,72%,2%,68%,25%,23%,2%,2%,60,72%,-5,5,-15,0,0%,NA,NA,NA,0,0%,NA,NA,NA,67%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4039,121667,Caedmon College Whitby,CY,0,0,1,13,-11,49,69%,0%,69%,18%,16%,0%,0%,49,69%,1,12,-10,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4047,141930,Stokesley School,ACC,0,0,6,14,-2,97,89%,0%,87%,52%,49%,0%,2%,97,89%,6,14,-2,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4054,121671,Lady Lumley's School,CY,0,1,-13,-3,-22,77,64%,4%,60%,29%,26%,1%,0%,77,64%,-13,-3,-22,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4075,121679,The Wensleydale School & Sixth Form,CY,0,0,-4,18,-26,14,57%,0%,57%,14%,14%,0%,0%,14,57%,-4,17,-25,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4076,145090,Richmond School,ACC,0,0,-3,5,-11,108,70%,0%,70%,25%,22%,1%,0%,100,72%,-4,4,-12,8,50%,8,41,-25,0,0%,NA,NA,NA,73%,0%,73%,9%,9%,SUPP,0%
1,815,4077,121681,Malton School,CY,0,0,1,9,-7,92,72%,2%,62%,15%,11%,0%,8%,89,73%,2,10,-6,0,0%,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,54%,0%,15%,0%,0%,0%,38%
1,815,4152,136728,Norton College,ACC,0,0,-27,-13,-40,38,39%,5%,34%,8%,8%,0%,0%,36,42%,-26,-12,-39,1,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,17%,0%,17%,0%,0%,0%,0%
1,815,4200,136497,Harrogate Grammar School,ACC,0,0,7,12,1,255,84%,3%,81%,38%,33%,2%,SP,255,84%,7,12,1,0,0%,NA,NA,NA,0,0%,NA,NA,NA,75%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4202,121687,King James's School,CY,0,0,-7,1,-15,98,71%,2%,69%,34%,33%,0%,0%,98,71%,-7,1,-15,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4205,121689,Settle College,CY,0,0,9,23,-5,36,83%,0%,81%,31%,25%,0%,3%,33,91%,14,28,0,3,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4210,136736,South Craven School,ACC,0,0,-7,0,-13,164,62%,1%,58%,16%,12%,1%,2%,154,63%,-7,0,-13,8,50%,2,35,-31,2,SUPP,SUPP,SUPP,SUPP,53%,0%,47%,5%,0%,SUPP,5%
1,815,4211,145777,Tadcaster Grammar School,ACC,0,0,6,14,-2,108,85%,4%,81%,42%,38%,1%,1%,104,85%,5,12,-2,4,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4215,121694,Ripon Grammar School,CY,0,0,3,10,-4,147,90%,0%,90%,71%,65%,8%,1%,147,90%,3,9,-3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4216,145819,Sherburn High School,ACC,0,0,-5,7,-17,49,67%,0%,67%,31%,31%,0%,0%,48,69%,-4,7,-15,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4217,136896,Rossett School,ACC,0,0,-3,5,-11,105,70%,1%,66%,20%,18%,2%,3%,105,70%,-3,4,-10,0,0%,NA,NA,NA,0,0%,NA,NA,NA,71%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,815,4221,121699,Boroughbridge High School,CY,0,0,-16,0,-31,30,47%,0%,47%,17%,10%,0%,0%,28,50%,-14,1,-29,0,0%,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4518,136664,Skipton Girls' High School,ACC,0,0,3,10,-4,123,90%,2%,86%,53%,50%,2%,2%,123,90%,3,10,-4,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4608,121716,Ermysted's Grammar School,VA,0,0,2,9,-5,131,89%,5%,82%,56%,48%,5%,1%,131,89%,2,9,-5,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4609,121717,St John Fisher Catholic High School,VA,1,0,2,5,-1,488,81%,2%,79%,39%,36%,1%,SP,483,81%,2,5,-1,1,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,84%,SUPP,76%,32%,24%,0%,SUPP
1,815,4611,137139,St Aidan's Church of England High School,ACC,1,0,2,5,-1,488,81%,2%,79%,39%,36%,1%,SP,483,81%,2,5,-1,1,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,84%,SUPP,76%,32%,24%,0%,SUPP
3,815,4900,132913,St Aidans and St John Fisher Associated Sixth Form,,0,0,2,5,-1,488,81%,2%,79%,39%,36%,1%,SP,483,81%,2,5,-1,1,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,84%,SUPP,76%,32%,24%,0%,SUPP
1,815,8005,130591,Craven College,General Further Education College,0,0,-12,-7,-16,392,40%,0%,34%,4%,2%,0%,6%,227,50%,-10,-4,-15,25,20%,-23,-3,-42,140,27%,-15,-6,-23,39%,0%,34%,3%,3%,0%,5%
1,815,8010,130592,Selby College,General Further Education College,0,0,-3,1,-7,339,59%,3%,47%,10%,9%,SP,9%,223,68%,-3,2,-8,11,55%,7,35,-21,105,41%,-4,5,-13,45%,4%,38%,9%,5%,SUPP,4%
1,815,8600,130593,Scarborough Sixth Form College,Sixth Form College,0,0,3,7,-1,423,69%,SP,67%,19%,17%,1%,2%,327,76%,3,7,-1,7,57%,12,48,-24,89,45%,5,15,-5,55%,0%,55%,6%,6%,0%,0%
LA,815,,,,,,,-1,NA,NA,3591,70%,2%,66%,28%,25%,1%,3%,3157,75%,-1,NA,NA,87,44%,-4,NA,NA,347,35%,-7,NA,NA,72%,2%,68%,29%,26%,1%,2%
1,894,4364,136516,Newport Girls' High School Academy,ACC,0,0,10,19,0,81,96%,2%,94%,51%,47%,5%,0%,81,96%,10,18,1,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,894,5400,137446,Haberdashers' Adams,ACC,0,0,2,8,-4,166,92%,5%,87%,65%,58%,5%,0%,166,92%,2,8,-4,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,894,6900,123627,Thomas Telford School,CTC,0,0,-8,-2,-13,216,71%,6%,65%,25%,23%,2%,1%,216,71%,-8,-2,-13,0,0%,NA,NA,NA,0,0%,NA,NA,NA,69%,13%,56%,13%,6%,0%,0%
1,894,6905,135149,Madeley Academy,AC,0,0,0,8,-8,99,72%,2%,69%,25%,21%,0%,1%,99,72%,0,8,-8,0,0%,NA,NA,NA,0,0%,NA,NA,NA,72%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,894,6906,135582,Haberdashers' Abraham Darby,AC,0,0,7,17,-3,72,71%,1%,68%,8%,3%,0%,1%,71,70%,6,15,-3,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,70%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,894,8000,130796,Telford College,General Further Education College,0,0,-9,-5,-12,491,41%,1%,35%,2%,2%,0%,4%,174,56%,-9,-2,-15,31,29%,-11,6,-28,286,33%,-9,-3,-14,36%,0%,32%,1%,1%,0%,4%
1,894,4000,142067,Holy Trinity Academy,VA,0,0,9,30,-12,16,75%,0%,69%,0%,0%,0%,6%,16,75%,9,29,-11,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,894,,,,,,,-4,NA,NA,1141,63%,3%,58%,22%,19%,2%,2%,823,75%,-2,NA,NA,31,29%,-11,NA,NA,287,33%,-9,NA,NA,66%,3%,61%,25%,23%,2%,2%
1,861,4173,138549,Haywood Academy,ACC,0,0,15,28,1,40,85%,0%,83%,3%,0%,0%,3%,40,85%,15,27,2,0,0%,NA,NA,NA,0,0%,NA,NA,NA,69%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,861,4711,140149,St Margaret Ward Catholic Academy,ACC,0,0,4,15,-7,56,82%,2%,79%,14%,11%,0%,2%,55,84%,5,15,-5,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,861,5400,140304,St Thomas More Catholic Academy,ACC,0,0,17,30,3,41,85%,0%,85%,5%,2%,0%,0%,41,85%,17,29,4,0,0%,NA,NA,NA,0,0%,NA,NA,NA,71%,0%,71%,0%,SUPP,0%,0%
1,861,5901,136460,St Joseph's College,ACC,0,0,9,15,2,191,91%,1%,90%,31%,28%,1%,0%,191,91%,9,14,3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,89%,0%,89%,11%,11%,SUPP,0%
1,861,8015,130815,Stoke-on-Trent College,General Further Education College,0,0,-4,1,-9,242,38%,1%,36%,SP,0%,0%,2%,1,SUPP,SUPP,SUPP,SUPP,42,40%,-1,13,-15,199,38%,-5,1,-11,34%,SUPP,33%,SUPP,0%,0%,SUPP
1,861,8600,145003,City of Stoke-On-Trent Sixth Form College,ACC1619,0,0,5,8,1,616,74%,1%,73%,8%,8%,1%,SP,538,77%,4,7,0,58,67%,20,32,7,20,20%,-24,-2,-45,73%,SUPP,73%,6%,6%,0%,SUPP
LA,861,,,,,,,4,NA,NA,1186,71%,1%,69%,10%,9%,SP,1%,866,81%,7,NA,NA,100,56%,11,NA,NA,220,36%,-7,NA,NA,73%,1%,71%,12%,11%,SP,1%
1,893,4001,141176,Sir John Talbot's School,AC,0,0,15,37,-7,14,93%,0%,93%,29%,14%,0%,0%,14,93%,15,36,-6,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,893,4391,139769,William Brookes School,ACC,0,0,2,13,-9,54,80%,6%,70%,15%,13%,0%,4%,54,80%,2,13,-9,0,0%,NA,NA,NA,0,0%,NA,NA,NA,67%,0%,67%,17%,17%,0%,0%
1,893,4394,140922,Idsall School,ACC,0,0,3,11,-5,112,78%,5%,71%,27%,24%,1%,2%,109,80%,4,11,-3,0,0%,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,75%,0%,75%,33%,33%,SUPP,0%
1,893,4423,146580,The Grove School,ACC,0,0,-19,-6,-31,43,44%,2%,40%,5%,5%,0%,2%,39,49%,-17,-4,-29,1,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,17%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,893,4427,142153,Oldbury Wells School,ACC,0,0,-6,6,-18,48,67%,2%,65%,15%,13%,0%,0%,48,67%,-6,5,-17,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,893,4437,136979,The Marches School,ACC,0,0,-9,1,-19,68,69%,1%,68%,22%,18%,1%,0%,68,69%,-9,0,-18,0,0%,NA,NA,NA,0,0%,NA,NA,NA,88%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
