RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,872,4050,139853,The Forest School,ACC,0,0,5,13,-3,108,73%,0%,72%,10%,8%,1%,1%,108,73%,5,12,-2,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,872,4051,110062,The Bulmershe School,CY,0,0,-9,0,-18,89,63%,2%,61%,16%,16%,1%,0%,88,63%,-10,-1,-18,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,62%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,872,4053,136637,Maiden Erlegh School,ACC,0,0,3,8,-2,204,79%,2%,77%,19%,15%,0%,SP,204,79%,3,8,-2,0,0%,NA,NA,NA,0,0%,NA,NA,NA,82%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,872,4060,142166,Waingels,ACC,0,0,-1,6,-8,117,71%,1%,70%,14%,16%,0%,0%,116,72%,-1,6,-8,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,82%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,872,4505,136891,The Piggott School,ACC,0,0,0,6,-6,162,76%,2%,73%,25%,31%,1%,1%,159,77%,1,7,-5,0,0%,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,33%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
LA,872,,,,,,,0,NA,NA,946,74%,2%,72%,18%,19%,SP,SP,937,75%,0,NA,NA,0,0%,NA,NA,NA,9,22%,-18,NA,NA,75%,2%,72%,19%,20%,1%,1%
1,826,4000,136842,Walton High,ACC,0,0,8,15,0,146,75%,2%,71%,16%,13%,1%,2%,127,79%,7,14,0,19,53%,13,34,-8,0,0%,NA,NA,NA,77%,4%,73%,23%,23%,0%,0%
1,826,4002,138439,Sir Herbert Leon Academy,AC,0,0,-7,6,-20,39,54%,3%,46%,0%,0%,0%,5%,34,56%,-7,6,-20,5,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,73%,SUPP,64%,0%,0%,0%,SUPP
1,826,4003,143134,Stantonbury International,AC,0,1,4,13,-5,83,75%,1%,72%,7%,5%,0%,1%,82,74%,4,12,-4,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,91%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,826,4005,145736,Lord Grey Academy,AC,0,0,2,12,-8,64,69%,2%,63%,2%,2%,0%,5%,61,67%,0,10,-10,3,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,69%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
