"Entry year","Provider name","Accepted applicants"
"2006 - 2007","B88 Brockenhurst College","10"
"2007 - 2008","B88 Brockenhurst College","10"
"2016 - 2017","C96 City of Wolverhampton College","10"
"2007 - 2008","E78 European School of Economics","5"
"2008 - 2009","E78 European School of Economics","10"
"2010 - 2011","E78 European School of Economics","10"
"2011 - 2012","E78 European School of Economics","15"
"2013 - 2014","F50 Fareham College","10"
"2006 - 2007","H39 Highbury College","25"
"2007 - 2008","H39 Highbury College","30"
"2008 - 2009","H39 Highbury College","35"
"2009 - 2010","H39 Highbury College","40"
"2010 - 2011","H39 Highbury College","25"
"2011 - 2012","H39 Highbury College","35"
"2012 - 2013","H39 Highbury College","45"
"2013 - 2014","H39 Highbury College","50"
"2014 - 2015","H39 Highbury College","30"
"2015 - 2016","H39 Highbury College","20"
"2016 - 2017","H39 Highbury College","5"
"2017 - 2018","H39 Highbury College","10"
"2023 - 2024","J01 SP Jain London School of Management","5"
"2013 - 2014","K05 Kaplan Holborn College","80"
"2014 - 2015","K05 Kaplan Holborn College","75"
"2006 - 2007","H50 Holborn College","20"
"2007 - 2008","H50 Holborn College","5"
"2008 - 2009","H50 Holborn College","5"
"2009 - 2010","H50 Holborn College","290"
"2011 - 2012","H50 Holborn College","95"
"2012 - 2013","H50 Holborn College","80"
"2016 - 2017","K20 Kogan Academy of Dramatic Arts","5"
"2007 - 2008","H58 Kirklees College (Formerly Huddersfield Technical College)","10"
"2009 - 2010","H58 Kirklees College (Formerly Huddersfield Technical College)","5"
"2006 - 2007","D45 Kirklees College (Formerly Dewsbury College)","70"
"2007 - 2008","D45 Kirklees College (Formerly Dewsbury College)","115"
"2008 - 2009","D45 Kirklees College (Formerly Dewsbury College)","95"
"2009 - 2010","D45 Kirklees College (Formerly Dewsbury College)","120"
"2010 - 2011","K90 Kirklees College","185"
"2011 - 2012","K90 Kirklees College","170"
"2012 - 2013","K90 Kirklees College","140"
"2013 - 2014","K90 Kirklees College","135"
"2014 - 2015","K90 Kirklees College","145"
"2015 - 2016","K90 Kirklees College","110"
"2016 - 2017","K90 Kirklees College","115"
"2017 - 2018","K90 Kirklees College","35"
"2023 - 2024","L03 LAMDA (London Academy of Music and Dramatic Art)","5"
"2008 - 2009","L71 London School of Science & Technology","10"
"2011 - 2012","L71 London School of Science & Technology","5"
"2023 - 2024","M01 International Business College Manchester","5"
"2013 - 2014","M05 Macclesfield College","5"
"2014 - 2015","M05 Macclesfield College","10"
"2007 - 2008","M77 Mid Cheshire College","10"
"2008 - 2009","M77 Mid Cheshire College","5"
"2009 - 2010","M77 Mid Cheshire College","10"
"2010 - 2011","M77 Mid Cheshire College","10"
"2011 - 2012","M77 Mid Cheshire College","5"
"2012 - 2013","M77 Mid Cheshire College","5"
"2016 - 2017","M77 Mid Cheshire College","65"
"2017 - 2018","M77 Mid Cheshire College","15"
"2006 - 2007","M95 Mountview Academy of Theatre Arts","95"
"2007 - 2008","M95 Mountview Academy of Theatre Arts","105"
"2008 - 2009","M95 Mountview Academy of Theatre Arts","35"
"2009 - 2010","M95 Mountview Academy of Theatre Arts","35"
"2010 - 2011","M95 Mountview Academy of Theatre Arts","25"
"2011 - 2012","M95 Mountview Academy of Theatre Arts","35"
"2012 - 2013","M95 Mountview Academy of Theatre Arts","25"
"2013 - 2014","M95 Mountview Academy of Theatre Arts","25"
"2014 - 2015","M95 Mountview Academy of Theatre Arts","25"
"2015 - 2016","M95 Mountview Academy of Theatre Arts","25"
"2007 - 2008","N51 New College Telford","10"
"2008 - 2009","N51 New College Telford","10"
"2009 - 2010","N51 New College Telford","5"
"2010 - 2011","N51 New College Telford","10"
"2011 - 2012","N51 New College Telford","10"
"2012 - 2013","N51 New College Telford","5"
"2013 - 2014","N51 New College Telford","5"
"2014 - 2015","N51 New College Telford","15"
"2015 - 2016","N51 New College Telford","10"
"2016 - 2017","N51 New College Telford","5"
"2017 - 2018","N51 New College Telford","10"
"2006 - 2007","S98 Swindon College","85"
"2007 - 2008","S98 Swindon College","95"
"2008 - 2009","S98 Swindon College","55"
"2009 - 2010","S98 Swindon College","50"
"2010 - 2011","S98 Swindon College","40"
"2011 - 2012","S98 Swindon College","25"
"2012 - 2013","S98 Swindon College","55"
"2013 - 2014","S98 Swindon College","80"
"2014 - 2015","S98 Swindon College","45"
"2015 - 2016","S98 Swindon College","45"
"2016 - 2017","S98 Swindon College","40"
"2017 - 2018","S98 Swindon College","30"
"2018 - 2019","S98 Swindon College","40"
"2019 - 2020","S98 Swindon College","40"
"2020 - 2021","S98 Swindon College","25"
"2012 - 2013","R21 Richmond Upon Thames College","30"
"2006 - 2007","H06 Halton College","15"
"2007 - 2008","R30 Riverside College Halton","5"
"2008 - 2009","R30 Riverside College Halton","10"
"2010 - 2011","R30 Riverside College Halton","15"
"2012 - 2013","S19 St Patrick's College, London","100"
"2013 - 2014","S19 St Patrick's College, London","10"
"2010 - 2011","S69 Stephenson College Coalville","20"
"2011 - 2012","S69 Stephenson College Coalville","20"
"2012 - 2013","S69 Stephenson College Coalville","15"
"2006 - 2007","S74 Stratford upon Avon College","25"
"2007 - 2008","S74 Stratford upon Avon College","30"
"2008 - 2009","S74 Stratford upon Avon College","45"
"2009 - 2010","S74 Stratford upon Avon College","45"
"2010 - 2011","S74 Stratford upon Avon College","30"
"2011 - 2012","S74 Stratford upon Avon College","25"
"2012 - 2013","S74 Stratford upon Avon College","40"
"2013 - 2014","S74 Stratford upon Avon College","40"
"2014 - 2015","S74 Stratford upon Avon College","15"
"2015 - 2016","S74 Stratford upon Avon College","10"
"2016 - 2017","S74 Stratford upon Avon College","5"
"2016 - 2017","W17 Warrington Collegiate","25"
"2009 - 2010","S41 South Cheshire College","55"
"2011 - 2012","S41 South Cheshire College","5"
"2012 - 2013","S41 South Cheshire College","5"
"2013 - 2014","S41 South Cheshire College","5"
"2016 - 2017","S41 South Cheshire College","5"
"2017 - 2018","S41 South Cheshire College","5"
"2006 - 2007","W36 West Cheshire College","5"
"2007 - 2008","W36 West Cheshire College","20"
"2008 - 2009","W36 West Cheshire College","25"
"2009 - 2010","W36 West Cheshire College","20"
"2010 - 2011","W36 West Cheshire College","35"
"2011 - 2012","W36 West Cheshire College","40"
"2012 - 2013","W36 West Cheshire College","20"
"2013 - 2014","W36 West Cheshire College","35"
"2014 - 2015","W36 West Cheshire College","15"
"2015 - 2016","W36 West Cheshire College","90"
"2016 - 2017","W36 West Cheshire College","90"
"2017 - 2018","W36 West Cheshire College","55"
"2021 - 2022","B73 British Academy of Jewellery","50"
"2022 - 2023","B73 British Academy of Jewellery","535"
"2023 - 2024","B73 British Academy of Jewellery","15"
"2021 - 2022","C01 School Centred Initial Teacher Training in East London Schools (SCITTELS)","10"
"2021 - 2022","D14 David Game College - Higher Education Centre","80"
"2022 - 2023","D14 David Game College - Higher Education Centre","75"
"2023 - 2024","D14 David Game College - Higher Education Centre","75"
"2022 - 2023","D15 Dartington Trust","10"
"2023 - 2024","D15 Dartington Trust","10"
"2022 - 2023","E71 College of Esports","45"
"2023 - 2024","E71 College of Esports","100"
"2023 - 2024","E74 European School of Economics","5"
"2022 - 2023","J55 JCA | London Fashion Academy","60"
"2023 - 2024","J55 JCA | London Fashion Academy","65"
"2017 - 2018","S50 South Thames College","5"
"2019 - 2020","S50 South Thames College","35"
"2012 - 2013","K83 Kingston College","170"
"2013 - 2014","K83 Kingston College","215"
"2014 - 2015","K83 Kingston College","180"
"2015 - 2016","K83 Kingston College","190"
"2016 - 2017","K83 Kingston College","145"
"2017 - 2018","K83 Kingston College","245"
"2018 - 2019","K83 Kingston College","115"
"2019 - 2020","K83 Kingston College","125"
"2020 - 2021","K82 South Thames College Group (inc Carshalton, South Thames and Kingston College)","250"
"2021 - 2022","K82 South Thames College Group (inc Carshalton, South Thames and Kingston College)","90"
"2022 - 2023","K82 South Thames College Group (inc Carshalton, South Thames and Kingston College)","140"
"2023 - 2024","K82 South Thames College Group (inc Carshalton, South Thames and Kingston College)","100"
"2022 - 2023","L61 London School of Management Education","160"
"2020 - 2021","N34 New College, Swindon","50"
"2021 - 2022","N34 New College, Swindon","75"
"2022 - 2023","N34 New College, Swindon","70"
"2023 - 2024","N34 New College, Swindon","60"
"2022 - 2023","N45 UON London","5"
"2022 - 2023","T01 Scarborough TEC","5"
"2023 - 2024","T01 Scarborough TEC","5"
"2016 - 2017","A14 Abingdon and Witney College","5"
"2017 - 2018","A41 ABI College","40"
"2014 - 2015","A43 Access to Music","10"
"2015 - 2016","A43 Access to Music","10"
"2016 - 2017","A43 Access to Music","25"
"2017 - 2018","A43 Access to Music","20"
"2006 - 2007","B15 Basingstoke College of Technology","10"
"2007 - 2008","B15 Basingstoke College of Technology","30"
"2008 - 2009","B15 Basingstoke College of Technology","20"
"2009 - 2010","B15 Basingstoke College of Technology","25"
"2010 - 2011","B15 Basingstoke College of Technology","20"
"2011 - 2012","B15 Basingstoke College of Technology","25"
"2012 - 2013","B15 Basingstoke College of Technology","15"
"2013 - 2014","B15 Basingstoke College of Technology","5"
"2014 - 2015","B15 Basingstoke College of Technology","30"
"2015 - 2016","B15 Basingstoke College of Technology","20"
"2014 - 2015","B42 Berkshire College of Agriculture","10"
"2016 - 2017","B42 Berkshire College of Agriculture","25"
"2017 - 2018","B42 Berkshire College of Agriculture","25"
"2018 - 2019","B42 Berkshire College of Agriculture","25"
"2019 - 2020","B42 Berkshire College of Agriculture","30"
"2020 - 2021","B42 Berkshire College of Agriculture","20"
"2006 - 2007","C13 Capel Manor College","10"
"2007 - 2008","C13 Capel Manor College","10"
"2008 - 2009","C13 Capel Manor College","5"
"2009 - 2010","C13 Capel Manor College","10"
"2007 - 2008","E10 Ealing, Hammersmith and West London College","5"
"2008 - 2009","E10 Ealing, Hammersmith and West London College","115"
"2009 - 2010","E10 Ealing, Hammersmith and West London College","95"
"2010 - 2011","E10 Ealing, Hammersmith and West London College","115"
"2011 - 2012","E10 Ealing, Hammersmith and West London College","40"
"2012 - 2013","E10 Ealing, Hammersmith and West London College","65"
"2013 - 2014","E10 Ealing, Hammersmith and West London College","15"
"2014 - 2015","E10 Ealing, Hammersmith and West London College","25"
"2015 - 2016","E10 Ealing, Hammersmith and West London College","5"
"2016 - 2017","E10 Ealing, Hammersmith and West London College","5"
"2017 - 2018","E10 Ealing, Hammersmith and West London College","45"
"2018 - 2019","E10 Ealing, Hammersmith and West London College","20"
"2006 - 2007","G74 GSM London (formerly Greenwich School of Management)","10"
"2007 - 2008","G74 GSM London (formerly Greenwich School of Management)","25"
"2008 - 2009","G74 GSM London (formerly Greenwich School of Management)","15"
"2009 - 2010","G74 GSM London (formerly Greenwich School of Management)","30"
"2010 - 2011","G74 GSM London (formerly Greenwich School of Management)","55"
"2011 - 2012","G74 GSM London (formerly Greenwich School of Management)","500"
"2012 - 2013","G74 GSM London (formerly Greenwich School of Management)","195"
"2013 - 2014","G74 GSM London (formerly Greenwich School of Management)","705"
"2014 - 2015","G74 GSM London (formerly Greenwich School of Management)","2025"
"2015 - 2016","G74 GSM London (formerly Greenwich School of Management)","1450"
"2016 - 2017","G74 GSM London (formerly Greenwich School of Management)","745"
"2017 - 2018","G74 GSM London (formerly Greenwich School of Management)","835"
"2018 - 2019","G74 GSM London (formerly Greenwich School of Management)","2115"
"2013 - 2014","H03 University Centre Hadlow","40"
"2014 - 2015","H03 University Centre Hadlow","40"
"2015 - 2016","H03 University Centre Hadlow","50"
"2016 - 2017","H03 University Centre Hadlow","25"
"2017 - 2018","H03 University Centre Hadlow","25"
"2018 - 2019","H03 University Centre Hadlow","25"
"2019 - 2020","H03 University Centre Hadlow","25"
"2013 - 2014","K01 University Centre West Kent","95"
"2014 - 2015","K01 University Centre West Kent","50"
"2015 - 2016","K01 University Centre West Kent","65"
"2016 - 2017","K01 University Centre West Kent","35"
"2017 - 2018","K01 University Centre West Kent","35"
"2018 - 2019","K01 University Centre West Kent","20"
"2007 - 2008","K15 Kensington College of Business - On Hold","5"
"2011 - 2012","K15 Kensington College of Business - On Hold","5"
"2016 - 2017","K15 Kensington College of Business - On Hold","5"
"2017 - 2018","K15 Kensington College of Business - On Hold","15"
"2018 - 2019","K15 Kensington College of Business - On Hold","60"
"2017 - 2018","K16 Kendal College","30"
"2018 - 2019","K16 Kendal College","10"
"2019 - 2020","K16 Kendal College","30"
"2014 - 2015","L01 Lewisham Southwark College","10"
"2015 - 2016","L01 Lewisham Southwark College","5"
"2017 - 2018","L01 Lewisham Southwark College","5"
"2010 - 2011","L05 Lakes College West Cumbria","5"
"2011 - 2012","L05 Lakes College West Cumbria","15"
"2013 - 2014","L05 Lakes College West Cumbria","10"
"2018 - 2019","L05 Lakes College West Cumbria","35"
"2019 - 2020","L05 Lakes College West Cumbria","25"
"2020 - 2021","L05 Lakes College West Cumbria","20"
"2013 - 2014","L32 Leeds College of Building","15"
"2014 - 2015","L32 Leeds College of Building","15"
"2015 - 2016","L32 Leeds College of Building","15"
"2016 - 2017","L32 Leeds College of Building","5"
"2017 - 2018","L32 Leeds College of Building","15"
"2018 - 2019","L32 Leeds College of Building","5"
"2006 - 2007","L70 London School of Commerce","5"
"2007 - 2008","L70 London School of Commerce","25"
"2008 - 2009","L70 London School of Commerce","25"
"2009 - 2010","L70 London School of Commerce","10"
"2010 - 2011","L70 London School of Commerce","15"
"2011 - 2012","L70 London School of Commerce","10"
"2015 - 2016","M61 Medipathways","5"
"2016 - 2017","M61 Medipathways","10"
"2017 - 2018","M61 Medipathways","5"
"2013 - 2014","M87 MidKent College","105"
"2014 - 2015","M87 MidKent College","90"
"2015 - 2016","M87 MidKent College","95"
"2016 - 2017","M87 MidKent College","75"
"2017 - 2018","M87 MidKent College","35"
"2018 - 2019","M87 MidKent College","15"
"2013 - 2014","M89 Milton Keynes College","15"
"2014 - 2015","M89 Milton Keynes College","10"
"2015 - 2016","M89 Milton Keynes College","5"
"2019 - 2020","N12 NCIUL","30"
"2020 - 2021","N12 NCIUL","40"
"2010 - 2011","N31 Newham College London","100"
"2011 - 2012","N31 Newham College London","155"
"2012 - 2013","N31 Newham College London","65"
"2013 - 2014","N31 Newham College London","20"
"2014 - 2015","N31 Newham College London","35"
"2015 - 2016","N31 Newham College London","20"
"2016 - 2017","N31 Newham College London","45"
"2017 - 2018","N31 Newham College London","40"
"2018 - 2019","N31 Newham College London","30"
"2017 - 2018","N59 Northampton College","5"
"2018 - 2019","N59 Northampton College","20"
"2018 - 2019","O22 Oxford Business College","5"
"2019 - 2020","O22 Oxford Business College","15"
"2016 - 2017","R25 Arden University","5"
"2017 - 2018","R25 Arden University","10"
"2018 - 2019","R25 Arden University","20"
"2019 - 2020","R25 Arden University","5"
"2020 - 2021","R25 Arden University","5"
"2016 - 2017","R88 Runshaw College","125"
"2017 - 2018","R88 Runshaw College","70"
"2018 - 2019","R88 Runshaw College","40"
"2019 - 2020","R88 Runshaw College","10"
"2006 - 2007","R90 Ruskin College - On Hold","5"
"2007 - 2008","R90 Ruskin College - On Hold","5"
"2009 - 2010","R90 Ruskin College - On Hold","105"
"2012 - 2013","R90 Ruskin College - On Hold","5"
"2013 - 2014","R90 Ruskin College - On Hold","10"
"2014 - 2015","R90 Ruskin College - On Hold","5"
"2017 - 2018","R90 Ruskin College - On Hold","5"
"2013 - 2014","S62 St Mary's College Blackburn","25"
"2014 - 2015","S62 St Mary's College Blackburn","20"
"2015 - 2016","S62 St Mary's College Blackburn","15"
"2016 - 2017","S62 St Mary's College Blackburn","20"
"2017 - 2018","S62 St Mary's College Blackburn","10"
"2018 - 2019","S62 St Mary's College Blackburn","15"
"2019 - 2020","S62 St Mary's College Blackburn","50"
"2020 - 2021","S62 St Mary's College Blackburn","10"
"2012 - 2013","T60 Tottenham Hotspur Foundation","15"
"2013 - 2014","T60 Tottenham Hotspur Foundation","50"
"2014 - 2015","T60 Tottenham Hotspur Foundation","45"
"2015 - 2016","T60 Tottenham Hotspur Foundation","35"
"2016 - 2017","T60 Tottenham Hotspur Foundation","40"
"2017 - 2018","T60 Tottenham Hotspur Foundation","30"
"2012 - 2013","I30 UCL Institute of Education","30"
"2013 - 2014","I30 UCL Institute of Education","105"
"2014 - 2015","I30 UCL Institute of Education","160"
"2018 - 2019","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","155"
"2019 - 2020","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","110"
"2013 - 2014","A48 ACM (The Academy of Contemporary Music)","445"
"2014 - 2015","A48 ACM (The Academy of Contemporary Music)","365"
"2015 - 2016","A48 ACM (The Academy of Contemporary Music)","585"
"2016 - 2017","A48 ACM (The Academy of Contemporary Music)","845"
"2017 - 2018","A48 ACM (The Academy of Contemporary Music)","715"
"2018 - 2019","A48 ACM (The Academy of Contemporary Music)","840"
"2019 - 2020","A48 ACM (The Academy of Contemporary Music)","570"
"2020 - 2021","A48 ACM (The Academy of Contemporary Music)","470"
"2021 - 2022","A48 ACM (The Academy of Contemporary Music)","370"
"2022 - 2023","A48 ACM (The Academy of Contemporary Music)","545"
"2023 - 2024","A48 ACM (The Academy of Contemporary Music)","405"
"2013 - 2014","I35 Istituto Marangoni London","75"
"2014 - 2015","I35 Istituto Marangoni London","100"
"2015 - 2016","I35 Istituto Marangoni London","160"
"2016 - 2017","I35 Istituto Marangoni London","85"
"2017 - 2018","I35 Istituto Marangoni London","110"
"2018 - 2019","I35 Istituto Marangoni London","60"
"2019 - 2020","I35 Istituto Marangoni London","40"
"2020 - 2021","I35 Istituto Marangoni London","185"
"2021 - 2022","I35 Istituto Marangoni London","70"
"2022 - 2023","I35 Istituto Marangoni London","245"
"2023 - 2024","I35 Istituto Marangoni London","385"
"2007 - 2008","I60 Islamic College for Advanced Studies","20"
"2008 - 2009","I60 Islamic College for Advanced Studies","15"
"2009 - 2010","I60 Islamic College for Advanced Studies","25"
"2010 - 2011","I60 Islamic College for Advanced Studies","20"
"2011 - 2012","I60 Islamic College for Advanced Studies","20"
"2012 - 2013","I60 Islamic College for Advanced Studies","35"
"2013 - 2014","I60 Islamic College for Advanced Studies","25"
"2014 - 2015","I60 Islamic College for Advanced Studies","10"
"2015 - 2016","I60 Islamic College for Advanced Studies","10"
"2016 - 2017","I60 Islamic College for Advanced Studies","10"
"2017 - 2018","I60 Islamic College for Advanced Studies","15"
"2018 - 2019","I60 Islamic College for Advanced Studies","15"
"2019 - 2020","I60 Islamic College for Advanced Studies","5"
"2020 - 2021","I60 Islamic College for Advanced Studies","10"
"2021 - 2022","I60 Islamic College for Advanced Studies","10"
"2022 - 2023","I60 Islamic College for Advanced Studies","10"
"2023 - 2024","I60 Islamic College for Advanced Studies","10"
"2013 - 2014","N52 Norland","60"
"2014 - 2015","N52 Norland","80"
"2015 - 2016","N52 Norland","90"
"2016 - 2017","N52 Norland","90"
"2017 - 2018","N52 Norland","105"
"2018 - 2019","N52 Norland","100"
"2019 - 2020","N52 Norland","105"
"2020 - 2021","N52 Norland","85"
"2021 - 2022","N52 Norland","105"
"2022 - 2023","N52 Norland","110"
"2023 - 2024","N52 Norland","100"
"2006 - 2007","A60 Anglia Ruskin University","2095"
"2007 - 2008","A60 Anglia Ruskin University","2555"
"2008 - 2009","A60 Anglia Ruskin University","2640"
"2009 - 2010","A60 Anglia Ruskin University","3100"
"2010 - 2011","A60 Anglia Ruskin University","3680"
"2011 - 2012","A60 Anglia Ruskin University","4065"
"2012 - 2013","A60 Anglia Ruskin University","4260"
"2013 - 2014","A60 Anglia Ruskin University","4250"
"2014 - 2015","A60 Anglia Ruskin University","4370"
"2015 - 2016","A60 Anglia Ruskin University","4215"
"2016 - 2017","A60 Anglia Ruskin University","4210"
"2017 - 2018","A60 Anglia Ruskin University","3590"
"2018 - 2019","A60 Anglia Ruskin University","3030"
"2019 - 2020","A60 Anglia Ruskin University","3240"
"2020 - 2021","A60 Anglia Ruskin University","3885"
"2021 - 2022","A60 Anglia Ruskin University","4325"
"2022 - 2023","A60 Anglia Ruskin University","4680"
"2023 - 2024","A60 Anglia Ruskin University","4085"
"2006 - 2007","S29 South Birmingham College","10"
"2006 - 2007","C25 Birmingham City University (formerly University of Central England in Birmingham)","2890"
"2007 - 2008","C25 Birmingham City University (formerly University of Central England in Birmingham)","3680"
"2008 - 2009","C25 Birmingham City University (formerly University of Central England in Birmingham)","4835"
"2009 - 2010","C25 Birmingham City University (formerly University of Central England in Birmingham)","175"
"2008 - 2009","B25 Birmingham City University","145"
"2009 - 2010","B25 Birmingham City University","5265"
"2010 - 2011","B25 Birmingham City University","5230"
"2011 - 2012","B25 Birmingham City University","5260"
"2012 - 2013","B25 Birmingham City University","5190"
"2013 - 2014","B25 Birmingham City University","6095"
"2014 - 2015","B25 Birmingham City University","6030"
"2015 - 2016","B25 Birmingham City University","6295"
"2016 - 2017","B25 Birmingham City University","6430"
"2017 - 2018","B25 Birmingham City University","6500"
"2018 - 2019","B25 Birmingham City University","6305"
"2019 - 2020","B25 Birmingham City University","6640"
"2020 - 2021","B25 Birmingham City University","6760"
"2021 - 2022","B25 Birmingham City University","6885"
"2022 - 2023","B25 Birmingham City University","8365"
"2023 - 2024","B25 Birmingham City University","7245"
"2006 - 2007","S91 Sutton Coldfield College","25"
"2006 - 2007","C85 Coventry University","3730"
"2007 - 2008","C85 Coventry University","4585"
"2008 - 2009","C85 Coventry University","5135"
"2009 - 2010","C85 Coventry University","5845"
"2010 - 2011","C85 Coventry University","6240"
"2011 - 2012","C85 Coventry University","5265"
"2012 - 2013","C85 Coventry University","5265"
"2013 - 2014","C85 Coventry University","5820"
"2014 - 2015","C85 Coventry University","6475"
"2015 - 2016","C85 Coventry University","7550"
"2016 - 2017","C85 Coventry University","8160"
"2017 - 2018","C85 Coventry University","8800"
"2018 - 2019","C85 Coventry University","8545"
"2019 - 2020","C85 Coventry University","10150"
"2020 - 2021","C85 Coventry University","8065"
"2021 - 2022","C85 Coventry University","5400"
"2022 - 2023","C85 Coventry University","4920"
"2023 - 2024","C85 Coventry University","4425"
"2006 - 2007","D39 University of Derby","2035"
"2007 - 2008","D39 University of Derby","2530"
"2008 - 2009","D39 University of Derby","2760"
"2009 - 2010","D39 University of Derby","3295"
"2010 - 2011","D39 University of Derby","3195"
"2011 - 2012","D39 University of Derby","3680"
"2012 - 2013","D39 University of Derby","2945"
"2013 - 2014","D39 University of Derby","3140"
"2014 - 2015","D39 University of Derby","3545"
"2015 - 2016","D39 University of Derby","3645"
"2016 - 2017","D39 University of Derby","4045"
"2017 - 2018","D39 University of Derby","3955"
"2018 - 2019","D39 University of Derby","3650"
"2019 - 2020","D39 University of Derby","3360"
"2020 - 2021","D39 University of Derby","3565"
"2021 - 2022","D39 University of Derby","3110"
"2022 - 2023","D39 University of Derby","3335"
"2023 - 2024","D39 University of Derby","3295"
"2006 - 2007","G70 University of Greenwich","2845"
"2007 - 2008","G70 University of Greenwich","3125"
"2008 - 2009","G70 University of Greenwich","3695"
"2009 - 2010","G70 University of Greenwich","4155"
"2010 - 2011","G70 University of Greenwich","6005"
"2011 - 2012","G70 University of Greenwich","5410"
"2012 - 2013","G70 University of Greenwich","4045"
"2013 - 2014","G70 University of Greenwich","4820"
"2014 - 2015","G70 University of Greenwich","4970"
"2015 - 2016","G70 University of Greenwich","4850"
"2016 - 2017","G70 University of Greenwich","4705"
"2017 - 2018","G70 University of Greenwich","4300"
"2018 - 2019","G70 University of Greenwich","4480"
"2019 - 2020","G70 University of Greenwich","4835"
"2020 - 2021","G70 University of Greenwich","5740"
"2021 - 2022","G70 University of Greenwich","6490"
"2022 - 2023","G70 University of Greenwich","7585"
"2023 - 2024","G70 University of Greenwich","7205"
"2006 - 2007","H36 University of Hertfordshire","4140"
"2007 - 2008","H36 University of Hertfordshire","4145"
"2008 - 2009","H36 University of Hertfordshire","5425"
"2009 - 2010","H36 University of Hertfordshire","6745"
"2010 - 2011","H36 University of Hertfordshire","4925"
"2011 - 2012","H36 University of Hertfordshire","5635"
"2012 - 2013","H36 University of Hertfordshire","4575"
"2013 - 2014","H36 University of Hertfordshire","4945"
"2014 - 2015","H36 University of Hertfordshire","5410"
"2015 - 2016","H36 University of Hertfordshire","5660"
"2016 - 2017","H36 University of Hertfordshire","5510"
"2017 - 2018","H36 University of Hertfordshire","5425"
"2018 - 2019","H36 University of Hertfordshire","4975"
"2019 - 2020","H36 University of Hertfordshire","5105"
"2020 - 2021","H36 University of Hertfordshire","4560"
"2021 - 2022","H36 University of Hertfordshire","3490"
"2022 - 2023","H36 University of Hertfordshire","3390"
"2023 - 2024","H36 University of Hertfordshire","2870"
"2006 - 2007","K84 Kingston University","5825"
"2007 - 2008","K84 Kingston University","6215"
"2008 - 2009","K84 Kingston University","7195"
"2009 - 2010","K84 Kingston University","7905"
"2010 - 2011","K84 Kingston University","7430"
"2011 - 2012","K84 Kingston University","7065"
"2012 - 2013","K84 Kingston University","6075"
"2013 - 2014","K84 Kingston University","6035"
"2014 - 2015","K84 Kingston University","6395"
"2015 - 2016","K84 Kingston University","5665"
"2016 - 2017","K84 Kingston University","4935"
"2017 - 2018","K84 Kingston University","4595"
"2018 - 2019","K84 Kingston University","4830"
"2019 - 2020","K84 Kingston University","5035"
"2020 - 2021","K84 Kingston University","4615"
"2021 - 2022","K84 Kingston University","4915"
"2022 - 2023","K84 Kingston University","5355"
"2023 - 2024","K84 Kingston University","5575"
"2006 - 2007","L27 Leeds Beckett University","5865"
"2007 - 2008","L27 Leeds Beckett University","6810"
"2008 - 2009","L27 Leeds Beckett University","7410"
"2009 - 2010","L27 Leeds Beckett University","6685"
"2010 - 2011","L27 Leeds Beckett University","7210"
"2011 - 2012","L27 Leeds Beckett University","8325"
"2012 - 2013","L27 Leeds Beckett University","6140"
"2013 - 2014","L27 Leeds Beckett University","7235"
"2014 - 2015","L27 Leeds Beckett University","7500"
"2015 - 2016","L27 Leeds Beckett University","7160"
"2016 - 2017","L27 Leeds Beckett University","6400"
"2017 - 2018","L27 Leeds Beckett University","6200"
"2018 - 2019","L27 Leeds Beckett University","6595"
"2019 - 2020","L27 Leeds Beckett University","6585"
"2020 - 2021","L27 Leeds Beckett University","6100"
"2021 - 2022","L27 Leeds Beckett University","5635"
"2022 - 2023","L27 Leeds Beckett University","6180"
"2023 - 2024","L27 Leeds Beckett University","5810"
"2006 - 2007","M80 Middlesex University","2810"
"2007 - 2008","M80 Middlesex University","3175"
"2008 - 2009","M80 Middlesex University","3260"
"2009 - 2010","M80 Middlesex University","3545"
"2010 - 2011","M80 Middlesex University","4745"
"2011 - 2012","M80 Middlesex University","4715"
"2012 - 2013","M80 Middlesex University","4045"
"2013 - 2014","M80 Middlesex University","4355"
"2014 - 2015","M80 Middlesex University","3950"
"2015 - 2016","M80 Middlesex University","5295"
"2016 - 2017","M80 Middlesex University","5515"
"2017 - 2018","M80 Middlesex University","4540"
"2018 - 2019","M80 Middlesex University","4265"
"2019 - 2020","M80 Middlesex University","4080"
"2020 - 2021","M80 Middlesex University","3885"
"2021 - 2022","M80 Middlesex University","3260"
"2022 - 2023","M80 Middlesex University","2940"
"2023 - 2024","M80 Middlesex University","2905"
"2006 - 2007","T20 Teesside University, Middlesbrough","2130"
"2007 - 2008","T20 Teesside University, Middlesbrough","2405"
"2008 - 2009","T20 Teesside University, Middlesbrough","2745"
"2009 - 2010","T20 Teesside University, Middlesbrough","3210"
"2010 - 2011","T20 Teesside University, Middlesbrough","3655"
"2011 - 2012","T20 Teesside University, Middlesbrough","3445"
"2012 - 2013","T20 Teesside University, Middlesbrough","3410"
"2013 - 2014","T20 Teesside University, Middlesbrough","3510"
"2014 - 2015","T20 Teesside University, Middlesbrough","3570"
"2015 - 2016","T20 Teesside University, Middlesbrough","3870"
"2016 - 2017","T20 Teesside University, Middlesbrough","4065"
