"Year","Provider name mapped","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component","Proportion of offers that were conditional unconditional offers","Proportion of offers that were direct unconditional offers","Proportion of offers that were other unconditional offers","Proportion of offers that had an unconditional component"
"2019","O22 Oxford Business College","0","0","0","0"," "," "," "," "
"2020","O22 Oxford Business College","0","0","0","0"," "," "," "," "
"2021","O22 Oxford Business College","0","0","0","0"," "," "," "," "
"2022","O22 Oxford Business College","0","0","0","0"," "," "," "," "
"2023","O22 Oxford Business College","0","0","0","0"," "," "," "," "
"2013","R25 Arden University","0","0","0","0"," "," "," "," "
"2014","R25 Arden University","0","0","0","0"," "," "," "," "
"2015","R25 Arden University","0","0","0","0"," "," "," "," "
"2016","R25 Arden University","0","0","0","0"," "," "," "," "
"2017","R25 Arden University","0","0","0","0"," "," "," "," "
"2018","R25 Arden University","0","0","0","0"," "," "," "," "
"2019","R25 Arden University","0","0","0","0"," "," "," "," "
"2020","R25 Arden University","0","0","0","0","0","0","0","0"
"2021","R25 Arden University","0","0","0","0"," "," "," "," "
"2022","R25 Arden University","0","0","0","0"," "," "," "," "
"2023","R25 Arden University","0","0","0","0"," "," "," "," "
"2013","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2014","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2015","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2016","R88 Runshaw College","0","0","0","0","0","0.017","0","0.017"
"2017","R88 Runshaw College","0","0","0","0","0","0","0","0"
"2018","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2019","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2020","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2021","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2022","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2023","R88 Runshaw College","0","0","0","0"," "," "," "," "
"2013","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2014","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2015","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2016","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2017","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2018","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2019","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2020","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2021","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2022","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2023","R90 Ruskin College - On Hold","0","0","0","0"," "," "," "," "
"2013","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2014","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2015","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2016","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2017","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2018","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2019","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2020","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2021","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2022","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2023","S62 St Mary's College Blackburn","0","0","0","0"," "," "," "," "
"2013","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2014","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2015","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2016","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2017","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2018","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2019","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2020","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2021","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2022","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2023","T60 Tottenham Hotspur Foundation","0","0","0","0"," "," "," "," "
"2013","U80 UCL (University College London)","0","20","5","25","0","0.003","0.001","0.004"
"2014","U80 UCL (University College London)","0","15","5","15","0","0.002","0","0.002"
"2015","U80 UCL (University College London)","0","20","5","25","0","0.003","0.001","0.003"
"2016","U80 UCL (University College London)","0","20","0","20","0","0.003","0","0.003"
"2017","U80 UCL (University College London)","0","20","0","20","0","0.002","0","0.003"
"2018","U80 UCL (University College London)","0","15","5","20","0","0.002","0","0.002"
"2019","U80 UCL (University College London)","0","20","0","20","0","0.002","0","0.002"
"2020","U80 UCL (University College London)","0","15","5","15","0","0.001","0","0.002"
"2021","U80 UCL (University College London)","0","10","5","15","0","0.001","0","0.001"
"2022","U80 UCL (University College London)","0","25","5","25","0","0.003","0","0.003"
"2023","U80 UCL (University College London)","0","20","0","20","0","0.002","0","0.003"
"2013","V03 USP College","0","0","0","0"," "," "," "," "
"2014","V03 USP College","0","0","0","0"," "," "," "," "
"2015","V03 USP College","0","0","0","0"," "," "," "," "
"2016","V03 USP College","0","0","0","0"," "," "," "," "
"2017","V03 USP College","0","0","0","0"," "," "," "," "
"2018","V03 USP College","0","0","0","0"," "," "," "," "
"2019","V03 USP College","0","0","0","0"," "," "," "," "
"2020","V03 USP College","0","0","0","0"," "," "," "," "
"2021","V03 USP College","0","0","0","0"," "," "," "," "
"2022","V03 USP College","0","0","0","0"," "," "," "," "
"2023","V03 USP College","0","0","0","0"," "," "," "," "
"2013","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2014","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2015","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2016","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2017","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2018","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2019","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2020","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2021","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2022","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2023","W13 Waltham Forest College","0","0","0","0"," "," "," "," "
"2013","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2014","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2015","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2016","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2017","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2018","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2019","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2020","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2021","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2022","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2023","W45 Vision West Nottinghamshire College (Vision University Centre Mansfield)","0","0","0","0"," "," "," "," "
"2013","A48 ACM (The Academy of Contemporary Music)","0","0","0","0"," "," "," "," "
"2014","A48 ACM (The Academy of Contemporary Music)","0","0","0","0","0","0.005","0","0.005"
"2015","A48 ACM (The Academy of Contemporary Music)","0","10","15","25","0","0.026000000000000002","0.044","0.07"
"2016","A48 ACM (The Academy of Contemporary Music)","0","0","15","20","0","0.002","0.026000000000000002","0.027"
"2017","A48 ACM (The Academy of Contemporary Music)","0","0","20","20","0","0","0.032","0.032"
"2018","A48 ACM (The Academy of Contemporary Music)","0","270","140","410","0","0.401","0.213","0.614"
"2019","A48 ACM (The Academy of Contemporary Music)","0","60","190","250","0","0.10200000000000001","0.321","0.423"
"2020","A48 ACM (The Academy of Contemporary Music)","0","0","140","140","0","0.003","0.395","0.398"
"2021","A48 ACM (The Academy of Contemporary Music)","0","0","5","5","0","0.003","0.01","0.013000000000000001"
"2022","A48 ACM (The Academy of Contemporary Music)","0","305","290","595","0","0.439","0.421","0.86"
"2023","A48 ACM (The Academy of Contemporary Music)","0","5","30","30","0","0.012","0.08600000000000001","0.098"
"2013","I35 Istituto Marangoni London","0","0","0","0","0","0.015","0","0.015"
"2014","I35 Istituto Marangoni London","0","0","0","0"," "," "," "," "
"2015","I35 Istituto Marangoni London","0","0","0","0"," "," "," "," "
"2016","I35 Istituto Marangoni London","0","0","0","0"," "," "," "," "
"2017","I35 Istituto Marangoni London","0","0","0","0","0","0","0","0"
"2018","I35 Istituto Marangoni London","0","0","0","0"," "," "," "," "
"2019","I35 Istituto Marangoni London","0","0","0","0"," "," "," "," "
"2020","I35 Istituto Marangoni London","0","0","0","0"," "," "," "," "
"2021","I35 Istituto Marangoni London","0","0","0","0","0","0.02","0","0.02"
"2022","I35 Istituto Marangoni London","0","0","0","0","0","0.005","0","0.005"
"2023","I35 Istituto Marangoni London","0","0","0","0","0","0","0","0"
"2013","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2014","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2015","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2016","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2017","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2018","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2019","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2020","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2021","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2022","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2023","I60 Islamic College for Advanced Studies","0","0","0","0"," "," "," "," "
"2013","N52 Norland","0","0","0","0"," "," "," "," "
"2014","N52 Norland","0","0","0","0"," "," "," "," "
"2015","N52 Norland","0","0","0","0"," "," "," "," "
"2016","N52 Norland","0","0","0","0"," "," "," "," "
"2017","N52 Norland","0","0","0","0"," "," "," "," "
"2018","N52 Norland","0","5","0","5"," "," "," "," "
"2019","N52 Norland","0","0","0","0"," "," "," "," "
"2020","N52 Norland","0","0","0","0"," "," "," "," "
"2021","N52 Norland","0","0","0","0"," "," "," "," "
"2022","N52 Norland","0","0","0","0"," "," "," "," "
"2023","N52 Norland","0","0","0","0"," "," "," "," "
"2013","A60 Anglia Ruskin University","0","0","5","5","0","0","0.001","0.001"
"2014","A60 Anglia Ruskin University","0","780","5","780","0","0.145","0.001","0.146"
"2015","A60 Anglia Ruskin University","0","410","0","410","0","0.081","0","0.082"
"2016","A60 Anglia Ruskin University","0","2375","160","2535","0","0.40800000000000003","0.027","0.436"
"2017","A60 Anglia Ruskin University","0","1930","160","2090","0","0.381","0.032","0.41200000000000003"
"2018","A60 Anglia Ruskin University","0","1510","110","1620","0","0.372","0.027","0.398"
"2019","A60 Anglia Ruskin University","0","1550","515","2070","0","0.359","0.12","0.47800000000000004"
"2020","A60 Anglia Ruskin University","0","2690","35","2720","0","0.598","0.007","0.605"
"2021","A60 Anglia Ruskin University","0","3315","15","3330","0","0.47100000000000003","0.002","0.47300000000000003"
"2022","A60 Anglia Ruskin University","0","4125","10","4135","0","0.491","0.001","0.492"
"2023","A60 Anglia Ruskin University","0","2760","15","2775","0","0.427","0.002","0.429"
"2013","B25 Birmingham City University","0","20","0","20","0","0.003","0","0.003"
"2014","B25 Birmingham City University","1135","40","10","1185","0.116","0.004","0.001","0.121"
"2015","B25 Birmingham City University","1485","60","40","1585","0.162","0.006","0.004","0.17300000000000001"
"2016","B25 Birmingham City University","1810","30","55","1895","0.179","0.003","0.006","0.187"
"2017","B25 Birmingham City University","4090","45","100","4240","0.366","0.004","0.009000000000000001","0.379"
"2018","B25 Birmingham City University","4440","65","75","4580","0.399","0.006","0.007","0.41100000000000003"
"2019","B25 Birmingham City University","7060","40","10","7110","0.559","0.003","0.001","0.5630000000000001"
"2020","B25 Birmingham City University","0","2210","440","2650","0","0.17400000000000002","0.035","0.209"
"2021","B25 Birmingham City University","0","2330","5","2335","0","0.163","0","0.163"
"2022","B25 Birmingham City University","0","3365","20","3385","0","0.178","0.001","0.179"
"2023","B25 Birmingham City University","0","15","5","20","0","0.001","0","0.001"
"2013","C85 Coventry University","0","0","5","5","0","0","0","0"
"2014","C85 Coventry University","0","240","55","295","0","0.019","0.004","0.024"
"2015","C85 Coventry University","0","315","155","470","0","0.025","0.012","0.037"
"2016","C85 Coventry University","0","330","525","860","0","0.028","0.045","0.073"
"2017","C85 Coventry University","0","1360","645","2005","0","0.11800000000000001","0.056","0.17400000000000002"
"2018","C85 Coventry University","0","585","740","1325","0","0.046","0.059000000000000004","0.105"
"2019","C85 Coventry University","0","655","700","1350","0","0.052000000000000005","0.056","0.109"
"2020","C85 Coventry University","0","745","4620","5365","0","0.057","0.356","0.41300000000000003"
"2021","C85 Coventry University","0","640","15","655","0","0.052000000000000005","0.001","0.053"
"2022","C85 Coventry University","0","430","100","530","0","0.039","0.009000000000000001","0.048"
"2023","C85 Coventry University","0","460","195","655","0","0.041","0.017","0.058"
"2013","D39 University of Derby","0","15","5","25","0","0.002","0.001","0.003"
"2014","D39 University of Derby","0","20","5","20","0","0.002","0","0.003"
"2015","D39 University of Derby","0","10","0","10","0","0.001","0","0.001"
"2016","D39 University of Derby","280","15","5","300","0.034","0.002","0.001","0.037"
"2017","D39 University of Derby","940","25","15","975","0.11","0.003","0.002","0.114"
"2018","D39 University of Derby","1350","20","80","1455","0.171","0.003","0.01","0.184"
"2019","D39 University of Derby","3460","40","30","3530","0.458","0.005","0.004","0.467"
"2020","D39 University of Derby","0","3705","160","3865","0","0.47100000000000003","0.02","0.492"
"2021","D39 University of Derby","0","25","165","190","0","0.003","0.021","0.024"
"2022","D39 University of Derby","3755","25","85","3865","0.457","0.003","0.01","0.47000000000000003"
"2023","D39 University of Derby","0","35","230","265","0","0.005","0.031","0.036000000000000004"
"2013","G70 University of Greenwich","0","45","5","50","0","0.006","0","0.007"
"2014","G70 University of Greenwich","0","130","5","135","0","0.017","0.001","0.017"
"2015","G70 University of Greenwich","0","90","0","95","0","0.012","0","0.012"
"2016","G70 University of Greenwich","0","125","0","130","0","0.019","0","0.02"
"2017","G70 University of Greenwich","0","155","5","155","0","0.021","0.001","0.022"
"2018","G70 University of Greenwich","0","75","5","80","0","0.011","0.001","0.011"
"2019","G70 University of Greenwich","0","65","10","75","0","0.009000000000000001","0.001","0.01"
"2020","G70 University of Greenwich","0","50","0","55","0","0.006","0","0.006"
"2021","G70 University of Greenwich","0","50","0","50","0","0.005","0","0.005"
"2022","G70 University of Greenwich","0","85","0","90","0","0.008","0","0.008"
"2023","G70 University of Greenwich","0","105","5","110","0","0.009000000000000001","0","0.009000000000000001"
"2013","H36 University of Hertfordshire","0","15","0","15","0","0.002","0","0.002"
"2014","H36 University of Hertfordshire","0","5","5","5","0","0","0","0.001"
"2015","H36 University of Hertfordshire","0","0","0","5","0","0","0","0"
"2016","H36 University of Hertfordshire","0","5","10","15","0","0.001","0.001","0.002"
"2017","H36 University of Hertfordshire","2330","125","155","2610","0.269","0.014","0.018000000000000002","0.301"
"2018","H36 University of Hertfordshire","2320","245","35","2600","0.304","0.032","0.005","0.34"
"2019","H36 University of Hertfordshire","2450","275","70","2795","0.321","0.036000000000000004","0.009000000000000001","0.367"
"2020","H36 University of Hertfordshire","0","2760","40","2800","0","0.366","0.005","0.372"
"2021","H36 University of Hertfordshire","0","440","65","505","0","0.06","0.009000000000000001","0.068"
"2022","H36 University of Hertfordshire","0","405","10","415","0","0.06","0.001","0.061"
"2023","H36 University of Hertfordshire","0","145","65","210","0","0.024","0.011","0.035"
"2013","K84 Kingston University","0","15","0","15","0","0.001","0","0.002"
"2014","K84 Kingston University","0","15","5","20","0","0.002","0.001","0.003"
"2015","K84 Kingston University","0","55","0","60","0","0.008","0","0.008"
"2016","K84 Kingston University","0","90","5","90","0","0.013000000000000001","0.001","0.013000000000000001"
"2017","K84 Kingston University","0","20","25","45","0","0.003","0.005","0.008"
"2018","K84 Kingston University","2540","10","10","2560","0.464","0.002","0.002","0.468"
"2019","K84 Kingston University","2505","10","10","2530","0.439","0.002","0.002","0.443"
"2020","K84 Kingston University","2120","10","30","2160","0.357","0.002","0.005","0.364"
"2021","K84 Kingston University","0","675","5","675","0","0.082","0","0.083"
"2022","K84 Kingston University","0","445","10","455","0","0.046","0.001","0.047"
"2023","K84 Kingston University","0","470","15","485","0","0.049","0.002","0.051000000000000004"
"2013","L27 Leeds Beckett University","0","15","0","15","0","0.001","0","0.001"
"2014","L27 Leeds Beckett University","0","20","10","30","0","0.002","0.001","0.002"
"2015","L27 Leeds Beckett University","0","10","2440","2455","0","0.001","0.196","0.197"
"2016","L27 Leeds Beckett University","0","10","2275","2285","0","0.001","0.182","0.183"
"2017","L27 Leeds Beckett University","0","25","0","25","0","0.002","0","0.002"
"2018","L27 Leeds Beckett University","0","705","2270","2975","0","0.052000000000000005","0.168","0.221"
"2019","L27 Leeds Beckett University","0","690","2105","2800","0","0.051000000000000004","0.156","0.20700000000000002"
"2020","L27 Leeds Beckett University","0","1460","2825","4285","0","0.111","0.214","0.325"
"2021","L27 Leeds Beckett University","0","815","5","820","0","0.053","0","0.054"
"2022","L27 Leeds Beckett University","0","685","5","690","0","0.039","0","0.039"
"2023","L27 Leeds Beckett University","0","350","5","355","0","0.02","0","0.021"
"2013","M80 Middlesex University","0","10","0","10","0","0.002","0","0.002"
"2014","M80 Middlesex University","0","10","0","15","0","0.002","0","0.003"
"2015","M80 Middlesex University","0","105","10","115","0","0.02","0.001","0.021"
"2016","M80 Middlesex University","0","145","5","150","0","0.023","0.001","0.024"
"2017","M80 Middlesex University","0","270","0","270","0","0.044","0","0.044"
"2018","M80 Middlesex University","1135","405","10","1545","0.187","0.066","0.001","0.254"
"2019","M80 Middlesex University","1550","330","25","1900","0.273","0.058","0.004","0.336"
"2020","M80 Middlesex University","0","320","0","325","0","0.055","0","0.055"
"2021","M80 Middlesex University","0","360","30","385","0","0.065","0.005","0.07100000000000001"
"2022","M80 Middlesex University","0","335","0","335","0","0.065","0","0.065"
"2023","M80 Middlesex University","0","330","5","335","0","0.067","0.001","0.069"
"2013","T20 Teesside University, Middlesbrough","0","0","0","0","0","0","0","0"
"2014","T20 Teesside University, Middlesbrough","0","10","0","15","0","0.003","0","0.003"
"2015","T20 Teesside University, Middlesbrough","0","15","0","15","0","0.004","0","0.004"
"2016","T20 Teesside University, Middlesbrough","0","920","20","940","0","0.20700000000000002","0.004","0.211"
"2017","T20 Teesside University, Middlesbrough","0","15","5","25","0","0.004","0.002","0.006"
"2018","T20 Teesside University, Middlesbrough","0","35","5","40","0","0.009000000000000001","0.001","0.01"
"2019","T20 Teesside University, Middlesbrough","0","15","0","15","0","0.004","0","0.004"
"2020","T20 Teesside University, Middlesbrough","0","5","5","10","0","0.001","0.001","0.002"
"2021","T20 Teesside University, Middlesbrough","0","5","5","5","0","0.001","0.001","0.002"
"2022","T20 Teesside University, Middlesbrough","0","5","5","10","0","0.001","0.002","0.003"
"2023","T20 Teesside University, Middlesbrough","0","0","0","5","0","0","0","0.001"
"2013","H22 Hartpury University","0","0","0","0"," "," "," "," "
"2014","H22 Hartpury University","0","5","20","25","0","0.003","0.023","0.026000000000000002"
"2015","H22 Hartpury University","0","5","0","5","0","0.005","0.001","0.006"
"2016","H22 Hartpury University","0","0","0","0","0","0.002","0","0.002"
"2017","H22 Hartpury University","0","5","65","65","0","0.003","0.061","0.063"
"2018","H22 Hartpury University","0","10","135","145","0","0.009000000000000001","0.107","0.116"
"2019","H22 Hartpury University","0","5","90","95","0","0.004","0.06","0.064"
"2020","H22 Hartpury University","0","0","40","40","0","0.001","0.024","0.025"
"2021","H22 Hartpury University","0","0","0","0","0","0.001","0","0.001"
"2022","H22 Hartpury University","0","0","5","5","0","0","0.002","0.002"
"2023","H22 Hartpury University","0","0","0","5","0","0.001","0","0.001"
"2013","O25 Activate Learning","0","5","0","5","0","0.051000000000000004","0.02","0.07100000000000001"
"2014","O25 Activate Learning","0","0","0","0","0","0.02","0","0.02"
"2015","O25 Activate Learning","0","0","0","0","0","0","0","0"
"2016","O25 Activate Learning","0","0","0","5"," "," "," "," "
"2017","O25 Activate Learning","0","0","0","0"," "," "," "," "
"2018","O25 Activate Learning","0","0","0","0"," "," "," "," "
"2019","O25 Activate Learning","0","0","0","0"," "," "," "," "
"2020","O25 Activate Learning","0","0","0","0"," "," "," "," "
"2021","O25 Activate Learning","0","5","0","5"," "," "," "," "
"2022","O25 Activate Learning","0","0","0","0"," "," "," "," "
"2023","O25 Activate Learning","0","0","0","0"," "," "," "," "
"2013","A11 Amity University [IN] London","0","0","0","0"," "," "," "," "
"2014","A11 Amity University [IN] London","0","0","0","0"," "," "," "," "
"2015","A11 Amity University [IN] London","0","0","0","0"," "," "," "," "
"2016","A11 Amity University [IN] London","0","0","0","0"," "," "," "," "
"2017","A11 Amity University [IN] London","0","0","0","0"," "," "," "," "
"2018","A11 Amity University [IN] London","0","0","0","0"," "," "," "," "
"2019","A11 Amity University [IN] London","0","0","0","0"," "," "," "," "
"2020","A11 Amity University [IN] London","0","5","0","5"," "," "," "," "
"2021","A11 Amity University [IN] London","0","0","0","0","0","0","0","0"
"2022","A11 Amity University [IN] London","0","0","0","0"," "," "," "," "
"2023","A11 Amity University [IN] London","0","10","0","10"," "," "," "," "
"2013","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2014","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2015","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2016","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2017","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2018","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2019","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2020","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2021","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2022","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2023","B05 Academy of Live Technology (formerly Backstage Academy)","0","0","0","0"," "," "," "," "
"2013","B22 University of Bedfordshire","0","0","0","5","0","0","0","0.001"
"2014","B22 University of Bedfordshire","0","5","0","5","0","0.001","0","0.001"
"2015","B22 University of Bedfordshire","0","5","0","5","0","0.001","0","0.001"
"2016","B22 University of Bedfordshire","0","5","0","5","0","0.001","0","0.001"
"2017","B22 University of Bedfordshire","0","10","5","15","0","0.003","0.001","0.004"
"2018","B22 University of Bedfordshire","0","5","0","5","0","0.002","0.001","0.002"
"2019","B22 University of Bedfordshire","0","1050","15","1065","0","0.368","0.005","0.373"
"2020","B22 University of Bedfordshire","0","1010","10","1020","0","0.382","0.004","0.386"
"2021","B22 University of Bedfordshire","0","10","0","10","0","0.003","0","0.003"
"2022","B22 University of Bedfordshire","0","30","0","30","0","0.009000000000000001","0","0.009000000000000001"
"2023","B22 University of Bedfordshire","0","30","5","35","0","0.012","0.002","0.014"
"2013","B35 University College Birmingham","0","5","5","10","0","0.005","0.003","0.008"
"2014","B35 University College Birmingham","0","10","5","15","0","0.009000000000000001","0.003","0.012"
"2015","B35 University College Birmingham","0","10","5","15","0","0.007","0.002","0.009000000000000001"
"2016","B35 University College Birmingham","0","5","5","10","0","0.003","0.003","0.006"
"2017","B35 University College Birmingham","0","5","65","70","0","0.005","0.051000000000000004","0.056"
"2018","B35 University College Birmingham","0","5","0","5","0","0.003","0.002","0.006"
"2019","B35 University College Birmingham","0","0","0","5","0","0.001","0.003","0.004"
"2020","B35 University College Birmingham","0","0","0","5","0","0.002","0.001","0.003"
"2021","B35 University College Birmingham","0","0","5","5","0","0.001","0.002","0.003"
"2022","B35 University College Birmingham","0","5","0","5","0","0.002","0.001","0.002"
"2023","B35 University College Birmingham","0","0","0","0","0","0.001","0.001","0.001"
"2013","B38 Bishop Grosseteste University","0","0","0","0","0","0.003","0","0.003"
"2014","B38 Bishop Grosseteste University","0","0","0","0","0","0","0","0"
"2015","B38 Bishop Grosseteste University","0","0","0","0","0","0","0","0"
"2016","B38 Bishop Grosseteste University","0","0","0","0","0","0","0","0"
"2017","B38 Bishop Grosseteste University","0","330","50","385","0","0.468","0.073","0.541"
"2018","B38 Bishop Grosseteste University","0","380","45","425","0","0.507","0.057","0.5650000000000001"
"2019","B38 Bishop Grosseteste University","0","380","10","390","0","0.585","0.012","0.597"
"2020","B38 Bishop Grosseteste University","0","445","170","620","0","0.65","0.251","0.901"
"2021","B38 Bishop Grosseteste University","0","635","5","640","0","0.6970000000000001","0.003","0.7000000000000001"
"2022","B38 Bishop Grosseteste University","0","575","5","580","0","0.682","0.005","0.686"
"2023","B38 Bishop Grosseteste University","0","440","5","445","0","0.665","0.005","0.669"
"2013","B39 BIMM University","0","25","5","30","0","0.032","0.005","0.037"
"2014","B39 BIMM University","0","20","310","330","0","0.014","0.221","0.23500000000000001"
"2015","B39 BIMM University","0","10","0","10","0","0.005","0","0.005"
"2016","B39 BIMM University","0","10","0","10","0","0.004","0.001","0.005"
"2017","B39 BIMM University","0","5","0","5","0","0.003","0.001","0.004"
"2018","B39 BIMM University","0","5","0","5","0","0.002","0.001","0.003"
"2019","B39 BIMM University","0","670","15","685","0","0.445","0.009000000000000001","0.454"
"2020","B39 BIMM University","0","5","5","15","0","0.004","0.003","0.007"
"2021","B39 BIMM University","0","0","10","10","0","0","0.003","0.003"
"2022","B39 BIMM University","0","0","5","5","0","0.001","0.001","0.002"
"2023","B39 BIMM University","0","385","1555","1935","0","0.10400000000000001","0.421","0.525"
"2013","B44 University of Bolton","0","0","0","0","0","0.001","0.001","0.001"
"2014","B44 University of Bolton","0","15","0","15","0","0.009000000000000001","0.001","0.01"
"2015","B44 University of Bolton","0","390","0","390","0","0.213","0.001","0.214"
"2016","B44 University of Bolton","0","715","120","835","0","0.49","0.083","0.5730000000000001"
"2017","B44 University of Bolton","0","625","85","710","0","0.461","0.061","0.523"
"2018","B44 University of Bolton","0","920","15","935","0","0.744","0.011","0.754"
"2019","B44 University of Bolton","0","5","5","10","0","0.006","0.003","0.009000000000000001"
"2020","B44 University of Bolton","0","20","700","720","0","0.015","0.512","0.527"
"2021","B44 University of Bolton","0","0","0","0","0","0","0","0"
"2022","B44 University of Bolton","0","5","0","5","0","0.001","0","0.002"
"2023","B44 University of Bolton","0","75","10","90","0","0.034","0.005","0.039"
"2013","B54 BPP University","0","15","0","20","0","0.052000000000000005","0.006","0.058"
"2014","B54 BPP University","0","10","0","15","0","0.026000000000000002","0.004","0.031"
"2015","B54 BPP University","0","10","5","10","0","0.015","0.005","0.02"
"2016","B54 BPP University","0","10","20","30","0","0.02","0.033","0.053"
"2017","B54 BPP University","0","0","0","0","0","0","0.01","0.01"
"2018","B54 BPP University","0","0","0","0"," "," "," "," "
"2019","B54 BPP University","0","0","0","0"," "," "," "," "
