2018 LEAVING CERTIFICATE STATISTICS,
ORDINARY LEVEL,
BOTH SCHOOL AND E10 CANDIDATES,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1  ,2  ,3  ,4  ,5  ,6  ,7  ,8  ,TOTALS  ,

    GAEILGE,                 61, 1125, 4076, 6017, 5267, 3147, 1205,  541,                                    21439,

    IRISH,                  0.3,  5.2, 19.0, 28.1, 24.6, 14.7,  5.6,  2.5,

    TOTAL FEMALE,            51,  750, 2366, 2807, 2016, 1019,  305,  130,                                     9444,

    % FEMALE ,              0.5,  7.9, 25.1, 29.7, 21.3, 10.8,  3.2,  1.4,

    TOTAL MALE,              10,  375, 1710, 3210, 3251, 2128,  900,  411,                                    11995,

    % MALE ,                0.1,  3.1, 14.3, 26.8, 27.1, 17.7,  7.5,  3.4,
-----------------------------------------------------------------------------------------------------------------------

    BÉARLA,                 214, 1192, 3085, 4164, 3330, 1815,  660,  293,                                    14753,

    ENGLISH,                1.5,  8.1, 20.9, 28.2, 22.6, 12.3,  4.5,  2.0,

    TOTAL FEMALE,           123,  636, 1401, 1707, 1194,  540,  170,   53,                                     5824,

    % FEMALE ,              2.1, 10.9, 24.1, 29.3, 20.5,  9.3,  2.9,  0.9,

    TOTAL MALE,              91,  556, 1684, 2457, 2136, 1275,  490,  240,                                     8929,

    % MALE ,                1.0,  6.2, 18.9, 27.5, 23.9, 14.3,  5.5,  2.7,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC,             484, 3398, 6491, 7557, 6328, 4095, 1837, 1146,                                    31336,

    MATHEMATICS,            1.5, 10.8, 20.7, 24.1, 20.2, 13.1,  5.9,  3.7,

    TOTAL FEMALE,           315, 1980, 3530, 3986, 3247, 1965,  851,  436,                                    16310,

    % FEMALE ,              1.9, 12.1, 21.6, 24.4, 19.9, 12.0,  5.2,  2.7,

    TOTAL MALE,             169, 1418, 2961, 3571, 3081, 2130,  986,  710,                                    15026,

    % MALE ,                1.1,  9.4, 19.7, 23.8, 20.5, 14.2,  6.6,  4.7,
-----------------------------------------------------------------------------------------------------------------------

    STAIR,                  151,  327,  526,  722,  642,  404,  117,   77,                                     2966,

    HISTORY,                5.1, 11.0, 17.7, 24.3, 21.6, 13.6,  3.9,  2.6,

    TOTAL FEMALE,            57,  133,  184,  290,  239,  125,   35,   20,                                     1083,

    % FEMALE ,              5.3, 12.3, 17.0, 26.8, 22.1, 11.5,  3.2,  1.8,

    TOTAL MALE,              94,  194,  342,  432,  403,  279,   82,   57,                                     1883,

    % MALE ,                5.0, 10.3, 18.2, 22.9, 21.4, 14.8,  4.4,  3.0,
-----------------------------------------------------------------------------------------------------------------------

    TÍREOLAÍOCHT,            84,  403,  843, 1168,  898,  553,  180,   91,                                     4220,

    GEOGRAPHY,              2.0,  9.5, 20.0, 27.7, 21.3, 13.1,  4.3,  2.2,
 

    TOTAL FEMALE,            29,  155,  332,  452,  360,  234,   64,   30,                                     1656,

    % FEMALE ,              1.8,  9.4, 20.0, 27.3, 21.7, 14.1,  3.9,  1.8,

    TOTAL MALE,              55,  248,  511,  716,  538,  319,  116,   61,                                     2564,

    % MALE ,                2.1,  9.7, 19.9, 27.9, 21.0, 12.4,  4.5,  2.4,
-----------------------------------------------------------------------------------------------------------------------

    LÉANN CLASAICEACH,        1,    2,    2,    3,    9,   11,    6,   11,                                       45,

    CLASSICAL STUDIES,      2.2,  4.4,  4.4,  6.7, 20.0, 24.4, 13.3, 24.4,

    TOTAL FEMALE,             1,    1,    2,    0,    6,    6,    1,    3,                                       20,

    % FEMALE ,              5.0,  5.0, 10.0,  0.0, 30.0, 30.0,  5.0, 15.0,

    TOTAL MALE,               0,    1,    0,    3,    3,    5,    5,    8,                                       25,

    % MALE ,                0.0,  4.0,  0.0, 12.0, 12.0, 20.0, 20.0, 32.0,
-----------------------------------------------------------------------------------------------------------------------

    FRAINCIS,                10,  264, 1129, 2094, 2200, 1551,  694,  283,                                     8225,

    FRENCH,                 0.1,  3.2, 13.7, 25.5, 26.7, 18.9,  8.4,  3.4,

    TOTAL FEMALE,             7,  169,  692, 1141, 1124,  769,  303,  104,                                     4309,

    % FEMALE ,              0.2,  3.9, 16.1, 26.5, 26.1, 17.8,  7.0,  2.4,

    TOTAL MALE,               3,   95,  437,  953, 1076,  782,  391,  179,                                     3916,

    % MALE ,                0.1,  2.4, 11.2, 24.3, 27.5, 20.0, 10.0,  4.6,
-----------------------------------------------------------------------------------------------------------------------

    GEARMÁINIS,               7,  144,  476,  636,  538,  305,  138,   65,                                     2309,

    GERMAN,                 0.3,  6.2, 20.6, 27.5, 23.3, 13.2,  6.0,  2.8,

    TOTAL FEMALE,             5,   85,  244,  301,  230,  130,   59,   21,                                     1075,

    % FEMALE ,              0.5,  7.9, 22.7, 28.0, 21.4, 12.1,  5.5,  2.0,

    TOTAL MALE,               2,   59,  232,  335,  308,  175,   79,   44,                                     1234,

    % MALE ,                0.2,  4.8, 18.8, 27.1, 25.0, 14.2,  6.4,  3.6,
-----------------------------------------------------------------------------------------------------------------------

    SPÁINNIS,                11,  200,  502,  552,  419,  212,  101,   63,                                     2060,

    SPANISH,                0.5,  9.7, 24.4, 26.8, 20.3, 10.3,  4.9,  3.1,

    TOTAL FEMALE,             5,  108,  268,  278,  208,   94,   52,   25,                                     1038,

    % FEMALE ,              0.5, 10.4, 25.8, 26.8, 20.0,  9.1,  5.0,  2.4,

    TOTAL MALE,               6,   92,  234,  274,  211,  118,   49,   38,                                     1022,

    % MALE ,                0.6,  9.0, 22.9, 26.8, 20.6, 11.5,  4.8,  3.7,
-----------------------------------------------------------------------------------------------------------------------
 

    IODÁILIS,                 0,    5,   11,   23,   37,   14,    7,    2,                                       99,

    ITALIAN,                0.0,  5.1, 11.1, 23.2, 37.4, 14.1,  7.1,  2.0,

    TOTAL FEMALE,             0,    2,    7,   13,   18,    8,    4,    2,                                       54,

    % FEMALE ,              0.0,  3.7, 13.0, 24.1, 33.3, 14.8,  7.4,  3.7,

    TOTAL MALE,               0,    3,    4,   10,   19,    6,    3,    0,                                       45,

    % MALE ,                0.0,  6.7,  8.9, 22.2, 42.2, 13.3,  6.7,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    EALAÍN,                  25,  202,  465,  502,  291,  110,   64,   94,                                     1753,

    ART,                    1.4, 11.5, 26.5, 28.6, 16.6,  6.3,  3.7,  5.4,

    TOTAL FEMALE,            18,  132,  272,  250,  139,   44,   27,   29,                                      911,

    % FEMALE ,              2.0, 14.5, 29.9, 27.4, 15.3,  4.8,  3.0,  3.2,

    TOTAL MALE,               7,   70,  193,  252,  152,   66,   37,   65,                                      842,

    % MALE ,                0.8,  8.3, 22.9, 29.9, 18.1,  7.8,  4.4,  7.7,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC FHEIDHM,      26,   29,   18,   25,   11,   10,    3,    6,                                      128,

