2018 JUNIOR CERTIFICATE STATISTICS,
HIGHER LEVEL,
SCHOOL BASED CANDIDATES ONLY,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,A   ,B   ,C   ,D   ,E   ,F   ,NG  ,TOTALS  ,

    GAEILGE,             3636,11122,11729, 4480,  434,   63,    8, 31472,

    IRISH,               11.6, 35.3, 37.3, 14.2,  1.4,  0.2,  0.0,

    TOTAL FEMALE,        2526, 7110, 6467, 1914,  141,   21,    0, 18179,

    % FEMALE ,           13.9, 39.1, 35.6, 10.5,  0.8,  0.1,  0.0,

    TOTAL MALE,          1110, 4012, 5262, 2566,  293,   42,    8, 13293,

    % MALE ,              8.4, 30.2, 39.6, 19.3,  2.2,  0.3,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC,          4323,10628,11331, 7562, 1382,  203,   14, 35443,

    MATHEMATICS,         12.2, 30.0, 32.0, 21.3,  3.9,  0.6,  0.0,

    TOTAL FEMALE,        2072, 5554, 5954, 3852,  651,   86,    3, 18172,

    % FEMALE ,           11.4, 30.6, 32.8, 21.2,  3.6,  0.5,  0.0,

    TOTAL MALE,          2251, 5074, 5377, 3710,  731,  117,   11, 17271,

    % MALE ,             13.0, 29.4, 31.1, 21.5,  4.2,  0.7,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    STAIR,               7067,11008,10515, 8306, 3174,  797,   47, 40914,

    HISTORY,             17.3, 26.9, 25.7, 20.3,  7.8,  1.9,  0.1,

    TOTAL FEMALE,        4061, 5786, 5149, 3908, 1371,  271,   14, 20560,

    % FEMALE ,           19.8, 28.1, 25.0, 19.0,  6.7,  1.3,  0.1,

    TOTAL MALE,          3006, 5222, 5366, 4398, 1803,  526,   33, 20354,

    % MALE ,             14.8, 25.7, 26.4, 21.6,  8.9,  2.6,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    TÍREOLAÍOCHT,        3994,16195,16512,10901, 1666,  120,    1, 49389,

    GEOGRAPHY,            8.1, 32.8, 33.4, 22.1,  3.4,  0.2,  0.0,

    TOTAL FEMALE,        2461, 8804, 7834, 4909,  796,   51,    0, 24855,

    % FEMALE ,            9.9, 35.4, 31.5, 19.8,  3.2,  0.2,  0.0,

    TOTAL MALE,          1533, 7391, 8678, 5992,  870,   69,    1, 24534,

    % MALE ,              6.2, 30.1, 35.4, 24.4,  3.5,  0.3,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    LAIDIN,                70,   49,   41,   35,   21,    5,    3,   224,

    LATIN,               31.3, 21.9, 18.3, 15.6,  9.4,  2.2,  1.3,
 

    TOTAL FEMALE,          11,    8,    5,    2,    0,    0,    0,    26,

    % FEMALE ,           42.3, 30.8, 19.2,  7.7,  0.0,  0.0,  0.0,

    TOTAL MALE,            59,   41,   36,   33,   21,    5,    3,   198,

    % MALE ,             29.8, 20.7, 18.2, 16.7, 10.6,  2.5,  1.5,
-----------------------------------------------------------------------------------------------------------------------

    LÉANN CLASAICEACH,    119,  183,  152,   82,   24,    4,    0,   564,

    CLASSICAL STUDIES,   21.1, 32.4, 27.0, 14.5,  4.3,  0.7,  0.0,

    TOTAL FEMALE,          62,   45,   28,   16,    8,    0,    0,   159,

    % FEMALE ,           39.0, 28.3, 17.6, 10.1,  5.0,  0.0,  0.0,

    TOTAL MALE,            57,  138,  124,   66,   16,    4,    0,   405,

    % MALE ,             14.1, 34.1, 30.6, 16.3,  4.0,  1.0,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    FRAINCIS,            2539, 6745, 8018, 5248,  934,  129,   11, 23624,

    FRENCH,              10.7, 28.6, 33.9, 22.2,  4.0,  0.5,  0.0,

    TOTAL FEMALE,        1808, 4280, 4584, 2469,  341,   37,    2, 13521,

    % FEMALE ,           13.4, 31.7, 33.9, 18.3,  2.5,  0.3,  0.0,

    TOTAL MALE,           731, 2465, 3434, 2779,  593,   92,    9, 10103,

    % MALE ,              7.2, 24.4, 34.0, 27.5,  5.9,  0.9,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    GEARMÁINIS,          1251, 2938, 2938, 1935,  448,   96,    6,  9612,

    GERMAN,              13.0, 30.6, 30.6, 20.1,  4.7,  1.0,  0.1,

    TOTAL FEMALE,         813, 1732, 1471,  818,  148,   27,    1,  5010,

    % FEMALE ,           16.2, 34.6, 29.4, 16.3,  3.0,  0.5,  0.0,

    TOTAL MALE,           438, 1206, 1467, 1117,  300,   69,    5,  4602,

    % MALE ,              9.5, 26.2, 31.9, 24.3,  6.5,  1.5,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    SPÁINNIS,            1223, 2389, 2381, 1398,  324,   81,    8,  7804,

    SPANISH,             15.7, 30.6, 30.5, 17.9,  4.2,  1.0,  0.1,

    TOTAL FEMALE,         866, 1466, 1260,  623,  143,   20,    2,  4380,

    % FEMALE ,           19.8, 33.5, 28.8, 14.2,  3.3,  0.5,  0.0,

    TOTAL MALE,           357,  923, 1121,  775,  181,   61,    6,  3424,

    % MALE ,             10.4, 27.0, 32.7, 22.6,  5.3,  1.8,  0.2,
-----------------------------------------------------------------------------------------------------------------------
 

    IODÁILIS,              72,   65,   80,   79,   22,    1,    1,   320,

    ITALIAN,             22.5, 20.3, 25.0, 24.7,  6.9,  0.3,  0.3,

    TOTAL FEMALE,          47,   49,   51,   49,   14,    1,    0,   211,

    % FEMALE ,           22.3, 23.2, 24.2, 23.2,  6.6,  0.5,  0.0,

    TOTAL MALE,            25,   16,   29,   30,    8,    0,    1,   109,

    % MALE ,             22.9, 14.7, 26.6, 27.5,  7.3,  0.0,  0.9,
-----------------------------------------------------------------------------------------------------------------------

    EALAÍN  CEARDAÍOCH,  3097, 4904, 5348, 1805,  172,   27,    2, 15355,

    ART  CRAFT  DESIGN,  20.2, 31.9, 34.8, 11.8,  1.1,  0.2,  0.0,

    TOTAL FEMALE,        2665, 3811, 3530,  926,   72,   11,    1, 11016,

    % FEMALE ,           24.2, 34.6, 32.0,  8.4,  0.7,  0.1,  0.0,

    TOTAL MALE,           432, 1093, 1818,  879,  100,   16,    1,  4339,

    % MALE ,             10.0, 25.2, 41.9, 20.3,  2.3,  0.4,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    STAIDÉAR GNÓ,        2731, 8851, 9394, 5716,  990,  133,   24, 27839,

    BUSINESS STUDIES,     9.8, 31.8, 33.7, 20.5,  3.6,  0.5,  0.1,

    TOTAL FEMALE,        1762, 4946, 4526, 2312,  325,   38,    4, 13913,

    % FEMALE ,           12.7, 35.5, 32.5, 16.6,  2.3,  0.3,  0.0,

    TOTAL MALE,           969, 3905, 4868, 3404,  665,   95,   20, 13926,

    % MALE ,              7.0, 28.0, 35.0, 24.4,  4.8,  0.7,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    CEOL,                1323, 3510, 2771, 1175,   94,   51,    0,  8924,

    MUSIC,               14.8, 39.3, 31.1, 13.2,  1.1,  0.6,  0.0,

    TOTAL FEMALE,         994, 2717, 1993,  826,   49,   35,    0,  6614,

    % FEMALE ,           15.0, 41.1, 30.1, 12.5,  0.7,  0.5,  0.0,

    TOTAL MALE,           329,  793,  778,  349,   45,   16,    0,  2310,

    % MALE ,             14.2, 34.3, 33.7, 15.1,  1.9,  0.7,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    TEICNEOLAÍOCHT ÁBH,  1155, 5483, 5224, 2320,  311,  100,   42, 14635,

