2018 JUNIOR CERTIFICATE STATISTICS,
FOUNDATION LEVEL,
SCHOOL BASED CANDIDATES ONLY,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,A   ,B   ,C   ,D   ,E   ,F   ,NG  ,TOTALS  ,

    GAEILGE,              106,  353,  378,  200,   34,   14,    3,  1088,

    IRISH,                9.7, 32.4, 34.7, 18.4,  3.1,  1.3,  0.3,

    TOTAL FEMALE,          60,  163,  122,   45,    7,    3,    0,   400,

    % FEMALE ,           15.0, 40.8, 30.5, 11.3,  1.8,  0.8,  0.0,

    TOTAL MALE,            46,  190,  256,  155,   27,   11,    3,   688,

    % MALE ,              6.7, 27.6, 37.2, 22.5,  3.9,  1.6,  0.4,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC,           252,  981,  887,  440,   83,   18,    4,  2665,

    MATHEMATICS,          9.5, 36.8, 33.3, 16.5,  3.1,  0.7,  0.2,

    TOTAL FEMALE,          81,  388,  356,  192,   41,    6,    1,  1065,

    % FEMALE ,            7.6, 36.4, 33.4, 18.0,  3.8,  0.6,  0.1,

    TOTAL MALE,           171,  593,  531,  248,   42,   12,    3,  1600,

    % MALE ,             10.7, 37.1, 33.2, 15.5,  2.6,  0.8,  0.2,
-----------------------------------------------------------------------------------------------------------------------


