Code,Subject,         Level,Year,    Total,         A,         B,         C,         D,         E,         F,         NG,
  3,MATHEMATICS            ,G,   2017,23573,         6.20,    29.60,    35.10,    23.20,     4.70,     1.10,     0.10,
  4,HISTORY                ,A,   2017,41632,        15.00,    26.60,    27.40,    21.90,     7.70,     1.30,     0.10,
  4,HISTORY                ,G,   2017,14001,        12.30,    32.30,    29.60,    21.90,     2.90,     0.90,     0.10,
  5,GEOGRAPHY              ,A,   2017,48460,         8.40,    30.60,    34.20,    22.90,     3.60,     0.30,     0.00,
  5,GEOGRAPHY              ,G,   2017, 8053,         7.40,    31.50,    31.80,    21.50,     5.40,     2.20,     0.10,
  6,LATIN                  ,A,   2017,  247,        31.60,    26.30,    17.00,    13.80,     9.30,     1.60,     0.40,
  7,ANCIENT GREEK          ,A,   2017,   26,        38.50,    30.80,     7.70,    11.50,     3.80,     3.80,     3.80,
  8,CLASSICAL STUDIES      ,A,   2017,  503,        20.50,    36.60,    25.60,    14.50,     2.20,     0.60,     0.00,
  8,CLASSICAL STUDIES      ,G,   2017,   69,        13.00,    24.60,    18.80,    27.50,    13.00,     1.40,     1.40,
 10,FRENCH                 ,A,   2017,23699,        10.30,    27.20,    35.10,    23.00,     3.90,     0.50,     0.00,
 10,FRENCH                 ,G,   2017, 7885,         3.30,    24.60,    35.10,    26.00,     8.60,     2.30,     0.10,
 11,GERMAN                 ,A,   2017, 9296,        11.80,    29.10,    30.10,    21.90,     6.20,     0.80,     0.10,
 11,GERMAN                 ,G,   2017, 2734,         5.00,    36.60,    33.70,    16.70,     5.30,     2.20,     0.40,
 12,SPANISH                ,A,   2017, 7742,        14.60,    30.80,    29.60,    18.70,     5.10,     1.20,     0.10,
 12,SPANISH                ,G,   2017, 2489,         5.70,    32.60,    32.00,    18.80,     7.10,     2.90,     0.80,
 13,ITALIAN                ,A,   2017,  334,        21.00,    21.90,    25.10,    24.90,     6.30,     0.90,     0.00,
 13,ITALIAN                ,G,   2017,   99,         4.00,     9.10,    43.40,    31.30,     9.10,     3.00,     0.00,
 41,ART  CRAFT  DESIGN     ,A,   2017,15462,        22.90,    32.90,    32.90,    10.30,     0.80,     0.20,     0.00,
 41,ART  CRAFT  DESIGN     ,G,   2017, 4752,        13.20,    30.90,    33.20,    15.90,     4.40,     2.10,     0.40,
 42,BUSINESS STUDIES       ,A,   2017,27286,         8.50,    34.90,    36.60,    17.80,     1.80,     0.30,     0.00,
 42,BUSINESS STUDIES       ,G,   2017, 7211,         7.80,    40.40,    28.70,    15.10,     4.60,     2.90,     0.50,
 46,MUSIC                  ,A,   2017, 9271,        12.60,    42.30,    31.90,    11.80,     0.80,     0.60,     0.00,
 46,MUSIC                  ,G,   2017, 1661,         1.30,    22.00,    45.30,    22.50,     3.50,     5.20,     0.20,
