2018 LEAVING CERTIFICATE STATISTICS,
HIGHER LEVEL,
BOTH SCHOOL AND E10 CANDIDATES,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1  ,2  ,3  ,4  ,5  ,6  ,7  ,8  ,TOTALS  ,

    GAEILGE,               1093, 4044, 5187, 5286, 4125, 2117,  479,   69,                                    22400,

    IRISH,                  4.9, 18.1, 23.2, 23.6, 18.4,  9.5,  2.1,  0.3,

    TOTAL FEMALE,           776, 2791, 3334, 3206, 2343, 1135,  234,   30,                                    13849,

    % FEMALE ,              5.6, 20.2, 24.1, 23.1, 16.9,  8.2,  1.7,  0.2,

    TOTAL MALE,             317, 1253, 1853, 2080, 1782,  982,  245,   39,                                     8551,

    % MALE ,                3.7, 14.7, 21.7, 24.3, 20.8, 11.5,  2.9,  0.5,
-----------------------------------------------------------------------------------------------------------------------

    BÉARLA,                1097, 3846, 7653,10700, 9248, 4659,  884,  196,                                    38283,

    ENGLISH,                2.9, 10.0, 20.0, 27.9, 24.2, 12.2,  2.3,  0.5,

    TOTAL FEMALE,           667, 2394, 4454, 6029, 4834, 2209,  375,   64,                                    21026,

    % FEMALE ,              3.2, 11.4, 21.2, 28.7, 23.0, 10.5,  1.8,  0.3,

    TOTAL MALE,             430, 1452, 3199, 4671, 4414, 2450,  509,  132,                                    17257,

    % MALE ,                2.5,  8.4, 18.5, 27.1, 25.6, 14.2,  2.9,  0.8,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC,             923, 2272, 3152, 3631, 3386, 2196,  983,  294,                                    16837,

    MATHEMATICS,            5.5, 13.5, 18.7, 21.6, 20.1, 13.0,  5.8,  1.7,

    TOTAL FEMALE,           255, 1006, 1515, 1860, 1734, 1103,  489,  134,                                     8096,

    % FEMALE ,              3.1, 12.4, 18.7, 23.0, 21.4, 13.6,  6.0,  1.7,

    TOTAL MALE,             668, 1266, 1637, 1771, 1652, 1093,  494,  160,                                     8741,

    % MALE ,                7.6, 14.5, 18.7, 20.3, 18.9, 12.5,  5.7,  1.8,
-----------------------------------------------------------------------------------------------------------------------

    STAIR,                  556, 1272, 1803, 1950, 1489,  929,  398,  112,                                     8509,

    HISTORY,                6.5, 14.9, 21.2, 22.9, 17.5, 10.9,  4.7,  1.3,

    TOTAL FEMALE,           286,  665,  909,  920,  644,  405,  163,   37,                                     4029,

    % FEMALE ,              7.1, 16.5, 22.6, 22.8, 16.0, 10.1,  4.0,  0.9,

    TOTAL MALE,             270,  607,  894, 1030,  845,  524,  235,   75,                                     4480,

    % MALE ,                6.0, 13.5, 20.0, 23.0, 18.9, 11.7,  5.2,  1.7,
-----------------------------------------------------------------------------------------------------------------------

    TÍREOLAÍOCHT,           660, 2394, 3771, 4456, 3983, 2697,  941,  204,                                    19106,

    GEOGRAPHY,              3.5, 12.5, 19.7, 23.3, 20.8, 14.1,  4.9,  1.1,
 

    TOTAL FEMALE,           374, 1299, 1933, 2016, 1765, 1072,  382,   75,                                     8916,

    % FEMALE ,              4.2, 14.6, 21.7, 22.6, 19.8, 12.0,  4.3,  0.8,

    TOTAL MALE,             286, 1095, 1838, 2440, 2218, 1625,  559,  129,                                    10190,

    % MALE ,                2.8, 10.7, 18.0, 23.9, 21.8, 15.9,  5.5,  1.3,
-----------------------------------------------------------------------------------------------------------------------

    LÉANN CLASAICEACH,       26,   53,  105,   99,  107,   79,   31,   27,                                      527,

    CLASSICAL STUDIES,      4.9, 10.1, 19.9, 18.8, 20.3, 15.0,  5.9,  5.1,

    TOTAL FEMALE,            11,   30,   53,   44,   48,   41,   13,   11,                                      251,

    % FEMALE ,              4.4, 12.0, 21.1, 17.5, 19.1, 16.3,  5.2,  4.4,

    TOTAL MALE,              15,   23,   52,   55,   59,   38,   18,   16,                                      276,

    % MALE ,                5.4,  8.3, 18.8, 19.9, 21.4, 13.8,  6.5,  5.8,
-----------------------------------------------------------------------------------------------------------------------

    FRAINCIS,               916, 2163, 2793, 3278, 3206, 2219,  780,  130,                                    15485,

    FRENCH,                 5.9, 14.0, 18.0, 21.2, 20.7, 14.3,  5.0,  0.8,

    TOTAL FEMALE,           622, 1452, 1816, 2070, 1898, 1279,  424,   60,                                     9621,

    % FEMALE ,              6.5, 15.1, 18.9, 21.5, 19.7, 13.3,  4.4,  0.6,

    TOTAL MALE,             294,  711,  977, 1208, 1308,  940,  356,   70,                                     5864,

    % MALE ,                5.0, 12.1, 16.7, 20.6, 22.3, 16.0,  6.1,  1.2,
-----------------------------------------------------------------------------------------------------------------------

    GEARMÁINIS,             334,  945, 1272, 1338, 1167,  772,  302,   64,                                     6194,

    GERMAN,                 5.4, 15.3, 20.5, 21.6, 18.8, 12.5,  4.9,  1.0,

    TOTAL FEMALE,           220,  605,  772,  778,  604,  384,  143,   34,                                     3540,

    % FEMALE ,              6.2, 17.1, 21.8, 22.0, 17.1, 10.8,  4.0,  1.0,

    TOTAL MALE,             114,  340,  500,  560,  563,  388,  159,   30,                                     2654,

    % MALE ,                4.3, 12.8, 18.8, 21.1, 21.2, 14.6,  6.0,  1.1,
-----------------------------------------------------------------------------------------------------------------------

    SPÁINNIS,               376,  822, 1047, 1065,  890,  542,  184,   41,                                     4967,

    SPANISH,                7.6, 16.5, 21.1, 21.4, 17.9, 10.9,  3.7,  0.8,

    TOTAL FEMALE,           251,  527,  656,  634,  492,  269,   71,   15,                                     2915,

    % FEMALE ,              8.6, 18.1, 22.5, 21.7, 16.9,  9.2,  2.4,  0.5,

    TOTAL MALE,             125,  295,  391,  431,  398,  273,  113,   26,                                     2052,

    % MALE ,                6.1, 14.4, 19.1, 21.0, 19.4, 13.3,  5.5,  1.3,
-----------------------------------------------------------------------------------------------------------------------
 

    IODÁILIS,                37,   86,   71,   70,   50,   36,   10,    3,                                      363,

    ITALIAN,               10.2, 23.7, 19.6, 19.3, 13.8,  9.9,  2.8,  0.8,

    TOTAL FEMALE,            23,   56,   50,   55,   36,   28,    3,    1,                                      252,

    % FEMALE ,              9.1, 22.2, 19.8, 21.8, 14.3, 11.1,  1.2,  0.4,

    TOTAL MALE,              14,   30,   21,   15,   14,    8,    7,    2,                                      111,

    % MALE ,               12.6, 27.0, 18.9, 13.5, 12.6,  7.2,  6.3,  1.8,
-----------------------------------------------------------------------------------------------------------------------

    EALAÍN,                 218,  987, 1591, 1789, 1482,  843,  309,   74,                                     7293,

    ART,                    3.0, 13.5, 21.8, 24.5, 20.3, 11.6,  4.2,  1.0,

    TOTAL FEMALE,           194,  828, 1242, 1299,  944,  484,  148,   45,                                     5184,

    % FEMALE ,              3.7, 16.0, 24.0, 25.1, 18.2,  9.3,  2.9,  0.9,

    TOTAL MALE,              24,  159,  349,  490,  538,  359,  161,   29,                                     2109,

    % MALE ,                1.1,  7.5, 16.5, 23.2, 25.5, 17.0,  7.6,  1.4,
-----------------------------------------------------------------------------------------------------------------------

    DÚITSIS,                  8,    7,    3,    7,    0,    3,    1,    0,                                       29,

