"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2022"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 9009 lines in total
------------------------------------------------------------------
tariff_band,Cycle,statistic,equality_dimension,agegroup,value
Higher tariff providers,2015,June deadline applicants,Asian ethnic group,18 year olds,18390
Higher tariff providers,2015,June deadline applicants,Mixed ethnic group,18 year olds,6665
Higher tariff providers,2015,June deadline applicants,Other ethnic group,18 year olds,2040
Higher tariff providers,2015,June deadline applicants,POLAR4 Q1,18 year olds,13405
Higher tariff providers,2015,June deadline applicants,POLAR4 Q2,18 year olds,20895
Higher tariff providers,2015,June deadline applicants,POLAR4 Q3,18 year olds,28070
Higher tariff providers,2015,June deadline applicants,POLAR4 Q4,18 year olds,36390
Higher tariff providers,2015,June deadline applicants,POLAR4 Q5,18 year olds,62310
Higher tariff providers,2015,June deadline applicants,Men,18 year olds,71360
Higher tariff providers,2015,June deadline applicants,Women,18 year olds,89890
Higher tariff providers,2016,June deadline applicants,Total,18 year olds,166585
Higher tariff providers,2016,June deadline applicants,White ethnic group,18 year olds,128805
Higher tariff providers,2016,June deadline applicants,Black ethnic group,18 year olds,7300
Higher tariff providers,2016,June deadline applicants,Asian ethnic group,18 year olds,19905
Higher tariff providers,2016,June deadline applicants,Mixed ethnic group,18 year olds,7155
Higher tariff providers,2016,June deadline applicants,Other ethnic group,18 year olds,2205
Higher tariff providers,2016,June deadline applicants,POLAR4 Q1,18 year olds,13910
Higher tariff providers,2016,June deadline applicants,POLAR4 Q2,18 year olds,21745
Higher tariff providers,2016,June deadline applicants,POLAR4 Q3,18 year olds,28755
Higher tariff providers,2016,June deadline applicants,POLAR4 Q4,18 year olds,37695
Higher tariff providers,2016,June deadline applicants,POLAR4 Q5,18 year olds,64285
Higher tariff providers,2016,June deadline applicants,Men,18 year olds,72950
Higher tariff providers,2016,June deadline applicants,Women,18 year olds,93635
Higher tariff providers,2017,June deadline applicants,Total,18 year olds,174340
Higher tariff providers,2017,June deadline applicants,White ethnic group,18 year olds,132420
Higher tariff providers,2017,June deadline applicants,Black ethnic group,18 year olds,7885
Higher tariff providers,2017,June deadline applicants,Asian ethnic group,18 year olds,22090
Higher tariff providers,2017,June deadline applicants,Mixed ethnic group,18 year olds,8110
Higher tariff providers,2017,June deadline applicants,Other ethnic group,18 year olds,2590
Higher tariff providers,2017,June deadline applicants,POLAR4 Q1,18 year olds,15260
Higher tariff providers,2017,June deadline applicants,POLAR4 Q2,18 year olds,23025
Higher tariff providers,2017,June deadline applicants,POLAR4 Q3,18 year olds,30320
Higher tariff providers,2017,June deadline applicants,POLAR4 Q4,18 year olds,39285
Higher tariff providers,2017,June deadline applicants,POLAR4 Q5,18 year olds,66255
Higher tariff providers,2017,June deadline applicants,Men,18 year olds,77195
Higher tariff providers,2017,June deadline applicants,Women,18 year olds,97145
Higher tariff providers,2018,June deadline applicants,Total,18 year olds,172840
Higher tariff providers,2018,June deadline applicants,White ethnic group,18 year olds,127755
Higher tariff providers,2018,June deadline applicants,Black ethnic group,18 year olds,8695
Higher tariff providers,2018,June deadline applicants,Asian ethnic group,18 year olds,23970
Higher tariff providers,2018,June deadline applicants,Mixed ethnic group,18 year olds,8230
Higher tariff providers,2018,June deadline applicants,Other ethnic group,18 year olds,2815
Higher tariff providers,2018,June deadline applicants,POLAR4 Q1,18 year olds,15085
Higher tariff providers,2018,June deadline applicants,POLAR4 Q2,18 year olds,22775
Higher tariff providers,2018,June deadline applicants,POLAR4 Q3,18 year olds,29775
Higher tariff providers,2018,June deadline applicants,POLAR4 Q4,18 year olds,39220
Higher tariff providers,2018,June deadline applicants,POLAR4 Q5,18 year olds,65775
Higher tariff providers,2018,June deadline applicants,Men,18 year olds,76155
Higher tariff providers,2018,June deadline applicants,Women,18 year olds,96685
Higher tariff providers,2019,June deadline applicants,Total,18 year olds,177880
Higher tariff providers,2019,June deadline applicants,White ethnic group,18 year olds,127160
Higher tariff providers,2019,June deadline applicants,Black ethnic group,18 year olds,9960
Higher tariff providers,2019,June deadline applicants,Asian ethnic group,18 year olds,26890
Higher tariff providers,2019,June deadline applicants,Mixed ethnic group,18 year olds,9085
Higher tariff providers,2019,June deadline applicants,Other ethnic group,18 year olds,3390
Higher tariff providers,2019,June deadline applicants,POLAR4 Q1,18 year olds,16215
Higher tariff providers,2019,June deadline applicants,POLAR4 Q2,18 year olds,23445
Higher tariff providers,2019,June deadline applicants,POLAR4 Q3,18 year olds,31270
Higher tariff providers,2019,June deadline applicants,POLAR4 Q4,18 year olds,40235
Higher tariff providers,2019,June deadline applicants,POLAR4 Q5,18 year olds,66510
Higher tariff providers,2019,June deadline applicants,Men,18 year olds,78000
Higher tariff providers,2019,June deadline applicants,Women,18 year olds,99880
Higher tariff providers,2020,June deadline applicants,Total,18 year olds,182140
Higher tariff providers,2020,June deadline applicants,White ethnic group,18 year olds,126465
Higher tariff providers,2020,June deadline applicants,Black ethnic group,18 year olds,10915
Higher tariff providers,2020,June deadline applicants,Asian ethnic group,18 year olds,29770
Higher tariff providers,2020,June deadline applicants,Mixed ethnic group,18 year olds,9695
