"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2022"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 9009 lines in total
------------------------------------------------------------------
tariff_band,Cycle,statistic,equality_dimension,agegroup,value
Higher tariff providers,2021,Contribution of group to the average offer rate,POLAR4 Q1,18 year olds,0.152
Higher tariff providers,2021,Contribution of group to the average offer rate,POLAR4 Q2,18 year olds,0.18
Higher tariff providers,2021,Contribution of group to the average offer rate,POLAR4 Q3,18 year olds,0.206
Higher tariff providers,2021,Contribution of group to the average offer rate,POLAR4 Q4,18 year olds,0.259
Higher tariff providers,2021,Contribution of group to the average offer rate,POLAR4 Q5,18 year olds,0.479
Higher tariff providers,2021,Contribution of group to the average offer rate,Men,18 year olds,0.584
Higher tariff providers,2021,Contribution of group to the average offer rate,Women,18 year olds,0.667
Higher tariff providers,2022,Contribution of group to the average offer rate,White ethnic group,18 year olds,0.755
Higher tariff providers,2022,Contribution of group to the average offer rate,Black ethnic group,18 year olds,0.156
Higher tariff providers,2022,Contribution of group to the average offer rate,Asian ethnic group,18 year olds,0.308
Higher tariff providers,2022,Contribution of group to the average offer rate,Mixed ethnic group,18 year olds,0.115
Higher tariff providers,2022,Contribution of group to the average offer rate,Other ethnic group,18 year olds,0.088
Higher tariff providers,2022,Contribution of group to the average offer rate,POLAR4 Q1,18 year olds,0.159
Higher tariff providers,2022,Contribution of group to the average offer rate,POLAR4 Q2,18 year olds,0.18
Higher tariff providers,2022,Contribution of group to the average offer rate,POLAR4 Q3,18 year olds,0.206
Higher tariff providers,2022,Contribution of group to the average offer rate,POLAR4 Q4,18 year olds,0.256
Higher tariff providers,2022,Contribution of group to the average offer rate,POLAR4 Q5,18 year olds,0.469
Higher tariff providers,2022,Contribution of group to the average offer rate,Men,18 year olds,0.586
Higher tariff providers,2022,Contribution of group to the average offer rate,Women,18 year olds,0.664
Lower tariff providers,2010,June deadline applicants,Total,18 year olds,152340
Lower tariff providers,2010,June deadline applicants,White ethnic group,18 year olds,124375
Lower tariff providers,2010,June deadline applicants,Black ethnic group,18 year olds,6815
Lower tariff providers,2010,June deadline applicants,Asian ethnic group,18 year olds,14620
Lower tariff providers,2010,June deadline applicants,Mixed ethnic group,18 year olds,4565
Lower tariff providers,2010,June deadline applicants,Other ethnic group,18 year olds,1335
Lower tariff providers,2010,June deadline applicants,POLAR4 Q1,18 year olds,19670
Lower tariff providers,2010,June deadline applicants,POLAR4 Q2,18 year olds,27020
Lower tariff providers,2010,June deadline applicants,POLAR4 Q3,18 year olds,31665
Lower tariff providers,2010,June deadline applicants,POLAR4 Q4,18 year olds,35575
Lower tariff providers,2010,June deadline applicants,POLAR4 Q5,18 year olds,38170
Lower tariff providers,2010,June deadline applicants,Men,18 year olds,63650
Lower tariff providers,2010,June deadline applicants,Women,18 year olds,88690
Lower tariff providers,2011,June deadline applicants,Total,18 year olds,159375
Lower tariff providers,2011,June deadline applicants,White ethnic group,18 year olds,128020
Lower tariff providers,2011,June deadline applicants,Black ethnic group,18 year olds,7845
Lower tariff providers,2011,June deadline applicants,Asian ethnic group,18 year olds,16265
Lower tariff providers,2011,June deadline applicants,Mixed ethnic group,18 year olds,5140
Lower tariff providers,2011,June deadline applicants,Other ethnic group,18 year olds,1500
Lower tariff providers,2011,June deadline applicants,POLAR4 Q1,18 year olds,20405
Lower tariff providers,2011,June deadline applicants,POLAR4 Q2,18 year olds,28010
Lower tariff providers,2011,June deadline applicants,POLAR4 Q3,18 year olds,32605
Lower tariff providers,2011,June deadline applicants,POLAR4 Q4,18 year olds,37500
Lower tariff providers,2011,June deadline applicants,POLAR4 Q5,18 year olds,40600
Lower tariff providers,2011,June deadline applicants,Men,18 year olds,66965
Lower tariff providers,2011,June deadline applicants,Women,18 year olds,92405
Lower tariff providers,2012,June deadline applicants,Total,18 year olds,151170
Lower tariff providers,2012,June deadline applicants,White ethnic group,18 year olds,119845
Lower tariff providers,2012,June deadline applicants,Black ethnic group,18 year olds,7910
Lower tariff providers,2012,June deadline applicants,Asian ethnic group,18 year olds,16215
Lower tariff providers,2012,June deadline applicants,Mixed ethnic group,18 year olds,4935
Lower tariff providers,2012,June deadline applicants,Other ethnic group,18 year olds,1755
Lower tariff providers,2012,June deadline applicants,POLAR4 Q1,18 year olds,19455
Lower tariff providers,2012,June deadline applicants,POLAR4 Q2,18 year olds,26730
Lower tariff providers,2012,June deadline applicants,POLAR4 Q3,18 year olds,31375
Lower tariff providers,2012,June deadline applicants,POLAR4 Q4,18 year olds,35600
Lower tariff providers,2012,June deadline applicants,POLAR4 Q5,18 year olds,37805
Lower tariff providers,2012,June deadline applicants,Men,18 year olds,62090
Lower tariff providers,2012,June deadline applicants,Women,18 year olds,89080
Lower tariff providers,2013,June deadline applicants,Total,18 year olds,150525
Lower tariff providers,2013,June deadline applicants,White ethnic group,18 year olds,117850
Lower tariff providers,2013,June deadline applicants,Black ethnic group,18 year olds,8765
Lower tariff providers,2013,June deadline applicants,Asian ethnic group,18 year olds,16520
Lower tariff providers,2013,June deadline applicants,Mixed ethnic group,18 year olds,5085
Lower tariff providers,2013,June deadline applicants,Other ethnic group,18 year olds,1820
Lower tariff providers,2013,June deadline applicants,POLAR4 Q1,18 year olds,19740
Lower tariff providers,2013,June deadline applicants,POLAR4 Q2,18 year olds,26845
Lower tariff providers,2013,June deadline applicants,POLAR4 Q3,18 year olds,31185
Lower tariff providers,2013,June deadline applicants,POLAR4 Q4,18 year olds,35465
Lower tariff providers,2013,June deadline applicants,POLAR4 Q5,18 year olds,37085
Lower tariff providers,2013,June deadline applicants,Men,18 year olds,62250
Lower tariff providers,2013,June deadline applicants,Women,18 year olds,88275
Lower tariff providers,2014,June deadline applicants,Total,18 year olds,154245
Lower tariff providers,2014,June deadline applicants,White ethnic group,18 year olds,119685
Lower tariff providers,2014,June deadline applicants,Black ethnic group,18 year olds,9005
Lower tariff providers,2014,June deadline applicants,Asian ethnic group,18 year olds,17485
Lower tariff providers,2014,June deadline applicants,Mixed ethnic group,18 year olds,5515
Lower tariff providers,2014,June deadline applicants,Other ethnic group,18 year olds,2060
Lower tariff providers,2014,June deadline applicants,POLAR4 Q1,18 year olds,21420
Lower tariff providers,2014,June deadline applicants,POLAR4 Q2,18 year olds,28210
Lower tariff providers,2014,June deadline applicants,POLAR4 Q3,18 year olds,32150
Lower tariff providers,2014,June deadline applicants,POLAR4 Q4,18 year olds,35785
Lower tariff providers,2014,June deadline applicants,POLAR4 Q5,18 year olds,36470
Lower tariff providers,2014,June deadline applicants,Men,18 year olds,64165
Lower tariff providers,2014,June deadline applicants,Women,18 year olds,90080
Lower tariff providers,2015,June deadline applicants,Total,18 year olds,159145
Lower tariff providers,2015,June deadline applicants,White ethnic group,18 year olds,121710
Lower tariff providers,2015,June deadline applicants,Black ethnic group,18 year olds,9785
Lower tariff providers,2015,June deadline applicants,Asian ethnic group,18 year olds,18615
Lower tariff providers,2015,June deadline applicants,Mixed ethnic group,18 year olds,6095
Lower tariff providers,2015,June deadline applicants,Other ethnic group,18 year olds,2255
Lower tariff providers,2015,June deadline applicants,POLAR4 Q1,18 year olds,22495
Lower tariff providers,2015,June deadline applicants,POLAR4 Q2,18 year olds,29045
Lower tariff providers,2015,June deadline applicants,POLAR4 Q3,18 year olds,33325
Lower tariff providers,2015,June deadline applicants,POLAR4 Q4,18 year olds,36650
Lower tariff providers,2015,June deadline applicants,POLAR4 Q5,18 year olds,37465
Lower tariff providers,2015,June deadline applicants,Men,18 year olds,65070
Lower tariff providers,2015,June deadline applicants,Women,18 year olds,94075
Lower tariff providers,2016,June deadline applicants,Total,18 year olds,157585
Lower tariff providers,2016,June deadline applicants,White ethnic group,18 year olds,119225
Lower tariff providers,2016,June deadline applicants,Black ethnic group,18 year olds,9640
Lower tariff providers,2016,June deadline applicants,Asian ethnic group,18 year olds,19435
Lower tariff providers,2016,June deadline applicants,Mixed ethnic group,18 year olds,6155
Lower tariff providers,2016,June deadline applicants,Other ethnic group,18 year olds,2345
Lower tariff providers,2016,June deadline applicants,POLAR4 Q1,18 year olds,22185
Lower tariff providers,2016,June deadline applicants,POLAR4 Q2,18 year olds,29030
Lower tariff providers,2016,June deadline applicants,POLAR4 Q3,18 year olds,32945
Lower tariff providers,2016,June deadline applicants,POLAR4 Q4,18 year olds,36060
Lower tariff providers,2016,June deadline applicants,POLAR4 Q5,18 year olds,37180
Lower tariff providers,2016,June deadline applicants,Men,18 year olds,64945
Lower tariff providers,2016,June deadline applicants,Women,18 year olds,92640
Lower tariff providers,2017,June deadline applicants,Total,18 year olds,154885
Lower tariff providers,2017,June deadline applicants,White ethnic group,18 year olds,115920
Lower tariff providers,2017,June deadline applicants,Black ethnic group,18 year olds,9585
Lower tariff providers,2017,June deadline applicants,Asian ethnic group,18 year olds,19845
Lower tariff providers,2017,June deadline applicants,Mixed ethnic group,18 year olds,6295
Lower tariff providers,2017,June deadline applicants,Other ethnic group,18 year olds,2490
Lower tariff providers,2017,June deadline applicants,POLAR4 Q1,18 year olds,21930
Lower tariff providers,2017,June deadline applicants,POLAR4 Q2,18 year olds,28025
Lower tariff providers,2017,June deadline applicants,POLAR4 Q3,18 year olds,32510
Lower tariff providers,2017,June deadline applicants,POLAR4 Q4,18 year olds,35615
Lower tariff providers,2017,June deadline applicants,POLAR4 Q5,18 year olds,36660
Lower tariff providers,2017,June deadline applicants,Men,18 year olds,63580
Lower tariff providers,2017,June deadline applicants,Women,18 year olds,91305
Lower tariff providers,2018,June deadline applicants,Total,18 year olds,150560
Lower tariff providers,2018,June deadline applicants,White ethnic group,18 year olds,110575
Lower tariff providers,2018,June deadline applicants,Black ethnic group,18 year olds,9895
Lower tariff providers,2018,June deadline applicants,Asian ethnic group,18 year olds,20410
Lower tariff providers,2018,June deadline applicants,Mixed ethnic group,18 year olds,6330
Lower tariff providers,2018,June deadline applicants,Other ethnic group,18 year olds,2565
Lower tariff providers,2018,June deadline applicants,POLAR4 Q1,18 year olds,21220
Lower tariff providers,2018,June deadline applicants,POLAR4 Q2,18 year olds,27410
Lower tariff providers,2018,June deadline applicants,POLAR4 Q3,18 year olds,31130
Lower tariff providers,2018,June deadline applicants,POLAR4 Q4,18 year olds,34910
Lower tariff providers,2018,June deadline applicants,POLAR4 Q5,18 year olds,35720
Lower tariff providers,2018,June deadline applicants,Men,18 year olds,61815
Lower tariff providers,2018,June deadline applicants,Women,18 year olds,88745
Lower tariff providers,2019,June deadline applicants,Total,18 year olds,149995
Lower tariff providers,2019,June deadline applicants,White ethnic group,18 year olds,106195
Lower tariff providers,2019,June deadline applicants,Black ethnic group,18 year olds,10740
Lower tariff providers,2019,June deadline applicants,Asian ethnic group,18 year olds,22655
Lower tariff providers,2019,June deadline applicants,Mixed ethnic group,18 year olds,6635
Lower tariff providers,2019,June deadline applicants,Other ethnic group,18 year olds,2990
Lower tariff providers,2019,June deadline applicants,POLAR4 Q1,18 year olds,21345
Lower tariff providers,2019,June deadline applicants,POLAR4 Q2,18 year olds,26845
Lower tariff providers,2019,June deadline applicants,POLAR4 Q3,18 year olds,31255
Lower tariff providers,2019,June deadline applicants,POLAR4 Q4,18 year olds,34930
Lower tariff providers,2019,June deadline applicants,POLAR4 Q5,18 year olds,35455
Lower tariff providers,2019,June deadline applicants,Men,18 year olds,61525
Lower tariff providers,2019,June deadline applicants,Women,18 year olds,88470
Lower tariff providers,2020,June deadline applicants,Total,18 year olds,154660
Lower tariff providers,2020,June deadline applicants,White ethnic group,18 year olds,106685
Lower tariff providers,2020,June deadline applicants,Black ethnic group,18 year olds,11495
Lower tariff providers,2020,June deadline applicants,Asian ethnic group,18 year olds,25140
Lower tariff providers,2020,June deadline applicants,Mixed ethnic group,18 year olds,7190
Lower tariff providers,2020,June deadline applicants,Other ethnic group,18 year olds,3320
Lower tariff providers,2020,June deadline applicants,POLAR4 Q1,18 year olds,22470
Lower tariff providers,2020,June deadline applicants,POLAR4 Q2,18 year olds,27760
Lower tariff providers,2020,June deadline applicants,POLAR4 Q3,18 year olds,32000
Lower tariff providers,2020,June deadline applicants,POLAR4 Q4,18 year olds,35605
Lower tariff providers,2020,June deadline applicants,POLAR4 Q5,18 year olds,36680
Lower tariff providers,2020,June deadline applicants,Men,18 year olds,62755
Lower tariff providers,2020,June deadline applicants,Women,18 year olds,91905
Lower tariff providers,2021,June deadline applicants,Total,18 year olds,172960
Lower tariff providers,2021,June deadline applicants,White ethnic group,18 year olds,119240
Lower tariff providers,2021,June deadline applicants,Black ethnic group,18 year olds,13260
Lower tariff providers,2021,June deadline applicants,Asian ethnic group,18 year olds,27175
Lower tariff providers,2021,June deadline applicants,Mixed ethnic group,18 year olds,8465
Lower tariff providers,2021,June deadline applicants,Other ethnic group,18 year olds,3820
Lower tariff providers,2021,June deadline applicants,POLAR4 Q1,18 year olds,24535
Lower tariff providers,2021,June deadline applicants,POLAR4 Q2,18 year olds,30765
Lower tariff providers,2021,June deadline applicants,POLAR4 Q3,18 year olds,35700
Lower tariff providers,2021,June deadline applicants,POLAR4 Q4,18 year olds,39720
Lower tariff providers,2021,June deadline applicants,POLAR4 Q5,18 year olds,42070
Lower tariff providers,2021,June deadline applicants,Men,18 year olds,71465
Lower tariff providers,2021,June deadline applicants,Women,18 year olds,101495
Lower tariff providers,2022,June deadline applicants,Total,18 year olds,184910
Lower tariff providers,2022,June deadline applicants,White ethnic group,18 year olds,124625
Lower tariff providers,2022,June deadline applicants,Black ethnic group,18 year olds,15620
Lower tariff providers,2022,June deadline applicants,Asian ethnic group,18 year olds,29375
Lower tariff providers,2022,June deadline applicants,Mixed ethnic group,18 year olds,9760
Lower tariff providers,2022,June deadline applicants,Other ethnic group,18 year olds,4525
Lower tariff providers,2022,June deadline applicants,POLAR4 Q1,18 year olds,27110
Lower tariff providers,2022,June deadline applicants,POLAR4 Q2,18 year olds,32735
Lower tariff providers,2022,June deadline applicants,POLAR4 Q3,18 year olds,38185
Lower tariff providers,2022,June deadline applicants,POLAR4 Q4,18 year olds,42330
Lower tariff providers,2022,June deadline applicants,POLAR4 Q5,18 year olds,44425
Lower tariff providers,2022,June deadline applicants,Men,18 year olds,77220
Lower tariff providers,2022,June deadline applicants,Women,18 year olds,107690
Lower tariff providers,2010,Placed June deadline applicants,Total,18 year olds,63440
Lower tariff providers,2010,Placed June deadline applicants,White ethnic group,18 year olds,51850
Lower tariff providers,2010,Placed June deadline applicants,Black ethnic group,18 year olds,2755
Lower tariff providers,2010,Placed June deadline applicants,Asian ethnic group,18 year olds,6130
Lower tariff providers,2010,Placed June deadline applicants,Mixed ethnic group,18 year olds,1905
Lower tariff providers,2010,Placed June deadline applicants,Other ethnic group,18 year olds,560
Lower tariff providers,2010,Placed June deadline applicants,POLAR4 Q1,18 year olds,8585
Lower tariff providers,2010,Placed June deadline applicants,POLAR4 Q2,18 year olds,11855
Lower tariff providers,2010,Placed June deadline applicants,POLAR4 Q3,18 year olds,13510
Lower tariff providers,2010,Placed June deadline applicants,POLAR4 Q4,18 year olds,14855
Lower tariff providers,2010,Placed June deadline applicants,POLAR4 Q5,18 year olds,14540
Lower tariff providers,2010,Placed June deadline applicants,Men,18 year olds,26770
Lower tariff providers,2010,Placed June deadline applicants,Women,18 year olds,36665
Lower tariff providers,2011,Placed June deadline applicants,Total,18 year olds,67475
Lower tariff providers,2011,Placed June deadline applicants,White ethnic group,18 year olds,54440
Lower tariff providers,2011,Placed June deadline applicants,Black ethnic group,18 year olds,3240
Lower tariff providers,2011,Placed June deadline applicants,Asian ethnic group,18 year olds,6780
Lower tariff providers,2011,Placed June deadline applicants,Mixed ethnic group,18 year olds,2150
Lower tariff providers,2011,Placed June deadline applicants,Other ethnic group,18 year olds,640
Lower tariff providers,2011,Placed June deadline applicants,POLAR4 Q1,18 year olds,9035
Lower tariff providers,2011,Placed June deadline applicants,POLAR4 Q2,18 year olds,12505
Lower tariff providers,2011,Placed June deadline applicants,POLAR4 Q3,18 year olds,14175
Lower tariff providers,2011,Placed June deadline applicants,POLAR4 Q4,18 year olds,15840
Lower tariff providers,2011,Placed June deadline applicants,POLAR4 Q5,18 year olds,15830
Lower tariff providers,2011,Placed June deadline applicants,Men,18 year olds,28870
Lower tariff providers,2011,Placed June deadline applicants,Women,18 year olds,38605
Lower tariff providers,2012,Placed June deadline applicants,Total,18 year olds,61345
Lower tariff providers,2012,Placed June deadline applicants,White ethnic group,18 year olds,48825
Lower tariff providers,2012,Placed June deadline applicants,Black ethnic group,18 year olds,3220
Lower tariff providers,2012,Placed June deadline applicants,Asian ethnic group,18 year olds,6440
Lower tariff providers,2012,Placed June deadline applicants,Mixed ethnic group,18 year olds,1970
Lower tariff providers,2012,Placed June deadline applicants,Other ethnic group,18 year olds,690
Lower tariff providers,2012,Placed June deadline applicants,POLAR4 Q1,18 year olds,8635
Lower tariff providers,2012,Placed June deadline applicants,POLAR4 Q2,18 year olds,11670
Lower tariff providers,2012,Placed June deadline applicants,POLAR4 Q3,18 year olds,13085
Lower tariff providers,2012,Placed June deadline applicants,POLAR4 Q4,18 year olds,14195
Lower tariff providers,2012,Placed June deadline applicants,POLAR4 Q5,18 year olds,13680
Lower tariff providers,2012,Placed June deadline applicants,Men,18 year olds,25445
Lower tariff providers,2012,Placed June deadline applicants,Women,18 year olds,35900
Lower tariff providers,2013,Placed June deadline applicants,Total,18 year olds,63600
Lower tariff providers,2013,Placed June deadline applicants,White ethnic group,18 year olds,49840
Lower tariff providers,2013,Placed June deadline applicants,Black ethnic group,18 year olds,3685
Lower tariff providers,2013,Placed June deadline applicants,Asian ethnic group,18 year olds,7080
Lower tariff providers,2013,Placed June deadline applicants,Mixed ethnic group,18 year olds,2070
Lower tariff providers,2013,Placed June deadline applicants,Other ethnic group,18 year olds,745
Lower tariff providers,2013,Placed June deadline applicants,POLAR4 Q1,18 year olds,9130
Lower tariff providers,2013,Placed June deadline applicants,POLAR4 Q2,18 year olds,12145
Lower tariff providers,2013,Placed June deadline applicants,POLAR4 Q3,18 year olds,13550
Lower tariff providers,2013,Placed June deadline applicants,POLAR4 Q4,18 year olds,14755
Lower tariff providers,2013,Placed June deadline applicants,POLAR4 Q5,18 year olds,13935
Lower tariff providers,2013,Placed June deadline applicants,Men,18 year olds,27000
Lower tariff providers,2013,Placed June deadline applicants,Women,18 year olds,36605
Lower tariff providers,2014,Placed June deadline applicants,Total,18 year olds,65235
Lower tariff providers,2014,Placed June deadline applicants,White ethnic group,18 year olds,50890
Lower tariff providers,2014,Placed June deadline applicants,Black ethnic group,18 year olds,3645
Lower tariff providers,2014,Placed June deadline applicants,Asian ethnic group,18 year olds,7375
Lower tariff providers,2014,Placed June deadline applicants,Mixed ethnic group,18 year olds,2290
Lower tariff providers,2014,Placed June deadline applicants,Other ethnic group,18 year olds,865
Lower tariff providers,2014,Placed June deadline applicants,POLAR4 Q1,18 year olds,9845
Lower tariff providers,2014,Placed June deadline applicants,POLAR4 Q2,18 year olds,12810
Lower tariff providers,2014,Placed June deadline applicants,POLAR4 Q3,18 year olds,13950
Lower tariff providers,2014,Placed June deadline applicants,POLAR4 Q4,18 year olds,14960
Lower tariff providers,2014,Placed June deadline applicants,POLAR4 Q5,18 year olds,13570
Lower tariff providers,2014,Placed June deadline applicants,Men,18 year olds,27830
Lower tariff providers,2014,Placed June deadline applicants,Women,18 year olds,37410
Lower tariff providers,2015,Placed June deadline applicants,Total,18 year olds,67655
Lower tariff providers,2015,Placed June deadline applicants,White ethnic group,18 year olds,51950
Lower tariff providers,2015,Placed June deadline applicants,Black ethnic group,18 year olds,4035
Lower tariff providers,2015,Placed June deadline applicants,Asian ethnic group,18 year olds,7860
Lower tariff providers,2015,Placed June deadline applicants,Mixed ethnic group,18 year olds,2570
Lower tariff providers,2015,Placed June deadline applicants,Other ethnic group,18 year olds,960
Lower tariff providers,2015,Placed June deadline applicants,POLAR4 Q1,18 year olds,10360
Lower tariff providers,2015,Placed June deadline applicants,POLAR4 Q2,18 year olds,13105
Lower tariff providers,2015,Placed June deadline applicants,POLAR4 Q3,18 year olds,14620
Lower tariff providers,2015,Placed June deadline applicants,POLAR4 Q4,18 year olds,15295
Lower tariff providers,2015,Placed June deadline applicants,POLAR4 Q5,18 year olds,14205
Lower tariff providers,2015,Placed June deadline applicants,Men,18 year olds,28560
Lower tariff providers,2015,Placed June deadline applicants,Women,18 year olds,39100
Lower tariff providers,2016,Placed June deadline applicants,Total,18 year olds,66080
Lower tariff providers,2016,Placed June deadline applicants,White ethnic group,18 year olds,50235
Lower tariff providers,2016,Placed June deadline applicants,Black ethnic group,18 year olds,3995
Lower tariff providers,2016,Placed June deadline applicants,Asian ethnic group,18 year olds,8015
Lower tariff providers,2016,Placed June deadline applicants,Mixed ethnic group,18 year olds,2585
Lower tariff providers,2016,Placed June deadline applicants,Other ethnic group,18 year olds,930
Lower tariff providers,2016,Placed June deadline applicants,POLAR4 Q1,18 year olds,10105
Lower tariff providers,2016,Placed June deadline applicants,POLAR4 Q2,18 year olds,13035
Lower tariff providers,2016,Placed June deadline applicants,POLAR4 Q3,18 year olds,14015
Lower tariff providers,2016,Placed June deadline applicants,POLAR4 Q4,18 year olds,15030
Lower tariff providers,2016,Placed June deadline applicants,POLAR4 Q5,18 year olds,13815
Lower tariff providers,2016,Placed June deadline applicants,Men,18 year olds,27950
Lower tariff providers,2016,Placed June deadline applicants,Women,18 year olds,38130
Lower tariff providers,2017,Placed June deadline applicants,Total,18 year olds,64200
Lower tariff providers,2017,Placed June deadline applicants,White ethnic group,18 year olds,48345
Lower tariff providers,2017,Placed June deadline applicants,Black ethnic group,18 year olds,4005
Lower tariff providers,2017,Placed June deadline applicants,Asian ethnic group,18 year olds,7985
Lower tariff providers,2017,Placed June deadline applicants,Mixed ethnic group,18 year olds,2575
Lower tariff providers,2017,Placed June deadline applicants,Other ethnic group,18 year olds,1000
Lower tariff providers,2017,Placed June deadline applicants,POLAR4 Q1,18 year olds,9720
Lower tariff providers,2017,Placed June deadline applicants,POLAR4 Q2,18 year olds,12485
Lower tariff providers,2017,Placed June deadline applicants,POLAR4 Q3,18 year olds,14065
Lower tariff providers,2017,Placed June deadline applicants,POLAR4 Q4,18 year olds,14415
Lower tariff providers,2017,Placed June deadline applicants,POLAR4 Q5,18 year olds,13455
Lower tariff providers,2017,Placed June deadline applicants,Men,18 year olds,26610
Lower tariff providers,2017,Placed June deadline applicants,Women,18 year olds,37585
Lower tariff providers,2018,Placed June deadline applicants,Total,18 year olds,63450
Lower tariff providers,2018,Placed June deadline applicants,White ethnic group,18 year olds,46730
Lower tariff providers,2018,Placed June deadline applicants,Black ethnic group,18 year olds,4250
Lower tariff providers,2018,Placed June deadline applicants,Asian ethnic group,18 year olds,8460
Lower tariff providers,2018,Placed June deadline applicants,Mixed ethnic group,18 year olds,2645
Lower tariff providers,2018,Placed June deadline applicants,Other ethnic group,18 year olds,1065
Lower tariff providers,2018,Placed June deadline applicants,POLAR4 Q1,18 year olds,9655
Lower tariff providers,2018,Placed June deadline applicants,POLAR4 Q2,18 year olds,12455
Lower tariff providers,2018,Placed June deadline applicants,POLAR4 Q3,18 year olds,13540
Lower tariff providers,2018,Placed June deadline applicants,POLAR4 Q4,18 year olds,14450
Lower tariff providers,2018,Placed June deadline applicants,POLAR4 Q5,18 year olds,13265
Lower tariff providers,2018,Placed June deadline applicants,Men,18 year olds,26165
Lower tariff providers,2018,Placed June deadline applicants,Women,18 year olds,37285
Lower tariff providers,2019,Placed June deadline applicants,Total,18 year olds,62120
Lower tariff providers,2019,Placed June deadline applicants,White ethnic group,18 year olds,44445
Lower tariff providers,2019,Placed June deadline applicants,Black ethnic group,18 year olds,4405
Lower tariff providers,2019,Placed June deadline applicants,Asian ethnic group,18 year olds,9150
Lower tariff providers,2019,Placed June deadline applicants,Mixed ethnic group,18 year olds,2645
Lower tariff providers,2019,Placed June deadline applicants,Other ethnic group,18 year olds,1190
Lower tariff providers,2019,Placed June deadline applicants,POLAR4 Q1,18 year olds,9475
Lower tariff providers,2019,Placed June deadline applicants,POLAR4 Q2,18 year olds,11950
Lower tariff providers,2019,Placed June deadline applicants,POLAR4 Q3,18 year olds,13330
Lower tariff providers,2019,Placed June deadline applicants,POLAR4 Q4,18 year olds,14410
Lower tariff providers,2019,Placed June deadline applicants,POLAR4 Q5,18 year olds,12900
Lower tariff providers,2019,Placed June deadline applicants,Men,18 year olds,25730
Lower tariff providers,2019,Placed June deadline applicants,Women,18 year olds,36385
Lower tariff providers,2020,Placed June deadline applicants,Total,18 year olds,65235
Lower tariff providers,2020,Placed June deadline applicants,White ethnic group,18 year olds,45895
Lower tariff providers,2020,Placed June deadline applicants,Black ethnic group,18 year olds,4770
Lower tariff providers,2020,Placed June deadline applicants,Asian ethnic group,18 year olds,9910
Lower tariff providers,2020,Placed June deadline applicants,Mixed ethnic group,18 year olds,2975
Lower tariff providers,2020,Placed June deadline applicants,Other ethnic group,18 year olds,1345
Lower tariff providers,2020,Placed June deadline applicants,POLAR4 Q1,18 year olds,10040
Lower tariff providers,2020,Placed June deadline applicants,POLAR4 Q2,18 year olds,12630
Lower tariff providers,2020,Placed June deadline applicants,POLAR4 Q3,18 year olds,14080
Lower tariff providers,2020,Placed June deadline applicants,POLAR4 Q4,18 year olds,14770
Lower tariff providers,2020,Placed June deadline applicants,POLAR4 Q5,18 year olds,13660
Lower tariff providers,2020,Placed June deadline applicants,Men,18 year olds,26690
Lower tariff providers,2020,Placed June deadline applicants,Women,18 year olds,38545
Lower tariff providers,2021,Placed June deadline applicants,Total,18 year olds,67815
Lower tariff providers,2021,Placed June deadline applicants,White ethnic group,18 year olds,47350
Lower tariff providers,2021,Placed June deadline applicants,Black ethnic group,18 year olds,5160
Lower tariff providers,2021,Placed June deadline applicants,Asian ethnic group,18 year olds,10305
Lower tariff providers,2021,Placed June deadline applicants,Mixed ethnic group,18 year olds,3215
Lower tariff providers,2021,Placed June deadline applicants,Other ethnic group,18 year olds,1425
Lower tariff providers,2021,Placed June deadline applicants,POLAR4 Q1,18 year olds,10470
Lower tariff providers,2021,Placed June deadline applicants,POLAR4 Q2,18 year olds,12880
Lower tariff providers,2021,Placed June deadline applicants,POLAR4 Q3,18 year olds,14505
Lower tariff providers,2021,Placed June deadline applicants,POLAR4 Q4,18 year olds,15400
Lower tariff providers,2021,Placed June deadline applicants,POLAR4 Q5,18 year olds,14510
Lower tariff providers,2021,Placed June deadline applicants,Men,18 year olds,28530
Lower tariff providers,2021,Placed June deadline applicants,Women,18 year olds,39285
Lower tariff providers,2022,Placed June deadline applicants,Total,18 year olds,72780
