"Year","Achieved SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","14 point(s)","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","17 point(s)","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","18 point(s)","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","19 point(s)","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","13 point(s)","18","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2020","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.889","0"
"2011","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2014","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2019","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2020","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2010","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2011","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.727","0"
"2012","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2013","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2014","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","10","0.611","0"
"2015","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2016","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","0"," ","0"
"2017","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.727","0"
"2019","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","15","0.5710000000000001","0"
"2020","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.737","0"
"2021","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","10","0.75","0"
"2023","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2010","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","50","0.891","0"
"2011","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.718","0"
"2012","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2013","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","20","0.72","0"
"2014","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.667","0"
"2015","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","20","0.432","0"
"2016","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","15","0.5","0"
"2017","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.789","0"
"2018","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.643","0"
"2019","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.645","0"
"2020","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","30","0.865","0"
"2021","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2022","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.68","0"
"2023","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","30","0.857","0"
"2010","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","90","85","0.902","0"
"2011","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","30","0.711","0"
"2012","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","35","0.706","0"
"2013","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","45","0.811","0"
"2014","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","30","0.549","0"
"2015","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","40","0.656","0"
"2016","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","40","0.6900000000000001","0"
"2017","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","30","0.56","0"
"2018","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","25","0.6920000000000001","0"
"2019","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.6900000000000001","0"
"2020","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","40","0.8300000000000001","0"
"2021","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.8210000000000001","0"
"2022","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2023","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","30","0.9390000000000001","0"
"2010","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","60","0.871","0"
"2011","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","50","0.8250000000000001","0"
"2012","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","50","0.867","0"
"2013","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","45","0.6970000000000001","0"
"2014","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","45","0.677","0"
"2015","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","50","0.681","0"
"2016","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","50","0.731","0"
"2017","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","40","0.667","0"
"2018","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","45","0.78","0"
"2019","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","25","0.643","0"
"2020","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","60","0.897","0"
"2021","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.765","0"
"2022","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.732","0"
"2023","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","40","0.976","0"
"2010","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","55","0.855","0"
"2011","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","55","0.8180000000000001","0"
"2012","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","55","0.779","0"
"2013","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","50","0.765","0"
"2014","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","35","0.532","0"
"2015","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","80","55","0.654","0"
"2016","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","85","55","0.651","0"
"2017","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","45","0.671","0"
"2018","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","45","0.789","0"
"2019","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","75","55","0.724","0"
"2020","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","60","0.8310000000000001","0"
"2021","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","40","0.8260000000000001","0"
"2022","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","35","0.756","0"
"2023","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","40","0.875","0"
"2010","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","35","0.8290000000000001","0"
"2011","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","55","0.846","0"
"2012","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","40","0.8300000000000001","0"
"2013","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","45","0.796","0"
"2014","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","50","0.8","0"
"2015","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","75","60","0.766","0"
"2016","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","85","60","0.7010000000000001","0"
"2017","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","75","50","0.667","0"
"2018","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","35","0.7000000000000001","0"
"2019","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","55","0.8310000000000001","0"
"2020","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","55","0.877","0"
"2021","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.727","0"
"2022","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","40","0.784","0"
"2023","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","30","0.912","0"
"2010","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.806","0"
"2011","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","35","0.778","0"
"2012","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","35","0.902","0"
"2013","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","45","0.839","0"
"2014","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","20","0.5640000000000001","0"
"2015","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","65","50","0.81","0"
"2016","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","75","55","0.72","0"
"2017","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","45","0.652","0"
"2018","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","50","0.864","0"
"2019","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","45","0.865","0"
"2020","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","75","65","0.844","0"
"2021","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","35","0.75","0"
"2022","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","40","0.792","0"
"2023","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2010","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.714","0"
"2011","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.676","0"
"2012","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2013","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2014","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2015","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.718","0"
"2016","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","40","0.737","0"
"2017","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","45","0.75","0"
"2018","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","45","0.754","0"
"2019","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","30","0.806","0"
"2020","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","60","50","0.8170000000000001","0"
"2021","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","25","0.6920000000000001","0"
"2022","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.842","0"
"2023","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","25","0.852","0"
"2010","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.68","0"
"2011","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2012","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2013","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","30","0.848","0"
"2014","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.71","0"
"2015","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.722","0"
"2016","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.769","0"
"2017","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","30","0.625","0"
"2018","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2019","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.862","0"
"2020","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","50","0.9410000000000001","0"
"2021","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","35","0.791","0"
"2022","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","40","0.854","0"
"2023","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","25","0.9580000000000001","0"
"2010","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2013","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2014","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2015","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2016","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.786","0"
"2017","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.676","0"
"2018","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.6900000000000001","0"
"2019","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2020","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","35","0.895","0"
"2021","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","40","0.84","0"
"2022","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","40","0.736","0"
"2023","19 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","35","0.919","0"
"2010","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.75","0"
"2011","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2012","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","20","0.87","0"
"2013","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","30","0.889","0"
"2014","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","45","0.9","0"
"2015","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","45","40","0.87","0"
"2016","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","45","0.8180000000000001","0"
"2017","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","50","40","0.804","0"
"2018","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","40","35","0.81","0"
"2019","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","55","50","0.891","0"
"2020","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","60","0.8310000000000001","0"
"2021","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","80","60","0.756","0"
"2022","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","100","85","0.838","0"
"2023","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","70","60","0.855","0"
"2010","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2011","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","25","1","0"
"2011","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.75","0"
"2012","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2013","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2014","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2015","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2016","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2017","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","5"," ","0"
"2018","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2020","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2021","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","10 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2010","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","45","45","0.915","0"
"2011","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","35","30","0.912","0"
"2012","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","30","25","0.857","0"
"2013","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.75","0"
"2014","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","30","15","0.586","0"
"2015","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","40","25","0.632","0"
"2016","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2017","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","15","0.708","0"
"2018","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2019","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","10","0.55","0"
"2020","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","20","0.8","0"
"2021","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2023","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2010","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","55","50","0.9450000000000001","0"
"2011","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","40","35","0.857","0"
"2012","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","40","25","0.711","0"
"2013","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2014","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","45","35","0.766","0"
"2015","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","40","30","0.7000000000000001","0"
"2016","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","45","35","0.8","0"
"2017","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","35","25","0.765","0"
"2018","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","30","20","0.75","0"
"2019","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2020","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","35","30","0.861","0"
"2021","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2022","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.833","0"
"2023","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","25","0.885","0"
"2010","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","65","60","0.9380000000000001","0"
"2011","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","50","40","0.8240000000000001","0"
"2012","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","50","40","0.796","0"
"2013","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","55","45","0.8","0"
"2014","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","45","35","0.75","0"
"2015","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","55","40","0.75","0"
"2016","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","50","40","0.8130000000000001","0"
"2017","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","40","35","0.805","0"
"2018","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","30","20","0.6900000000000001","0"
"2019","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2020","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","40","35","0.857","0"
"2021","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","25","0.852","0"
"2022","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","30","25","0.742","0"
"2023","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","20","1","0"
"2010","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","50","45","0.898","0"
"2011","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","65","60","0.921","0"
"2012","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","70","60","0.859","0"
"2013","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","45","35","0.804","0"
"2014","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","45","35","0.778","0"
"2015","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","55","35","0.611","0"
"2016","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","60","50","0.803","0"
"2017","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","55","45","0.789","0"
"2018","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","40","30","0.6900000000000001","0"
"2019","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","35","25","0.758","0"
"2020","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","50","45","0.9580000000000001","0"
"2021","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","30","30","0.9380000000000001","0"
"2022","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2023","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","30","25","0.931","0"
"2010","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","40","40","0.905","0"
"2011","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","45","35","0.841","0"
"2012","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","65","55","0.848","0"
"2013","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","50","45","0.8270000000000001","0"
