"Year","Achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","585","545","0.93","0"
"2014","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","685","640","0.933","0"
"2015","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","690","660","0.9550000000000001","0"
"2016","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","810","755","0.93","0"
"2017","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","845","795","0.9450000000000001","0"
"2018","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","865","830","0.9570000000000001","0"
"2019","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","865","825","0.9530000000000001","0"
"2020","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","945","910","0.964","0"
"2021","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","640","615","0.96","0"
"2022","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","835","800","0.9570000000000001","0"
