"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","Higher tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.667"
"2020","Higher tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.52"
"2021","Higher tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","15","10","0.769"
"2022","Higher tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","15","10","0.647"
"2023","Higher tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2019","Medium tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Medium tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2022","Medium tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Higher tariff","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2020","Higher tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","20","10"," "
"2021","Higher tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," "
"2022","Higher tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," "
"2023","Higher tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Medium tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Medium tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Higher tariff","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Higher tariff","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","20","5"," "
"2022","Higher tariff","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Higher tariff","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Higher tariff","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Higher tariff","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2023","Higher tariff","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Higher tariff","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2022","Higher tariff","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Higher tariff","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2019","Medium tariff","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","21 - 24","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," "
