"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Medium tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.786"
"2019","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9"
"2020","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.581"
"2021","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2022","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.6880000000000001"
"2023","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","40","30","0.8160000000000001"
"2019","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.833"
"2019","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.762"
"2020","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.929"
"2021","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.8"
"2023","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.844"
"2022","Medium tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.722"
"2020","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.81"
"2021","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","10","0.5710000000000001"
"2023","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","55","40","0.717"
"2020","Medium tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Lower tariff","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","90","65","0.711"
"2020","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","60","55","0.871"
"2021","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","65","25","0.422"
"2022","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","130","85","0.641"
"2023","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","90","75","0.841"
"2019","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","10","0"," "
