"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.625"
"2019","Scotland","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","19","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Scotland","19","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.765"
"2023","Scotland","19","Scotland","Female","Not main scheme applicant","Not main scheme application","30","25","0.867"
"2019","Scotland","20","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","20","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Scotland","20","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2023","Scotland","20","Scotland","Female","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001"
"2019","Scotland","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","30","20","0.724"
"2020","Scotland","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","40","35","0.854"
