"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2022","International","Not EU","Singapore","17 and under","Female","15","0","0"
"2023","International","Not EU","Singapore","17 and under","Female","10","0","0"
"2020","International","Not EU","Switzerland","17 and under","Female","5","0","0"
"2021","International","Not EU","Switzerland","17 and under","Female","5","0","0"
"2022","International","Not EU","Switzerland","17 and under","Female","5","0","0"
"2023","International","Not EU","Switzerland","17 and under","Female","5","0","0"
"2021","International","Not EU","Thailand","17 and under","Female","5","0","0"
"2023","International","Not EU","Thailand","17 and under","Female","5","0","0"
"2019","International","Not EU","United Arab Emirates","17 and under","Female","5","0","0"
"2020","International","Not EU","United Arab Emirates","17 and under","Female","15","5","5"
"2021","International","Not EU","United Arab Emirates","17 and under","Female","15","5","5"
"2022","International","Not EU","United Arab Emirates","17 and under","Female","15","5","5"
"2023","International","Not EU","United Arab Emirates","17 and under","Female","20","10","10"
"2019","International","Not EU","Turkey","17 and under","Female","5","0","0"
"2019","International","Not EU","Egypt","17 and under","Female","5","0","0"
"2020","International","Not EU","Egypt","17 and under","Female","5","5","5"
"2022","International","Not EU","Egypt","17 and under","Female","5","0","0"
"2023","International","Not EU","Egypt","17 and under","Female","5","0","0"
"2020","International","Not EU","United States of America","17 and under","Female","5","0","0"
"2021","International","Not EU","United States of America","17 and under","Female","5","0","0"
"2022","International","Not EU","United States of America","17 and under","Female","5","0","0"
"2023","International","Not EU","United States of America","17 and under","Female","5","0","0"
"2020","International","Not EU","Vietnam [Viet Nam]","17 and under","Female","5","0","0"
"2021","International","Not EU","Vietnam [Viet Nam]","17 and under","Female","5","0","0"
"2022","International","Not EU","Vietnam [Viet Nam]","17 and under","Female","5","0","0"
"2022","International","Not EU","Russian Federation","17 and under","Female","5","0","0"
"2019","UK","England","England","18","Female","8770","6590","6545"
"2020","UK","England","England","18","Female","12350","10085","10015"
"2021","UK","England","England","18","Female","9500","6365","6300"
"2022","UK","England","England","18","Female","12935","8020","7895"
"2023","UK","England","England","18","Female","13195","8640","8550"
"2019","UK","Northern Ireland","Northern Ireland","18","Female","525","200","190"
"2020","UK","Northern Ireland","Northern Ireland","18","Female","515","265","265"
"2021","UK","Northern Ireland","Northern Ireland","18","Female","505","210","205"
"2022","UK","Northern Ireland","Northern Ireland","18","Female","660","280","270"
"2023","UK","Northern Ireland","Northern Ireland","18","Female","625","230","220"
"2019","UK","Scotland","Scotland","18","Female","270","125","115"
"2020","UK","Scotland","Scotland","18","Female","350","220","215"
"2021","UK","Scotland","Scotland","18","Female","200","95","90"
"2022","UK","Scotland","Scotland","18","Female","325","135","125"
"2023","UK","Scotland","Scotland","18","Female","360","190","190"
"2019","UK","Wales","Wales","18","Female","305","240","235"
"2020","UK","Wales","Wales","18","Female","430","355","350"
"2021","UK","Wales","Wales","18","Female","330","210","205"
"2022","UK","Wales","Wales","18","Female","530","310","300"
"2023","UK","Wales","Wales","18","Female","435","265","265"
"2019","International","EU (excluding UK)","Austria","18","Female","15","5","5"
"2020","International","EU (excluding UK)","Austria","18","Female","10","0","0"
"2021","International","EU (excluding UK)","Austria","18","Female","5","0","0"
"2022","International","EU (excluding UK)","Austria","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Austria","18","Female","10","0","0"
