"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2019","UK","Wales","Wales","25 - 29","Female","10","5","5"
"2020","UK","Wales","Wales","25 - 29","Female","10","10","10"
"2021","UK","Wales","Wales","25 - 29","Female","10","0","0"
"2022","UK","Wales","Wales","25 - 29","Female","15","5","0"
"2023","UK","Wales","Wales","25 - 29","Female","20","10","10"
"2020","International","EU (excluding UK)","Finland","25 - 29","Female","5","0","0"
"2020","International","EU (excluding UK)","Ireland","25 - 29","Female","5","0","0"
"2021","International","EU (excluding UK)","Ireland","25 - 29","Female","5","0","0"
"2019","International","Not EU","Canada","25 - 29","Female","5","0","0"
"2020","International","Not EU","Canada","25 - 29","Female","5","0","0"
"2021","International","Not EU","Canada","25 - 29","Female","5","0","0"
"2022","International","Not EU","Canada","25 - 29","Female","10","0","0"
"2023","International","Not EU","Canada","25 - 29","Female","5","0","0"
"2023","International","Not EU","Nigeria","25 - 29","Female","5","0","0"
"2021","International","Not EU","United States of America","25 - 29","Female","5","0","0"
"2023","International","Not EU","United States of America","25 - 29","Female","5","0","0"
"2019","UK","England","England","30 - 34","Female","95","65","60"
"2020","UK","England","England","30 - 34","Female","120","75","65"
"2021","UK","England","England","30 - 34","Female","125","65","60"
"2022","UK","England","England","30 - 34","Female","110","60","55"
"2023","UK","England","England","30 - 34","Female","105","60","55"
"2019","UK","Northern Ireland","Northern Ireland","30 - 34","Female","5","5","5"
"2021","UK","Northern Ireland","Northern Ireland","30 - 34","Female","5","5","5"
"2022","UK","Northern Ireland","Northern Ireland","30 - 34","Female","10","5","5"
"2023","UK","Northern Ireland","Northern Ireland","30 - 34","Female","5","5","5"
"2019","UK","Scotland","Scotland","30 - 34","Female","20","5","5"
"2020","UK","Scotland","Scotland","30 - 34","Female","15","5","5"
"2021","UK","Scotland","Scotland","30 - 34","Female","20","0","0"
"2022","UK","Scotland","Scotland","30 - 34","Female","40","15","15"
"2023","UK","Scotland","Scotland","30 - 34","Female","20","5","5"
"2020","UK","Wales","Wales","30 - 34","Female","10","5","5"
"2021","UK","Wales","Wales","30 - 34","Female","10","5","5"
"2022","UK","Wales","Wales","30 - 34","Female","5","0","0"
"2023","UK","Wales","Wales","30 - 34","Female","5","0","0"
"2021","International","Not EU","Nigeria","30 - 34","Female","5","0","0"
"2021","International","Not EU","United States of America","30 - 34","Female","5","0","0"
"2019","UK","England","England","35 and over","Female","130","100","90"
"2020","UK","England","England","35 and over","Female","195","140","125"
"2021","UK","England","England","35 and over","Female","230","150","140"
"2022","UK","England","England","35 and over","Female","235","120","105"
"2023","UK","England","England","35 and over","Female","215","120","100"
"2020","UK","Northern Ireland","Northern Ireland","35 and over","Female","5","0","0"
"2021","UK","Northern Ireland","Northern Ireland","35 and over","Female","10","5","5"
"2022","UK","Northern Ireland","Northern Ireland","35 and over","Female","10","5","5"
"2023","UK","Northern Ireland","Northern Ireland","35 and over","Female","10","5","5"
"2019","UK","Scotland","Scotland","35 and over","Female","20","5","5"
"2020","UK","Scotland","Scotland","35 and over","Female","25","10","10"
"2021","UK","Scotland","Scotland","35 and over","Female","25","5","5"
"2022","UK","Scotland","Scotland","35 and over","Female","35","15","10"
"2023","UK","Scotland","Scotland","35 and over","Female","35","10","10"
"2019","UK","Wales","Wales","35 and over","Female","5","5","5"
"2020","UK","Wales","Wales","35 and over","Female","10","5","5"
"2021","UK","Wales","Wales","35 and over","Female","15","5","5"
"2022","UK","Wales","Wales","35 and over","Female","20","5","5"
"2023","UK","Wales","Wales","35 and over","Female","15","5","5"
"2021","International","Not EU","Nigeria","35 and over","Female","5","0","0"
"2022","International","Not EU","Nigeria","35 and over","Female","5","0","0"
"2019","UK","England","England","17 and under","Male","15","10","10"
"2020","UK","England","England","17 and under","Male","25","20","20"
"2021","UK","England","England","17 and under","Male","20","10","10"
"2022","UK","England","England","17 and under","Male","25","10","10"
"2023","UK","England","England","17 and under","Male","20","10","10"
"2019","UK","Northern Ireland","Northern Ireland","17 and under","Male","5","5","5"
"2019","UK","Scotland","Scotland","17 and under","Male","10","5","5"
"2020","UK","Scotland","Scotland","17 and under","Male","10","5","5"
"2021","UK","Scotland","Scotland","17 and under","Male","10","0","0"
"2022","UK","Scotland","Scotland","17 and under","Male","15","5","5"
"2023","UK","Scotland","Scotland","17 and under","Male","20","5","5"
"2020","International","EU (excluding UK)","Belgium","17 and under","Male","5","0","0"
"2019","International","EU (excluding UK)","France","17 and under","Male","10","0","0"
"2020","International","EU (excluding UK)","France","17 and under","Male","15","5","5"
"2021","International","EU (excluding UK)","France","17 and under","Male","10","5","0"
"2022","International","EU (excluding UK)","France","17 and under","Male","5","0","0"
"2023","International","EU (excluding UK)","France","17 and under","Male","5","0","0"
"2020","International","EU (excluding UK)","Germany","17 and under","Male","5","0","0"
"2022","International","EU (excluding UK)","Germany","17 and under","Male","5","0","0"
"2019","International","EU (excluding UK)","Greece","17 and under","Male","5","5","5"
"2020","International","EU (excluding UK)","Greece","17 and under","Male","10","5","5"
"2021","International","EU (excluding UK)","Greece","17 and under","Male","5","0","0"
"2023","International","EU (excluding UK)","Greece","17 and under","Male","5","0","0"
"2019","International","EU (excluding UK)","Ireland","17 and under","Male","5","5","0"
"2021","International","EU (excluding UK)","Ireland","17 and under","Male","10","5","5"
"2023","International","EU (excluding UK)","Ireland","17 and under","Male","5","0","0"
"2019","International","EU (excluding UK)","Italy","17 and under","Male","5","0","0"
"2020","International","EU (excluding UK)","Italy","17 and under","Male","5","0","0"
"2022","International","EU (excluding UK)","Italy","17 and under","Male","5","0","0"
"2023","International","EU (excluding UK)","Italy","17 and under","Male","5","0","0"
"2021","International","EU (excluding UK)","Poland","17 and under","Male","5","0","0"
"2020","International","EU (excluding UK)","Portugal","17 and under","Male","5","0","0"
"2019","International","EU (excluding UK)","Spain","17 and under","Male","15","5","5"
"2020","International","EU (excluding UK)","Spain","17 and under","Male","20","10","10"
"2021","International","EU (excluding UK)","Spain","17 and under","Male","10","0","0"
"2022","International","EU (excluding UK)","Spain","17 and under","Male","10","0","0"
"2023","International","EU (excluding UK)","Spain","17 and under","Male","10","5","5"
"2019","International","EU (excluding UK)","Canary Islands","17 and under","Male","5","5","5"
"2019","International","EU (excluding UK)","Cyprus (European Union)","17 and under","Male","5","0","0"
"2020","International","EU (excluding UK)","Cyprus (European Union)","17 and under","Male","5","5","5"
"2019","International","Not EU","China","17 and under","Male","5","5","5"
"2020","International","Not EU","China","17 and under","Male","20","10","10"
"2021","International","Not EU","China","17 and under","Male","10","5","0"
"2022","International","Not EU","China","17 and under","Male","15","0","0"
"2023","International","Not EU","China","17 and under","Male","10","0","0"
"2019","International","Not EU","Hong Kong","17 and under","Male","50","15","15"
"2020","International","Not EU","Hong Kong","17 and under","Male","55","20","20"
"2021","International","Not EU","Hong Kong","17 and under","Male","55","10","10"
"2022","International","Not EU","Hong Kong","17 and under","Male","60","5","5"
"2023","International","Not EU","Hong Kong","17 and under","Male","50","10","10"
"2019","International","Not EU","India","17 and under","Male","15","5","5"
"2020","International","Not EU","India","17 and under","Male","35","15","10"
"2021","International","Not EU","India","17 and under","Male","30","5","5"
"2022","International","Not EU","India","17 and under","Male","15","5","5"
"2023","International","Not EU","India","17 and under","Male","25","5","5"
"2020","International","Not EU","Indonesia","17 and under","Male","5","0","0"
"2021","International","Not EU","Indonesia","17 and under","Male","5","0","0"
"2020","International","Not EU","Jordan","17 and under","Male","5","0","0"
"2022","International","Not EU","Jordan","17 and under","Male","5","0","0"
"2023","International","Not EU","Jordan","17 and under","Male","5","0","0"
"2020","International","Not EU","Korea, Republic of","17 and under","Male","5","0","0"
"2020","International","Not EU","Lebanon","17 and under","Male","5","0","0"
"2019","International","Not EU","Malaysia","17 and under","Male","5","0","0"
"2020","International","Not EU","Malaysia","17 and under","Male","5","0","0"
"2021","International","Not EU","Malaysia","17 and under","Male","5","0","0"
"2023","International","Not EU","Malaysia","17 and under","Male","5","0","0"
"2023","International","Not EU","Oman","17 and under","Male","5","0","0"
"2019","International","Not EU","Nigeria","17 and under","Male","5","5","5"
"2020","International","Not EU","Nigeria","17 and under","Male","10","10","10"
"2021","International","Not EU","Nigeria","17 and under","Male","5","5","5"
"2022","International","Not EU","Nigeria","17 and under","Male","10","5","5"
"2023","International","Not EU","Nigeria","17 and under","Male","5","0","0"
"2019","International","Not EU","Pakistan","17 and under","Male","5","0","0"
"2020","International","Not EU","Pakistan","17 and under","Male","5","5","5"
"2021","International","Not EU","Pakistan","17 and under","Male","5","5","5"
"2020","International","Not EU","Saudi Arabia","17 and under","Male","5","0","0"
"2021","International","Not EU","Saudi Arabia","17 and under","Male","5","0","0"
"2022","International","Not EU","Saudi Arabia","17 and under","Male","5","0","0"
"2020","International","Not EU","Singapore","17 and under","Male","5","0","0"
"2021","International","Not EU","Singapore","17 and under","Male","5","0","0"
"2022","International","Not EU","Singapore","17 and under","Male","5","0","0"
"2023","International","Not EU","Singapore","17 and under","Male","5","0","0"
"2019","International","Not EU","Switzerland","17 and under","Male","5","0","0"
"2020","International","Not EU","Switzerland","17 and under","Male","5","0","0"
"2021","International","Not EU","Switzerland","17 and under","Male","5","0","0"
"2022","International","Not EU","Switzerland","17 and under","Male","5","0","0"
"2023","International","Not EU","Switzerland","17 and under","Male","5","0","0"
"2019","International","Not EU","United Arab Emirates","17 and under","Male","5","5","5"
"2020","International","Not EU","United Arab Emirates","17 and under","Male","15","5","5"
"2021","International","Not EU","United Arab Emirates","17 and under","Male","15","0","0"
"2022","International","Not EU","United Arab Emirates","17 and under","Male","5","0","0"
"2023","International","Not EU","United Arab Emirates","17 and under","Male","20","5","5"
"2020","International","Not EU","Turkey","17 and under","Male","5","0","0"
"2022","International","Not EU","Turkey","17 and under","Male","5","0","0"
"2019","International","Not EU","Egypt","17 and under","Male","5","0","0"
"2021","International","Not EU","Egypt","17 and under","Male","5","0","0"
"2022","International","Not EU","Egypt","17 and under","Male","5","0","0"
"2023","International","Not EU","Egypt","17 and under","Male","5","0","0"
"2021","International","Not EU","United States of America","17 and under","Male","5","0","0"
"2022","International","Not EU","United States of America","17 and under","Male","5","0","0"
"2023","International","Not EU","United States of America","17 and under","Male","5","0","0"
"2022","International","Not EU","Vietnam [Viet Nam]","17 and under","Male","5","0","0"
"2020","International","Not EU","Azerbaijan","17 and under","Male","5","0","0"
"2022","International","Not EU","Russian Federation","17 and under","Male","5","0","0"
"2019","UK","England","England","18","Male","6985","4965","4930"
"2020","UK","England","England","18","Male","10065","8210","8165"
"2021","UK","England","England","18","Male","7640","5055","5015"
"2022","UK","England","England","18","Male","10650","6045","5980"
"2023","UK","England","England","18","Male","10845","6715","6645"
"2019","UK","Northern Ireland","Northern Ireland","18","Male","315","125","115"
"2020","UK","Northern Ireland","Northern Ireland","18","Male","310","170","165"
"2021","UK","Northern Ireland","Northern Ireland","18","Male","270","110","110"
"2022","UK","Northern Ireland","Northern Ireland","18","Male","420","170","165"
"2023","UK","Northern Ireland","Northern Ireland","18","Male","375","135","130"
"2019","UK","Scotland","Scotland","18","Male","200","100","95"
"2020","UK","Scotland","Scotland","18","Male","220","145","145"
"2021","UK","Scotland","Scotland","18","Male","180","75","70"
"2022","UK","Scotland","Scotland","18","Male","240","115","110"
"2023","UK","Scotland","Scotland","18","Male","300","160","155"
"2019","UK","Wales","Wales","18","Male","230","155","155"
"2020","UK","Wales","Wales","18","Male","305","245","240"
"2021","UK","Wales","Wales","18","Male","200","125","125"
"2022","UK","Wales","Wales","18","Male","345","205","205"
"2023","UK","Wales","Wales","18","Male","320","175","175"
"2019","International","EU (excluding UK)","Austria","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Austria","18","Male","5","0","0"
"2021","International","EU (excluding UK)","Austria","18","Male","5","0","0"
"2022","International","EU (excluding UK)","Austria","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Austria","18","Male","5","0","0"
"2019","International","EU (excluding UK)","Belgium","18","Male","15","5","5"
"2020","International","EU (excluding UK)","Belgium","18","Male","5","5","5"
"2021","International","EU (excluding UK)","Belgium","18","Male","5","5","5"
"2022","International","EU (excluding UK)","Belgium","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Belgium","18","Male","10","5","5"
"2019","International","EU (excluding UK)","Bulgaria","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Bulgaria","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Denmark","18","Male","5","5","5"
"2019","International","EU (excluding UK)","Finland","18","Male","5","0","0"
"2021","International","EU (excluding UK)","Finland","18","Male","5","0","0"
"2019","International","EU (excluding UK)","France","18","Male","25","5","5"
"2020","International","EU (excluding UK)","France","18","Male","45","15","15"
"2021","International","EU (excluding UK)","France","18","Male","20","0","0"
"2022","International","EU (excluding UK)","France","18","Male","25","5","5"
"2023","International","EU (excluding UK)","France","18","Male","20","5","5"
"2019","International","EU (excluding UK)","Germany","18","Male","25","5","5"
"2020","International","EU (excluding UK)","Germany","18","Male","35","5","5"
"2021","International","EU (excluding UK)","Germany","18","Male","25","0","0"
"2022","International","EU (excluding UK)","Germany","18","Male","15","0","0"
"2023","International","EU (excluding UK)","Germany","18","Male","20","0","0"
"2019","International","EU (excluding UK)","Greece","18","Male","20","10","10"
"2020","International","EU (excluding UK)","Greece","18","Male","20","15","15"
"2021","International","EU (excluding UK)","Greece","18","Male","10","0","0"
"2022","International","EU (excluding UK)","Greece","18","Male","10","0","0"
"2023","International","EU (excluding UK)","Greece","18","Male","15","5","5"
"2019","International","EU (excluding UK)","Hungary","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Hungary","18","Male","5","0","0"
"2022","International","EU (excluding UK)","Hungary","18","Male","5","0","0"
"2019","International","EU (excluding UK)","Ireland","18","Male","30","10","10"
"2020","International","EU (excluding UK)","Ireland","18","Male","15","0","0"
"2021","International","EU (excluding UK)","Ireland","18","Male","45","5","5"
"2022","International","EU (excluding UK)","Ireland","18","Male","15","5","5"
"2023","International","EU (excluding UK)","Ireland","18","Male","55","10","10"
"2019","International","EU (excluding UK)","Italy","18","Male","25","5","5"
"2020","International","EU (excluding UK)","Italy","18","Male","25","15","15"
"2021","International","EU (excluding UK)","Italy","18","Male","30","5","5"
"2022","International","EU (excluding UK)","Italy","18","Male","15","5","5"
"2023","International","EU (excluding UK)","Italy","18","Male","20","5","5"
"2019","International","EU (excluding UK)","Luxembourg","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Luxembourg","18","Male","5","5","5"
"2021","International","EU (excluding UK)","Luxembourg","18","Male","5","0","0"
"2022","International","EU (excluding UK)","Luxembourg","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Luxembourg","18","Male","5","0","0"
"2019","International","EU (excluding UK)","Netherlands","18","Male","10","5","5"
"2020","International","EU (excluding UK)","Netherlands","18","Male","10","5","5"
"2021","International","EU (excluding UK)","Netherlands","18","Male","5","0","0"
"2022","International","EU (excluding UK)","Netherlands","18","Male","10","0","0"
"2023","International","EU (excluding UK)","Netherlands","18","Male","10","0","0"
"2019","International","EU (excluding UK)","Poland","18","Male","10","5","5"
"2020","International","EU (excluding UK)","Poland","18","Male","15","5","5"
"2021","International","EU (excluding UK)","Poland","18","Male","10","0","0"
"2022","International","EU (excluding UK)","Poland","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Poland","18","Male","15","5","5"
"2019","International","EU (excluding UK)","Portugal","18","Male","5","5","5"
"2020","International","EU (excluding UK)","Portugal","18","Male","15","5","5"
"2021","International","EU (excluding UK)","Portugal","18","Male","20","5","5"
"2022","International","EU (excluding UK)","Portugal","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Portugal","18","Male","10","0","0"
"2019","International","EU (excluding UK)","Romania","18","Male","10","5","5"
"2020","International","EU (excluding UK)","Romania","18","Male","15","0","0"
"2021","International","EU (excluding UK)","Romania","18","Male","5","0","0"
"2022","International","EU (excluding UK)","Romania","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Romania","18","Male","5","5","5"
"2019","International","EU (excluding UK)","Spain","18","Male","40","20","15"
"2020","International","EU (excluding UK)","Spain","18","Male","80","40","40"
"2021","International","EU (excluding UK)","Spain","18","Male","50","5","5"
"2022","International","EU (excluding UK)","Spain","18","Male","35","5","5"
"2023","International","EU (excluding UK)","Spain","18","Male","35","5","5"
"2019","International","EU (excluding UK)","Sweden","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Sweden","18","Male","10","5","5"
"2021","International","EU (excluding UK)","Sweden","18","Male","5","0","0"
"2022","International","EU (excluding UK)","Sweden","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Sweden","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Latvia","18","Male","5","0","0"
"2019","International","EU (excluding UK)","Lithuania","18","Male","10","5","5"
"2022","International","EU (excluding UK)","Lithuania","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Croatia","18","Male","5","0","0"
"2019","International","EU (excluding UK)","Czech Republic","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Czech Republic","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Czech Republic","18","Male","5","0","0"
"2020","International","EU (excluding UK)","Slovakia","18","Male","5","0","0"
"2023","International","EU (excluding UK)","Slovakia","18","Male","5","0","0"
"2019","International","EU (excluding UK)","Canary Islands","18","Male","5","5","5"
"2019","International","EU (excluding UK)","Cyprus (European Union)","18","Male","10","5","5"
"2020","International","EU (excluding UK)","Cyprus (European Union)","18","Male","25","20","20"
"2021","International","EU (excluding UK)","Cyprus (European Union)","18","Male","5","0","0"
"2019","International","Not EU","Guernsey","18","Male","5","5","5"
"2020","International","Not EU","Guernsey","18","Male","5","5","5"
"2022","International","Not EU","Guernsey","18","Male","10","5","5"
"2023","International","Not EU","Guernsey","18","Male","5","5","5"
"2019","International","Not EU","Jersey","18","Male","10","10","10"
"2020","International","Not EU","Jersey","18","Male","5","5","5"
"2021","International","Not EU","Jersey","18","Male","5","0","0"
"2022","International","Not EU","Jersey","18","Male","15","5","5"
"2023","International","Not EU","Jersey","18","Male","15","10","10"
"2019","International","Not EU","Isle of Man","18","Male","5","0","0"
"2020","International","Not EU","Isle of Man","18","Male","10","10","10"
"2021","International","Not EU","Isle of Man","18","Male","5","5","5"
"2022","International","Not EU","Isle of Man","18","Male","15","5","5"
"2023","International","Not EU","Isle of Man","18","Male","10","5","5"
"2023","International","Not EU","Australia","18","Male","5","0","0"
"2020","International","Not EU","Bahrain","18","Male","5","0","0"
"2021","International","Not EU","Bahrain","18","Male","10","5","5"
"2022","International","Not EU","Bahrain","18","Male","5","0","0"
"2023","International","Not EU","Bahrain","18","Male","5","5","5"
"2020","International","Not EU","Bermuda","18","Male","5","0","0"
"2023","International","Not EU","Bermuda","18","Male","5","0","0"
"2019","International","Not EU","Brazil","18","Male","5","0","0"
"2020","International","Not EU","Brazil","18","Male","5","0","0"
"2019","International","Not EU","Brunei Darussalam","18","Male","5","0","0"
"2020","International","Not EU","Brunei Darussalam","18","Male","5","0","0"
"2021","International","Not EU","Brunei Darussalam","18","Male","10","0","0"
"2022","International","Not EU","Brunei Darussalam","18","Male","10","5","5"
"2023","International","Not EU","Brunei Darussalam","18","Male","5","5","5"
"2021","International","Not EU","Burma (Myanmar)","18","Male","5","0","0"
"2022","International","Not EU","Burma (Myanmar)","18","Male","5","0","0"
"2023","International","Not EU","Canada","18","Male","5","0","0"
"2020","International","Not EU","Sri Lanka","18","Male","5","5","5"
"2021","International","Not EU","Sri Lanka","18","Male","5","0","0"
"2019","International","Not EU","China","18","Male","70","25","25"
"2020","International","Not EU","China","18","Male","185","125","125"
"2021","International","Not EU","China","18","Male","165","25","25"
"2022","International","Not EU","China","18","Male","135","25","20"
"2023","International","Not EU","China","18","Male","120","25","25"
"2020","International","Not EU","Taiwan","18","Male","5","5","5"
"2021","International","Not EU","Taiwan","18","Male","10","0","0"
"2023","International","Not EU","Taiwan","18","Male","5","0","0"
"2019","International","Not EU","Ghana","18","Male","5","5","5"
"2020","International","Not EU","Ghana","18","Male","5","0","0"
"2021","International","Not EU","Ghana","18","Male","5","5","5"
"2019","International","Not EU","Gibraltar","18","Male","10","5","5"
"2020","International","Not EU","Gibraltar","18","Male","10","10","10"
"2021","International","Not EU","Gibraltar","18","Male","5","5","5"
"2022","International","Not EU","Gibraltar","18","Male","10","5","5"
"2023","International","Not EU","Gibraltar","18","Male","10","10","10"
"2019","International","Not EU","Hong Kong","18","Male","155","40","40"
"2020","International","Not EU","Hong Kong","18","Male","205","85","85"
"2021","International","Not EU","Hong Kong","18","Male","190","30","25"
"2022","International","Not EU","Hong Kong","18","Male","145","40","40"
"2023","International","Not EU","Hong Kong","18","Male","180","45","45"
"2019","International","Not EU","India","18","Male","50","15","10"
"2020","International","Not EU","India","18","Male","115","45","45"
"2021","International","Not EU","India","18","Male","105","20","20"
"2022","International","Not EU","India","18","Male","75","15","15"
"2023","International","Not EU","India","18","Male","65","25","25"
"2019","International","Not EU","Indonesia","18","Male","10","0","0"
"2020","International","Not EU","Indonesia","18","Male","20","10","10"
"2021","International","Not EU","Indonesia","18","Male","10","5","5"
"2022","International","Not EU","Indonesia","18","Male","10","5","5"
"2023","International","Not EU","Indonesia","18","Male","5","0","0"
"2020","International","Not EU","Iran, Islamic Republic of","18","Male","5","5","5"
"2019","International","Not EU","Japan","18","Male","10","5","5"
"2020","International","Not EU","Japan","18","Male","10","5","5"
"2021","International","Not EU","Japan","18","Male","10","5","5"
"2022","International","Not EU","Japan","18","Male","10","0","0"
"2023","International","Not EU","Japan","18","Male","10","0","0"
"2019","International","Not EU","Jordan","18","Male","5","5","0"
"2020","International","Not EU","Jordan","18","Male","5","5","5"
"2021","International","Not EU","Jordan","18","Male","10","5","5"
"2022","International","Not EU","Jordan","18","Male","5","0","0"
"2023","International","Not EU","Jordan","18","Male","5","5","5"
"2019","International","Not EU","Kenya","18","Male","5","0","0"
"2020","International","Not EU","Kenya","18","Male","20","10","10"
"2021","International","Not EU","Kenya","18","Male","10","0","0"
"2022","International","Not EU","Kenya","18","Male","15","10","5"
"2023","International","Not EU","Kenya","18","Male","15","5","5"
"2019","International","Not EU","Korea, Republic of","18","Male","10","5","0"
"2020","International","Not EU","Korea, Republic of","18","Male","15","5","5"
"2021","International","Not EU","Korea, Republic of","18","Male","10","0","0"
"2022","International","Not EU","Korea, Republic of","18","Male","15","0","0"
"2023","International","Not EU","Korea, Republic of","18","Male","5","0","0"
"2019","International","Not EU","Kuwait","18","Male","5","5","5"
"2020","International","Not EU","Kuwait","18","Male","5","0","0"
"2023","International","Not EU","Kuwait","18","Male","5","5","5"
"2019","International","Not EU","Lebanon","18","Male","5","0","0"
"2020","International","Not EU","Lebanon","18","Male","5","0","0"
"2021","International","Not EU","Lebanon","18","Male","5","0","0"
"2020","International","Not EU","Macao","18","Male","5","0","0"
"2021","International","Not EU","Macao","18","Male","5","0","0"
"2023","International","Not EU","Macao","18","Male","5","0","0"
"2019","International","Not EU","Malaysia","18","Male","30","15","15"
"2020","International","Not EU","Malaysia","18","Male","40","15","15"
"2021","International","Not EU","Malaysia","18","Male","30","0","0"
"2022","International","Not EU","Malaysia","18","Male","25","5","5"
"2023","International","Not EU","Malaysia","18","Male","35","10","10"
"2020","International","Not EU","Morocco","18","Male","5","0","0"
"2022","International","Not EU","Morocco","18","Male","5","0","0"
"2019","International","Not EU","Oman","18","Male","5","0","0"
"2021","International","Not EU","Oman","18","Male","5","0","0"
"2022","International","Not EU","Oman","18","Male","10","5","5"
"2019","International","Not EU","Nigeria","18","Male","15","10","10"
"2020","International","Not EU","Nigeria","18","Male","15","15","15"
"2021","International","Not EU","Nigeria","18","Male","15","10","10"
"2022","International","Not EU","Nigeria","18","Male","5","5","0"
"2023","International","Not EU","Nigeria","18","Male","15","15","10"
"2019","International","Not EU","Norway","18","Male","5","0","0"
"2020","International","Not EU","Norway","18","Male","5","5","5"
"2021","International","Not EU","Norway","18","Male","5","0","0"
"2022","International","Not EU","Norway","18","Male","5","0","0"
"2023","International","Not EU","Norway","18","Male","5","0","0"
"2019","International","Not EU","Pakistan","18","Male","15","10","10"
"2020","International","Not EU","Pakistan","18","Male","40","25","20"
"2021","International","Not EU","Pakistan","18","Male","20","5","5"
"2022","International","Not EU","Pakistan","18","Male","20","10","10"
"2023","International","Not EU","Pakistan","18","Male","15","5","5"
"2022","International","Not EU","Philippines","18","Male","5","0","0"
"2019","International","Not EU","Qatar","18","Male","5","5","5"
"2020","International","Not EU","Qatar","18","Male","5","5","5"
"2021","International","Not EU","Qatar","18","Male","5","0","0"
"2022","International","Not EU","Qatar","18","Male","5","0","0"
"2023","International","Not EU","Qatar","18","Male","10","5","5"
"2019","International","Not EU","Saudi Arabia","18","Male","5","0","0"
"2020","International","Not EU","Saudi Arabia","18","Male","15","10","10"
"2021","International","Not EU","Saudi Arabia","18","Male","15","5","5"
"2022","International","Not EU","Saudi Arabia","18","Male","5","0","0"
"2023","International","Not EU","Saudi Arabia","18","Male","20","5","5"
"2019","International","Not EU","Singapore","18","Male","5","0","0"
"2020","International","Not EU","Singapore","18","Male","15","5","5"
"2021","International","Not EU","Singapore","18","Male","20","0","0"
"2022","International","Not EU","Singapore","18","Male","25","0","0"
"2023","International","Not EU","Singapore","18","Male","25","5","5"
"2021","International","Not EU","South Africa","18","Male","5","0","0"
"2019","International","Not EU","Switzerland","18","Male","20","5","5"
"2020","International","Not EU","Switzerland","18","Male","20","5","5"
"2021","International","Not EU","Switzerland","18","Male","35","5","5"
"2022","International","Not EU","Switzerland","18","Male","35","5","5"
"2023","International","Not EU","Switzerland","18","Male","20","5","5"
"2023","International","Not EU","Tanzania, United Republic of","18","Male","5","0","0"
"2019","International","Not EU","Thailand","18","Male","10","5","5"
"2020","International","Not EU","Thailand","18","Male","15","10","10"
"2021","International","Not EU","Thailand","18","Male","20","5","5"
"2022","International","Not EU","Thailand","18","Male","20","5","5"
"2023","International","Not EU","Thailand","18","Male","15","5","5"
"2019","International","Not EU","United Arab Emirates","18","Male","30","10","10"
"2020","International","Not EU","United Arab Emirates","18","Male","50","20","20"
"2021","International","Not EU","United Arab Emirates","18","Male","50","10","10"
"2022","International","Not EU","United Arab Emirates","18","Male","40","15","15"
"2023","International","Not EU","United Arab Emirates","18","Male","55","20","15"
"2019","International","Not EU","Turkey","18","Male","5","0","0"
"2020","International","Not EU","Turkey","18","Male","5","0","0"
"2021","International","Not EU","Turkey","18","Male","10","0","0"
"2022","International","Not EU","Turkey","18","Male","10","0","0"
"2023","International","Not EU","Turkey","18","Male","10","0","0"
"2023","International","Not EU","Uganda","18","Male","5","0","0"
"2019","International","Not EU","Egypt","18","Male","5","0","0"
"2020","International","Not EU","Egypt","18","Male","5","0","0"
"2022","International","Not EU","Egypt","18","Male","10","5","5"
"2023","International","Not EU","Egypt","18","Male","5","0","0"
"2019","International","Not EU","United States of America","18","Male","10","0","0"
"2020","International","Not EU","United States of America","18","Male","15","5","5"
"2021","International","Not EU","United States of America","18","Male","10","0","0"
"2022","International","Not EU","United States of America","18","Male","20","0","0"
"2023","International","Not EU","United States of America","18","Male","10","5","0"
"2019","International","Not EU","Vietnam [Viet Nam]","18","Male","5","0","0"
"2020","International","Not EU","Vietnam [Viet Nam]","18","Male","5","5","5"
"2021","International","Not EU","Vietnam [Viet Nam]","18","Male","10","0","0"
"2022","International","Not EU","Vietnam [Viet Nam]","18","Male","5","5","5"
"2023","International","Not EU","Vietnam [Viet Nam]","18","Male","5","0","0"
"2020","International","Not EU","Zambia","18","Male","5","0","0"
"2020","International","Not EU","Not Known","18","Male","5","0","0"
"2019","International","Not EU","Bangladesh","18","Male","5","0","0"
"2021","International","Not EU","Cayman Islands","18","Male","5","0","0"
"2021","International","Not EU","Monaco","18","Male","5","0","0"
