"Year","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","35 and over","England","Female","Main scheme applicant","Main scheme application","1100","415","0.379","0"
"2023","35 and over","England","Female","Main scheme applicant","Main scheme application","980","425","0.435","0"
"2019","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2020","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2021","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2022","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2023","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","18","Scotland","Female","Main scheme applicant","Main scheme application","305","65","0.20600000000000002","0"
"2020","18","Scotland","Female","Main scheme applicant","Main scheme application","245","65","0.273","0"
"2021","18","Scotland","Female","Main scheme applicant","Main scheme application","350","55","0.161","0"
"2022","18","Scotland","Female","Main scheme applicant","Main scheme application","295","60","0.209","0"
"2023","18","Scotland","Female","Main scheme applicant","Main scheme application","195","55","0.272","0"
"2019","19","Scotland","Female","Main scheme applicant","Main scheme application","95","25","0.277","0"
"2020","19","Scotland","Female","Main scheme applicant","Main scheme application","85","25","0.321","0"
"2021","19","Scotland","Female","Main scheme applicant","Main scheme application","115","15","0.124","0"
"2022","19","Scotland","Female","Main scheme applicant","Main scheme application","100","20","0.2","0"
"2023","19","Scotland","Female","Main scheme applicant","Main scheme application","95","30","0.32","0"
"2019","20","Scotland","Female","Main scheme applicant","Main scheme application","50","10","0.216","0"
"2020","20","Scotland","Female","Main scheme applicant","Main scheme application","65","10","0.19","0"
"2021","20","Scotland","Female","Main scheme applicant","Main scheme application","65","10","0.149","0"
"2022","20","Scotland","Female","Main scheme applicant","Main scheme application","70","15","0.23500000000000001","0"
"2023","20","Scotland","Female","Main scheme applicant","Main scheme application","45","5"," ","0"
"2019","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","150","35","0.24","0"
"2020","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","200","45","0.222","0"
"2021","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","205","35","0.18","0"
"2022","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","200","40","0.212","0"
