"Year","Difference between predicted and achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","-1 points","All","England","All","Main scheme applicant","Not main scheme application","275","235","0.862","0"
"2018","-1 points","All","England","All","Main scheme applicant","Not main scheme application","240","215","0.891","0"
"2019","-1 points","All","England","All","Main scheme applicant","Not main scheme application","320","300","0.9380000000000001","0"
"2020","-1 points","All","England","All","Main scheme applicant","Not main scheme application","300","265","0.89","0"
"2021","-1 points","All","England","All","Main scheme applicant","Not main scheme application","395","360","0.912","0"
"2022","-1 points","All","England","All","Main scheme applicant","Not main scheme application","440","400","0.905","0"
"2023","-1 points","All","England","All","Main scheme applicant","Not main scheme application","445","400","0.905","0"
"2010","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2015","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2016","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2017","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2018","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2023","-1 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","-2 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","All","England","All","Main scheme applicant","Not main scheme application","100","70","0.6960000000000001","0"
"2011","-2 points","All","England","All","Main scheme applicant","Not main scheme application","120","90","0.744","0"
"2012","-2 points","All","England","All","Main scheme applicant","Not main scheme application","150","110","0.732","0"
"2013","-2 points","All","England","All","Main scheme applicant","Not main scheme application","165","125","0.77","0"
"2014","-2 points","All","England","All","Main scheme applicant","Not main scheme application","195","165","0.848","0"
"2015","-2 points","All","England","All","Main scheme applicant","Not main scheme application","235","200","0.855","0"
"2016","-2 points","All","England","All","Main scheme applicant","Not main scheme application","215","190","0.884","0"
"2017","-2 points","All","England","All","Main scheme applicant","Not main scheme application","145","125","0.876","0"
"2018","-2 points","All","England","All","Main scheme applicant","Not main scheme application","170","155","0.912","0"
"2019","-2 points","All","England","All","Main scheme applicant","Not main scheme application","200","185","0.906","0"
"2020","-2 points","All","England","All","Main scheme applicant","Not main scheme application","185","165","0.908","0"
"2021","-2 points","All","England","All","Main scheme applicant","Not main scheme application","230","210","0.904","0"
"2022","-2 points","All","England","All","Main scheme applicant","Not main scheme application","280","245","0.869","0"
"2023","-2 points","All","England","All","Main scheme applicant","Not main scheme application","290","270","0.924","0"
"2010","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2018","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2023","-2 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-3 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-3 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","-3 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-3 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","-3 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","-3 points","All","England","All","Main scheme applicant","Not main scheme application","50","35","0.729","0"
"2011","-3 points","All","England","All","Main scheme applicant","Not main scheme application","75","50","0.675","0"
"2012","-3 points","All","England","All","Main scheme applicant","Not main scheme application","95","75","0.8280000000000001","0"
"2013","-3 points","All","England","All","Main scheme applicant","Not main scheme application","105","85","0.8250000000000001","0"
"2014","-3 points","All","England","All","Main scheme applicant","Not main scheme application","115","95","0.812","0"
"2015","-3 points","All","England","All","Main scheme applicant","Not main scheme application","150","125","0.858","0"
"2016","-3 points","All","England","All","Main scheme applicant","Not main scheme application","120","100","0.8170000000000001","0"
"2017","-3 points","All","England","All","Main scheme applicant","Not main scheme application","90","80","0.848","0"
"2018","-3 points","All","England","All","Main scheme applicant","Not main scheme application","100","85","0.87","0"
"2019","-3 points","All","England","All","Main scheme applicant","Not main scheme application","110","95","0.872","0"
"2020","-3 points","All","England","All","Main scheme applicant","Not main scheme application","110","95","0.889","0"
"2021","-3 points","All","England","All","Main scheme applicant","Not main scheme application","150","145","0.9410000000000001","0"
"2022","-3 points","All","England","All","Main scheme applicant","Not main scheme application","160","130","0.8140000000000001","0"
"2023","-3 points","All","England","All","Main scheme applicant","Not main scheme application","135","120","0.897","0"
"2010","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","-4 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","-4 points","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-4 points","All","England","All","Main scheme applicant","Not main scheme application","35","25","0.765","0"
"2011","-4 points","All","England","All","Main scheme applicant","Not main scheme application","50","35","0.735","0"
"2012","-4 points","All","England","All","Main scheme applicant","Not main scheme application","70","50","0.722","0"
"2013","-4 points","All","England","All","Main scheme applicant","Not main scheme application","55","50","0.873","0"
"2014","-4 points","All","England","All","Main scheme applicant","Not main scheme application","90","70","0.787","0"
"2015","-4 points","All","England","All","Main scheme applicant","Not main scheme application","105","80","0.76","0"
"2016","-4 points","All","England","All","Main scheme applicant","Not main scheme application","65","55","0.859","0"
"2017","-4 points","All","England","All","Main scheme applicant","Not main scheme application","60","55","0.915","0"
"2018","-4 points","All","England","All","Main scheme applicant","Not main scheme application","55","50","0.875","0"
"2019","-4 points","All","England","All","Main scheme applicant","Not main scheme application","60","50","0.852","0"
"2020","-4 points","All","England","All","Main scheme applicant","Not main scheme application","65","60","0.923","0"
"2021","-4 points","All","England","All","Main scheme applicant","Not main scheme application","85","80","0.918","0"
"2022","-4 points","All","England","All","Main scheme applicant","Not main scheme application","95","75","0.781","0"
"2023","-4 points","All","England","All","Main scheme applicant","Not main scheme application","70","55","0.786","0"
"2012","-4 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-4 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-5 points","All","England","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","-5 points","All","England","All","Main scheme applicant","Not main scheme application","25","20","0.741","0"
"2012","-5 points","All","England","All","Main scheme applicant","Not main scheme application","30","25","0.75","0"
"2013","-5 points","All","England","All","Main scheme applicant","Not main scheme application","30","25","0.8","0"
"2014","-5 points","All","England","All","Main scheme applicant","Not main scheme application","55","45","0.833","0"
"2015","-5 points","All","England","All","Main scheme applicant","Not main scheme application","45","35","0.773","0"
"2016","-5 points","All","England","All","Main scheme applicant","Not main scheme application","35","25","0.735","0"
"2017","-5 points","All","England","All","Main scheme applicant","Not main scheme application","35","30","0.778","0"
"2018","-5 points","All","England","All","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2019","-5 points","All","England","All","Main scheme applicant","Not main scheme application","35","30","0.861","0"
"2020","-5 points","All","England","All","Main scheme applicant","Not main scheme application","25","25","1","0"
"2021","-5 points","All","England","All","Main scheme applicant","Not main scheme application","30","25","0.857","0"
"2022","-5 points","All","England","All","Main scheme applicant","Not main scheme application","50","35","0.72","0"
"2023","-5 points","All","England","All","Main scheme applicant","Not main scheme application","60","50","0.8310000000000001","0"
"2014","-5 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-6 points","All","England","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","-6 points","All","England","All","Main scheme applicant","Not main scheme application","20","15","0.722","0"
"2012","-6 points","All","England","All","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2013","-6 points","All","England","All","Main scheme applicant","Not main scheme application","20","15","0.889","0"
"2014","-6 points","All","England","All","Main scheme applicant","Not main scheme application","40","30","0.763","0"
"2015","-6 points","All","England","All","Main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2016","-6 points","All","England","All","Main scheme applicant","Not main scheme application","30","20","0.645","0"
"2017","-6 points","All","England","All","Main scheme applicant","Not main scheme application","25","20","0.769","0"
"2018","-6 points","All","England","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2019","-6 points","All","England","All","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2020","-6 points","All","England","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-6 points","All","England","All","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2022","-6 points","All","England","All","Main scheme applicant","Not main scheme application","25","20","0.72","0"
"2023","-6 points","All","England","All","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2010","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2012","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2013","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","35","25","0.788","0"
"2014","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","50","40","0.76","0"
"2015","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","65","50","0.797","0"
"2016","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","60","45","0.767","0"
"2017","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","55","45","0.836","0"
"2018","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","40","30","0.732","0"
"2019","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","45","35","0.841","0"
"2020","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2021","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2022","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","35","25","0.667","0"
"2023","Less than -6 points","All","England","All","Main scheme applicant","Not main scheme application","20","15","0.889","0"
"2015","Less than -6 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Less than -6 points","All","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","215","155","0.72","0"
"2011","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","245","160","0.642","0"
"2012","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","115","65","0.548","0"
"2013","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","110","75","0.676","0"
"2014","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","105","75","0.6920000000000001","0"
"2015","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","175","120","0.6970000000000001","0"
"2016","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","160","110","0.684","0"
"2017","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","115","85","0.722","0"
"2018","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","150","105","0.7000000000000001","0"
"2019","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","145","100","0.671","0"
"2020","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","180","135","0.751","0"
"2021","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","195","130","0.67","0"
"2022","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","160","105","0.658","0"
"2023","0 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","110","75","0.6910000000000001","0"
"2010","0 points","All","England","All","Main scheme applicant","Main scheme application","7605","5670","0.746","0"
"2011","0 points","All","England","All","Main scheme applicant","Main scheme application","8720","6595","0.757","0"
"2012","0 points","All","England","All","Main scheme applicant","Main scheme application","3505","2555","0.729","0"
"2013","0 points","All","England","All","Main scheme applicant","Main scheme application","5555","4260","0.766","0"
"2014","0 points","All","England","All","Main scheme applicant","Main scheme application","6940","5370","0.774","0"
"2015","0 points","All","England","All","Main scheme applicant","Main scheme application","8300","6430","0.775","0"
"2016","0 points","All","England","All","Main scheme applicant","Main scheme application","8425","6580","0.781","0"
"2017","0 points","All","England","All","Main scheme applicant","Main scheme application","8305","6590","0.794","0"
"2018","0 points","All","England","All","Main scheme applicant","Main scheme application","7845","6280","0.801","0"
"2019","0 points","All","England","All","Main scheme applicant","Main scheme application","7285","5850","0.803","0"
"2020","0 points","All","England","All","Main scheme applicant","Main scheme application","8005","6590","0.8230000000000001","0"
"2021","0 points","All","England","All","Main scheme applicant","Main scheme application","9120","7215","0.791","0"
"2022","0 points","All","England","All","Main scheme applicant","Main scheme application","6715","5000","0.745","0"
"2023","0 points","All","England","All","Main scheme applicant","Main scheme application","6240","4645","0.745","0"
"2011","0 points","All","Scotland","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","0 points","All","Scotland","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","0 points","All","Wales","All","Main scheme applicant","Main scheme application","360","280","0.777","0"
"2011","0 points","All","Wales","All","Main scheme applicant","Main scheme application","355","275","0.772","0"
"2012","0 points","All","Wales","All","Main scheme applicant","Main scheme application","185","135","0.715","0"
"2013","0 points","All","Wales","All","Main scheme applicant","Main scheme application","225","175","0.786","0"
"2014","0 points","All","Wales","All","Main scheme applicant","Main scheme application","250","200","0.801","0"
"2015","0 points","All","Wales","All","Main scheme applicant","Main scheme application","335","275","0.8170000000000001","0"
"2016","0 points","All","Wales","All","Main scheme applicant","Main scheme application","330","270","0.8160000000000001","0"
"2017","0 points","All","Wales","All","Main scheme applicant","Main scheme application","355","275","0.777","0"
"2018","0 points","All","Wales","All","Main scheme applicant","Main scheme application","350","275","0.778","0"
"2019","0 points","All","Wales","All","Main scheme applicant","Main scheme application","300","250","0.834","0"
"2020","0 points","All","Wales","All","Main scheme applicant","Main scheme application","320","260","0.807","0"
"2021","0 points","All","Wales","All","Main scheme applicant","Main scheme application","405","305","0.756","0"
"2022","0 points","All","Wales","All","Main scheme applicant","Main scheme application","275","195","0.707","0"
"2023","0 points","All","Wales","All","Main scheme applicant","Main scheme application","210","145","0.707","0"
"2010","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","100","75","0.73","0"
"2011","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","90","55","0.626","0"
"2012","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","70","55","0.75","0"
"2013","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","70","40","0.577","0"
"2014","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","70","55","0.757","0"
"2015","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","80","50","0.634","0"
"2016","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","100","75","0.75","0"
"2017","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","95","65","0.6950000000000001","0"
"2018","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","90","65","0.728","0"
"2019","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","75","50","0.632","0"
"2020","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","105","80","0.738","0"
"2021","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","85","55","0.679","0"
"2022","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","75","55","0.6880000000000001","0"
"2023","1 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","80","50","0.642","0"
"2010","1 points","All","England","All","Main scheme applicant","Main scheme application","4115","3140","0.764","0"
"2011","1 points","All","England","All","Main scheme applicant","Main scheme application","4220","3250","0.771","0"
"2012","1 points","All","England","All","Main scheme applicant","Main scheme application","3740","2840","0.759","0"
"2013","1 points","All","England","All","Main scheme applicant","Main scheme application","3470","2725","0.785","0"
"2014","1 points","All","England","All","Main scheme applicant","Main scheme application","3785","2975","0.786","0"
"2015","1 points","All","England","All","Main scheme applicant","Main scheme application","4395","3475","0.791","0"
"2016","1 points","All","England","All","Main scheme applicant","Main scheme application","4515","3545","0.786","0"
"2017","1 points","All","England","All","Main scheme applicant","Main scheme application","4220","3355","0.795","0"
"2018","1 points","All","England","All","Main scheme applicant","Main scheme application","3770","2960","0.786","0"
"2019","1 points","All","England","All","Main scheme applicant","Main scheme application","3615","2860","0.79","0"
"2020","1 points","All","England","All","Main scheme applicant","Main scheme application","4185","3405","0.8130000000000001","0"
"2021","1 points","All","England","All","Main scheme applicant","Main scheme application","4775","3780","0.791","0"
"2022","1 points","All","England","All","Main scheme applicant","Main scheme application","4430","3385","0.764","0"
"2023","1 points","All","England","All","Main scheme applicant","Main scheme application","4080","3165","0.776","0"
"2010","1 points","All","Wales","All","Main scheme applicant","Main scheme application","185","140","0.757","0"
"2011","1 points","All","Wales","All","Main scheme applicant","Main scheme application","180","145","0.806","0"
"2012","1 points","All","Wales","All","Main scheme applicant","Main scheme application","160","115","0.72","0"
"2013","1 points","All","Wales","All","Main scheme applicant","Main scheme application","155","120","0.771","0"
"2014","1 points","All","Wales","All","Main scheme applicant","Main scheme application","145","120","0.8150000000000001","0"
"2015","1 points","All","Wales","All","Main scheme applicant","Main scheme application","195","155","0.799","0"
"2016","1 points","All","Wales","All","Main scheme applicant","Main scheme application","185","140","0.761","0"
"2017","1 points","All","Wales","All","Main scheme applicant","Main scheme application","170","140","0.8250000000000001","0"
"2018","1 points","All","Wales","All","Main scheme applicant","Main scheme application","200","175","0.875","0"
"2019","1 points","All","Wales","All","Main scheme applicant","Main scheme application","150","125","0.8270000000000001","0"
"2020","1 points","All","Wales","All","Main scheme applicant","Main scheme application","155","125","0.81","0"
"2021","1 points","All","Wales","All","Main scheme applicant","Main scheme application","175","140","0.8","0"
"2022","1 points","All","Wales","All","Main scheme applicant","Main scheme application","120","90","0.739","0"
"2023","1 points","All","Wales","All","Main scheme applicant","Main scheme application","135","105","0.805","0"
"2010","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","40","25","0.6920000000000001","0"
"2011","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","35","25","0.735","0"
"2012","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","40","30","0.762","0"
"2013","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","50","35","0.75","0"
"2014","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","35","25","0.6940000000000001","0"
"2015","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","40","35","0.786","0"
"2016","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","60","45","0.746","0"
"2017","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","45","30","0.681","0"
"2018","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","35","30","0.778","0"
"2019","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","40","30","0.6900000000000001","0"
"2020","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","60","45","0.733","0"
"2021","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","45","30","0.636","0"
"2022","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","25","20","0.808","0"
"2023","2 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","40","30","0.707","0"
"2010","2 points","All","England","All","Main scheme applicant","Main scheme application","1895","1470","0.776","0"
"2011","2 points","All","England","All","Main scheme applicant","Main scheme application","1845","1420","0.769","0"
"2012","2 points","All","England","All","Main scheme applicant","Main scheme application","2140","1605","0.75","0"
"2013","2 points","All","England","All","Main scheme applicant","Main scheme application","2315","1755","0.758","0"
"2014","2 points","All","England","All","Main scheme applicant","Main scheme application","2495","1980","0.794","0"
"2015","2 points","All","England","All","Main scheme applicant","Main scheme application","2520","1965","0.78","0"
"2016","2 points","All","England","All","Main scheme applicant","Main scheme application","2475","1935","0.782","0"
"2017","2 points","All","England","All","Main scheme applicant","Main scheme application","2290","1810","0.792","0"
"2018","2 points","All","England","All","Main scheme applicant","Main scheme application","1995","1535","0.77","0"
"2019","2 points","All","England","All","Main scheme applicant","Main scheme application","1675","1335","0.797","0"
"2020","2 points","All","England","All","Main scheme applicant","Main scheme application","2065","1620","0.785","0"
"2021","2 points","All","England","All","Main scheme applicant","Main scheme application","2570","2010","0.783","0"
"2022","2 points","All","England","All","Main scheme applicant","Main scheme application","2350","1800","0.767","0"
"2023","2 points","All","England","All","Main scheme applicant","Main scheme application","1945","1525","0.785","0"
"2010","2 points","All","Wales","All","Main scheme applicant","Main scheme application","90","75","0.8240000000000001","0"
"2011","2 points","All","Wales","All","Main scheme applicant","Main scheme application","95","70","0.734","0"
"2012","2 points","All","Wales","All","Main scheme applicant","Main scheme application","95","70","0.716","0"
"2013","2 points","All","Wales","All","Main scheme applicant","Main scheme application","75","65","0.8310000000000001","0"
"2014","2 points","All","Wales","All","Main scheme applicant","Main scheme application","95","75","0.809","0"
"2015","2 points","All","Wales","All","Main scheme applicant","Main scheme application","125","95","0.789","0"
"2016","2 points","All","Wales","All","Main scheme applicant","Main scheme application","90","75","0.854","0"
"2017","2 points","All","Wales","All","Main scheme applicant","Main scheme application","90","70","0.809","0"
"2018","2 points","All","Wales","All","Main scheme applicant","Main scheme application","95","80","0.8230000000000001","0"
"2019","2 points","All","Wales","All","Main scheme applicant","Main scheme application","65","55","0.864","0"
"2020","2 points","All","Wales","All","Main scheme applicant","Main scheme application","80","65","0.8210000000000001","0"
"2021","2 points","All","Wales","All","Main scheme applicant","Main scheme application","95","75","0.809","0"
"2022","2 points","All","Wales","All","Main scheme applicant","Main scheme application","70","55","0.757","0"
"2023","2 points","All","Wales","All","Main scheme applicant","Main scheme application","55","40","0.792","0"
"2010","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","25","25","0.963","0"
"2013","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","40","25","0.643","0"
"2014","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","20","15","0.81","0"
"2015","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","25","20","0.792","0"
"2016","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","20","15","0.8","0"
"2017","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","30","25","0.806","0"
"2018","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","25","20","0.667","0"
"2019","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","25","20","0.778","0"
"2020","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","30","20","0.6880000000000001","0"
"2021","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","40","30","0.789","0"
"2022","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","15","10","0.6880000000000001","0"
"2023","3 points","All","Northern Ireland","All","Main scheme applicant","Main scheme application","20","15","0.842","0"
"2010","3 points","All","England","All","Main scheme applicant","Main scheme application","610","470","0.77","0"
"2011","3 points","All","England","All","Main scheme applicant","Main scheme application","530","400","0.752","0"
"2012","3 points","All","England","All","Main scheme applicant","Main scheme application","2530","1965","0.776","0"
"2013","3 points","All","England","All","Main scheme applicant","Main scheme application","2215","1705","0.77","0"
"2014","3 points","All","England","All","Main scheme applicant","Main scheme application","2180","1700","0.78","0"
"2015","3 points","All","England","All","Main scheme applicant","Main scheme application","1840","1410","0.766","0"
