"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2012","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2013","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2014","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2015","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2016","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2017","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20"
"2018","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2019","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2020","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2021","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2022","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2023","Direct Clearing","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30"
"2006","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2007","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2008","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2009","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2010","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2011","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2012","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2016","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2017","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2019","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2021","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2023","RPA","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2006","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2007","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30"
"2008","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2009","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2010","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2011","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2012","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2013","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20"
"2014","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20"
"2015","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2016","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2017","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2018","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2019","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30"
"2020","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35"
"2021","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25"
"2022","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35"
"2023","Direct Clearing","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2006","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2007","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
