"Year","Age group","Individual age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2006","17 and under","17 and under","Northern Ireland","Female","240","155","0.642"
"2007","17 and under","17 and under","Northern Ireland","Female","205","165","0.795"
"2008","17 and under","17 and under","Northern Ireland","Female","140","90","0.65"
"2009","17 and under","17 and under","Northern Ireland","Female","150","110","0.727"
"2010","17 and under","17 and under","Northern Ireland","Female","145","100","0.6900000000000001"
"2011","17 and under","17 and under","Northern Ireland","Female","120","85","0.717"
"2012","17 and under","17 and under","Northern Ireland","Female","155","115","0.729"
"2013","17 and under","17 and under","Northern Ireland","Female","85","50","0.588"
"2014","17 and under","17 and under","Northern Ireland","Female","75","55","0.733"
"2015","17 and under","17 and under","Northern Ireland","Female","95","75","0.8"
"2016","17 and under","17 and under","Northern Ireland","Female","130","90","0.6920000000000001"
"2017","17 and under","17 and under","Northern Ireland","Female","60","30","0.5"
"2018","17 and under","17 and under","Northern Ireland","Female","85","65","0.788"
"2019","17 and under","17 and under","Northern Ireland","Female","80","60","0.725"
"2020","17 and under","17 and under","Northern Ireland","Female","110","75","0.682"
"2021","17 and under","17 and under","Northern Ireland","Female","80","50","0.6"
"2022","17 and under","17 and under","Northern Ireland","Female","80","45","0.588"
"2023","17 and under","17 and under","Northern Ireland","Female","90","65","0.711"
"2006","18","18","Northern Ireland","Female","37260","26985","0.724"
"2007","18","18","Northern Ireland","Female","36350","26875","0.739"
"2008","18","18","Northern Ireland","Female","30375","23065","0.759"
"2009","18","18","Northern Ireland","Female","31360","23695","0.756"
"2010","18","18","Northern Ireland","Female","32415","22590","0.6970000000000001"
"2011","18","18","Northern Ireland","Female","32445","21210","0.654"
"2012","18","18","Northern Ireland","Female","32080","21920","0.683"
"2013","18","18","Northern Ireland","Female","31505","22250","0.706"
"2014","18","18","Northern Ireland","Female","30780","22565","0.733"
"2015","18","18","Northern Ireland","Female","32855","24115","0.734"
"2016","18","18","Northern Ireland","Female","32265","23870","0.74"
"2017","18","18","Northern Ireland","Female","31555","23505","0.745"
"2018","18","18","Northern Ireland","Female","29970","22545","0.752"
"2019","18","18","Northern Ireland","Female","29055","21730","0.748"
"2020","18","18","Northern Ireland","Female","30065","22875","0.761"
"2021","18","18","Northern Ireland","Female","32125","23430","0.729"
"2022","18","18","Northern Ireland","Female","34150","24125","0.706"
"2023","18","18","Northern Ireland","Female","33440","25115","0.751"
"2006","19","19","Northern Ireland","Female","5280","3055","0.579"
"2007","19","19","Northern Ireland","Female","6430","3895","0.605"
"2008","19","19","Northern Ireland","Female","5390","3455","0.641"
"2009","19","19","Northern Ireland","Female","4910","3080","0.627"
"2010","19","19","Northern Ireland","Female","6060","3505","0.579"
"2011","19","19","Northern Ireland","Female","7710","4115","0.534"
"2012","19","19","Northern Ireland","Female","6840","3810","0.557"
"2013","19","19","Northern Ireland","Female","7595","4325","0.5700000000000001"
"2014","19","19","Northern Ireland","Female","7580","4540","0.599"
"2015","19","19","Northern Ireland","Female","7730","4905","0.634"
"2016","19","19","Northern Ireland","Female","9150","5955","0.651"
"2017","19","19","Northern Ireland","Female","8665","5645","0.651"
"2018","19","19","Northern Ireland","Female","7985","5345","0.669"
"2019","19","19","Northern Ireland","Female","8280","5645","0.682"
"2020","19","19","Northern Ireland","Female","7420","5130","0.6910000000000001"
"2021","19","19","Northern Ireland","Female","6975","4310","0.618"
"2022","19","19","Northern Ireland","Female","6295","3700","0.587"
"2023","19","19","Northern Ireland","Female","6105","3850","0.631"
"2006","20","20","Northern Ireland","Female","1980","1020","0.516"
"2007","20","20","Northern Ireland","Female","2100","1180","0.562"
"2008","20","20","Northern Ireland","Female","2025","1210","0.597"
"2009","20","20","Northern Ireland","Female","2060","1205","0.585"
"2010","20","20","Northern Ireland","Female","2410","1255","0.521"
"2011","20","20","Northern Ireland","Female","2765","1290","0.466"
"2012","20","20","Northern Ireland","Female","2905","1435","0.494"
"2013","20","20","Northern Ireland","Female","2990","1515","0.507"
"2014","20","20","Northern Ireland","Female","3610","1960","0.542"
"2015","20","20","Northern Ireland","Female","3195","1715","0.536"
"2016","20","20","Northern Ireland","Female","3175","1730","0.544"
"2017","20","20","Northern Ireland","Female","3365","1920","0.5710000000000001"
"2018","20","20","Northern Ireland","Female","3460","2150","0.621"
"2019","20","20","Northern Ireland","Female","3175","1970","0.62"
"2020","20","20","Northern Ireland","Female","2890","1785","0.617"
"2021","20","20","Northern Ireland","Female","2860","1735","0.607"
"2022","20","20","Northern Ireland","Female","2475","1360","0.55"
"2023","20","20","Northern Ireland","Female","2200","1265","0.5750000000000001"
"2006","21 - 24","21","Northern Ireland","Female","1205","560","0.465"
"2007","21 - 24","21","Northern Ireland","Female","1310","640","0.49"
"2008","21 - 24","21","Northern Ireland","Female","1170","630","0.538"
"2009","21 - 24","21","Northern Ireland","Female","1330","670","0.504"
"2010","21 - 24","21","Northern Ireland","Female","1565","725","0.464"
"2011","21 - 24","21","Northern Ireland","Female","1765","690","0.392"
"2012","21 - 24","21","Northern Ireland","Female","1495","650","0.434"
"2013","21 - 24","21","Northern Ireland","Female","2090","920","0.441"
"2014","21 - 24","21","Northern Ireland","Female","1910","870","0.455"
"2015","21 - 24","21","Northern Ireland","Female","1920","905","0.47000000000000003"
"2016","21 - 24","21","Northern Ireland","Female","1975","930","0.47100000000000003"
"2017","21 - 24","21","Northern Ireland","Female","1755","880","0.5"
"2018","21 - 24","21","Northern Ireland","Female","1810","970","0.536"
"2019","21 - 24","21","Northern Ireland","Female","1720","945","0.549"
"2020","21 - 24","21","Northern Ireland","Female","1580","945","0.597"
"2021","21 - 24","21","Northern Ireland","Female","1685","855","0.509"
"2022","21 - 24","21","Northern Ireland","Female","1390","700","0.502"
"2023","21 - 24","21","Northern Ireland","Female","1330","640","0.48"
"2006","21 - 24","22","Northern Ireland","Female","970","375","0.389"
"2007","21 - 24","22","Northern Ireland","Female","970","450","0.465"
"2008","21 - 24","22","Northern Ireland","Female","885","440","0.498"
"2009","21 - 24","22","Northern Ireland","Female","815","405","0.496"
"2010","21 - 24","22","Northern Ireland","Female","1130","470","0.41400000000000003"
"2011","21 - 24","22","Northern Ireland","Female","1245","395","0.319"
"2012","21 - 24","22","Northern Ireland","Female","1005","425","0.421"
"2013","21 - 24","22","Northern Ireland","Female","1310","490","0.373"
"2014","21 - 24","22","Northern Ireland","Female","1375","500","0.364"
"2015","21 - 24","22","Northern Ireland","Female","1390","510","0.366"
"2016","21 - 24","22","Northern Ireland","Female","1330","560","0.422"
"2017","21 - 24","22","Northern Ireland","Female","1190","510","0.427"
"2018","21 - 24","22","Northern Ireland","Female","1010","460","0.453"
"2019","21 - 24","22","Northern Ireland","Female","1095","545","0.498"
"2020","21 - 24","22","Northern Ireland","Female","895","445","0.498"
"2021","21 - 24","22","Northern Ireland","Female","1185","550","0.462"
"2022","21 - 24","22","Northern Ireland","Female","970","460","0.47300000000000003"
"2023","21 - 24","22","Northern Ireland","Female","835","395","0.47400000000000003"
"2006","21 - 24","23","Northern Ireland","Female","650","255","0.395"
"2007","21 - 24","23","Northern Ireland","Female","755","310","0.41200000000000003"
"2008","21 - 24","23","Northern Ireland","Female","585","290","0.496"
"2009","21 - 24","23","Northern Ireland","Female","525","245","0.463"
"2010","21 - 24","23","Northern Ireland","Female","780","325","0.419"
"2011","21 - 24","23","Northern Ireland","Female","815","285","0.352"
"2012","21 - 24","23","Northern Ireland","Female","835","335","0.404"
"2013","21 - 24","23","Northern Ireland","Female","940","325","0.34700000000000003"
"2014","21 - 24","23","Northern Ireland","Female","1030","370","0.357"
"2015","21 - 24","23","Northern Ireland","Female","1050","385","0.369"
"2016","21 - 24","23","Northern Ireland","Female","880","295","0.333"
"2017","21 - 24","23","Northern Ireland","Female","795","325","0.40900000000000003"
"2018","21 - 24","23","Northern Ireland","Female","745","300","0.401"
"2019","21 - 24","23","Northern Ireland","Female","655","290","0.446"
"2020","21 - 24","23","Northern Ireland","Female","715","360","0.506"
"2021","21 - 24","23","Northern Ireland","Female","885","350","0.394"
"2022","21 - 24","23","Northern Ireland","Female","705","285","0.404"
"2023","21 - 24","23","Northern Ireland","Female","580","265","0.455"
"2006","21 - 24","24","Northern Ireland","Female","400","160","0.4"
"2007","21 - 24","24","Northern Ireland","Female","515","210","0.406"
"2008","21 - 24","24","Northern Ireland","Female","425","200","0.47300000000000003"
"2009","21 - 24","24","Northern Ireland","Female","395","190","0.47800000000000004"
"2010","21 - 24","24","Northern Ireland","Female","565","245","0.43"
"2011","21 - 24","24","Northern Ireland","Female","675","255","0.376"
"2012","21 - 24","24","Northern Ireland","Female","590","220","0.371"
"2013","21 - 24","24","Northern Ireland","Female","700","245","0.353"
"2014","21 - 24","24","Northern Ireland","Female","670","220","0.327"
"2015","21 - 24","24","Northern Ireland","Female","795","275","0.34500000000000003"
"2016","21 - 24","24","Northern Ireland","Female","875","310","0.357"
"2017","21 - 24","24","Northern Ireland","Female","655","285","0.438"
"2018","21 - 24","24","Northern Ireland","Female","600","235","0.392"
"2019","21 - 24","24","Northern Ireland","Female","525","235","0.45"
"2020","21 - 24","24","Northern Ireland","Female","485","230","0.47200000000000003"
"2021","21 - 24","24","Northern Ireland","Female","670","270","0.403"
"2022","21 - 24","24","Northern Ireland","Female","575","275","0.48"
"2023","21 - 24","24","Northern Ireland","Female","475","215","0.451"
"2006","25 - 29","25","Northern Ireland","Female","415","150","0.361"
"2007","25 - 29","25","Northern Ireland","Female","350","145","0.42"
"2008","25 - 29","25","Northern Ireland","Female","295","145","0.488"
"2009","25 - 29","25","Northern Ireland","Female","355","150","0.428"
"2010","25 - 29","25","Northern Ireland","Female","525","205","0.394"
"2011","25 - 29","25","Northern Ireland","Female","525","190","0.362"
"2012","25 - 29","25","Northern Ireland","Female","435","160","0.37"
"2013","25 - 29","25","Northern Ireland","Female","615","225","0.366"
"2014","25 - 29","25","Northern Ireland","Female","590","210","0.354"
"2015","25 - 29","25","Northern Ireland","Female","560","215","0.386"
"2016","25 - 29","25","Northern Ireland","Female","590","200","0.341"
"2017","25 - 29","25","Northern Ireland","Female","545","185","0.338"
"2018","25 - 29","25","Northern Ireland","Female","450","175","0.384"
"2019","25 - 29","25","Northern Ireland","Female","440","185","0.418"
"2020","25 - 29","25","Northern Ireland","Female","425","230","0.544"
"2021","25 - 29","25","Northern Ireland","Female","460","170","0.374"
"2022","25 - 29","25","Northern Ireland","Female","410","190","0.459"
"2023","25 - 29","25","Northern Ireland","Female","385","165","0.431"
"2006","25 - 29","26","Northern Ireland","Female","300","105","0.357"
"2007","25 - 29","26","Northern Ireland","Female","305","140","0.462"
"2008","25 - 29","26","Northern Ireland","Female","235","125","0.523"
"2009","25 - 29","26","Northern Ireland","Female","230","105","0.465"
"2010","25 - 29","26","Northern Ireland","Female","325","135","0.41500000000000004"
"2011","25 - 29","26","Northern Ireland","Female","395","155","0.387"
"2012","25 - 29","26","Northern Ireland","Female","320","130","0.406"
"2013","25 - 29","26","Northern Ireland","Female","410","150","0.366"
"2014","25 - 29","26","Northern Ireland","Female","485","130","0.268"
"2015","25 - 29","26","Northern Ireland","Female","405","125","0.311"
"2016","25 - 29","26","Northern Ireland","Female","425","185","0.433"
"2017","25 - 29","26","Northern Ireland","Female","320","145","0.447"
"2018","25 - 29","26","Northern Ireland","Female","365","155","0.422"
"2019","25 - 29","26","Northern Ireland","Female","345","140","0.41200000000000003"
"2020","25 - 29","26","Northern Ireland","Female","370","155","0.424"
"2021","25 - 29","26","Northern Ireland","Female","460","155","0.339"
"2022","25 - 29","26","Northern Ireland","Female","280","120","0.436"
"2023","25 - 29","26","Northern Ireland","Female","210","95","0.452"
"2006","25 - 29","27","Northern Ireland","Female","215","85","0.391"
"2007","25 - 29","27","Northern Ireland","Female","250","130","0.52"
"2008","25 - 29","27","Northern Ireland","Female","180","100","0.55"
"2009","25 - 29","27","Northern Ireland","Female","215","95","0.451"
"2010","25 - 29","27","Northern Ireland","Female","320","135","0.419"
"2011","25 - 29","27","Northern Ireland","Female","320","110","0.338"
"2012","25 - 29","27","Northern Ireland","Female","275","110","0.404"
"2013","25 - 29","27","Northern Ireland","Female","400","145","0.365"
"2014","25 - 29","27","Northern Ireland","Female","405","120","0.291"
"2015","25 - 29","27","Northern Ireland","Female","435","135","0.315"
"2016","25 - 29","27","Northern Ireland","Female","375","120","0.32"
"2017","25 - 29","27","Northern Ireland","Female","300","130","0.427"
"2018","25 - 29","27","Northern Ireland","Female","320","140","0.444"
"2019","25 - 29","27","Northern Ireland","Female","230","110","0.47800000000000004"
"2020","25 - 29","27","Northern Ireland","Female","235","105","0.443"
"2021","25 - 29","27","Northern Ireland","Female","355","130","0.366"
"2022","25 - 29","27","Northern Ireland","Female","255","85","0.325"
"2023","25 - 29","27","Northern Ireland","Female","165","75","0.448"
"2006","25 - 29","28","Northern Ireland","Female","150","70","0.47300000000000003"
"2007","25 - 29","28","Northern Ireland","Female","215","115","0.526"
"2008","25 - 29","28","Northern Ireland","Female","165","80","0.497"
"2009","25 - 29","28","Northern Ireland","Female","160","95","0.588"
"2010","25 - 29","28","Northern Ireland","Female","180","90","0.506"
"2011","25 - 29","28","Northern Ireland","Female","260","100","0.392"
"2012","25 - 29","28","Northern Ireland","Female","255","115","0.451"
"2013","25 - 29","28","Northern Ireland","Female","310","105","0.34500000000000003"
"2014","25 - 29","28","Northern Ireland","Female","340","135","0.391"
"2015","25 - 29","28","Northern Ireland","Female","310","120","0.381"
"2016","25 - 29","28","Northern Ireland","Female","360","145","0.40800000000000003"
"2017","25 - 29","28","Northern Ireland","Female","285","90","0.312"
"2018","25 - 29","28","Northern Ireland","Female","285","125","0.439"
"2019","25 - 29","28","Northern Ireland","Female","225","90","0.404"
"2020","25 - 29","28","Northern Ireland","Female","200","90","0.44"
"2021","25 - 29","28","Northern Ireland","Female","285","125","0.439"
"2022","25 - 29","28","Northern Ireland","Female","210","75","0.34800000000000003"
"2023","25 - 29","28","Northern Ireland","Female","175","80","0.457"
"2006","25 - 29","29","Northern Ireland","Female","145","60","0.421"
"2007","25 - 29","29","Northern Ireland","Female","220","105","0.486"
"2008","25 - 29","29","Northern Ireland","Female","110","60","0.536"
"2009","25 - 29","29","Northern Ireland","Female","105","65","0.638"
"2010","25 - 29","29","Northern Ireland","Female","210","100","0.47100000000000003"
"2011","25 - 29","29","Northern Ireland","Female","215","80","0.381"
"2012","25 - 29","29","Northern Ireland","Female","170","85","0.512"
"2013","25 - 29","29","Northern Ireland","Female","235","90","0.383"
"2014","25 - 29","29","Northern Ireland","Female","240","85","0.358"
"2015","25 - 29","29","Northern Ireland","Female","305","120","0.397"
"2016","25 - 29","29","Northern Ireland","Female","225","75","0.324"
"2017","25 - 29","29","Northern Ireland","Female","245","110","0.441"
"2018","25 - 29","29","Northern Ireland","Female","225","95","0.431"
"2019","25 - 29","29","Northern Ireland","Female","185","80","0.432"
"2020","25 - 29","29","Northern Ireland","Female","205","100","0.493"
"2021","25 - 29","29","Northern Ireland","Female","230","60","0.27"
"2022","25 - 29","29","Northern Ireland","Female","175","85","0.491"
"2023","25 - 29","29","Northern Ireland","Female","185","90","0.47600000000000003"
"2006","30 - 34","30","Northern Ireland","Female","175","75","0.429"
"2007","30 - 34","30","Northern Ireland","Female","115","55","0.487"
"2008","30 - 34","30","Northern Ireland","Female","100","60","0.58"
"2009","30 - 34","30","Northern Ireland","Female","155","85","0.542"
"2010","30 - 34","30","Northern Ireland","Female","175","90","0.514"
"2011","30 - 34","30","Northern Ireland","Female","135","65","0.481"
"2012","30 - 34","30","Northern Ireland","Female","140","55","0.393"
"2013","30 - 34","30","Northern Ireland","Female","210","75","0.367"
"2014","30 - 34","30","Northern Ireland","Female","190","80","0.421"
"2015","30 - 34","30","Northern Ireland","Female","250","115","0.46"
"2016","30 - 34","30","Northern Ireland","Female","180","70","0.394"
"2017","30 - 34","30","Northern Ireland","Female","225","110","0.498"
"2018","30 - 34","30","Northern Ireland","Female","150","50","0.34"
"2019","30 - 34","30","Northern Ireland","Female","195","75","0.374"
"2020","30 - 34","30","Northern Ireland","Female","185","60","0.314"
"2021","30 - 34","30","Northern Ireland","Female","195","75","0.385"
"2022","30 - 34","30","Northern Ireland","Female","135","65","0.496"
"2023","30 - 34","30","Northern Ireland","Female","125","50","0.4"
"2006","30 - 34","31","Northern Ireland","Female","145","70","0.497"
"2007","30 - 34","31","Northern Ireland","Female","105","60","0.59"
"2008","30 - 34","31","Northern Ireland","Female","90","55","0.6"
"2009","30 - 34","31","Northern Ireland","Female","100","55","0.55"
"2010","30 - 34","31","Northern Ireland","Female","105","55","0.505"
"2011","30 - 34","31","Northern Ireland","Female","135","55","0.393"
"2012","30 - 34","31","Northern Ireland","Female","125","40","0.336"
"2013","30 - 34","31","Northern Ireland","Female","125","40","0.304"
"2014","30 - 34","31","Northern Ireland","Female","180","70","0.4"
"2015","30 - 34","31","Northern Ireland","Female","175","65","0.383"
"2016","30 - 34","31","Northern Ireland","Female","230","90","0.396"
"2017","30 - 34","31","Northern Ireland","Female","160","80","0.488"
"2018","30 - 34","31","Northern Ireland","Female","170","80","0.47600000000000003"
"2019","30 - 34","31","Northern Ireland","Female","205","105","0.507"
"2020","30 - 34","31","Northern Ireland","Female","135","50","0.385"
"2021","30 - 34","31","Northern Ireland","Female","185","75","0.395"
"2022","30 - 34","31","Northern Ireland","Female","200","80","0.41000000000000003"
"2023","30 - 34","31","Northern Ireland","Female","135","35","0.267"
"2006","30 - 34","32","Northern Ireland","Female","85","40","0.447"
"2007","30 - 34","32","Northern Ireland","Female","95","50","0.516"
"2008","30 - 34","32","Northern Ireland","Female","90","45","0.522"
"2009","30 - 34","32","Northern Ireland","Female","70","40","0.6"
"2010","30 - 34","32","Northern Ireland","Female","110","60","0.555"
"2011","30 - 34","32","Northern Ireland","Female","135","45","0.34800000000000003"
"2012","30 - 34","32","Northern Ireland","Female","135","65","0.481"
"2013","30 - 34","32","Northern Ireland","Female","120","55","0.458"
"2014","30 - 34","32","Northern Ireland","Female","170","50","0.306"
"2015","30 - 34","32","Northern Ireland","Female","195","80","0.41000000000000003"
"2016","30 - 34","32","Northern Ireland","Female","180","80","0.433"
"2017","30 - 34","32","Northern Ireland","Female","155","65","0.419"
"2018","30 - 34","32","Northern Ireland","Female","165","85","0.503"
"2019","30 - 34","32","Northern Ireland","Female","170","70","0.424"
"2020","30 - 34","32","Northern Ireland","Female","170","80","0.459"
"2021","30 - 34","32","Northern Ireland","Female","160","60","0.363"
"2022","30 - 34","32","Northern Ireland","Female","155","55","0.368"
"2023","30 - 34","32","Northern Ireland","Female","120","50","0.425"
"2006","30 - 34","33","Northern Ireland","Female","180","80","0.456"
"2007","30 - 34","33","Northern Ireland","Female","115","60","0.539"
"2008","30 - 34","33","Northern Ireland","Female","95","55","0.579"
"2009","30 - 34","33","Northern Ireland","Female","80","45","0.5630000000000001"
"2010","30 - 34","33","Northern Ireland","Female","85","40","0.47100000000000003"
"2011","30 - 34","33","Northern Ireland","Female","100","40","0.41000000000000003"
"2012","30 - 34","33","Northern Ireland","Female","85","55","0.624"
"2013","30 - 34","33","Northern Ireland","Female","195","60","0.318"
"2014","30 - 34","33","Northern Ireland","Female","155","50","0.31"
"2015","30 - 34","33","Northern Ireland","Female","150","50","0.333"
"2016","30 - 34","33","Northern Ireland","Female","165","70","0.43"
"2017","30 - 34","33","Northern Ireland","Female","140","60","0.443"
"2018","30 - 34","33","Northern Ireland","Female","155","45","0.28400000000000003"
"2019","30 - 34","33","Northern Ireland","Female","170","60","0.34700000000000003"
"2020","30 - 34","33","Northern Ireland","Female","140","65","0.464"
"2021","30 - 34","33","Northern Ireland","Female","190","80","0.41100000000000003"
"2022","30 - 34","33","Northern Ireland","Female","145","55","0.379"
"2023","30 - 34","33","Northern Ireland","Female","130","70","0.554"
"2006","30 - 34","34","Northern Ireland","Female","110","60","0.5640000000000001"
"2007","30 - 34","34","Northern Ireland","Female","70","30","0.429"
"2008","30 - 34","34","Northern Ireland","Female","50","35","0.72"
"2009","30 - 34","34","Northern Ireland","Female","60","30","0.5"
"2010","30 - 34","34","Northern Ireland","Female","80","40","0.47500000000000003"
"2011","30 - 34","34","Northern Ireland","Female","110","55","0.482"
"2012","30 - 34","34","Northern Ireland","Female","80","45","0.55"
"2013","30 - 34","34","Northern Ireland","Female","100","40","0.4"
"2014","30 - 34","34","Northern Ireland","Female","150","65","0.42"
"2015","30 - 34","34","Northern Ireland","Female","110","45","0.427"
"2016","30 - 34","34","Northern Ireland","Female","125","45","0.36"
"2017","30 - 34","34","Northern Ireland","Female","160","60","0.363"
"2018","30 - 34","34","Northern Ireland","Female","110","55","0.509"
"2019","30 - 34","34","Northern Ireland","Female","125","60","0.496"
"2020","30 - 34","34","Northern Ireland","Female","140","70","0.507"
"2021","30 - 34","34","Northern Ireland","Female","160","65","0.419"
"2022","30 - 34","34","Northern Ireland","Female","185","75","0.41600000000000004"
"2023","30 - 34","34","Northern Ireland","Female","150","65","0.42"
"2006","35 and over","35","Northern Ireland","Female","70","45","0.643"
"2007","35 and over","35","Northern Ireland","Female","60","35","0.617"
"2008","35 and over","35","Northern Ireland","Female","70","35","0.47100000000000003"
"2009","35 and over","35","Northern Ireland","Female","55","25","0.491"
"2010","35 and over","35","Northern Ireland","Female","80","45","0.538"
"2011","35 and over","35","Northern Ireland","Female","100","45","0.46"
"2012","35 and over","35","Northern Ireland","Female","85","40","0.494"
"2013","35 and over","35","Northern Ireland","Female","130","45","0.362"
"2014","35 and over","35","Northern Ireland","Female","100","50","0.49"
"2015","35 and over","35","Northern Ireland","Female","115","55","0.461"
"2016","35 and over","35","Northern Ireland","Female","165","60","0.376"
"2017","35 and over","35","Northern Ireland","Female","115","45","0.383"
"2018","35 and over","35","Northern Ireland","Female","110","50","0.445"
"2019","35 and over","35","Northern Ireland","Female","140","55","0.379"
"2020","35 and over","35","Northern Ireland","Female","125","50","0.4"
"2021","35 and over","35","Northern Ireland","Female","135","50","0.385"
"2022","35 and over","35","Northern Ireland","Female","115","45","0.4"
"2023","35 and over","35","Northern Ireland","Female","115","60","0.539"
"2006","35 and over","36","Northern Ireland","Female","105","40","0.371"
"2007","35 and over","36","Northern Ireland","Female","65","30","0.492"
"2008","35 and over","36","Northern Ireland","Female","45","25","0.578"
"2009","35 and over","36","Northern Ireland","Female","40","25","0.5750000000000001"
"2010","35 and over","36","Northern Ireland","Female","75","35","0.467"
"2011","35 and over","36","Northern Ireland","Female","90","35","0.41100000000000003"
"2012","35 and over","36","Northern Ireland","Female","70","40","0.557"
"2013","35 and over","36","Northern Ireland","Female","85","30","0.353"
"2014","35 and over","36","Northern Ireland","Female","115","70","0.609"
"2015","35 and over","36","Northern Ireland","Female","125","50","0.40800000000000003"
"2016","35 and over","36","Northern Ireland","Female","130","55","0.423"
"2017","35 and over","36","Northern Ireland","Female","120","45","0.367"
"2018","35 and over","36","Northern Ireland","Female","110","50","0.455"
"2019","35 and over","36","Northern Ireland","Female","90","40","0.467"
"2020","35 and over","36","Northern Ireland","Female","100","50","0.5"
"2021","35 and over","36","Northern Ireland","Female","165","55","0.327"
"2022","35 and over","36","Northern Ireland","Female","100","45","0.46"
"2023","35 and over","36","Northern Ireland","Female","95","50","0.526"
"2006","35 and over","37","Northern Ireland","Female","70","40","0.557"
"2007","35 and over","37","Northern Ireland","Female","100","55","0.5700000000000001"
"2008","35 and over","37","Northern Ireland","Female","60","40","0.683"
"2009","35 and over","37","Northern Ireland","Female","60","35","0.55"
"2010","35 and over","37","Northern Ireland","Female","55","30","0.545"
"2011","35 and over","37","Northern Ireland","Female","85","30","0.376"
"2012","35 and over","37","Northern Ireland","Female","60","35","0.617"
"2013","35 and over","37","Northern Ireland","Female","80","25","0.338"
"2014","35 and over","37","Northern Ireland","Female","105","55","0.514"
"2015","35 and over","37","Northern Ireland","Female","80","30","0.363"
"2016","35 and over","37","Northern Ireland","Female","55","20","0.34500000000000003"
"2017","35 and over","37","Northern Ireland","Female","130","45","0.354"
"2018","35 and over","37","Northern Ireland","Female","95","50","0.547"
"2019","35 and over","37","Northern Ireland","Female","105","45","0.41000000000000003"
"2020","35 and over","37","Northern Ireland","Female","100","45","0.46"
"2021","35 and over","37","Northern Ireland","Female","130","55","0.431"
"2022","35 and over","37","Northern Ireland","Female","95","35","0.379"
"2023","35 and over","37","Northern Ireland","Female","100","45","0.46"
"2006","35 and over","38","Northern Ireland","Female","65","35","0.523"
"2007","35 and over","38","Northern Ireland","Female","55","25","0.491"
"2008","35 and over","38","Northern Ireland","Female","95","60","0.642"
"2009","35 and over","38","Northern Ireland","Female","50","35","0.68"
"2010","35 and over","38","Northern Ireland","Female","60","35","0.55"
"2011","35 and over","38","Northern Ireland","Female","80","35","0.463"
"2012","35 and over","38","Northern Ireland","Female","35","15","0.429"
"2013","35 and over","38","Northern Ireland","Female","75","15","0.17300000000000001"
"2014","35 and over","38","Northern Ireland","Female","60","25","0.417"
"2015","35 and over","38","Northern Ireland","Female","85","40","0.47100000000000003"
"2016","35 and over","38","Northern Ireland","Female","85","45","0.529"
"2017","35 and over","38","Northern Ireland","Female","65","35","0.538"
"2018","35 and over","38","Northern Ireland","Female","90","50","0.5670000000000001"
"2019","35 and over","38","Northern Ireland","Female","80","40","0.47500000000000003"
"2020","35 and over","38","Northern Ireland","Female","85","40","0.447"
"2021","35 and over","38","Northern Ireland","Female","110","40","0.382"
"2022","35 and over","38","Northern Ireland","Female","135","50","0.37"
"2023","35 and over","38","Northern Ireland","Female","100","40","0.41000000000000003"
"2006","35 and over","39","Northern Ireland","Female","90","45","0.47800000000000004"
"2007","35 and over","39","Northern Ireland","Female","90","70","0.767"
"2008","35 and over","39","Northern Ireland","Female","80","50","0.65"
"2009","35 and over","39","Northern Ireland","Female","55","35","0.6"
"2010","35 and over","39","Northern Ireland","Female","50","30","0.6"
"2011","35 and over","39","Northern Ireland","Female","65","35","0.554"
"2012","35 and over","39","Northern Ireland","Female","40","25","0.6"
"2013","35 and over","39","Northern Ireland","Female","95","40","0.41100000000000003"
"2014","35 and over","39","Northern Ireland","Female","65","35","0.523"
"2015","35 and over","39","Northern Ireland","Female","80","30","0.35000000000000003"
"2016","35 and over","39","Northern Ireland","Female","75","35","0.467"
"2017","35 and over","39","Northern Ireland","Female","85","40","0.447"
"2018","35 and over","39","Northern Ireland","Female","65","25","0.385"
"2019","35 and over","39","Northern Ireland","Female","85","40","0.494"
"2020","35 and over","39","Northern Ireland","Female","70","45","0.614"
"2021","35 and over","39","Northern Ireland","Female","90","35","0.367"
"2022","35 and over","39","Northern Ireland","Female","80","30","0.35000000000000003"
"2023","35 and over","39","Northern Ireland","Female","60","25","0.417"
"2006","35 and over","40","Northern Ireland","Female","65","25","0.354"
"2007","35 and over","40","Northern Ireland","Female","70","35","0.47100000000000003"
"2008","35 and over","40","Northern Ireland","Female","40","30","0.75"
"2009","35 and over","40","Northern Ireland","Female","65","20","0.292"
"2010","35 and over","40","Northern Ireland","Female","75","40","0.547"
"2011","35 and over","40","Northern Ireland","Female","70","35","0.486"
"2012","35 and over","40","Northern Ireland","Female","50","15","0.3"
"2013","35 and over","40","Northern Ireland","Female","80","35","0.425"
"2014","35 and over","40","Northern Ireland","Female","55","20","0.327"
"2015","35 and over","40","Northern Ireland","Female","40","15","0.375"
"2016","35 and over","40","Northern Ireland","Female","75","40","0.507"
"2017","35 and over","40","Northern Ireland","Female","70","35","0.47100000000000003"
"2018","35 and over","40","Northern Ireland","Female","45","15","0.378"
"2019","35 and over","40","Northern Ireland","Female","85","45","0.541"
"2020","35 and over","40","Northern Ireland","Female","70","30","0.429"
"2021","35 and over","40","Northern Ireland","Female","70","30","0.41400000000000003"
"2022","35 and over","40","Northern Ireland","Female","65","30","0.431"
