"Year","Subject group HECoS","Detailed subject group HECoS","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","18","Wales","Male","15","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","18","Wales","Male","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","18","Wales","Male","15","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","18","Wales","Male","15","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","18","Wales","Male","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","18","Wales","Male","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","18","Wales","Male","5","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","18","Wales","Male","15","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","18","Wales","Male","5","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","18","Wales","Male","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","18","Wales","Male","15","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","18","Wales","Male","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","18","Wales","Male","15","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","18","Wales","Male","20","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","18","Wales","Male","25","10","0.46"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","18","Wales","Male","5","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","18","Wales","Male","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","18","Wales","Male","20","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","18","Wales","Male","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","18","Wales","Male","15","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","18","Wales","Male","15","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","18","Wales","Male","10","10"," "
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","18","Wales","Male","35","30","0.925"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","18","Wales","Male","45","45","0.986"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","18","Wales","Male","45","45","0.9450000000000001"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","18","Wales","Male","65","55","0.842"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","18","Wales","Male","50","45","0.9420000000000001"
"2019","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","18","Wales","Male","20","20","0.904"
"2020","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","18","Wales","Male","20","20","0.975"
"2021","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","18","Wales","Male","15","15","0.894"
"2022","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","18","Wales","Male","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","18","Wales","Male","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","18","Wales","Male","30","25","0.908"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","18","Wales","Male","35","30","0.901"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","18","Wales","Male","30","30","1.037"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","18","Wales","Male","25","20","0.85"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","18","Wales","Male","15","15","0.999"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","18","Wales","Male","100","95","0.9440000000000001"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","18","Wales","Male","110","100","0.899"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","18","Wales","Male","115","105","0.906"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","18","Wales","Male","80","70","0.883"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","18","Wales","Male","100","85","0.87"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","18","Wales","Male","105","85","0.796"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","18","Wales","Male","75","70","0.906"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","18","Wales","Male","100","80","0.8240000000000001"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","18","Wales","Male","55","45","0.8250000000000001"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","18","Wales","Male","55","45","0.812"
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","18","Wales","Male","30","20","0.734"
"2020","(CAH19) language and area studies","(CAH19-04-01) French studies","18","Wales","Male","30","25","0.8270000000000001"
"2021","(CAH19) language and area studies","(CAH19-04-01) French studies","18","Wales","Male","25","20","0.79"
"2022","(CAH19) language and area studies","(CAH19-04-01) French studies","18","Wales","Male","15","15","0.877"
"2023","(CAH19) language and area studies","(CAH19-04-01) French studies","18","Wales","Male","20","20","0.896"
"2019","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","18","Wales","Male","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","18","Wales","Male","10","10"," "
"2021","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","18","Wales","Male","10","10"," "
"2022","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","18","Wales","Male","10","10","1.058"
"2023","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","18","Wales","Male","10","10"," "
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","18","Wales","Male","25","20","0.804"
"2020","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","18","Wales","Male","15","15","0.855"
"2021","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","18","Wales","Male","35","30","0.911"
"2022","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","18","Wales","Male","10","5"," "
"2023","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","18","Wales","Male","15","15","0.911"
"2020","(CAH19) language and area studies","(CAH19-04-03) Italian studies","18","Wales","Male","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-04-03) Italian studies","18","Wales","Male","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-01-07) linguistics","18","Wales","Male","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-01-07) linguistics","18","Wales","Male","10","10"," "
"2021","(CAH19) language and area studies","(CAH19-01-07) linguistics","18","Wales","Male","10","10","1.107"
"2022","(CAH19) language and area studies","(CAH19-01-07) linguistics","18","Wales","Male","20","20","1.016"
"2023","(CAH19) language and area studies","(CAH19-01-07) linguistics","18","Wales","Male","10","10","1.166"
"2019","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","18","Wales","Male","25","25","0.9420000000000001"
"2020","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","18","Wales","Male","35","35","0.931"
"2021","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","18","Wales","Male","40","35","0.865"
"2022","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","18","Wales","Male","35","30","0.883"
"2023","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","18","Wales","Male","45","35","0.802"
"2020","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","18","Wales","Male","10","5"," "
"2021","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","18","Wales","Male","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","18","Wales","Male","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","18","Wales","Male","45","45","0.971"
"2020","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","18","Wales","Male","45","45","1.0110000000000001"
"2021","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","18","Wales","Male","40","40","1.029"
"2022","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","18","Wales","Male","25","25","0.9"
"2023","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","18","Wales","Male","30","30","1.061"
"2021","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","18","Wales","Male","10","10"," "
"2022","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","18","Wales","Male","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","18","Wales","Male","5","0"," "
"2022","(CAH19) language and area studies","(CAH19-02-02) Gaelic studies","18","Wales","Male","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-06) Asian studies","18","Wales","Male","20","20","0.908"
"2020","(CAH19) language and area studies","(CAH19-04-06) Asian studies","18","Wales","Male","10","10","1.05"
"2021","(CAH19) language and area studies","(CAH19-04-06) Asian studies","18","Wales","Male","15","10","0.811"
"2022","(CAH19) language and area studies","(CAH19-04-06) Asian studies","18","Wales","Male","10","5"," "
"2023","(CAH19) language and area studies","(CAH19-04-06) Asian studies","18","Wales","Male","15","10","0.713"
"2020","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","18","Wales","Male","5","5"," "
"2022","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","18","Wales","Male","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","18","Wales","Male","5","5"," "
"2019","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","18","Wales","Male","305","275","0.906"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","18","Wales","Male","280","255","0.912"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","18","Wales","Male","320","285","0.896"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","18","Wales","Male","405","355","0.873"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","18","Wales","Male","300","270","0.902"
"2019","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","18","Wales","Male","10","10"," "
"2022","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","18","Wales","Male","5","0"," "
"2021","(CAH24) media, journalism and communications","(CAH24-01-01) information services","18","Wales","Male","5","5"," "
"2022","(CAH24) media, journalism and communications","(CAH24-01-01) information services","18","Wales","Male","5","0"," "
"2023","(CAH24) media, journalism and communications","(CAH24-01-01) information services","18","Wales","Male","5","0"," "
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","18","Wales","Male","170","145","0.861"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","18","Wales","Male","190","170","0.904"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","18","Wales","Male","210","195","0.934"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","18","Wales","Male","300","270","0.893"
"2023","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","18","Wales","Male","225","205","0.918"
"2019","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","18","Wales","Male","5","5"," "
"2020","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","18","Wales","Male","5","5"," "
"2021","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","18","Wales","Male","5","0"," "
"2022","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","18","Wales","Male","5","5"," "
"2023","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","18","Wales","Male","5","5"," "
"2020","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","18","Wales","Male","5","5"," "
"2021","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","18","Wales","Male","5","5"," "
"2023","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","18","Wales","Male","5","5"," "
"2019","(CAH23) combined and general studies","(CAH23-01-02) personal development","18","Wales","Male","25","25","0.918"
"2020","(CAH23) combined and general studies","(CAH23-01-02) personal development","18","Wales","Male","30","25","0.903"
"2021","(CAH23) combined and general studies","(CAH23-01-02) personal development","18","Wales","Male","20","15","0.873"
"2022","(CAH23) combined and general studies","(CAH23-01-02) personal development","18","Wales","Male","15","15","1.063"
"2023","(CAH23) combined and general studies","(CAH23-01-02) personal development","18","Wales","Male","25","20","0.875"
"2019","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","18","Wales","Male","10","10"," "
"2020","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","18","Wales","Male","15","15","0.933"
"2021","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","18","Wales","Male","15","10","0.717"
"2022","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","18","Wales","Male","5","0"," "
"2023","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","18","Wales","Male","5","5"," "
"2019","(CAH17) business and management","(CAH17-01-03) marketing","18","Wales","Male","225","220","0.969"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","18","Wales","Male","180","165","0.927"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","18","Wales","Male","210","195","0.922"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","18","Wales","Male","160","150","0.933"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","18","Wales","Male","220","205","0.93"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","18","Wales","Male","400","390","0.969"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","18","Wales","Male","430","415","0.963"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","18","Wales","Male","455","425","0.936"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","18","Wales","Male","475","450","0.9440000000000001"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","18","Wales","Male","525","500","0.9490000000000001"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","18","Wales","Male","535","500","0.937"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","18","Wales","Male","480","445","0.931"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","18","Wales","Male","440","405","0.926"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","18","Wales","Male","570","510","0.898"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","18","Wales","Male","515","465","0.902"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","18","Wales","Male","250","230","0.929"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","18","Wales","Male","160","150","0.926"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","18","Wales","Male","195","185","0.96"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","18","Wales","Male","215","205","0.9430000000000001"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","18","Wales","Male","240","235","0.982"
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","18","Wales","Male","10","10"," "
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","18","Wales","Male","15","15","0.903"
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","18","Wales","Male","15","15","0.901"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","18","Wales","Male","10","10","1.094"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","18","Wales","Male","15","15","1.0150000000000001"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","18","Wales","Male","525","435","0.8310000000000001"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","18","Wales","Male","550","460","0.836"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","18","Wales","Male","480","385","0.807"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","18","Wales","Male","595","410","0.6920000000000001"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","18","Wales","Male","580","425","0.729"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","18","Wales","Male","450","410","0.914"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","18","Wales","Male","455","420","0.924"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","18","Wales","Male","560","515","0.919"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","18","Wales","Male","555","480","0.862"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","18","Wales","Male","555","490","0.879"
"2019","(CAH17) business and management","(CAH17-01-07) finance","18","Wales","Male","345","315","0.911"
"2020","(CAH17) business and management","(CAH17-01-07) finance","18","Wales","Male","355","325","0.922"
"2021","(CAH17) business and management","(CAH17-01-07) finance","18","Wales","Male","425","380","0.897"
"2022","(CAH17) business and management","(CAH17-01-07) finance","18","Wales","Male","500","420","0.842"
"2023","(CAH17) business and management","(CAH17-01-07) finance","18","Wales","Male","470","400","0.853"
"2019","(CAH17) business and management","(CAH17-01-09) others in business and management","18","Wales","Male","5","5"," "
"2020","(CAH17) business and management","(CAH17-01-09) others in business and management","18","Wales","Male","5","5"," "
"2021","(CAH17) business and management","(CAH17-01-09) others in business and management","18","Wales","Male","5","5"," "
"2022","(CAH17) business and management","(CAH17-01-09) others in business and management","18","Wales","Male","5","5"," "
"2023","(CAH17) business and management","(CAH17-01-09) others in business and management","18","Wales","Male","5","5"," "
"2019","(CAH15) social sciences","(CAH15-03-01) politics","18","Wales","Male","450","405","0.895"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","18","Wales","Male","415","375","0.899"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","18","Wales","Male","525","445","0.852"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","18","Wales","Male","480","400","0.838"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","18","Wales","Male","495","400","0.807"
"2019","(CAH15) social sciences","(CAH15-01-04) anthropology","18","Wales","Male","25","25","0.9420000000000001"
"2020","(CAH15) social sciences","(CAH15-01-04) anthropology","18","Wales","Male","10","10"," "
"2021","(CAH15) social sciences","(CAH15-01-04) anthropology","18","Wales","Male","10","10"," "
"2022","(CAH15) social sciences","(CAH15-01-04) anthropology","18","Wales","Male","25","20","0.726"
"2023","(CAH15) social sciences","(CAH15-01-04) anthropology","18","Wales","Male","25","15","0.6920000000000001"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","18","Wales","Male","590","500","0.849"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","18","Wales","Male","640","545","0.85"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","18","Wales","Male","600","470","0.787"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","18","Wales","Male","625","430","0.6910000000000001"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","18","Wales","Male","695","495","0.709"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","18","Wales","Male","25","25","0.98"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","18","Wales","Male","10","10","1.1"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","18","Wales","Male","20","20","0.875"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","18","Wales","Male","15","15","0.833"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","18","Wales","Male","15","15","0.9"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","18","Wales","Male","15","10","0.7000000000000001"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","18","Wales","Male","5","0"," "
"2021","(CAH15) social sciences","(CAH15-04-01) social work","18","Wales","Male","25","10"," "
"2022","(CAH15) social sciences","(CAH15-04-01) social work","18","Wales","Male","5","5"," "
"2023","(CAH15) social sciences","(CAH15-04-01) social work","18","Wales","Male","10","5"," "
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","18","Wales","Male","20","20","1.092"
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","18","Wales","Male","20","15","0.85"
"2021","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","18","Wales","Male","20","15","0.8250000000000001"
"2022","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","18","Wales","Male","10","10"," "
"2023","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","18","Wales","Male","15","15","0.932"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","18","Wales","Male","20","20","1"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","18","Wales","Male","15","15","0.933"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","18","Wales","Male","15","15","1.125"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","18","Wales","Male","20","20","0.991"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","18","Wales","Male","25","25","1"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","18","Wales","Male","160","145","0.901"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","18","Wales","Male","110","95","0.873"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","18","Wales","Male","180","150","0.838"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","18","Wales","Male","115","80","0.71"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","18","Wales","Male","135","125","0.929"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","18","Wales","Male","375","355","0.9490000000000001"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","18","Wales","Male","385","370","0.9590000000000001"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","18","Wales","Male","540","505","0.932"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","18","Wales","Male","570","520","0.915"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","18","Wales","Male","540","510","0.9400000000000001"
"2019","(CAH15) social sciences","(CAH15-01-05) development studies","18","Wales","Male","5","5"," "
"2021","(CAH15) social sciences","(CAH15-01-05) development studies","18","Wales","Male","5","5"," "
"2023","(CAH15) social sciences","(CAH15-01-05) development studies","18","Wales","Male","5","5"," "
"2019","(CAH15) social sciences","(CAH15-01-06) cultural studies","18","Wales","Male","5","5"," "
"2020","(CAH15) social sciences","(CAH15-01-06) cultural studies","18","Wales","Male","5","5"," "
"2021","(CAH15) social sciences","(CAH15-01-06) cultural studies","18","Wales","Male","5","5"," "
"2022","(CAH15) social sciences","(CAH15-01-06) cultural studies","18","Wales","Male","5","5"," "
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","18","Wales","Male","1660","1475","0.889"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","18","Wales","Male","1695","1520","0.897"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","18","Wales","Male","1785","1625","0.91"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","18","Wales","Male","2055","1770","0.862"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","18","Wales","Male","2040","1840","0.901"
"2019","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","18","Wales","Male","20","20","0.875"
"2020","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","18","Wales","Male","20","20","0.975"
"2021","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","18","Wales","Male","25","20","0.88"
"2022","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","18","Wales","Male","20","15","0.8170000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","18","Wales","Male","10","10","1.1"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","18","Wales","Male","10","10","1.1"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","18","Wales","Male","20","15","0.857"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","18","Wales","Male","10","5"," "
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","18","Wales","Male","20","15","0.673"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","18","Wales","Male","15","10","0.8190000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","18","Wales","Male","205","185","0.906"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","18","Wales","Male","130","120","0.91"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","18","Wales","Male","175","155","0.874"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","18","Wales","Male","130","100","0.777"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","18","Wales","Male","155","125","0.8190000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","18","Wales","Male","165","155","0.932"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","18","Wales","Male","235","220","0.931"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","18","Wales","Male","280","260","0.922"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","18","Wales","Male","230","210","0.918"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","18","Wales","Male","205","195","0.9510000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","18","Wales","Male","180","165","0.922"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","18","Wales","Male","210","195","0.921"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","18","Wales","Male","240","225","0.932"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","18","Wales","Male","200","175","0.873"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","18","Wales","Male","165","150","0.916"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","18","Wales","Male","60","60","0.99"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","18","Wales","Male","55","45","0.8170000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","18","Wales","Male","95","90","0.965"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","18","Wales","Male","145","140","0.961"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","18","Wales","Male","130","125","0.963"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","18","Wales","Male","25","20","0.754"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","18","Wales","Male","20","20","0.9590000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","18","Wales","Male","30","25","0.9"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","18","Wales","Male","25","20","0.86"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","18","Wales","Male","20","20","0.975"
"2021","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","18","Wales","Male","10","10"," "
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","18","Wales","Male","5","5"," "
"2023","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","18","Wales","Male","10","10"," "
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","18","Wales","Male","60","55","0.92"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","18","Wales","Male","50","45","0.9400000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","18","Wales","Male","115","95","0.845"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","18","Wales","Male","130","115","0.871"
