"Year","Age group","Individual age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","35 and over","43","All","Female","Main scheme applicant","Main scheme application","1010","500","0.497","0"
"2013","35 and over","43","All","Female","Main scheme applicant","Main scheme application","990","455","0.461","0"
"2014","35 and over","43","All","Female","Main scheme applicant","Main scheme application","1075","540","0.505","0"
"2015","35 and over","43","All","Female","Main scheme applicant","Main scheme application","1075","500","0.463","0"
"2016","35 and over","43","All","Female","Main scheme applicant","Main scheme application","1100","555","0.503","0"
"2017","35 and over","43","All","Female","Main scheme applicant","Main scheme application","995","545","0.548","0"
"2018","35 and over","43","All","Female","Main scheme applicant","Main scheme application","915","550","0.603","0"
"2019","35 and over","43","All","Female","Main scheme applicant","Main scheme application","925","540","0.584","0"
"2020","35 and over","43","All","Female","Main scheme applicant","Main scheme application","1065","640","0.603","0"
"2021","35 and over","43","All","Female","Main scheme applicant","Main scheme application","1135","605","0.534","0"
"2022","35 and over","43","All","Female","Main scheme applicant","Main scheme application","1070","585","0.545","0"
"2023","35 and over","43","All","Female","Main scheme applicant","Main scheme application","980","555","0.5650000000000001","0"
"2006","35 and over","44","All","Female","Main scheme applicant","Main scheme application","580","355","0.612","0"
"2007","35 and over","44","All","Female","Main scheme applicant","Main scheme application","620","365","0.59","0"
"2008","35 and over","44","All","Female","Main scheme applicant","Main scheme application","690","395","0.5720000000000001","0"
"2009","35 and over","44","All","Female","Main scheme applicant","Main scheme application","965","545","0.5660000000000001","0"
"2010","35 and over","44","All","Female","Main scheme applicant","Main scheme application","1130","545","0.483","0"
"2011","35 and over","44","All","Female","Main scheme applicant","Main scheme application","1090","530","0.486","0"
"2012","35 and over","44","All","Female","Main scheme applicant","Main scheme application","1010","460","0.454","0"
"2013","35 and over","44","All","Female","Main scheme applicant","Main scheme application","870","435","0.499","0"
"2014","35 and over","44","All","Female","Main scheme applicant","Main scheme application","955","445","0.465","0"
"2015","35 and over","44","All","Female","Main scheme applicant","Main scheme application","885","470","0.531","0"
"2016","35 and over","44","All","Female","Main scheme applicant","Main scheme application","1050","535","0.51","0"
"2017","35 and over","44","All","Female","Main scheme applicant","Main scheme application","805","440","0.55","0"
"2018","35 and over","44","All","Female","Main scheme applicant","Main scheme application","835","505","0.604","0"
"2019","35 and over","44","All","Female","Main scheme applicant","Main scheme application","855","515","0.602","0"
"2020","35 and over","44","All","Female","Main scheme applicant","Main scheme application","975","610","0.622","0"
"2021","35 and over","44","All","Female","Main scheme applicant","Main scheme application","1095","605","0.553","0"
"2022","35 and over","44","All","Female","Main scheme applicant","Main scheme application","945","510","0.543","0"
"2023","35 and over","44","All","Female","Main scheme applicant","Main scheme application","935","530","0.5670000000000001","0"
"2006","35 and over","45","All","Female","Main scheme applicant","Main scheme application","470","290","0.624","0"
"2007","35 and over","45","All","Female","Main scheme applicant","Main scheme application","500","315","0.637","0"
"2008","35 and over","45","All","Female","Main scheme applicant","Main scheme application","650","390","0.602","0"
"2009","35 and over","45","All","Female","Main scheme applicant","Main scheme application","790","460","0.583","0"
"2010","35 and over","45","All","Female","Main scheme applicant","Main scheme application","1090","555","0.506","0"
"2011","35 and over","45","All","Female","Main scheme applicant","Main scheme application","925","440","0.47400000000000003","0"
"2012","35 and over","45","All","Female","Main scheme applicant","Main scheme application","830","390","0.47100000000000003","0"
"2013","35 and over","45","All","Female","Main scheme applicant","Main scheme application","765","380","0.496","0"
"2014","35 and over","45","All","Female","Main scheme applicant","Main scheme application","855","395","0.461","0"
"2015","35 and over","45","All","Female","Main scheme applicant","Main scheme application","880","435","0.493","0"
"2016","35 and over","45","All","Female","Main scheme applicant","Main scheme application","865","430","0.496","0"
"2017","35 and over","45","All","Female","Main scheme applicant","Main scheme application","780","440","0.56","0"
"2018","35 and over","45","All","Female","Main scheme applicant","Main scheme application","750","460","0.612","0"
"2019","35 and over","45","All","Female","Main scheme applicant","Main scheme application","720","430","0.596","0"
"2020","35 and over","45","All","Female","Main scheme applicant","Main scheme application","845","500","0.595","0"
"2021","35 and over","45","All","Female","Main scheme applicant","Main scheme application","970","545","0.561","0"
"2022","35 and over","45","All","Female","Main scheme applicant","Main scheme application","875","465","0.529","0"
"2023","35 and over","45","All","Female","Main scheme applicant","Main scheme application","770","430","0.561","0"
"2006","35 and over","46","All","Female","Main scheme applicant","Main scheme application","415","240","0.581","0"
"2007","35 and over","46","All","Female","Main scheme applicant","Main scheme application","415","255","0.617","0"
"2008","35 and over","46","All","Female","Main scheme applicant","Main scheme application","570","335","0.59","0"
"2009","35 and over","46","All","Female","Main scheme applicant","Main scheme application","700","425","0.604","0"
"2010","35 and over","46","All","Female","Main scheme applicant","Main scheme application","940","475","0.506","0"
"2011","35 and over","46","All","Female","Main scheme applicant","Main scheme application","820","385","0.468","0"
"2012","35 and over","46","All","Female","Main scheme applicant","Main scheme application","730","350","0.47800000000000004","0"
"2013","35 and over","46","All","Female","Main scheme applicant","Main scheme application","700","335","0.48","0"
"2014","35 and over","46","All","Female","Main scheme applicant","Main scheme application","750","375","0.502","0"
"2015","35 and over","46","All","Female","Main scheme applicant","Main scheme application","805","385","0.47900000000000004","0"
"2016","35 and over","46","All","Female","Main scheme applicant","Main scheme application","810","390","0.48","0"
"2017","35 and over","46","All","Female","Main scheme applicant","Main scheme application","720","390","0.541","0"
"2018","35 and over","46","All","Female","Main scheme applicant","Main scheme application","685","395","0.5750000000000001","0"
"2019","35 and over","46","All","Female","Main scheme applicant","Main scheme application","625","380","0.608","0"
"2020","35 and over","46","All","Female","Main scheme applicant","Main scheme application","805","490","0.612","0"
"2021","35 and over","46","All","Female","Main scheme applicant","Main scheme application","850","445","0.522","0"
"2022","35 and over","46","All","Female","Main scheme applicant","Main scheme application","735","395","0.54","0"
"2023","35 and over","46","All","Female","Main scheme applicant","Main scheme application","715","395","0.552","0"
"2006","35 and over","47","All","Female","Main scheme applicant","Main scheme application","370","230","0.63","0"
"2007","35 and over","47","All","Female","Main scheme applicant","Main scheme application","335","215","0.637","0"
"2008","35 and over","47","All","Female","Main scheme applicant","Main scheme application","520","315","0.601","0"
"2009","35 and over","47","All","Female","Main scheme applicant","Main scheme application","605","355","0.59","0"
"2010","35 and over","47","All","Female","Main scheme applicant","Main scheme application","710","340","0.48","0"
"2011","35 and over","47","All","Female","Main scheme applicant","Main scheme application","750","370","0.491","0"
"2012","35 and over","47","All","Female","Main scheme applicant","Main scheme application","610","295","0.47900000000000004","0"
"2013","35 and over","47","All","Female","Main scheme applicant","Main scheme application","660","310","0.47300000000000003","0"
"2014","35 and over","47","All","Female","Main scheme applicant","Main scheme application","690","315","0.457","0"
"2015","35 and over","47","All","Female","Main scheme applicant","Main scheme application","675","340","0.502","0"
"2016","35 and over","47","All","Female","Main scheme applicant","Main scheme application","745","390","0.522","0"
"2017","35 and over","47","All","Female","Main scheme applicant","Main scheme application","675","360","0.536","0"
"2018","35 and over","47","All","Female","Main scheme applicant","Main scheme application","600","365","0.606","0"
"2019","35 and over","47","All","Female","Main scheme applicant","Main scheme application","610","365","0.603","0"
"2020","35 and over","47","All","Female","Main scheme applicant","Main scheme application","690","425","0.613","0"
"2021","35 and over","47","All","Female","Main scheme applicant","Main scheme application","700","360","0.518","0"
"2022","35 and over","47","All","Female","Main scheme applicant","Main scheme application","675","350","0.523","0"
"2023","35 and over","47","All","Female","Main scheme applicant","Main scheme application","660","400","0.606","0"
"2006","35 and over","48","All","Female","Main scheme applicant","Main scheme application","285","175","0.603","0"
"2007","35 and over","48","All","Female","Main scheme applicant","Main scheme application","280","175","0.624","0"
"2008","35 and over","48","All","Female","Main scheme applicant","Main scheme application","375","230","0.617","0"
"2009","35 and over","48","All","Female","Main scheme applicant","Main scheme application","510","295","0.58","0"
"2010","35 and over","48","All","Female","Main scheme applicant","Main scheme application","600","300","0.498","0"
"2011","35 and over","48","All","Female","Main scheme applicant","Main scheme application","640","290","0.451","0"
"2012","35 and over","48","All","Female","Main scheme applicant","Main scheme application","540","260","0.482","0"
"2013","35 and over","48","All","Female","Main scheme applicant","Main scheme application","560","270","0.48","0"
"2014","35 and over","48","All","Female","Main scheme applicant","Main scheme application","565","295","0.525","0"
"2015","35 and over","48","All","Female","Main scheme applicant","Main scheme application","605","295","0.488","0"
"2016","35 and over","48","All","Female","Main scheme applicant","Main scheme application","680","310","0.459","0"
"2017","35 and over","48","All","Female","Main scheme applicant","Main scheme application","535","290","0.546","0"
"2018","35 and over","48","All","Female","Main scheme applicant","Main scheme application","535","310","0.578","0"
"2019","35 and over","48","All","Female","Main scheme applicant","Main scheme application","540","320","0.597","0"
"2020","35 and over","48","All","Female","Main scheme applicant","Main scheme application","645","400","0.619","0"
"2021","35 and over","48","All","Female","Main scheme applicant","Main scheme application","655","370","0.5630000000000001","0"
"2022","35 and over","48","All","Female","Main scheme applicant","Main scheme application","605","345","0.5710000000000001","0"
"2023","35 and over","48","All","Female","Main scheme applicant","Main scheme application","610","335","0.553","0"
"2006","35 and over","49","All","Female","Main scheme applicant","Main scheme application","250","145","0.586","0"
"2007","35 and over","49","All","Female","Main scheme applicant","Main scheme application","240","150","0.632","0"
"2008","35 and over","49","All","Female","Main scheme applicant","Main scheme application","305","185","0.609","0"
"2009","35 and over","49","All","Female","Main scheme applicant","Main scheme application","425","240","0.5670000000000001","0"
"2010","35 and over","49","All","Female","Main scheme applicant","Main scheme application","505","250","0.5","0"
"2011","35 and over","49","All","Female","Main scheme applicant","Main scheme application","510","235","0.464","0"
"2012","35 and over","49","All","Female","Main scheme applicant","Main scheme application","420","195","0.463","0"
"2013","35 and over","49","All","Female","Main scheme applicant","Main scheme application","465","215","0.461","0"
"2014","35 and over","49","All","Female","Main scheme applicant","Main scheme application","510","250","0.486","0"
"2015","35 and over","49","All","Female","Main scheme applicant","Main scheme application","550","270","0.489","0"
"2016","35 and over","49","All","Female","Main scheme applicant","Main scheme application","590","290","0.495","0"
"2017","35 and over","49","All","Female","Main scheme applicant","Main scheme application","525","290","0.549","0"
"2018","35 and over","49","All","Female","Main scheme applicant","Main scheme application","460","280","0.608","0"
"2019","35 and over","49","All","Female","Main scheme applicant","Main scheme application","495","290","0.584","0"
"2020","35 and over","49","All","Female","Main scheme applicant","Main scheme application","515","320","0.624","0"
"2021","35 and over","49","All","Female","Main scheme applicant","Main scheme application","630","335","0.532","0"
"2022","35 and over","49","All","Female","Main scheme applicant","Main scheme application","460","270","0.59","0"
"2023","35 and over","49","All","Female","Main scheme applicant","Main scheme application","535","305","0.5640000000000001","0"
"2006","35 and over","50","All","Female","Main scheme applicant","Main scheme application","190","110","0.596","0"
"2007","35 and over","50","All","Female","Main scheme applicant","Main scheme application","210","140","0.663","0"
"2008","35 and over","50","All","Female","Main scheme applicant","Main scheme application","270","160","0.599","0"
"2009","35 and over","50","All","Female","Main scheme applicant","Main scheme application","330","195","0.595","0"
"2010","35 and over","50","All","Female","Main scheme applicant","Main scheme application","410","215","0.521","0"
"2011","35 and over","50","All","Female","Main scheme applicant","Main scheme application","380","180","0.47800000000000004","0"
"2012","35 and over","50","All","Female","Main scheme applicant","Main scheme application","355","140","0.4","0"
"2013","35 and over","50","All","Female","Main scheme applicant","Main scheme application","365","185","0.508","0"
"2014","35 and over","50","All","Female","Main scheme applicant","Main scheme application","395","200","0.503","0"
"2015","35 and over","50","All","Female","Main scheme applicant","Main scheme application","450","215","0.48","0"
"2016","35 and over","50","All","Female","Main scheme applicant","Main scheme application","465","225","0.48","0"
"2017","35 and over","50","All","Female","Main scheme applicant","Main scheme application","395","210","0.538","0"
"2018","35 and over","50","All","Female","Main scheme applicant","Main scheme application","410","235","0.5660000000000001","0"
"2019","35 and over","50","All","Female","Main scheme applicant","Main scheme application","410","260","0.638","0"
"2020","35 and over","50","All","Female","Main scheme applicant","Main scheme application","525","315","0.6","0"
"2021","35 and over","50","All","Female","Main scheme applicant","Main scheme application","500","280","0.5650000000000001","0"
"2022","35 and over","50","All","Female","Main scheme applicant","Main scheme application","440","220","0.497","0"
"2023","35 and over","50","All","Female","Main scheme applicant","Main scheme application","440","255","0.579","0"
"2006","35 and over","51","All","Female","Main scheme applicant","Main scheme application","150","75","0.5","0"
"2007","35 and over","51","All","Female","Main scheme applicant","Main scheme application","170","105","0.624","0"
"2008","35 and over","51","All","Female","Main scheme applicant","Main scheme application","175","110","0.647","0"
"2009","35 and over","51","All","Female","Main scheme applicant","Main scheme application","265","150","0.5740000000000001","0"
"2010","35 and over","51","All","Female","Main scheme applicant","Main scheme application","325","160","0.498","0"
"2011","35 and over","51","All","Female","Main scheme applicant","Main scheme application","320","145","0.458","0"
"2012","35 and over","51","All","Female","Main scheme applicant","Main scheme application","290","130","0.449","0"
"2013","35 and over","51","All","Female","Main scheme applicant","Main scheme application","290","145","0.507","0"
"2014","35 and over","51","All","Female","Main scheme applicant","Main scheme application","335","175","0.528","0"
"2015","35 and over","51","All","Female","Main scheme applicant","Main scheme application","350","175","0.494","0"
"2016","35 and over","51","All","Female","Main scheme applicant","Main scheme application","395","180","0.458","0"
"2017","35 and over","51","All","Female","Main scheme applicant","Main scheme application","340","185","0.545","0"
"2018","35 and over","51","All","Female","Main scheme applicant","Main scheme application","350","190","0.552","0"
"2019","35 and over","51","All","Female","Main scheme applicant","Main scheme application","375","235","0.618","0"
"2020","35 and over","51","All","Female","Main scheme applicant","Main scheme application","425","255","0.599","0"
"2021","35 and over","51","All","Female","Main scheme applicant","Main scheme application","470","255","0.541","0"
"2022","35 and over","51","All","Female","Main scheme applicant","Main scheme application","385","215","0.553","0"
"2023","35 and over","51","All","Female","Main scheme applicant","Main scheme application","375","210","0.559","0"
"2006","35 and over","52","All","Female","Main scheme applicant","Main scheme application","125","75","0.592","0"
"2007","35 and over","52","All","Female","Main scheme applicant","Main scheme application","125","75","0.593","0"
"2008","35 and over","52","All","Female","Main scheme applicant","Main scheme application","155","85","0.552","0"
"2009","35 and over","52","All","Female","Main scheme applicant","Main scheme application","200","125","0.619","0"
"2010","35 and over","52","All","Female","Main scheme applicant","Main scheme application","250","125","0.488","0"
"2011","35 and over","52","All","Female","Main scheme applicant","Main scheme application","255","110","0.443","0"
"2012","35 and over","52","All","Female","Main scheme applicant","Main scheme application","205","90","0.431","0"
"2013","35 and over","52","All","Female","Main scheme applicant","Main scheme application","235","120","0.517","0"
"2014","35 and over","52","All","Female","Main scheme applicant","Main scheme application","265","130","0.489","0"
"2015","35 and over","52","All","Female","Main scheme applicant","Main scheme application","270","135","0.507","0"
"2016","35 and over","52","All","Female","Main scheme applicant","Main scheme application","335","155","0.455","0"
"2017","35 and over","52","All","Female","Main scheme applicant","Main scheme application","305","165","0.538","0"
"2018","35 and over","52","All","Female","Main scheme applicant","Main scheme application","320","180","0.5640000000000001","0"
"2019","35 and over","52","All","Female","Main scheme applicant","Main scheme application","295","190","0.646","0"
"2020","35 and over","52","All","Female","Main scheme applicant","Main scheme application","375","225","0.597","0"
"2021","35 and over","52","All","Female","Main scheme applicant","Main scheme application","365","200","0.555","0"
"2022","35 and over","52","All","Female","Main scheme applicant","Main scheme application","355","195","0.555","0"
"2023","35 and over","52","All","Female","Main scheme applicant","Main scheme application","370","210","0.5690000000000001","0"
"2006","35 and over","53","All","Female","Main scheme applicant","Main scheme application","120","80","0.658","0"
"2007","35 and over","53","All","Female","Main scheme applicant","Main scheme application","105","60","0.59","0"
"2008","35 and over","53","All","Female","Main scheme applicant","Main scheme application","140","90","0.647","0"
"2009","35 and over","53","All","Female","Main scheme applicant","Main scheme application","160","90","0.553","0"
"2010","35 and over","53","All","Female","Main scheme applicant","Main scheme application","190","95","0.484","0"
"2011","35 and over","53","All","Female","Main scheme applicant","Main scheme application","205","90","0.437","0"
"2012","35 and over","53","All","Female","Main scheme applicant","Main scheme application","180","80","0.45","0"
"2013","35 and over","53","All","Female","Main scheme applicant","Main scheme application","195","85","0.437","0"
"2014","35 and over","53","All","Female","Main scheme applicant","Main scheme application","220","105","0.47200000000000003","0"
"2015","35 and over","53","All","Female","Main scheme applicant","Main scheme application","255","110","0.422","0"
"2016","35 and over","53","All","Female","Main scheme applicant","Main scheme application","265","130","0.49","0"
"2017","35 and over","53","All","Female","Main scheme applicant","Main scheme application","265","160","0.606","0"
"2018","35 and over","53","All","Female","Main scheme applicant","Main scheme application","265","150","0.5710000000000001","0"
"2019","35 and over","53","All","Female","Main scheme applicant","Main scheme application","285","170","0.597","0"
"2020","35 and over","53","All","Female","Main scheme applicant","Main scheme application","305","185","0.613","0"
"2021","35 and over","53","All","Female","Main scheme applicant","Main scheme application","300","155","0.513","0"
"2022","35 and over","53","All","Female","Main scheme applicant","Main scheme application","255","130","0.51","0"
"2023","35 and over","53","All","Female","Main scheme applicant","Main scheme application","320","165","0.516","0"
"2006","35 and over","54","All","Female","Main scheme applicant","Main scheme application","75","50","0.645","0"
"2007","35 and over","54","All","Female","Main scheme applicant","Main scheme application","105","65","0.612","0"
"2008","35 and over","54","All","Female","Main scheme applicant","Main scheme application","90","55","0.582","0"
"2009","35 and over","54","All","Female","Main scheme applicant","Main scheme application","130","60","0.46900000000000003","0"
"2010","35 and over","54","All","Female","Main scheme applicant","Main scheme application","155","65","0.432","0"
"2011","35 and over","54","All","Female","Main scheme applicant","Main scheme application","175","80","0.47100000000000003","0"
"2012","35 and over","54","All","Female","Main scheme applicant","Main scheme application","140","70","0.514","0"
"2013","35 and over","54","All","Female","Main scheme applicant","Main scheme application","145","80","0.534","0"
"2014","35 and over","54","All","Female","Main scheme applicant","Main scheme application","170","85","0.494","0"
"2015","35 and over","54","All","Female","Main scheme applicant","Main scheme application","205","95","0.461","0"
"2016","35 and over","54","All","Female","Main scheme applicant","Main scheme application","225","115","0.502","0"
"2017","35 and over","54","All","Female","Main scheme applicant","Main scheme application","195","105","0.541","0"
"2018","35 and over","54","All","Female","Main scheme applicant","Main scheme application","180","105","0.577","0"
"2019","35 and over","54","All","Female","Main scheme applicant","Main scheme application","210","135","0.641","0"
"2020","35 and over","54","All","Female","Main scheme applicant","Main scheme application","260","150","0.587","0"
"2021","35 and over","54","All","Female","Main scheme applicant","Main scheme application","255","125","0.494","0"
"2022","35 and over","54","All","Female","Main scheme applicant","Main scheme application","205","105","0.507","0"
"2023","35 and over","54","All","Female","Main scheme applicant","Main scheme application","235","125","0.538","0"
"2006","35 and over","55","All","Female","Main scheme applicant","Main scheme application","60","35","0.5690000000000001","0"
"2007","35 and over","55","All","Female","Main scheme applicant","Main scheme application","75","50","0.676","0"
"2008","35 and over","55","All","Female","Main scheme applicant","Main scheme application","70","45","0.606","0"
"2009","35 and over","55","All","Female","Main scheme applicant","Main scheme application","100","60","0.604","0"
"2010","35 and over","55","All","Female","Main scheme applicant","Main scheme application","120","65","0.516","0"
"2011","35 and over","55","All","Female","Main scheme applicant","Main scheme application","125","70","0.54","0"
"2012","35 and over","55","All","Female","Main scheme applicant","Main scheme application","120","60","0.504","0"
"2013","35 and over","55","All","Female","Main scheme applicant","Main scheme application","110","50","0.47200000000000003","0"
"2014","35 and over","55","All","Female","Main scheme applicant","Main scheme application","150","70","0.47300000000000003","0"
"2015","35 and over","55","All","Female","Main scheme applicant","Main scheme application","155","80","0.497","0"
"2016","35 and over","55","All","Female","Main scheme applicant","Main scheme application","155","75","0.468","0"
"2017","35 and over","55","All","Female","Main scheme applicant","Main scheme application","150","80","0.53","0"
"2018","35 and over","55","All","Female","Main scheme applicant","Main scheme application","180","115","0.64","0"
"2019","35 and over","55","All","Female","Main scheme applicant","Main scheme application","175","115","0.648","0"
"2020","35 and over","55","All","Female","Main scheme applicant","Main scheme application","220","140","0.639","0"
"2021","35 and over","55","All","Female","Main scheme applicant","Main scheme application","245","130","0.535","0"
"2022","35 and over","55","All","Female","Main scheme applicant","Main scheme application","205","100","0.493","0"
"2023","35 and over","55","All","Female","Main scheme applicant","Main scheme application","255","130","0.516","0"
"2006","35 and over","56","All","Female","Main scheme applicant","Main scheme application","60","45","0.705","0"
"2007","35 and over","56","All","Female","Main scheme applicant","Main scheme application","55","40","0.727","0"
"2008","35 and over","56","All","Female","Main scheme applicant","Main scheme application","55","30","0.537","0"
"2009","35 and over","56","All","Female","Main scheme applicant","Main scheme application","65","35","0.561","0"
"2010","35 and over","56","All","Female","Main scheme applicant","Main scheme application","95","45","0.47900000000000004","0"
"2011","35 and over","56","All","Female","Main scheme applicant","Main scheme application","100","50","0.52","0"
"2012","35 and over","56","All","Female","Main scheme applicant","Main scheme application","75","40","0.52","0"
"2013","35 and over","56","All","Female","Main scheme applicant","Main scheme application","85","45","0.506","0"
"2014","35 and over","56","All","Female","Main scheme applicant","Main scheme application","90","50","0.533","0"
"2015","35 and over","56","All","Female","Main scheme applicant","Main scheme application","115","65","0.5690000000000001","0"
"2016","35 and over","56","All","Female","Main scheme applicant","Main scheme application","135","75","0.556","0"
"2017","35 and over","56","All","Female","Main scheme applicant","Main scheme application","130","85","0.674","0"
"2018","35 and over","56","All","Female","Main scheme applicant","Main scheme application","140","80","0.583","0"
"2019","35 and over","56","All","Female","Main scheme applicant","Main scheme application","145","80","0.5690000000000001","0"
"2020","35 and over","56","All","Female","Main scheme applicant","Main scheme application","150","90","0.589","0"
"2021","35 and over","56","All","Female","Main scheme applicant","Main scheme application","195","115","0.589","0"
"2022","35 and over","56","All","Female","Main scheme applicant","Main scheme application","160","100","0.611","0"
"2023","35 and over","56","All","Female","Main scheme applicant","Main scheme application","160","90","0.559","0"
"2006","35 and over","57","All","Female","Main scheme applicant","Main scheme application","45","30","0.727","0"
"2007","35 and over","57","All","Female","Main scheme applicant","Main scheme application","45","30","0.667","0"
"2008","35 and over","57","All","Female","Main scheme applicant","Main scheme application","45","30","0.667","0"
"2009","35 and over","57","All","Female","Main scheme applicant","Main scheme application","60","35","0.603","0"
"2010","35 and over","57","All","Female","Main scheme applicant","Main scheme application","75","35","0.452","0"
"2011","35 and over","57","All","Female","Main scheme applicant","Main scheme application","50","30","0.538","0"
"2012","35 and over","57","All","Female","Main scheme applicant","Main scheme application","65","35","0.516","0"
"2013","35 and over","57","All","Female","Main scheme applicant","Main scheme application","75","45","0.579","0"
"2014","35 and over","57","All","Female","Main scheme applicant","Main scheme application","85","45","0.506","0"
"2015","35 and over","57","All","Female","Main scheme applicant","Main scheme application","100","55","0.52","0"
"2016","35 and over","57","All","Female","Main scheme applicant","Main scheme application","90","55","0.622","0"
"2017","35 and over","57","All","Female","Main scheme applicant","Main scheme application","110","60","0.527","0"
"2018","35 and over","57","All","Female","Main scheme applicant","Main scheme application","95","55","0.581","0"
"2019","35 and over","57","All","Female","Main scheme applicant","Main scheme application","140","75","0.547","0"
"2020","35 and over","57","All","Female","Main scheme applicant","Main scheme application","130","80","0.626","0"
"2021","35 and over","57","All","Female","Main scheme applicant","Main scheme application","135","80","0.599","0"
"2022","35 and over","57","All","Female","Main scheme applicant","Main scheme application","115","70","0.603","0"
"2023","35 and over","57","All","Female","Main scheme applicant","Main scheme application","145","80","0.545","0"
"2006","35 and over","58","All","Female","Main scheme applicant","Main scheme application","45","35","0.723","0"
"2007","35 and over","58","All","Female","Main scheme applicant","Main scheme application","40","30","0.683","0"
"2008","35 and over","58","All","Female","Main scheme applicant","Main scheme application","40","25","0.643","0"
"2009","35 and over","58","All","Female","Main scheme applicant","Main scheme application","45","20","0.465","0"
"2010","35 and over","58","All","Female","Main scheme applicant","Main scheme application","50","15","0.313","0"
"2011","35 and over","58","All","Female","Main scheme applicant","Main scheme application","55","25","0.426","0"
"2012","35 and over","58","All","Female","Main scheme applicant","Main scheme application","40","20","0.488","0"
"2013","35 and over","58","All","Female","Main scheme applicant","Main scheme application","55","35","0.625","0"
"2014","35 and over","58","All","Female","Main scheme applicant","Main scheme application","55","30","0.585","0"
"2015","35 and over","58","All","Female","Main scheme applicant","Main scheme application","80","40","0.494","0"
"2016","35 and over","58","All","Female","Main scheme applicant","Main scheme application","85","40","0.482","0"
"2017","35 and over","58","All","Female","Main scheme applicant","Main scheme application","65","35","0.547","0"
"2018","35 and over","58","All","Female","Main scheme applicant","Main scheme application","110","70","0.624","0"
"2019","35 and over","58","All","Female","Main scheme applicant","Main scheme application","90","55","0.622","0"
"2020","35 and over","58","All","Female","Main scheme applicant","Main scheme application","100","65","0.653","0"
"2021","35 and over","58","All","Female","Main scheme applicant","Main scheme application","125","65","0.536","0"
"2022","35 and over","58","All","Female","Main scheme applicant","Main scheme application","100","45","0.444","0"
"2023","35 and over","58","All","Female","Main scheme applicant","Main scheme application","120","65","0.555","0"
"2006","35 and over","59","All","Female","Main scheme applicant","Main scheme application","25","20","0.741","0"
"2007","35 and over","59","All","Female","Main scheme applicant","Main scheme application","30","20","0.645","0"
"2008","35 and over","59","All","Female","Main scheme applicant","Main scheme application","40","25","0.675","0"
"2009","35 and over","59","All","Female","Main scheme applicant","Main scheme application","50","35","0.66","0"
"2010","35 and over","59","All","Female","Main scheme applicant","Main scheme application","40","20","0.553","0"
"2011","35 and over","59","All","Female","Main scheme applicant","Main scheme application","45","25","0.511","0"
"2012","35 and over","59","All","Female","Main scheme applicant","Main scheme application","35","25","0.622","0"
"2013","35 and over","59","All","Female","Main scheme applicant","Main scheme application","45","30","0.609","0"
"2014","35 and over","59","All","Female","Main scheme applicant","Main scheme application","55","25","0.509","0"
"2015","35 and over","59","All","Female","Main scheme applicant","Main scheme application","50","25","0.51","0"
"2016","35 and over","59","All","Female","Main scheme applicant","Main scheme application","65","40","0.619","0"
"2017","35 and over","59","All","Female","Main scheme applicant","Main scheme application","70","50","0.722","0"
"2018","35 and over","59","All","Female","Main scheme applicant","Main scheme application","75","45","0.6","0"
"2019","35 and over","59","All","Female","Main scheme applicant","Main scheme application","90","55","0.64","0"
"2020","35 and over","59","All","Female","Main scheme applicant","Main scheme application","95","60","0.617","0"
"2021","35 and over","59","All","Female","Main scheme applicant","Main scheme application","80","45","0.557","0"
"2022","35 and over","59","All","Female","Main scheme applicant","Main scheme application","95","50","0.521","0"
"2023","35 and over","59","All","Female","Main scheme applicant","Main scheme application","105","60","0.558","0"
"2006","35 and over","60","All","Female","Main scheme applicant","Main scheme application","35","25","0.6970000000000001","0"
"2007","35 and over","60","All","Female","Main scheme applicant","Main scheme application","30","25","0.862","0"
"2008","35 and over","60","All","Female","Main scheme applicant","Main scheme application","30","25","0.75","0"
"2009","35 and over","60","All","Female","Main scheme applicant","Main scheme application","20","15","0.714","0"
"2010","35 and over","60","All","Female","Main scheme applicant","Main scheme application","35","25","0.622","0"
"2011","35 and over","60","All","Female","Main scheme applicant","Main scheme application","35","20","0.5760000000000001","0"
"2012","35 and over","60","All","Female","Main scheme applicant","Main scheme application","35","15","0.441","0"
"2013","35 and over","60","All","Female","Main scheme applicant","Main scheme application","30","10","0.4","0"
"2014","35 and over","60","All","Female","Main scheme applicant","Main scheme application","35","25","0.6970000000000001","0"
"2015","35 and over","60","All","Female","Main scheme applicant","Main scheme application","20","15","0.591","0"
"2016","35 and over","60","All","Female","Main scheme applicant","Main scheme application","35","20","0.514","0"
"2017","35 and over","60","All","Female","Main scheme applicant","Main scheme application","45","30","0.659","0"
"2018","35 and over","60","All","Female","Main scheme applicant","Main scheme application","50","25","0.49","0"
"2019","35 and over","60","All","Female","Main scheme applicant","Main scheme application","35","25","0.622","0"
"2020","35 and over","60","All","Female","Main scheme applicant","Main scheme application","60","40","0.7000000000000001","0"
"2021","35 and over","60","All","Female","Main scheme applicant","Main scheme application","40","20","0.463","0"
"2022","35 and over","60","All","Female","Main scheme applicant","Main scheme application","50","25","0.5630000000000001","0"
"2023","35 and over","60","All","Female","Main scheme applicant","Main scheme application","50","30","0.625","0"
"2006","35 and over","61","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
