"Year","Age group","Individual age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","21 - 24","21","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.833","0"
"2018","21 - 24","21","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2019","21 - 24","21","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2020","21 - 24","21","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","5"
"2021","21 - 24","21","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2022","21 - 24","21","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","25","0.889","0"
"2023","21 - 24","21","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","10","0.769","5"
"2006","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2007","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2008","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2009","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2010","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.833","0"
"2020","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","10","0.846","5"
"2021","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","21 - 24","22","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2006","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2007","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2008","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2011","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2021","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2023","21 - 24","23","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
