"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Medium tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","85","70","0.8240000000000001"
"2019","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","240","205","0.843"
"2020","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","360","295","0.8220000000000001"
"2021","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","210","180","0.844"
"2022","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","250","190","0.766"
"2023","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","250","200","0.786"
"2019","Higher tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.733"
"2020","Higher tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.727"
"2021","Higher tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Higher tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Higher tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.809"
"2020","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","80","70","0.877"
"2021","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.929"
"2022","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","60","50","0.8230000000000001"
"2023","Medium tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","65","55","0.8280000000000001"
"2019","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","185","155","0.847"
"2020","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","270","220","0.8190000000000001"
"2021","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","170","135","0.791"
"2022","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","185","140","0.754"
