"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Main scheme application","195","35","0.17300000000000001","0"
"2021","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Main scheme application","265","30","0.113","0"
"2022","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Main scheme application","300","45","0.14300000000000002","0"
"2023","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Main scheme application","265","30","0.11800000000000001","0"
"2019","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","305","65","0.20600000000000002","0"
"2020","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","245","65","0.273","0"
"2021","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","350","55","0.161","0"
"2022","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","295","60","0.209","0"
"2023","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","195","55","0.272","0"
"2019","UK","Wales","Wales","18","Female","Main scheme applicant","Main scheme application","105","20","0.202","0"
"2020","UK","Wales","Wales","18","Female","Main scheme applicant","Main scheme application","125","35","0.28300000000000003","0"
"2021","UK","Wales","Wales","18","Female","Main scheme applicant","Main scheme application","195","50","0.254","0"
"2022","UK","Wales","Wales","18","Female","Main scheme applicant","Main scheme application","165","45","0.281","0"
"2023","UK","Wales","Wales","18","Female","Main scheme applicant","Main scheme application","125","40","0.306","0"
"2019","International","EU (excluding UK)","France","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","EU (excluding UK)","France","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Main scheme application","35","0"," ","0"
"2020","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Main scheme application","45","5"," ","0"
"2021","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Main scheme application","55","5"," ","0"
"2022","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Main scheme application","70","5"," ","0"
"2023","International","EU (excluding UK)","Ireland","18","Female","Main scheme applicant","Main scheme application","55","5"," ","0"
"2020","International","EU (excluding UK)","Italy","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","International","EU (excluding UK)","Spain","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","Not EU","Jersey","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","Not EU","Isle of Man","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","Isle of Man","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","Not EU","Canada","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","International","Not EU","Gibraltar","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","International","Not EU","United States of America","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","Not EU","United States of America","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","United States of America","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","Not EU","United States of America","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","England","England","19","Female","Main scheme applicant","Main scheme application","890","325","0.367","0"
"2020","UK","England","England","19","Female","Main scheme applicant","Main scheme application","885","315","0.357","0"
"2021","UK","England","England","19","Female","Main scheme applicant","Main scheme application","1080","315","0.292","0"
"2022","UK","England","England","19","Female","Main scheme applicant","Main scheme application","1030","245","0.23900000000000002","0"
