"Year","Difference between predicted and achieved SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","0 points","Quintile 5","All","Main scheme application","30","25","0.8210000000000001","0"
"2021","0 points","Quintile 5","All","Main scheme application","30","25","0.839","0"
"2022","0 points","Quintile 5","All","Main scheme application","20","10","0.611","0"
"2023","0 points","Quintile 5","All","Main scheme application","20","15","0.591","0"
"2010","1 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2011","1 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2012","1 points","Quintile 5","All","Main scheme application","15","10","0.625","0"
"2013","1 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2014","1 points","Quintile 5","All","Main scheme application","20","20","0.9550000000000001","0"
"2015","1 points","Quintile 5","All","Main scheme application","15","10","0.647","0"
"2016","1 points","Quintile 5","All","Main scheme application","10","10","1","0"
"2017","1 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2018","1 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2019","1 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2020","1 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2021","1 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2022","1 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2023","1 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2010","2 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2011","2 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2012","2 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2013","2 points","Quintile 5","All","Main scheme application","10","10","0.833","0"
"2014","2 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2015","2 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2016","2 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2017","2 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2018","2 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2019","2 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2020","2 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2021","2 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2022","2 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2023","2 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2011","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2012","3 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2013","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2014","3 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2016","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2021","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2022","3 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2010","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2011","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2012","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2014","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2015","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2016","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2018","More than 3 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2019","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2020","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2021","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2022","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2010","-1 points","Quintile 5","All","Main scheme application","15","10"," ","0"
"2011","-1 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2012","-1 points","Quintile 5","All","Main scheme application","30","15","0.5","0"
"2013","-1 points","Quintile 5","All","Main scheme application","15","10","0.714","0"
"2014","-1 points","Quintile 5","All","Main scheme application","20","10","0.6","0"
"2015","-1 points","Quintile 5","All","Main scheme application","25","10"," ","0"
"2016","-1 points","Quintile 5","All","Main scheme application","15","10","0.625","0"
"2017","-1 points","Quintile 5","All","Main scheme application","20","15","0.762","0"
"2018","-1 points","Quintile 5","All","Main scheme application","15","10","0.769","0"
"2019","-1 points","Quintile 5","All","Main scheme application","15","10","0.769","0"
"2020","-1 points","Quintile 5","All","Main scheme application","20","10","0.6","0"
"2021","-1 points","Quintile 5","All","Main scheme application","20","15","0.778","0"
"2022","-1 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2023","-1 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2010","-2 points","Quintile 5","All","Main scheme application","20","10","0.526","0"
"2011","-2 points","Quintile 5","All","Main scheme application","20","15","0.737","0"
"2012","-2 points","Quintile 5","All","Main scheme application","20","10","0.579","0"
"2013","-2 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2014","-2 points","Quintile 5","All","Main scheme application","15","10"," ","0"
"2015","-2 points","Quintile 5","All","Main scheme application","20","10","0.526","0"
"2016","-2 points","Quintile 5","All","Main scheme application","15","10","0.714","0"
"2017","-2 points","Quintile 5","All","Main scheme application","15","10"," ","0"
"2018","-2 points","Quintile 5","All","Main scheme application","15","10","0.8","0"
"2019","-2 points","Quintile 5","All","Main scheme application","15","10"," ","0"
"2020","-2 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2021","-2 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2022","-2 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2023","-2 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2010","-3 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2011","-3 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2012","-3 points","Quintile 5","All","Main scheme application","15","10","0.8","0"
"2013","-3 points","Quintile 5","All","Main scheme application","20","5"," ","0"
"2014","-3 points","Quintile 5","All","Main scheme application","20","10"," ","0"
"2015","-3 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2016","-3 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2017","-3 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2018","-3 points","Quintile 5","All","Main scheme application","15","10"," ","0"
"2019","-3 points","Quintile 5","All","Main scheme application","15","10"," ","0"
"2020","-3 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2021","-3 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2022","-3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2023","-3 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2010","-4 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2011","-4 points","Quintile 5","All","Main scheme application","10","0"," ","0"
"2012","-4 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2013","-4 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2014","-4 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2015","-4 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2016","-4 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2017","-4 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2018","-4 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2019","-4 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2020","-4 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2022","-4 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2023","-4 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2010","-5 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2011","-5 points","Quintile 5","All","Main scheme application","10","0"," ","0"
"2012","-5 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2013","-5 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2014","-5 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2015","-5 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2016","-5 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2018","-5 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2019","-5 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2021","-5 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2023","-5 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2010","-6 points","Quintile 5","All","Main scheme application","10","0"," ","0"
"2011","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2012","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2013","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2014","-6 points","Quintile 5","All","Main scheme application","10","0"," ","0"
"2015","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2016","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2017","-6 points","Quintile 5","All","Main scheme application","10","0"," ","0"
"2018","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2019","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2021","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2022","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2023","-6 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2010","Less than -6 points","Quintile 5","All","Main scheme application","15","0"," ","0"
"2011","Less than -6 points","Quintile 5","All","Main scheme application","10","0"," ","0"
"2012","Less than -6 points","Quintile 5","All","Main scheme application","25","0"," ","0"
"2013","Less than -6 points","Quintile 5","All","Main scheme application","20","0"," ","0"
"2014","Less than -6 points","Quintile 5","All","Main scheme application","15","0"," ","0"
"2015","Less than -6 points","Quintile 5","All","Main scheme application","25","5"," ","0"
"2016","Less than -6 points","Quintile 5","All","Main scheme application","15","0"," ","0"
"2017","Less than -6 points","Quintile 5","All","Main scheme application","15","0"," ","0"
"2018","Less than -6 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2019","Less than -6 points","Quintile 5","All","Main scheme application","15","5"," ","0"
"2021","Less than -6 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2022","Less than -6 points","Quintile 5","All","Main scheme application","10","0"," ","0"
"2023","Less than -6 points","Quintile 5","All","Main scheme application","20","5"," ","0"
"2010","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2012","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2014","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 1","All","Not main scheme application","10","5"," ","0"
"2016","All","Quintile 1","All","Not main scheme application","5","0"," ","0"
"2017","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2018","All","Quintile 1","All","Not main scheme application","5","0"," ","0"
"2019","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2020","All","Quintile 1","All","Not main scheme application","10","10"," ","0"
"2022","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2023","All","Quintile 1","All","Not main scheme application","5","0"," ","0"
"2012","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2013","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2014","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 2","All","Not main scheme application","10","5"," ","0"
"2016","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2018","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2019","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2020","All","Quintile 2","All","Not main scheme application","10","10"," ","0"
"2021","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2023","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2010","All","Quintile 3","All","Not main scheme application","15","10","0.857","0"
"2011","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2012","All","Quintile 3","All","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 3","All","Not main scheme application","5","0"," ","0"
"2014","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 3","All","Not main scheme application","15","5"," ","0"
"2016","All","Quintile 3","All","Not main scheme application","15","10"," ","0"
"2017","All","Quintile 3","All","Not main scheme application","10","5"," ","0"
"2018","All","Quintile 3","All","Not main scheme application","10","5"," ","0"
"2020","All","Quintile 3","All","Not main scheme application","10","10","1","0"
"2021","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2010","All","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2011","All","Quintile 4","All","Not main scheme application","10","10","0.909","0"
"2012","All","Quintile 4","All","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2014","All","Quintile 4","All","Not main scheme application","15","10"," ","0"
"2015","All","Quintile 4","All","Not main scheme application","15","10"," ","0"
"2016","All","Quintile 4","All","Not main scheme application","15","10","0.714","0"
"2017","All","Quintile 4","All","Not main scheme application","15","10","0.706","0"
"2018","All","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2019","All","Quintile 4","All","Not main scheme application","15","10","0.733","0"
"2020","All","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2021","All","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2023","All","Quintile 4","All","Not main scheme application","10","10"," ","0"
"2010","All","Quintile 5","All","Not main scheme application","25","20","0.9570000000000001","0"
"2011","All","Quintile 5","All","Not main scheme application","15","10"," ","0"
"2012","All","Quintile 5","All","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 5","All","Not main scheme application","10","10"," ","0"
"2014","All","Quintile 5","All","Not main scheme application","25","15","0.652","0"
"2015","All","Quintile 5","All","Not main scheme application","25","15","0.739","0"
"2016","All","Quintile 5","All","Not main scheme application","15","10"," ","0"
"2017","All","Quintile 5","All","Not main scheme application","15","10","0.8","0"
"2018","All","Quintile 5","All","Not main scheme application","15","10"," ","0"
"2019","All","Quintile 5","All","Not main scheme application","15","10"," ","0"
"2020","All","Quintile 5","All","Not main scheme application","15","10","0.923","0"
"2021","All","Quintile 5","All","Not main scheme application","10","5"," ","0"
"2022","All","Quintile 5","All","Not main scheme application","10","5"," ","0"
"2023","All","Quintile 5","All","Not main scheme application","15","10","0.706","0"
"2015","All","Unknown","All","Main scheme application","5","0"," ","0"
"2010","All","Quintile 1","All","Main scheme application","30","15","0.586","0"
"2011","All","Quintile 1","All","Main scheme application","20","10","0.556","0"
"2012","All","Quintile 1","All","Main scheme application","20","10"," ","0"
"2013","All","Quintile 1","All","Main scheme application","25","15","0.654","0"
"2014","All","Quintile 1","All","Main scheme application","45","15","0.372","0"
"2015","All","Quintile 1","All","Main scheme application","55","25","0.5","0"
"2016","All","Quintile 1","All","Main scheme application","35","15","0.486","0"
"2017","All","Quintile 1","All","Main scheme application","35","15","0.5","0"
"2018","All","Quintile 1","All","Main scheme application","35","20","0.618","0"
"2019","All","Quintile 1","All","Main scheme application","40","20","0.55","0"
"2020","All","Quintile 1","All","Main scheme application","45","30","0.682","0"
"2021","All","Quintile 1","All","Main scheme application","40","30","0.7000000000000001","0"
"2022","All","Quintile 1","All","Main scheme application","30","15","0.464","0"
"2023","All","Quintile 1","All","Main scheme application","40","30","0.7000000000000001","0"
"2010","All","Quintile 2","All","Main scheme application","40","25","0.641","0"
"2011","All","Quintile 2","All","Main scheme application","50","25","0.531","0"
"2012","All","Quintile 2","All","Main scheme application","60","25","0.441","0"
"2013","All","Quintile 2","All","Main scheme application","60","35","0.586","0"
"2014","All","Quintile 2","All","Main scheme application","85","30","0.386","0"
"2015","All","Quintile 2","All","Main scheme application","65","25","0.40900000000000003","0"
"2016","All","Quintile 2","All","Main scheme application","75","40","0.562","0"
"2017","All","Quintile 2","All","Main scheme application","50","30","0.604","0"
"2018","All","Quintile 2","All","Main scheme application","60","35","0.607","0"
"2019","All","Quintile 2","All","Main scheme application","60","35","0.5740000000000001","0"
"2020","All","Quintile 2","All","Main scheme application","85","60","0.726","0"
"2021","All","Quintile 2","All","Main scheme application","70","50","0.754","0"
"2022","All","Quintile 2","All","Main scheme application","50","35","0.714","0"
"2023","All","Quintile 2","All","Main scheme application","55","40","0.667","0"
"2010","All","Quintile 3","All","Main scheme application","75","35","0.442","0"
"2011","All","Quintile 3","All","Main scheme application","75","35","0.47900000000000004","0"
"2012","All","Quintile 3","All","Main scheme application","100","45","0.434","0"
"2013","All","Quintile 3","All","Main scheme application","75","45","0.5660000000000001","0"
"2014","All","Quintile 3","All","Main scheme application","90","45","0.5","0"
"2015","All","Quintile 3","All","Main scheme application","95","45","0.47900000000000004","0"
"2016","All","Quintile 3","All","Main scheme application","90","35","0.371","0"
"2017","All","Quintile 3","All","Main scheme application","75","45","0.5660000000000001","0"
"2018","All","Quintile 3","All","Main scheme application","95","55","0.606","0"
"2019","All","Quintile 3","All","Main scheme application","50","25","0.551","0"
"2020","All","Quintile 3","All","Main scheme application","85","55","0.639","0"
"2021","All","Quintile 3","All","Main scheme application","85","60","0.735","0"
"2022","All","Quintile 3","All","Main scheme application","70","50","0.725","0"
"2023","All","Quintile 3","All","Main scheme application","65","45","0.6980000000000001","0"
"2010","All","Quintile 4","All","Main scheme application","95","50","0.559","0"
"2011","All","Quintile 4","All","Main scheme application","95","40","0.447","0"
"2012","All","Quintile 4","All","Main scheme application","120","55","0.449","0"
"2013","All","Quintile 4","All","Main scheme application","105","45","0.456","0"
"2014","All","Quintile 4","All","Main scheme application","110","50","0.468","0"
"2015","All","Quintile 4","All","Main scheme application","130","50","0.395","0"
"2016","All","Quintile 4","All","Main scheme application","90","50","0.527","0"
"2017","All","Quintile 4","All","Main scheme application","110","60","0.545","0"
"2018","All","Quintile 4","All","Main scheme application","100","65","0.627","0"
"2019","All","Quintile 4","All","Main scheme application","100","50","0.531","0"
"2020","All","Quintile 4","All","Main scheme application","85","50","0.614","0"
"2021","All","Quintile 4","All","Main scheme application","85","60","0.6990000000000001","0"
"2022","All","Quintile 4","All","Main scheme application","65","40","0.635","0"
"2023","All","Quintile 4","All","Main scheme application","80","50","0.61","0"
"2010","All","Quintile 5","All","Main scheme application","120","60","0.496","0"
"2011","All","Quintile 5","All","Main scheme application","110","55","0.505","0"
"2012","All","Quintile 5","All","Main scheme application","170","85","0.488","0"
"2013","All","Quintile 5","All","Main scheme application","135","70","0.504","0"
"2014","All","Quintile 5","All","Main scheme application","155","80","0.526","0"
"2015","All","Quintile 5","All","Main scheme application","160","70","0.438","0"
"2016","All","Quintile 5","All","Main scheme application","135","80","0.593","0"
"2017","All","Quintile 5","All","Main scheme application","125","65","0.528","0"
"2018","All","Quintile 5","All","Main scheme application","130","75","0.578","0"
"2019","All","Quintile 5","All","Main scheme application","115","70","0.595","0"
"2020","All","Quintile 5","All","Main scheme application","100","70","0.6900000000000001","0"
"2021","All","Quintile 5","All","Main scheme application","125","90","0.736","0"
"2022","All","Quintile 5","All","Main scheme application","80","40","0.525","0"
"2023","All","Quintile 5","All","Main scheme application","105","55","0.514","0"
"2010","0 points","All","All","Not main scheme application","5","5"," ","0"
"2012","0 points","All","All","Not main scheme application","5","5"," ","0"
"2014","0 points","All","All","Not main scheme application","10","10"," ","0"
"2015","0 points","All","All","Not main scheme application","10","5"," ","0"
"2017","0 points","All","All","Not main scheme application","5","5"," ","0"
"2018","0 points","All","All","Not main scheme application","5","0"," ","0"
"2019","0 points","All","All","Not main scheme application","5","5"," ","0"
"2020","0 points","All","All","Not main scheme application","5","5"," ","0"
"2021","0 points","All","All","Not main scheme application","5","5"," ","0"
"2022","0 points","All","All","Not main scheme application","5","0"," ","0"
"2023","0 points","All","All","Not main scheme application","5","0"," ","0"
"2011","1 points","All","All","Not main scheme application","5","5"," ","0"
"2013","1 points","All","All","Not main scheme application","5","0"," ","0"
"2014","1 points","All","All","Not main scheme application","5","5"," ","0"
"2015","1 points","All","All","Not main scheme application","5","5"," ","0"
"2016","1 points","All","All","Not main scheme application","5","0"," ","0"
"2018","1 points","All","All","Not main scheme application","5","5"," ","0"
"2020","1 points","All","All","Not main scheme application","5","5"," ","0"
"2021","1 points","All","All","Not main scheme application","5","5"," ","0"
"2012","2 points","All","All","Not main scheme application","5","5"," ","0"
"2017","2 points","All","All","Not main scheme application","5","5"," ","0"
"2021","3 points","All","All","Not main scheme application","5","0"," ","0"
"2010","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2012","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2013","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2014","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2015","-1 points","All","All","Not main scheme application","10","10"," ","0"
"2016","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2017","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2018","-1 points","All","All","Not main scheme application","5","0"," ","0"
"2019","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2020","-1 points","All","All","Not main scheme application","10","10"," ","0"
"2022","-1 points","All","All","Not main scheme application","5","0"," ","0"
"2023","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2010","-2 points","All","All","Not main scheme application","10","10","1","0"
"2011","-2 points","All","All","Not main scheme application","5","5"," ","0"
"2012","-2 points","All","All","Not main scheme application","5","5"," ","0"
"2013","-2 points","All","All","Not main scheme application","5","0"," ","0"
"2014","-2 points","All","All","Not main scheme application","5","5"," ","0"
"2015","-2 points","All","All","Not main scheme application","10","5"," ","0"
"2016","-2 points","All","All","Not main scheme application","5","5"," ","0"
"2017","-2 points","All","All","Not main scheme application","5","5"," ","0"
"2019","-2 points","All","All","Not main scheme application","5","5"," ","0"
"2020","-2 points","All","All","Not main scheme application","10","10"," ","0"
"2021","-2 points","All","All","Not main scheme application","5","5"," ","0"
"2023","-2 points","All","All","Not main scheme application","5","5"," ","0"
"2010","-3 points","All","All","Not main scheme application","5","5"," ","0"
"2011","-3 points","All","All","Not main scheme application","5","0"," ","0"
"2012","-3 points","All","All","Not main scheme application","5","5"," ","0"
"2013","-3 points","All","All","Not main scheme application","5","5"," ","0"
"2014","-3 points","All","All","Not main scheme application","10","5"," ","0"
"2015","-3 points","All","All","Not main scheme application","10","10"," ","0"
"2016","-3 points","All","All","Not main scheme application","5","5"," ","0"
"2017","-3 points","All","All","Not main scheme application","5","5"," ","0"
"2018","-3 points","All","All","Not main scheme application","5","5"," ","0"
"2019","-3 points","All","All","Not main scheme application","5","0"," ","0"
"2020","-3 points","All","All","Not main scheme application","5","5"," ","0"
"2022","-3 points","All","All","Not main scheme application","5","5"," ","0"
"2011","-4 points","All","All","Not main scheme application","5","5"," ","0"
"2012","-4 points","All","All","Not main scheme application","5","5"," ","0"
"2013","-4 points","All","All","Not main scheme application","5","5"," ","0"
"2014","-4 points","All","All","Not main scheme application","5","0"," ","0"
"2015","-4 points","All","All","Not main scheme application","10","5"," ","0"
"2016","-4 points","All","All","Not main scheme application","5","5"," ","0"
"2017","-4 points","All","All","Not main scheme application","5","5"," ","0"
"2018","-4 points","All","All","Not main scheme application","5","0"," ","0"
"2019","-4 points","All","All","Not main scheme application","5","0"," ","0"
"2020","-4 points","All","All","Not main scheme application","5","5"," ","0"
"2022","-4 points","All","All","Not main scheme application","5","0"," ","0"
"2023","-4 points","All","All","Not main scheme application","5","5"," ","0"
"2010","-5 points","All","All","Not main scheme application","5","5"," ","0"
"2011","-5 points","All","All","Not main scheme application","5","0"," ","0"
"2012","-5 points","All","All","Not main scheme application","5","5"," ","0"
"2014","-5 points","All","All","Not main scheme application","5","0"," ","0"
"2015","-5 points","All","All","Not main scheme application","10","5"," ","0"
"2016","-5 points","All","All","Not main scheme application","5","0"," ","0"
"2018","-5 points","All","All","Not main scheme application","5","0"," ","0"
"2019","-5 points","All","All","Not main scheme application","5","5"," ","0"
"2020","-5 points","All","All","Not main scheme application","5","0"," ","0"
"2010","-6 points","All","All","Not main scheme application","5","5"," ","0"
"2011","-6 points","All","All","Not main scheme application","5","0"," ","0"
"2013","-6 points","All","All","Not main scheme application","5","5"," ","0"
"2014","-6 points","All","All","Not main scheme application","5","5"," ","0"
"2015","-6 points","All","All","Not main scheme application","5","0"," ","0"
"2016","-6 points","All","All","Not main scheme application","5","0"," ","0"
"2017","-6 points","All","All","Not main scheme application","5","5"," ","0"
"2018","-6 points","All","All","Not main scheme application","5","0"," ","0"
"2019","-6 points","All","All","Not main scheme application","5","0"," ","0"
"2010","Less than -6 points","All","All","Not main scheme application","5","5"," ","0"
"2011","Less than -6 points","All","All","Not main scheme application","5","0"," ","0"
"2012","Less than -6 points","All","All","Not main scheme application","5","0"," ","0"
"2014","Less than -6 points","All","All","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","All","All","Not main scheme application","5","0"," ","0"
"2016","Less than -6 points","All","All","Not main scheme application","10","0"," ","0"
"2017","Less than -6 points","All","All","Not main scheme application","5","0"," ","0"
"2018","Less than -6 points","All","All","Not main scheme application","10","5"," ","0"
"2019","Less than -6 points","All","All","Not main scheme application","5","0"," ","0"
"2021","Less than -6 points","All","All","Not main scheme application","5","0"," ","0"
"2022","Less than -6 points","All","All","Not main scheme application","10","5"," ","0"
"2023","Less than -6 points","All","All","Not main scheme application","10","5"," ","0"
"2010","0 points","All","All","Main scheme application","40","30","0.732","0"
"2011","0 points","All","All","Main scheme application","35","20","0.606","0"
"2012","0 points","All","All","Main scheme application","40","30","0.6900000000000001","0"
"2013","0 points","All","All","Main scheme application","50","35","0.755","0"
"2014","0 points","All","All","Main scheme application","50","30","0.577","0"
"2015","0 points","All","All","Main scheme application","60","35","0.5650000000000001","0"
"2016","0 points","All","All","Main scheme application","50","40","0.75","0"
"2017","0 points","All","All","Main scheme application","45","30","0.744","0"
"2018","0 points","All","All","Main scheme application","55","40","0.709","0"
"2019","0 points","All","All","Main scheme application","35","30","0.889","0"
"2020","0 points","All","All","Main scheme application","95","70","0.763","0"
"2021","0 points","All","All","Main scheme application","80","70","0.864","0"
"2022","0 points","All","All","Main scheme application","55","40","0.759","0"
"2023","0 points","All","All","Main scheme application","55","40","0.719","0"
"2010","1 points","All","All","Main scheme application","30","20","0.733","0"
"2011","1 points","All","All","Main scheme application","40","20","0.538","0"
"2012","1 points","All","All","Main scheme application","50","35","0.729","0"
"2013","1 points","All","All","Main scheme application","30","20","0.621","0"
"2014","1 points","All","All","Main scheme application","45","35","0.745","0"
"2015","1 points","All","All","Main scheme application","45","30","0.6980000000000001","0"
"2016","1 points","All","All","Main scheme application","25","20","0.846","0"
"2017","1 points","All","All","Main scheme application","35","25","0.788","0"
"2018","1 points","All","All","Main scheme application","30","25","0.793","0"
"2019","1 points","All","All","Main scheme application","15","15","0.882","0"
"2020","1 points","All","All","Main scheme application","45","40","0.8260000000000001","0"
"2021","1 points","All","All","Main scheme application","50","35","0.735","0"
"2022","1 points","All","All","Main scheme application","20","15","0.714","0"
"2023","1 points","All","All","Main scheme application","35","25","0.727","0"
"2010","2 points","All","All","Main scheme application","20","15","0.773","0"
"2011","2 points","All","All","Main scheme application","25","20","0.769","0"
"2012","2 points","All","All","Main scheme application","20","15","0.636","0"
"2013","2 points","All","All","Main scheme application","30","25","0.8130000000000001","0"
"2014","2 points","All","All","Main scheme application","30","25","0.833","0"
"2015","2 points","All","All","Main scheme application","25","20","0.846","0"
"2016","2 points","All","All","Main scheme application","25","20","0.76","0"
"2017","2 points","All","All","Main scheme application","30","20","0.679","0"
"2018","2 points","All","All","Main scheme application","25","15","0.5650000000000001","0"
"2019","2 points","All","All","Main scheme application","20","15","0.667","0"
"2020","2 points","All","All","Main scheme application","35","30","0.909","0"
"2021","2 points","All","All","Main scheme application","40","35","0.897","0"
"2022","2 points","All","All","Main scheme application","15","10"," ","0"
"2023","2 points","All","All","Main scheme application","15","10","0.846","0"
"2010","3 points","All","All","Main scheme application","20","15","0.789","0"
