"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","All","Asian","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2023","All","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","All","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","All","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","All","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","All","Mixed","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","All","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","Other","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","All","White","Main scheme applicant","Not main scheme application","945","690","0.73","0"
"2011","All","White","Main scheme applicant","Not main scheme application","1190","855","0.72","0"
"2012","All","White","Main scheme applicant","Not main scheme application","1060","800","0.756","0"
"2013","All","White","Main scheme applicant","Not main scheme application","1065","825","0.776","0"
"2014","All","White","Main scheme applicant","Not main scheme application","1220","925","0.758","0"
"2015","All","White","Main scheme applicant","Not main scheme application","1385","1090","0.786","0"
"2016","All","White","Main scheme applicant","Not main scheme application","1305","1035","0.793","0"
"2017","All","White","Main scheme applicant","Not main scheme application","1025","850","0.8280000000000001","0"
"2018","All","White","Main scheme applicant","Not main scheme application","895","785","0.88","0"
"2019","All","White","Main scheme applicant","Not main scheme application","785","690","0.883","0"
"2020","All","White","Main scheme applicant","Not main scheme application","810","725","0.894","0"
"2021","All","White","Main scheme applicant","Not main scheme application","1120","975","0.871","0"
"2022","All","White","Main scheme applicant","Not main scheme application","1065","895","0.842","0"
"2023","All","White","Main scheme applicant","Not main scheme application","815","725","0.887","0"
"2010","All","Black","Main scheme applicant","Not main scheme application","150","110","0.73","0"
"2011","All","Black","Main scheme applicant","Not main scheme application","270","200","0.745","0"
"2012","All","Black","Main scheme applicant","Not main scheme application","290","230","0.797","0"
"2013","All","Black","Main scheme applicant","Not main scheme application","330","280","0.852","0"
"2014","All","Black","Main scheme applicant","Not main scheme application","375","315","0.84","0"
"2015","All","Black","Main scheme applicant","Not main scheme application","515","450","0.874","0"
"2016","All","Black","Main scheme applicant","Not main scheme application","460","390","0.854","0"
"2017","All","Black","Main scheme applicant","Not main scheme application","385","355","0.912","0"
"2018","All","Black","Main scheme applicant","Not main scheme application","330","295","0.897","0"
"2019","All","Black","Main scheme applicant","Not main scheme application","380","345","0.915","0"
"2020","All","Black","Main scheme applicant","Not main scheme application","370","335","0.906","0"
"2021","All","Black","Main scheme applicant","Not main scheme application","480","445","0.929","0"
"2022","All","Black","Main scheme applicant","Not main scheme application","565","505","0.899","0"
"2023","All","Black","Main scheme applicant","Not main scheme application","550","505","0.913","0"
"2010","All","Asian","Main scheme applicant","Not main scheme application","120","90","0.748","0"
"2011","All","Asian","Main scheme applicant","Not main scheme application","210","150","0.719","0"
"2012","All","Asian","Main scheme applicant","Not main scheme application","260","210","0.807","0"
"2013","All","Asian","Main scheme applicant","Not main scheme application","315","270","0.857","0"
"2014","All","Asian","Main scheme applicant","Not main scheme application","380","335","0.879","0"
"2015","All","Asian","Main scheme applicant","Not main scheme application","460","395","0.862","0"
"2016","All","Asian","Main scheme applicant","Not main scheme application","490","425","0.869","0"
"2017","All","Asian","Main scheme applicant","Not main scheme application","490","450","0.913","0"
"2018","All","Asian","Main scheme applicant","Not main scheme application","465","425","0.906","0"
"2019","All","Asian","Main scheme applicant","Not main scheme application","535","485","0.907","0"
"2020","All","Asian","Main scheme applicant","Not main scheme application","585","545","0.93","0"
"2021","All","Asian","Main scheme applicant","Not main scheme application","655","585","0.892","0"
"2022","All","Asian","Main scheme applicant","Not main scheme application","695","615","0.888","0"
"2023","All","Asian","Main scheme applicant","Not main scheme application","665","600","0.903","0"
"2010","All","Mixed","Main scheme applicant","Not main scheme application","50","35","0.74","0"
"2011","All","Mixed","Main scheme applicant","Not main scheme application","85","65","0.779","0"
"2012","All","Mixed","Main scheme applicant","Not main scheme application","80","65","0.808","0"
"2013","All","Mixed","Main scheme applicant","Not main scheme application","95","75","0.777","0"
"2014","All","Mixed","Main scheme applicant","Not main scheme application","110","90","0.8260000000000001","0"
"2015","All","Mixed","Main scheme applicant","Not main scheme application","105","85","0.8130000000000001","0"
"2016","All","Mixed","Main scheme applicant","Not main scheme application","135","110","0.835","0"
"2017","All","Mixed","Main scheme applicant","Not main scheme application","90","80","0.876","0"
"2018","All","Mixed","Main scheme applicant","Not main scheme application","85","80","0.897","0"
"2019","All","Mixed","Main scheme applicant","Not main scheme application","90","85","0.935","0"
"2020","All","Mixed","Main scheme applicant","Not main scheme application","110","105","0.9380000000000001","0"
"2021","All","Mixed","Main scheme applicant","Not main scheme application","130","115","0.879","0"
"2022","All","Mixed","Main scheme applicant","Not main scheme application","130","120","0.902","0"
"2023","All","Mixed","Main scheme applicant","Not main scheme application","125","120","0.9440000000000001","0"
"2010","All","Other","Main scheme applicant","Not main scheme application","15","10","0.714","0"
"2011","All","Other","Main scheme applicant","Not main scheme application","30","25","0.897","0"
"2012","All","Other","Main scheme applicant","Not main scheme application","40","30","0.8","0"
"2013","All","Other","Main scheme applicant","Not main scheme application","55","45","0.833","0"
"2014","All","Other","Main scheme applicant","Not main scheme application","55","50","0.893","0"
"2015","All","Other","Main scheme applicant","Not main scheme application","90","85","0.923","0"
"2016","All","Other","Main scheme applicant","Not main scheme application","70","65","0.913","0"
"2017","All","Other","Main scheme applicant","Not main scheme application","75","70","0.932","0"
"2018","All","Other","Main scheme applicant","Not main scheme application","90","85","0.9430000000000001","0"
"2019","All","Other","Main scheme applicant","Not main scheme application","85","80","0.9400000000000001","0"
"2020","All","Other","Main scheme applicant","Not main scheme application","105","95","0.907","0"
"2021","All","Other","Main scheme applicant","Not main scheme application","135","130","0.978","0"
"2022","All","Other","Main scheme applicant","Not main scheme application","135","110","0.81","0"
"2023","All","Other","Main scheme applicant","Not main scheme application","155","145","0.917","0"
"2010","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2016","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2017","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","1","0"
"2020","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2021","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2022","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2010","All","White","Main scheme applicant","Main scheme application","17215","12115","0.704","0"
"2011","All","White","Main scheme applicant","Main scheme application","18055","12695","0.7030000000000001","0"
"2012","All","White","Main scheme applicant","Main scheme application","15305","10705","0.6990000000000001","0"
"2013","All","White","Main scheme applicant","Main scheme application","16690","12185","0.73","0"
"2014","All","White","Main scheme applicant","Main scheme application","19195","14185","0.739","0"
"2015","All","White","Main scheme applicant","Main scheme application","21000","15520","0.739","0"
"2016","All","White","Main scheme applicant","Main scheme application","19810","14830","0.749","0"
"2017","All","White","Main scheme applicant","Main scheme application","17985","13705","0.762","0"
"2018","All","White","Main scheme applicant","Main scheme application","16655","12780","0.767","0"
"2019","All","White","Main scheme applicant","Main scheme application","15010","11590","0.772","0"
"2020","All","White","Main scheme applicant","Main scheme application","15535","12485","0.804","0"
"2021","All","White","Main scheme applicant","Main scheme application","17255","13025","0.755","0"
"2022","All","White","Main scheme applicant","Main scheme application","16020","11395","0.711","0"
"2023","All","White","Main scheme applicant","Main scheme application","13355","9670","0.724","0"
"2010","All","Black","Main scheme applicant","Main scheme application","1085","720","0.662","0"
"2011","All","Black","Main scheme applicant","Main scheme application","1325","860","0.649","0"
"2012","All","Black","Main scheme applicant","Main scheme application","1290","800","0.618","0"
"2013","All","Black","Main scheme applicant","Main scheme application","1630","1095","0.67","0"
"2014","All","Black","Main scheme applicant","Main scheme application","1885","1245","0.66","0"
"2015","All","Black","Main scheme applicant","Main scheme application","2330","1555","0.668","0"
"2016","All","Black","Main scheme applicant","Main scheme application","2155","1485","0.6880000000000001","0"
"2017","All","Black","Main scheme applicant","Main scheme application","2095","1505","0.72","0"
"2018","All","Black","Main scheme applicant","Main scheme application","2050","1510","0.736","0"
"2019","All","Black","Main scheme applicant","Main scheme application","2065","1475","0.716","0"
"2020","All","Black","Main scheme applicant","Main scheme application","2295","1740","0.759","0"
"2021","All","Black","Main scheme applicant","Main scheme application","2740","2015","0.735","0"
"2022","All","Black","Main scheme applicant","Main scheme application","2825","1950","0.6910000000000001","0"
"2023","All","Black","Main scheme applicant","Main scheme application","2850","1940","0.68","0"
"2010","All","Asian","Main scheme applicant","Main scheme application","1110","825","0.743","0"
"2011","All","Asian","Main scheme applicant","Main scheme application","1440","1010","0.7010000000000001","0"
"2012","All","Asian","Main scheme applicant","Main scheme application","1425","940","0.658","0"
"2013","All","Asian","Main scheme applicant","Main scheme application","1810","1260","0.6950000000000001","0"
"2014","All","Asian","Main scheme applicant","Main scheme application","2145","1495","0.6970000000000001","0"
"2015","All","Asian","Main scheme applicant","Main scheme application","2710","1960","0.723","0"
"2016","All","Asian","Main scheme applicant","Main scheme application","2875","2100","0.73","0"
"2017","All","Asian","Main scheme applicant","Main scheme application","2935","2185","0.744","0"
"2018","All","Asian","Main scheme applicant","Main scheme application","3005","2260","0.753","0"
"2019","All","Asian","Main scheme applicant","Main scheme application","3325","2470","0.743","0"
"2020","All","Asian","Main scheme applicant","Main scheme application","3870","3015","0.778","0"
"2021","All","Asian","Main scheme applicant","Main scheme application","4425","3350","0.757","0"
"2022","All","Asian","Main scheme applicant","Main scheme application","4000","2770","0.6920000000000001","0"
"2023","All","Asian","Main scheme applicant","Main scheme application","3940","2700","0.685","0"
"2010","All","Mixed","Main scheme applicant","Main scheme application","685","470","0.687","0"
"2011","All","Mixed","Main scheme applicant","Main scheme application","730","480","0.659","0"
"2012","All","Mixed","Main scheme applicant","Main scheme application","735","470","0.642","0"
"2013","All","Mixed","Main scheme applicant","Main scheme application","905","605","0.669","0"
"2014","All","Mixed","Main scheme applicant","Main scheme application","980","675","0.6890000000000001","0"
"2015","All","Mixed","Main scheme applicant","Main scheme application","1185","845","0.715","0"
"2016","All","Mixed","Main scheme applicant","Main scheme application","1135","795","0.7010000000000001","0"
"2017","All","Mixed","Main scheme applicant","Main scheme application","1055","800","0.759","0"
"2018","All","Mixed","Main scheme applicant","Main scheme application","985","755","0.769","0"
"2019","All","Mixed","Main scheme applicant","Main scheme application","1010","760","0.752","0"
"2020","All","Mixed","Main scheme applicant","Main scheme application","1085","840","0.774","0"
"2021","All","Mixed","Main scheme applicant","Main scheme application","1300","970","0.745","0"
"2022","All","Mixed","Main scheme applicant","Main scheme application","1285","905","0.7020000000000001","0"
"2023","All","Mixed","Main scheme applicant","Main scheme application","1215","855","0.704","0"
"2010","All","Other","Main scheme applicant","Main scheme application","150","110","0.711","0"
"2011","All","Other","Main scheme applicant","Main scheme application","195","130","0.667","0"
"2012","All","Other","Main scheme applicant","Main scheme application","225","150","0.664","0"
"2013","All","Other","Main scheme applicant","Main scheme application","325","225","0.6940000000000001","0"
"2014","All","Other","Main scheme applicant","Main scheme application","365","250","0.678","0"
"2015","All","Other","Main scheme applicant","Main scheme application","480","345","0.713","0"
"2016","All","Other","Main scheme applicant","Main scheme application","455","330","0.728","0"
"2017","All","Other","Main scheme applicant","Main scheme application","475","355","0.748","0"
"2018","All","Other","Main scheme applicant","Main scheme application","540","405","0.748","0"
"2019","All","Other","Main scheme applicant","Main scheme application","560","415","0.74","0"
"2020","All","Other","Main scheme applicant","Main scheme application","645","490","0.758","0"
"2021","All","Other","Main scheme applicant","Main scheme application","780","575","0.741","0"
"2022","All","Other","Main scheme applicant","Main scheme application","820","585","0.715","0"
"2023","All","Other","Main scheme applicant","Main scheme application","855","580","0.676","0"
"2010","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","50","0.645","0"
"2011","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","70","55","0.779","0"
"2012","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","30","0.625","0"
"2013","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","55","40","0.719","0"
"2014","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","70","45","0.653","0"
"2015","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","85","0.791","0"
"2016","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","105","80","0.774","0"
"2017","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","90","0.778","0"
"2018","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","95","70","0.742","0"
"2019","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","85","0.75","0"
"2020","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","100","75","0.752","0"
"2021","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","145","115","0.797","0"
"2022","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","90","0.72","0"
"2023","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","80","0.6930000000000001","0"
"2010","0 points","All","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","10"
"2011","0 points","All","Not main scheme applicant","Not main scheme application","25","25","0.96","15"
"2017","0 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","0 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","0 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","1 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-1 points","All","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-1 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-1 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-1 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","-1 points","All","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2016","-1 points","All","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2017","-1 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","All","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","-1 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","-1 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","All","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-2 points","All","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","-2 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-2 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","-2 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","All","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2020","-2 points","All","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2021","-2 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","All","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-2 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-3 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","-3 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2015","-3 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","-3 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2017","-3 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","All","Not main scheme applicant","Not main scheme application","15","15","0.875","0"
"2021","-3 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","-3 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","All","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2014","-4 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","-4 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-4 points","All","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2017","-4 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","All","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","-4 points","All","Not main scheme applicant","Not main scheme application","10","10","0.833","5"
"2020","-4 points","All","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2021","-4 points","All","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2022","-4 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","-4 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-5 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-5 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","All","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2016","-5 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","All","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","-5 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2021","-5 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","-5 points","All","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2023","-5 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-6 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-6 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","-6 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-6 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","-6 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","-6 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-6 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","-6 points","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-6 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-6 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","All","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2013","Less than -6 points","All","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","Less than -6 points","All","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2015","Less than -6 points","All","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2016","Less than -6 points","All","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","Less than -6 points","All","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2018","Less than -6 points","All","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2019","Less than -6 points","All","Not main scheme applicant","Not main scheme application","25","25","0.9580000000000001","5"
"2020","Less than -6 points","All","Not main scheme applicant","Not main scheme application","40","35","0.857","10"
"2021","Less than -6 points","All","Not main scheme applicant","Not main scheme application","25","25","0.926","5"
"2022","Less than -6 points","All","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","5"
"2023","Less than -6 points","All","Not main scheme applicant","Not main scheme application","15","15","0.929","5"
"2010","0 points","All","Main scheme applicant","Not main scheme application","495","360","0.734","0"
"2011","0 points","All","Main scheme applicant","Not main scheme application","655","470","0.718","0"
"2012","0 points","All","Main scheme applicant","Not main scheme application","330","260","0.787","0"
"2013","0 points","All","Main scheme applicant","Not main scheme application","455","370","0.8130000000000001","0"
"2014","0 points","All","Main scheme applicant","Not main scheme application","550","425","0.772","0"
"2015","0 points","All","Main scheme applicant","Not main scheme application","720","585","0.811","0"
"2016","0 points","All","Main scheme applicant","Not main scheme application","705","580","0.8210000000000001","0"
"2017","0 points","All","Main scheme applicant","Not main scheme application","605","530","0.878","0"
"2018","0 points","All","Main scheme applicant","Not main scheme application","600","535","0.896","0"
"2019","0 points","All","Main scheme applicant","Not main scheme application","530","475","0.893","0"
"2020","0 points","All","Main scheme applicant","Not main scheme application","600","555","0.922","0"
"2021","0 points","All","Main scheme applicant","Not main scheme application","745","665","0.888","0"
"2022","0 points","All","Main scheme applicant","Not main scheme application","650","575","0.889","0"
"2023","0 points","All","Main scheme applicant","Not main scheme application","620","565","0.916","0"
"2010","1 points","All","Main scheme applicant","Not main scheme application","240","185","0.766","0"
"2011","1 points","All","Main scheme applicant","Not main scheme application","320","240","0.75","0"
"2012","1 points","All","Main scheme applicant","Not main scheme application","315","255","0.798","0"
"2013","1 points","All","Main scheme applicant","Not main scheme application","275","225","0.8190000000000001","0"
"2014","1 points","All","Main scheme applicant","Not main scheme application","270","215","0.79","0"
"2015","1 points","All","Main scheme applicant","Not main scheme application","350","295","0.846","0"
"2016","1 points","All","Main scheme applicant","Not main scheme application","400","340","0.845","0"
"2017","1 points","All","Main scheme applicant","Not main scheme application","380","335","0.887","0"
"2018","1 points","All","Main scheme applicant","Not main scheme application","305","280","0.918","0"
"2019","1 points","All","Main scheme applicant","Not main scheme application","315","295","0.937","0"
"2020","1 points","All","Main scheme applicant","Not main scheme application","355","330","0.935","0"
"2021","1 points","All","Main scheme applicant","Not main scheme application","430","375","0.879","0"
"2022","1 points","All","Main scheme applicant","Not main scheme application","435","390","0.89","0"
"2023","1 points","All","Main scheme applicant","Not main scheme application","385","345","0.894","0"
"2010","2 points","All","Main scheme applicant","Not main scheme application","95","70","0.723","0"
"2011","2 points","All","Main scheme applicant","Not main scheme application","160","125","0.788","0"
"2012","2 points","All","Main scheme applicant","Not main scheme application","180","140","0.769","0"
"2013","2 points","All","Main scheme applicant","Not main scheme application","195","150","0.788","0"
"2014","2 points","All","Main scheme applicant","Not main scheme application","185","155","0.8320000000000001","0"
"2015","2 points","All","Main scheme applicant","Not main scheme application","245","200","0.8230000000000001","0"
"2016","2 points","All","Main scheme applicant","Not main scheme application","225","180","0.804","0"
"2017","2 points","All","Main scheme applicant","Not main scheme application","180","150","0.854","0"
"2018","2 points","All","Main scheme applicant","Not main scheme application","195","180","0.9380000000000001","0"
"2019","2 points","All","Main scheme applicant","Not main scheme application","145","135","0.911","0"
"2020","2 points","All","Main scheme applicant","Not main scheme application","200","185","0.935","0"
"2021","2 points","All","Main scheme applicant","Not main scheme application","230","200","0.869","0"
"2022","2 points","All","Main scheme applicant","Not main scheme application","240","205","0.862","0"
"2023","2 points","All","Main scheme applicant","Not main scheme application","170","155","0.917","0"
"2010","3 points","All","Main scheme applicant","Not main scheme application","35","25","0.667","0"
"2011","3 points","All","Main scheme applicant","Not main scheme application","65","50","0.794","0"
"2012","3 points","All","Main scheme applicant","Not main scheme application","180","145","0.786","0"
"2013","3 points","All","Main scheme applicant","Not main scheme application","200","155","0.773","0"
"2014","3 points","All","Main scheme applicant","Not main scheme application","190","155","0.8150000000000001","0"
"2015","3 points","All","Main scheme applicant","Not main scheme application","185","150","0.81","0"
"2016","3 points","All","Main scheme applicant","Not main scheme application","160","135","0.839","0"
"2017","3 points","All","Main scheme applicant","Not main scheme application","115","105","0.888","0"
"2018","3 points","All","Main scheme applicant","Not main scheme application","70","60","0.857","0"
"2019","3 points","All","Main scheme applicant","Not main scheme application","55","45","0.852","0"
"2020","3 points","All","Main scheme applicant","Not main scheme application","70","65","0.875","0"
"2021","3 points","All","Main scheme applicant","Not main scheme application","120","110","0.924","0"
"2022","3 points","All","Main scheme applicant","Not main scheme application","85","75","0.884","0"
"2023","3 points","All","Main scheme applicant","Not main scheme application","70","65","0.971","0"
"2010","More than 3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","More than 3 points","All","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2012","More than 3 points","All","Main scheme applicant","Not main scheme application","60","45","0.754","0"
"2013","More than 3 points","All","Main scheme applicant","Not main scheme application","60","50","0.806","0"
"2014","More than 3 points","All","Main scheme applicant","Not main scheme application","55","45","0.811","0"
"2015","More than 3 points","All","Main scheme applicant","Not main scheme application","55","50","0.873","0"
"2016","More than 3 points","All","Main scheme applicant","Not main scheme application","55","45","0.768","0"
"2017","More than 3 points","All","Main scheme applicant","Not main scheme application","50","40","0.8200000000000001","0"
"2018","More than 3 points","All","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2019","More than 3 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","More than 3 points","All","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2021","More than 3 points","All","Main scheme applicant","Not main scheme application","30","30","0.968","0"
"2022","More than 3 points","All","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2023","More than 3 points","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2010","-1 points","All","Main scheme applicant","Not main scheme application","185","130","0.71","0"
"2011","-1 points","All","Main scheme applicant","Not main scheme application","240","165","0.679","0"
"2012","-1 points","All","Main scheme applicant","Not main scheme application","250","190","0.749","0"
"2013","-1 points","All","Main scheme applicant","Not main scheme application","260","215","0.8300000000000001","0"
"2014","-1 points","All","Main scheme applicant","Not main scheme application","320","260","0.8140000000000001","0"
"2015","-1 points","All","Main scheme applicant","Not main scheme application","370","305","0.8260000000000001","0"
"2016","-1 points","All","Main scheme applicant","Not main scheme application","370","310","0.838","0"
"2017","-1 points","All","Main scheme applicant","Not main scheme application","295","255","0.865","0"
"2018","-1 points","All","Main scheme applicant","Not main scheme application","250","225","0.885","0"
"2019","-1 points","All","Main scheme applicant","Not main scheme application","335","315","0.935","0"
"2020","-1 points","All","Main scheme applicant","Not main scheme application","315","275","0.876","0"
"2021","-1 points","All","Main scheme applicant","Not main scheme application","410","370","0.903","0"
"2022","-1 points","All","Main scheme applicant","Not main scheme application","470","425","0.9","0"
"2023","-1 points","All","Main scheme applicant","Not main scheme application","455","410","0.902","0"
