"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","All","All","Not EU","220","35","0.164"
"2022","All","All","Not EU","400","100","0.248"
"2023","All","All","Not EU","315","50","0.165"
"2019","All","All","EU (excluding UK)","810","140","0.17400000000000002"
"2020","All","All","EU (excluding UK)","910","190","0.20800000000000002"
"2021","All","All","EU (excluding UK)","570","100","0.17400000000000002"
"2022","All","All","EU (excluding UK)","420","100","0.24"
"2023","All","All","EU (excluding UK)","290","60","0.203"
"2022","Female","17 and under","All","5","0"," "
"2019","Female","18","All","15","0"," "
"2020","Female","18","All","30","0"," "
"2021","Female","18","All","15","0"," "
"2022","Female","18","All","40","0"," "
"2023","Female","18","All","25","0"," "
"2019","Male","18","All","5","0"," "
"2020","Male","18","All","5","0"," "
"2021","Male","18","All","10","0"," "
"2022","Male","18","All","10","0"," "
"2023","Male","18","All","15","0"," "
"2019","Female","19","All","10","0"," "
"2020","Female","19","All","5","0"," "
"2021","Female","19","All","10","0"," "
"2022","Female","19","All","15","0"," "
"2023","Female","19","All","10","0"," "
"2020","Male","19","All","5","0"," "
"2022","Male","19","All","5","0"," "
"2023","Male","19","All","5","0"," "
"2019","Female","20","All","20","0"," "
"2020","Female","20","All","20","0"," "
"2021","Female","20","All","25","0"," "
"2022","Female","20","All","15","0"," "
"2023","Female","20","All","5","0"," "
"2021","Male","20","All","5","0"," "
"2022","Male","20","All","5","0"," "
"2023","Male","20","All","15","0"," "
"2019","Female","21 - 24","All","4930","1155","0.234"
"2020","Female","21 - 24","All","5280","1230","0.233"
"2021","Female","21 - 24","All","6625","1365","0.20600000000000002"
"2022","Female","21 - 24","All","5965","1945","0.326"
"2023","Female","21 - 24","All","5190","1785","0.34400000000000003"
"2019","Male","21 - 24","All","1635","330","0.202"
"2020","Male","21 - 24","All","1515","345","0.227"
"2021","Male","21 - 24","All","2065","405","0.197"
"2022","Male","21 - 24","All","2060","555","0.27"
"2023","Male","21 - 24","All","1605","510","0.317"
"2019","Female","25 - 29","All","3640","820","0.226"
"2020","Female","25 - 29","All","3505","835","0.23900000000000002"
"2021","Female","25 - 29","All","4615","985","0.213"
"2022","Female","25 - 29","All","3570","1035","0.29"
"2023","Female","25 - 29","All","2525","775","0.308"
"2019","Male","25 - 29","All","1420","310","0.219"
"2020","Male","25 - 29","All","1555","345","0.223"
"2021","Male","25 - 29","All","1905","340","0.179"
"2022","Male","25 - 29","All","1600","425","0.266"
"2023","Male","25 - 29","All","1270","370","0.291"
"2019","Female","30 - 34","All","1375","320","0.233"
"2020","Female","30 - 34","All","1430","365","0.256"
"2021","Female","30 - 34","All","1660","320","0.193"
"2022","Female","30 - 34","All","1275","370","0.291"
"2023","Female","30 - 34","All","1015","310","0.305"
"2019","Male","30 - 34","All","675","150","0.222"
