"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2830","0.001"
"2006","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2700","0.001"
"2006","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2690","0.001"
"2006","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2610","0.001"
"2006","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2340","0.001"
"2007","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2700","0.001"
"2007","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2620","0"
"2007","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2610","0"
"2007","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2560","0.002"
"2007","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2280","0.001"
"2008","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2640","0"
"2008","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2630","0"
"2008","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2630","0"
"2008","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2580","0.001"
"2008","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2270","0.002"
"2009","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2590","0"
"2009","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2610","0.001"
"2009","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2620","0"
"2009","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2600","0"
"2009","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2260","0"
"2010","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2510","0.001"
"2010","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2570","0"
"2010","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2590","0"
"2010","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2570","0"
"2010","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2200","0"
"2011","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2480","0"
"2011","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2550","0"
"2011","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2570","0.001"
"2011","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2560","0"
"2011","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2180","0"
"2012","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2470","0.001"
"2012","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2570","0.001"
"2012","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2590","0"
"2012","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2580","0.001"
"2012","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2180","0.001"
"2013","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2400","0"
"2013","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2500","0.001"
"2013","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2540","0.001"
"2013","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2520","0"
"2013","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2110","0"
"2014","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2370","0"
"2014","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2490","0"
"2014","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2510","0"
"2014","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2490","0"
"2014","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2070","0"
"2015","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2420","0.001"
"2015","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2550","0"
"2015","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2560","0"
"2015","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2530","0"
"2015","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2100","0"
"2016","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2390","0"
"2016","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2500","0"
"2016","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2520","0"
"2016","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2480","0.002"
"2016","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2040","0"
"2017","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2390","0.001"
"2017","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2470","0.001"
"2017","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2510","0"
"2017","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2440","0"
"2017","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2010","0.001"
"2018","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2260","0.001"
"2018","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2330","0"
"2018","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2360","0.002"
"2018","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2300","0"
"2018","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1890","0.002"
"2019","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2220","0"
"2019","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2290","0.001"
"2019","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2320","0.001"
"2019","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2240","0.001"
"2019","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1840","0.001"
"2020","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2220","0.004"
"2020","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2300","0.004"
"2020","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2300","0.001"
"2020","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2230","0.003"
"2020","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1830","0.002"
"2021","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2240","0"
"2021","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2310","0"
"2021","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2310","0.001"
"2021","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2230","0.001"
"2021","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","1850","0.003"
"2022","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2270","0.001"
"2022","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2330","0"
"2022","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2340","0.002"
"2022","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2260","0"
"2022","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1880","0.002"
"2023","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2300","0"
"2023","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2380","0.001"
"2023","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2370","0.001"
"2023","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2290","0"
"2023","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1910","0.002"
"2006","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","220","71870","0.003"
"2006","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","200","64490","0.003"
"2006","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","210","59950","0.003"
"2006","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","240","60460","0.004"
"2006","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","230","63070","0.004"
"2007","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","260","69790","0.004"
"2007","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","240","62660","0.004"
"2007","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","240","60550","0.004"
"2007","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","240","59880","0.004"
"2007","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","230","62790","0.004"
"2008","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","270","69560","0.004"
"2008","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","260","63810","0.004"
"2008","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","210","61500","0.003"
"2008","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","230","61320","0.004"
"2008","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","250","64150","0.004"
"2009","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","220","70340","0.003"
"2009","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","200","65100","0.003"
"2009","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","180","62720","0.003"
"2009","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","210","62450","0.003"
"2009","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","180","64920","0.003"
"2010","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","100","71120","0.001"
"2010","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","70","65440","0.001"
"2010","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","90","62150","0.001"
"2010","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","100","61340","0.002"
"2010","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","90","64010","0.001"
"2011","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","110","69400","0.002"
"2011","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","120","62250","0.002"
"2011","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","110","60150","0.002"
"2011","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","100","59890","0.002"
"2011","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","110","62850","0.002"
"2012","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","170","68540","0.003"
"2012","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","180","61650","0.003"
"2012","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","170","59820","0.003"
"2012","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","190","60620","0.003"
"2012","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","190","64990","0.003"
"2013","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","240","67150","0.004"
"2013","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","240","61100","0.004"
"2013","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","250","58970","0.004"
"2013","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","200","59120","0.003"
"2013","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","230","63980","0.004"
"2014","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","250","67400","0.004"
"2014","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","220","60540","0.004"
"2014","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","180","58460","0.003"
"2014","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","210","57940","0.004"
"2014","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","210","61780","0.003"
"2015","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","280","69560","0.004"
"2015","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","240","62120","0.004"
"2015","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","220","60130","0.004"
"2015","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","230","59300","0.004"
"2015","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","220","62780","0.003"
"2016","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","260","66820","0.004"
"2016","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","240","60550","0.004"
"2016","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","230","58980","0.004"
"2016","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","210","58470","0.004"
"2016","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","250","62250","0.004"
"2017","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","360","66420","0.005"
"2017","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","300","60070","0.005"
"2017","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","280","57470","0.005"
"2017","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","300","58030","0.005"
"2017","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","310","62090","0.005"
"2018","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","450","65220","0.007"
"2018","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","400","58260","0.007"
"2018","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","360","56130","0.006"
"2018","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","310","56300","0.006"
"2018","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","320","60770","0.005"
"2019","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","520","64840","0.008"
"2019","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","430","57550","0.008"
"2019","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","390","55170","0.007"
"2019","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","400","55030","0.007"
"2019","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","370","59570","0.006"
"2020","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","600","63950","0.009000000000000001"
"2020","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","520","57070","0.009000000000000001"
"2020","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","540","54200","0.01"
"2020","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","540","53500","0.01"
"2020","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","580","58160","0.01"
"2021","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","460","66260","0.007"
"2021","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","380","58380","0.007"
"2021","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","350","55800","0.006"
"2021","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","320","55450","0.006"
"2021","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","280","60120","0.005"
"2022","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","470","68450","0.007"
"2022","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","360","59960","0.006"
"2022","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","320","57250","0.006"
"2022","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","320","57440","0.006"
"2022","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","280","61900","0.005"
"2023","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","480","71490","0.007"
"2023","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","420","62230","0.007"
"2023","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","300","58640","0.005"
"2023","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","320","58400","0.006"
"2023","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","320","62590","0.005"
"2006","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6710","0.001"
"2006","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6040","0.002"
"2006","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5930","0.003"
"2006","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6140","0.002"
"2006","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6350","0.002"
"2007","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6530","0.002"
"2007","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5970","0.002"
"2007","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5940","0.002"
"2007","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6140","0.002"
"2007","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6330","0.004"
"2008","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6600","0.003"
"2008","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6160","0.004"
"2008","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","6230","0.012"
"2008","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","80","6410","0.013000000000000001"
"2008","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","6560","0.007"
"2009","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6550","0.002"
"2009","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6180","0.004"
"2009","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6280","0.002"
"2009","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6500","0.002"
"2009","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6580","0.003"
"2010","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6420","0.002"
"2010","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","6010","0.008"
"2010","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","6130","0.011"
"2010","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","6450","0.01"
"2010","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6470","0.004"
"2011","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6240","0.001"
"2011","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5760","0.003"
"2011","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6000","0.004"
"2011","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6370","0.004"
"2011","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6330","0.004"
"2012","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6090","0.001"
"2012","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5600","0.005"
"2012","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","5870","0.008"
"2012","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","6300","0.007"
"2012","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6260","0.003"
"2013","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6060","0.004"
"2013","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5540","0.006"
"2013","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","5750","0.01"
"2013","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","6240","0.009000000000000001"
"2013","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6150","0.004"
"2014","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","0","6050","0"
"2014","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5580","0.001"
"2014","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","0","5780","0.001"
"2014","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6210","0.001"
"2014","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6150","0.001"
"2015","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5950","0.001"
"2015","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5490","0.007"
"2015","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","5650","0.011"
"2015","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","6160","0.009000000000000001"
"2015","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6100","0.004"
"2016","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5750","0.003"
"2016","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5200","0.007"
"2016","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","5610","0.009000000000000001"
"2016","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","6090","0.011"
"2016","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5990","0.004"
"2017","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5630","0.003"
"2017","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5190","0.007"
"2017","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5260","0.008"
"2017","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","5620","0.011"
"2017","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6110","0.005"
"2018","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5620","0.002"
"2018","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5200","0.007"
"2018","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","5200","0.009000000000000001"
"2018","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","5510","0.011"
"2018","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5800","0.006"
"2019","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5530","0.002"
"2019","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4920","0.005"
"2019","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","5040","0.012"
"2019","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","5230","0.01"
"2019","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5670","0.004"
"2020","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5430","0.004"
"2020","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4790","0.007"
"2020","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","4920","0.01"
"2020","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","5300","0.014"
"2020","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","5570","0.008"
"2021","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5300","0.004"
"2021","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5180","0.004"
"2021","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","5030","0.01"
"2021","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","5560","0.008"
"2021","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5710","0.004"
"2022","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5600","0.004"
"2022","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5040","0.005"
"2022","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5180","0.008"
"2022","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5610","0.007"
"2022","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","5960","0.003"
"2023","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5760","0.005"
"2023","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5140","0.005"
"2023","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","5260","0.011"
"2023","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","5880","0.011"
"2023","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5940","0.006"
"2006","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","4230","0.003"
"2006","Quintile 2","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","4010","0.006"
"2006","Quintile 3","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","3740","0.007"
"2006","Quintile 4","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","3800","0.008"
"2006","Quintile 5","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","3590","0.005"
"2007","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","4060","0.004"
"2007","Quintile 2","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","3870","0.004"
"2007","Quintile 3","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","3710","0.006"
"2007","Quintile 4","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","3790","0.005"
"2007","Quintile 5","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","3560","0.008"
"2008","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","4100","0.003"
"2008","Quintile 2","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","3930","0.006"
"2008","Quintile 3","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","3850","0.004"
"2008","Quintile 4","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","3760","0.007"
"2008","Quintile 5","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","3450","0.008"
