"Year","Subject group HECoS","Age group","Domicile","Gender","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2022","(CAH06) agriculture, food and related studies","18","England","Male","0","30","15","40"
"2022","(CAH06) agriculture, food and related studies","18","Wales","Male","0","5","10","10"
"2023","(CAH06) agriculture, food and related studies","18","England","Male","0","30","5","35"
"2023","(CAH06) agriculture, food and related studies","18","Wales","Male","0","0","5","5"
"2019","(CAH16) law","18","England","Male","1585","515","320","2425"
"2019","(CAH16) law","18","Northern Ireland","Male","10","5","5","20"
"2019","(CAH16) law","18","Wales","Male","25","60","5","95"
"2020","(CAH16) law","18","England","Male","810","1295","1040","3145"
"2020","(CAH16) law","18","Northern Ireland","Male","5","5","40","55"
"2020","(CAH16) law","18","Wales","Male","20","80","100","200"
"2021","(CAH16) law","18","England","Male","0","435","50","490"
"2021","(CAH16) law","18","Northern Ireland","Male","0","5","0","5"
"2021","(CAH16) law","18","Wales","Male","0","85","0","90"
"2022","(CAH16) law","18","England","Male","145","690","190","1025"
"2022","(CAH16) law","18","Northern Ireland","Male","0","5","0","5"
"2022","(CAH16) law","18","Wales","Male","5","15","15","35"
"2023","(CAH16) law","18","England","Male","0","555","180","735"
"2023","(CAH16) law","18","Wales","Male","0","0","5","5"
"2020","(CAH05) veterinary sciences","18","England","Male","0","5","0","5"
"2019","All","18","England","Female","47685","19015","10840","77540"
"2019","All","18","Northern Ireland","Female","395","210","135","745"
"2019","All","18","Wales","Female","1270","1355","360","2990"
"2020","All","18","England","Female","19465","38305","25090","82860"
"2020","All","18","Northern Ireland","Female","120","370","1495","1985"
"2020","All","18","Wales","Female","290","1785","2220","4295"
"2021","All","18","England","Female","0","16645","3170","19815"
"2021","All","18","Northern Ireland","Female","0","215","35","250"
"2021","All","18","Wales","Female","0","1700","320","2020"
"2022","All","18","England","Female","2750","24370","4695","31810"
"2022","All","18","Northern Ireland","Female","25","195","40","260"
"2022","All","18","Wales","Female","50","800","455","1305"
"2023","All","18","England","Female","0","16540","4245","20780"
"2023","All","18","Northern Ireland","Female","0","130","30","160"
"2023","All","18","Wales","Female","0","410","235","645"
"2019","All","18","England","Male","32190","13195","8580","53965"
"2019","All","18","Northern Ireland","Male","275","140","80","500"
"2019","All","18","Wales","Male","740","1065","260","2065"
"2020","All","18","England","Male","14160","27155","21055","62370"
"2020","All","18","Northern Ireland","Male","80","260","1115","1455"
"2020","All","18","Wales","Male","225","1260","1825","3310"
"2021","All","18","England","Male","5","10465","1890","12360"
"2021","All","18","Northern Ireland","Male","0","130","15","145"
"2021","All","18","Wales","Male","0","1110","205","1315"
"2022","All","18","England","Male","2285","15675","4210","22170"
"2022","All","18","Northern Ireland","Male","15","105","15","140"
"2022","All","18","Wales","Male","60","430","380","865"
"2023","All","18","England","Male","0","11120","3960","15080"
"2023","All","18","Northern Ireland","Male","0","50","25","75"
"2023","All","18","Wales","Male","0","215","155","370"
"2019","(CAH25) design, and creative and performing arts","All","England","Female","4690","4580","1345","10615"
"2019","(CAH25) design, and creative and performing arts","All","Northern Ireland","Female","40","50","20","115"
"2019","(CAH25) design, and creative and performing arts","All","Wales","Female","140","400","45","585"
"2020","(CAH25) design, and creative and performing arts","All","England","Female","2600","6670","3545","12815"
"2020","(CAH25) design, and creative and performing arts","All","Northern Ireland","Female","20","70","80","170"
"2020","(CAH25) design, and creative and performing arts","All","Wales","Female","40","350","175","570"
"2021","(CAH25) design, and creative and performing arts","All","England","Female","0","6285","1470","7755"
"2021","(CAH25) design, and creative and performing arts","All","Northern Ireland","Female","0","65","25","90"
"2021","(CAH25) design, and creative and performing arts","All","Wales","Female","0","475","45","520"
"2022","(CAH25) design, and creative and performing arts","All","England","Female","300","8155","600","9055"
"2022","(CAH25) design, and creative and performing arts","All","Northern Ireland","Female","0","80","10","95"
"2022","(CAH25) design, and creative and performing arts","All","Wales","Female","5","395","35","435"
"2023","(CAH25) design, and creative and performing arts","All","England","Female","0","4985","1435","6425"
"2023","(CAH25) design, and creative and performing arts","All","Northern Ireland","Female","0","45","10","60"
"2023","(CAH25) design, and creative and performing arts","All","Wales","Female","0","260","50","310"
"2019","(CAH10) engineering and technology","All","England","Female","690","135","110","935"
"2019","(CAH10) engineering and technology","All","Northern Ireland","Female","15","5","5","25"
"2019","(CAH10) engineering and technology","All","Wales","Female","35","15","0","50"
"2020","(CAH10) engineering and technology","All","England","Female","170","310","280","760"
"2020","(CAH10) engineering and technology","All","Northern Ireland","Female","5","15","30","50"
"2020","(CAH10) engineering and technology","All","Wales","Female","5","10","20","30"
"2021","(CAH10) engineering and technology","All","England","Female","0","150","10","160"
"2021","(CAH10) engineering and technology","All","Northern Ireland","Female","0","5","0","10"
"2021","(CAH10) engineering and technology","All","Wales","Female","0","10","0","10"
"2022","(CAH10) engineering and technology","All","England","Female","35","185","40","260"
"2022","(CAH10) engineering and technology","All","Northern Ireland","Female","0","0","0","5"
"2022","(CAH10) engineering and technology","All","Wales","Female","0","5","0","5"
"2023","(CAH10) engineering and technology","All","England","Female","0","95","85","180"
"2023","(CAH10) engineering and technology","All","Wales","Female","0","5","0","5"
"2019","(CAH02) subjects allied to medicine","All","England","Female","2520","1030","575","4120"
"2019","(CAH02) subjects allied to medicine","All","Northern Ireland","Female","25","15","20","60"
"2019","(CAH02) subjects allied to medicine","All","Wales","Female","65","20","15","95"
"2020","(CAH02) subjects allied to medicine","All","England","Female","705","2025","1500","4230"
"2020","(CAH02) subjects allied to medicine","All","Northern Ireland","Female","0","20","130","150"
"2020","(CAH02) subjects allied to medicine","All","Wales","Female","15","45","75","135"
"2021","(CAH02) subjects allied to medicine","All","England","Female","0","760","90","850"
"2021","(CAH02) subjects allied to medicine","All","Northern Ireland","Female","0","15","0","15"
"2021","(CAH02) subjects allied to medicine","All","Wales","Female","0","55","5","60"
"2022","(CAH02) subjects allied to medicine","All","England","Female","185","1130","205","1515"
"2022","(CAH02) subjects allied to medicine","All","Northern Ireland","Female","0","20","5","25"
"2022","(CAH02) subjects allied to medicine","All","Wales","Female","0","35","10","40"
"2023","(CAH02) subjects allied to medicine","All","England","Female","0","645","185","835"
"2023","(CAH02) subjects allied to medicine","All","Northern Ireland","Female","0","5","5","10"
"2023","(CAH02) subjects allied to medicine","All","Wales","Female","0","10","0","10"
"2019","(CAH19) language and area studies","All","England","Female","4240","730","730","5700"
"2019","(CAH19) language and area studies","All","Northern Ireland","Female","40","5","10","50"
"2019","(CAH19) language and area studies","All","Wales","Female","155","30","20","205"
"2020","(CAH19) language and area studies","All","England","Female","1060","2070","1130","4255"
"2020","(CAH19) language and area studies","All","Northern Ireland","Female","5","20","30","55"
"2020","(CAH19) language and area studies","All","Wales","Female","15","55","120","195"
"2021","(CAH19) language and area studies","All","England","Female","0","660","60","720"
"2021","(CAH19) language and area studies","All","Northern Ireland","Female","0","10","0","15"
"2021","(CAH19) language and area studies","All","Wales","Female","0","45","0","45"
"2022","(CAH19) language and area studies","All","England","Female","90","645","270","1010"
"2022","(CAH19) language and area studies","All","Northern Ireland","Female","0","5","0","5"
"2022","(CAH19) language and area studies","All","Wales","Female","0","10","30","40"
"2023","(CAH19) language and area studies","All","England","Female","0","595","160","755"
"2023","(CAH19) language and area studies","All","Northern Ireland","Female","0","5","0","10"
"2023","(CAH19) language and area studies","All","Wales","Female","0","5","30","35"
"2019","(CAH24) media, journalism and communications","All","England","Female","1930","680","395","3005"
"2019","(CAH24) media, journalism and communications","All","Northern Ireland","Female","20","5","5","25"
"2019","(CAH24) media, journalism and communications","All","Wales","Female","65","45","15","125"
"2020","(CAH24) media, journalism and communications","All","England","Female","915","1525","660","3095"
"2020","(CAH24) media, journalism and communications","All","Northern Ireland","Female","10","20","35","65"
"2020","(CAH24) media, journalism and communications","All","Wales","Female","20","45","55","120"
"2021","(CAH24) media, journalism and communications","All","England","Female","0","520","90","610"
"2021","(CAH24) media, journalism and communications","All","Wales","Female","0","55","5","60"
"2022","(CAH24) media, journalism and communications","All","England","Female","50","910","150","1110"
"2022","(CAH24) media, journalism and communications","All","Northern Ireland","Female","0","5","0","5"
"2022","(CAH24) media, journalism and communications","All","Wales","Female","5","30","5","40"
"2023","(CAH24) media, journalism and communications","All","England","Female","0","630","140","770"
"2023","(CAH24) media, journalism and communications","All","Northern Ireland","Female","0","5","0","10"
"2023","(CAH24) media, journalism and communications","All","Wales","Female","0","20","5","25"
"2019","(CAH23) combined and general studies","All","England","Female","225","30","5","260"
"2019","(CAH23) combined and general studies","All","Wales","Female","5","0","0","5"
"2020","(CAH23) combined and general studies","All","England","Female","15","80","25","120"
"2020","(CAH23) combined and general studies","All","Northern Ireland","Female","0","0","0","5"
"2020","(CAH23) combined and general studies","All","Wales","Female","0","0","5","5"
"2021","(CAH23) combined and general studies","All","England","Female","0","25","5","30"
"2022","(CAH23) combined and general studies","All","England","Female","5","40","5","55"
"2023","(CAH23) combined and general studies","All","England","Female","0","25","0","30"
"2019","(CAH17) business and management","All","England","Female","5225","2135","1325","8685"
"2019","(CAH17) business and management","All","Northern Ireland","Female","40","20","10","75"
"2019","(CAH17) business and management","All","Wales","Female","105","100","65","270"
"2020","(CAH17) business and management","All","England","Female","2485","4680","3075","10240"
"2020","(CAH17) business and management","All","Northern Ireland","Female","10","50","220","280"
"2020","(CAH17) business and management","All","Wales","Female","20","155","300","475"
"2021","(CAH17) business and management","All","England","Female","0","1420","270","1690"
"2021","(CAH17) business and management","All","Northern Ireland","Female","0","10","0","10"
"2021","(CAH17) business and management","All","Wales","Female","0","110","80","190"
"2022","(CAH17) business and management","All","England","Female","195","2480","495","3165"
"2022","(CAH17) business and management","All","Northern Ireland","Female","5","15","5","25"
"2022","(CAH17) business and management","All","Wales","Female","0","60","65","130"
"2023","(CAH17) business and management","All","England","Female","0","1490","220","1710"
"2023","(CAH17) business and management","All","Northern Ireland","Female","0","5","0","5"
"2023","(CAH17) business and management","All","Wales","Female","0","20","10","25"
"2019","(CAH15) social sciences","All","England","Female","6965","2560","1655","11180"
"2019","(CAH15) social sciences","All","Northern Ireland","Female","40","25","15","85"
"2019","(CAH15) social sciences","All","Wales","Female","160","200","55","415"
"2020","(CAH15) social sciences","All","England","Female","2880","4710","3710","11295"
"2020","(CAH15) social sciences","All","Northern Ireland","Female","15","30","280","325"
"2020","(CAH15) social sciences","All","Wales","Female","35","300","325","665"
"2021","(CAH15) social sciences","All","England","Female","0","1525","195","1720"
"2021","(CAH15) social sciences","All","Northern Ireland","Female","0","25","0","25"
"2021","(CAH15) social sciences","All","Wales","Female","0","240","5","245"
"2022","(CAH15) social sciences","All","England","Female","665","2680","675","4020"
"2022","(CAH15) social sciences","All","Northern Ireland","Female","0","15","0","15"
"2022","(CAH15) social sciences","All","Wales","Female","15","55","25","95"
"2023","(CAH15) social sciences","All","England","Female","0","1895","410","2310"
"2023","(CAH15) social sciences","All","Northern Ireland","Female","0","10","0","15"
"2023","(CAH15) social sciences","All","Wales","Female","0","20","30","50"
"2019","(CAH03) biological and sport sciences","All","England","Female","2745","1270","755","4770"
"2019","(CAH03) biological and sport sciences","All","Northern Ireland","Female","30","10","5","40"
"2019","(CAH03) biological and sport sciences","All","Wales","Female","80","80","25","190"
"2020","(CAH03) biological and sport sciences","All","England","Female","640","2990","2270","5900"
"2020","(CAH03) biological and sport sciences","All","Northern Ireland","Female","5","25","105","130"
"2020","(CAH03) biological and sport sciences","All","Wales","Female","20","155","305","475"
"2021","(CAH03) biological and sport sciences","All","England","Female","0","580","230","815"
"2021","(CAH03) biological and sport sciences","All","Northern Ireland","Female","0","10","0","10"
"2021","(CAH03) biological and sport sciences","All","Wales","Female","0","130","105","235"
"2022","(CAH03) biological and sport sciences","All","England","Female","295","840","425","1560"
"2022","(CAH03) biological and sport sciences","All","Northern Ireland","Female","5","0","0","5"
"2022","(CAH03) biological and sport sciences","All","Wales","Female","10","15","105","130"
"2023","(CAH03) biological and sport sciences","All","England","Female","0","795","300","1095"
"2023","(CAH03) biological and sport sciences","All","Northern Ireland","Female","0","5","5","10"
"2023","(CAH03) biological and sport sciences","All","Wales","Female","0","5","15","20"
"2019","(CAH13) architecture, building and planning","All","England","Female","760","315","105","1180"
"2019","(CAH13) architecture, building and planning","All","Northern Ireland","Female","10","10","0","20"
"2019","(CAH13) architecture, building and planning","All","Wales","Female","10","5","0","15"
"2020","(CAH13) architecture, building and planning","All","England","Female","475","505","280","1260"
"2020","(CAH13) architecture, building and planning","All","Northern Ireland","Female","5","5","10","20"
"2020","(CAH13) architecture, building and planning","All","Wales","Female","15","10","25","45"
"2021","(CAH13) architecture, building and planning","All","England","Female","0","370","140","510"
"2021","(CAH13) architecture, building and planning","All","Northern Ireland","Female","0","5","0","5"
"2021","(CAH13) architecture, building and planning","All","Wales","Female","0","15","0","15"
"2022","(CAH13) architecture, building and planning","All","England","Female","20","505","95","620"
"2022","(CAH13) architecture, building and planning","All","Northern Ireland","Female","0","5","0","5"
"2022","(CAH13) architecture, building and planning","All","Wales","Female","0","20","5","25"
"2023","(CAH13) architecture, building and planning","All","England","Female","0","370","125","490"
"2023","(CAH13) architecture, building and planning","All","Wales","Female","0","10","10","20"
"2019","(CAH01) medicine and dentistry","All","England","Female","40","5","20","60"
"2019","(CAH01) medicine and dentistry","All","Wales","Female","5","0","0","5"
"2020","(CAH01) medicine and dentistry","All","England","Female","0","65","70","130"
"2020","(CAH01) medicine and dentistry","All","Wales","Female","0","5","10","15"
"2021","(CAH01) medicine and dentistry","All","England","Female","0","20","5","25"
"2022","(CAH01) medicine and dentistry","All","England","Female","0","5","0","5"
"2023","(CAH01) medicine and dentistry","All","England","Female","0","10","10","20"
"2019","(CAH20) historical, philosophical and religious studies","All","England","Female","2895","450","420","3765"
"2019","(CAH20) historical, philosophical and religious studies","All","Northern Ireland","Female","15","5","0","25"
"2019","(CAH20) historical, philosophical and religious studies","All","Wales","Female","90","45","15","145"
"2020","(CAH20) historical, philosophical and religious studies","All","England","Female","920","1220","620","2765"
"2020","(CAH20) historical, philosophical and religious studies","All","Northern Ireland","Female","5","5","30","40"
"2020","(CAH20) historical, philosophical and religious studies","All","Wales","Female","20","55","50","125"
"2021","(CAH20) historical, philosophical and religious studies","All","England","Female","0","260","55","315"
"2021","(CAH20) historical, philosophical and religious studies","All","Northern Ireland","Female","0","5","0","5"
"2021","(CAH20) historical, philosophical and religious studies","All","Wales","Female","0","25","0","25"
"2022","(CAH20) historical, philosophical and religious studies","All","England","Female","55","510","185","755"
"2022","(CAH20) historical, philosophical and religious studies","All","Wales","Female","0","5","15","20"
"2023","(CAH20) historical, philosophical and religious studies","All","England","Female","0","500","100","600"
"2023","(CAH20) historical, philosophical and religious studies","All","Northern Ireland","Female","0","5","0","5"
"2023","(CAH20) historical, philosophical and religious studies","All","Wales","Female","0","5","10","15"
"2019","(CAH11) computing","All","England","Female","670","280","180","1125"
"2019","(CAH11) computing","All","Northern Ireland","Female","20","10","5","40"
"2019","(CAH11) computing","All","Wales","Female","15","35","5","55"
"2020","(CAH11) computing","All","England","Female","245","675","415","1335"
"2020","(CAH11) computing","All","Northern Ireland","Female","5","10","40","55"
"2020","(CAH11) computing","All","Wales","Female","0","40","15","55"
"2021","(CAH11) computing","All","England","Female","0","335","35","370"
"2021","(CAH11) computing","All","Northern Ireland","Female","0","5","0","5"
"2021","(CAH11) computing","All","Wales","Female","0","40","0","40"
"2022","(CAH11) computing","All","England","Female","40","505","110","660"
"2022","(CAH11) computing","All","Northern Ireland","Female","0","5","0","10"
"2022","(CAH11) computing","All","Wales","Female","0","20","5","25"
"2023","(CAH11) computing","All","England","Female","0","255","90","350"
"2023","(CAH11) computing","All","Northern Ireland","Female","0","5","0","5"
"2023","(CAH11) computing","All","Wales","Female","0","10","5","15"
"2019","(CAH26) geography, earth and environmental studies","All","England","Female","1585","260","295","2140"
"2019","(CAH26) geography, earth and environmental studies","All","Northern Ireland","Female","10","5","5","20"
"2019","(CAH26) geography, earth and environmental studies","All","Wales","Female","70","15","10","90"
"2020","(CAH26) geography, earth and environmental studies","All","England","Female","445","690","440","1580"
"2020","(CAH26) geography, earth and environmental studies","All","Northern Ireland","Female","5","5","15","20"
"2020","(CAH26) geography, earth and environmental studies","All","Wales","Female","5","20","45","70"
"2021","(CAH26) geography, earth and environmental studies","All","England","Female","0","340","50","390"
"2021","(CAH26) geography, earth and environmental studies","All","Wales","Female","0","30","5","30"
"2022","(CAH26) geography, earth and environmental studies","All","England","Female","30","285","130","445"
"2022","(CAH26) geography, earth and environmental studies","All","Northern Ireland","Female","0","5","0","5"
"2022","(CAH26) geography, earth and environmental studies","All","Wales","Female","0","20","10","30"
"2023","(CAH26) geography, earth and environmental studies","All","England","Female","0","155","115","275"
"2023","(CAH26) geography, earth and environmental studies","All","Wales","Female","0","0","10","10"
"2019","(CAH07) physical sciences","All","England","Female","1325","265","195","1785"
"2019","(CAH07) physical sciences","All","Northern Ireland","Female","10","5","5","20"
"2019","(CAH07) physical sciences","All","Wales","Female","50","40","5","95"
"2020","(CAH07) physical sciences","All","England","Female","530","1055","420","2000"
"2020","(CAH07) physical sciences","All","Northern Ireland","Female","0","10","10","25"
"2020","(CAH07) physical sciences","All","Wales","Female","10","90","20","120"
"2021","(CAH07) physical sciences","All","England","Female","0","340","70","410"
"2021","(CAH07) physical sciences","All","Northern Ireland","Female","0","5","0","5"
"2021","(CAH07) physical sciences","All","Wales","Female","0","75","0","75"
"2022","(CAH07) physical sciences","All","England","Female","160","470","155","790"
"2022","(CAH07) physical sciences","All","Northern Ireland","Female","5","10","0","15"
"2022","(CAH07) physical sciences","All","Wales","Female","5","10","0","15"
"2023","(CAH07) physical sciences","All","England","Female","0","480","120","600"
"2023","(CAH07) physical sciences","All","Northern Ireland","Female","0","5","0","5"
"2023","(CAH07) physical sciences","All","Wales","Female","0","5","5","5"
"2019","(CAH04) psychology","All","England","Female","5440","2100","1345","8885"
"2019","(CAH04) psychology","All","Northern Ireland","Female","25","25","15","65"
"2019","(CAH04) psychology","All","Wales","Female","115","130","50","290"
"2020","(CAH04) psychology","All","England","Female","2660","4550","3015","10220"
"2020","(CAH04) psychology","All","Northern Ireland","Female","10","30","135","180"
"2020","(CAH04) psychology","All","Wales","Female","35","195","225","450"
"2021","(CAH04) psychology","All","England","Female","0","1595","210","1805"
"2021","(CAH04) psychology","All","Northern Ireland","Female","0","15","0","15"
"2021","(CAH04) psychology","All","Wales","Female","0","200","30","230"
"2022","(CAH04) psychology","All","England","Female","315","2620","485","3420"
"2022","(CAH04) psychology","All","Northern Ireland","Female","5","15","0","20"
"2022","(CAH04) psychology","All","Wales","Female","5","55","60","120"
"2023","(CAH04) psychology","All","England","Female","0","1735","350","2085"
"2023","(CAH04) psychology","All","Northern Ireland","Female","0","15","0","15"
"2023","(CAH04) psychology","All","Wales","Female","0","15","30","40"
"2019","(CAH09) mathematical sciences","All","England","Female","360","50","35","450"
"2019","(CAH09) mathematical sciences","All","Northern Ireland","Female","15","0","0","15"
"2019","(CAH09) mathematical sciences","All","Wales","Female","5","5","0","15"
"2020","(CAH09) mathematical sciences","All","England","Female","140","180","135","455"
"2020","(CAH09) mathematical sciences","All","Northern Ireland","Female","5","15","15","35"
"2020","(CAH09) mathematical sciences","All","Wales","Female","5","5","10","20"
"2021","(CAH09) mathematical sciences","All","England","Female","0","50","10","55"
"2021","(CAH09) mathematical sciences","All","Northern Ireland","Female","0","25","0","25"
"2021","(CAH09) mathematical sciences","All","Wales","Female","0","10","5","10"
"2022","(CAH09) mathematical sciences","All","England","Female","15","35","50","105"
"2022","(CAH09) mathematical sciences","All","Wales","Female","0","0","5","5"
"2023","(CAH09) mathematical sciences","All","England","Female","0","65","30","95"
"2023","(CAH09) mathematical sciences","All","Wales","Female","0","0","5","5"
"2019","(CAH22) education and teaching","All","England","Female","955","535","420","1905"
"2019","(CAH22) education and teaching","All","Northern Ireland","Female","10","5","5","20"
"2019","(CAH22) education and teaching","All","Wales","Female","10","55","15","75"
"2020","(CAH22) education and teaching","All","England","Female","505","905","1325","2735"
"2020","(CAH22) education and teaching","All","Northern Ireland","Female","0","10","250","260"
"2020","(CAH22) education and teaching","All","Wales","Female","5","75","185","265"
"2021","(CAH22) education and teaching","All","England","Female","0","370","30","400"
"2021","(CAH22) education and teaching","All","Northern Ireland","Female","0","5","0","5"
"2021","(CAH22) education and teaching","All","Wales","Female","0","45","5","50"
"2022","(CAH22) education and teaching","All","England","Female","25","545","90","660"
"2022","(CAH22) education and teaching","All","Northern Ireland","Female","0","0","0","5"
"2022","(CAH22) education and teaching","All","Wales","Female","0","15","15","30"
"2023","(CAH22) education and teaching","All","England","Female","0","405","55","460"
"2023","(CAH22) education and teaching","All","Northern Ireland","Female","0","5","0","5"
"2023","(CAH22) education and teaching","All","Wales","Female","0","5","10","10"
"2019","(CAH06) agriculture, food and related studies","All","England","Female","325","135","80","540"
"2019","(CAH06) agriculture, food and related studies","All","Northern Ireland","Female","10","0","0","10"
"2019","(CAH06) agriculture, food and related studies","All","Wales","Female","5","5","5","20"
"2020","(CAH06) agriculture, food and related studies","All","England","Female","135","215","95","445"
"2020","(CAH06) agriculture, food and related studies","All","Northern Ireland","Female","0","15","10","30"
"2020","(CAH06) agriculture, food and related studies","All","Wales","Female","0","10","40","55"
"2021","(CAH06) agriculture, food and related studies","All","England","Female","0","50","35","85"
"2022","(CAH06) agriculture, food and related studies","All","England","Female","0","150","45","190"
"2022","(CAH06) agriculture, food and related studies","All","Wales","Female","0","5","10","15"
"2023","(CAH06) agriculture, food and related studies","All","England","Female","0","125","10","135"
"2023","(CAH06) agriculture, food and related studies","All","Northern Ireland","Female","0","5","0","5"
"2023","(CAH06) agriculture, food and related studies","All","Wales","Female","0","0","5","5"
"2019","(CAH16) law","All","England","Female","4090","1475","860","6425"
"2019","(CAH16) law","All","Northern Ireland","Female","25","15","5","40"
"2019","(CAH16) law","All","Wales","Female","90","135","20","245"
"2020","(CAH16) law","All","England","Female","1940","3150","2090","7180"
"2020","(CAH16) law","All","Northern Ireland","Female","10","15","65","95"
"2020","(CAH16) law","All","Wales","Female","25","160","210","395"
"2021","(CAH16) law","All","England","Female","0","975","125","1095"
"2021","(CAH16) law","All","Northern Ireland","Female","0","10","0","10"
"2021","(CAH16) law","All","Wales","Female","0","145","25","165"
"2022","(CAH16) law","All","England","Female","265","1670","475","2405"
"2022","(CAH16) law","All","Northern Ireland","Female","0","10","5","15"
"2022","(CAH16) law","All","Wales","Female","5","50","50","100"
"2023","(CAH16) law","All","England","Female","0","1270","285","1560"
"2023","(CAH16) law","All","Northern Ireland","Female","0","5","0","5"
"2023","(CAH16) law","All","Wales","Female","0","10","15","25"
"2019","(CAH05) veterinary sciences","All","England","Female","5","0","0","5"
"2020","(CAH05) veterinary sciences","All","England","Female","0","35","5","40"
"2020","(CAH05) veterinary sciences","All","Wales","Female","0","5","0","5"
"2021","(CAH05) veterinary sciences","All","England","Female","0","10","0","10"
"2022","(CAH05) veterinary sciences","All","England","Female","0","5","5","10"
"2023","(CAH05) veterinary sciences","All","England","Female","0","5","10","15"
"2019","(CAH25) design, and creative and performing arts","All","England","Male","2265","2455","770","5495"
"2019","(CAH25) design, and creative and performing arts","All","Northern Ireland","Male","25","20","5","55"
"2019","(CAH25) design, and creative and performing arts","All","Wales","Male","60","185","20","265"
"2020","(CAH25) design, and creative and performing arts","All","England","Male","990","3255","1790","6035"
"2020","(CAH25) design, and creative and performing arts","All","Northern Ireland","Male","5","35","40","80"
"2020","(CAH25) design, and creative and performing arts","All","Wales","Male","15","220","85","320"
"2021","(CAH25) design, and creative and performing arts","All","England","Male","0","2505","530","3030"
"2021","(CAH25) design, and creative and performing arts","All","Northern Ireland","Male","0","20","5","25"
"2021","(CAH25) design, and creative and performing arts","All","Wales","Male","0","200","10","210"
"2022","(CAH25) design, and creative and performing arts","All","England","Male","155","3580","475","4210"
"2022","(CAH25) design, and creative and performing arts","All","Northern Ireland","Male","0","35","0","40"
"2022","(CAH25) design, and creative and performing arts","All","Wales","Male","0","155","15","175"
"2023","(CAH25) design, and creative and performing arts","All","England","Male","0","2235","1125","3360"
"2023","(CAH25) design, and creative and performing arts","All","Northern Ireland","Male","0","15","10","25"
"2023","(CAH25) design, and creative and performing arts","All","Wales","Male","0","120","40","160"
"2019","(CAH10) engineering and technology","All","England","Male","2875","755","670","4300"
"2019","(CAH10) engineering and technology","All","Northern Ireland","Male","30","10","5","40"
"2019","(CAH10) engineering and technology","All","Wales","Male","65","90","15","170"
"2020","(CAH10) engineering and technology","All","England","Male","905","1715","1830","4445"
"2020","(CAH10) engineering and technology","All","Northern Ireland","Male","5","20","80","110"
"2020","(CAH10) engineering and technology","All","Wales","Male","15","65","65","145"
"2021","(CAH10) engineering and technology","All","England","Male","0","705","55","760"
"2021","(CAH10) engineering and technology","All","Northern Ireland","Male","0","15","0","15"
"2021","(CAH10) engineering and technology","All","Wales","Male","0","75","0","75"
"2022","(CAH10) engineering and technology","All","England","Male","255","765","235","1250"
"2022","(CAH10) engineering and technology","All","Northern Ireland","Male","5","5","0","10"
"2022","(CAH10) engineering and technology","All","Wales","Male","10","20","5","35"
"2023","(CAH10) engineering and technology","All","England","Male","0","490","260","750"
"2023","(CAH10) engineering and technology","All","Wales","Male","0","5","5","10"
"2019","(CAH02) subjects allied to medicine","All","England","Male","780","315","210","1305"
"2019","(CAH02) subjects allied to medicine","All","Northern Ireland","Male","5","0","5","10"
"2019","(CAH02) subjects allied to medicine","All","Wales","Male","5","0","5","10"
"2020","(CAH02) subjects allied to medicine","All","England","Male","265","585","375","1225"
"2020","(CAH02) subjects allied to medicine","All","Northern Ireland","Male","0","10","20","25"
"2020","(CAH02) subjects allied to medicine","All","Wales","Male","5","5","20","30"
"2021","(CAH02) subjects allied to medicine","All","England","Male","0","330","35","365"
"2021","(CAH02) subjects allied to medicine","All","Northern Ireland","Male","0","5","0","5"
"2021","(CAH02) subjects allied to medicine","All","Wales","Male","0","20","0","20"
"2022","(CAH02) subjects allied to medicine","All","England","Male","70","445","150","660"
"2022","(CAH02) subjects allied to medicine","All","Northern Ireland","Male","0","5","0","5"
"2022","(CAH02) subjects allied to medicine","All","Wales","Male","0","10","5","20"
"2023","(CAH02) subjects allied to medicine","All","England","Male","0","265","110","375"
"2023","(CAH02) subjects allied to medicine","All","Northern Ireland","Male","0","0","0","5"
"2023","(CAH02) subjects allied to medicine","All","Wales","Male","0","0","5","5"
"2019","(CAH19) language and area studies","All","England","Male","935","170","180","1285"
"2019","(CAH19) language and area studies","All","Northern Ireland","Male","10","0","5","15"
"2019","(CAH19) language and area studies","All","Wales","Male","25","10","5","40"
"2020","(CAH19) language and area studies","All","England","Male","220","470","335","1025"
"2020","(CAH19) language and area studies","All","Northern Ireland","Male","5","10","15","30"
"2020","(CAH19) language and area studies","All","Wales","Male","5","15","45","65"
"2021","(CAH19) language and area studies","All","England","Male","0","170","10","180"
"2021","(CAH19) language and area studies","All","Northern Ireland","Male","0","5","0","5"
"2021","(CAH19) language and area studies","All","Wales","Male","0","10","0","10"
"2022","(CAH19) language and area studies","All","England","Male","20","145","75","240"
"2022","(CAH19) language and area studies","All","Wales","Male","0","0","10","10"
"2023","(CAH19) language and area studies","All","England","Male","0","150","55","205"
"2023","(CAH19) language and area studies","All","Wales","Male","0","5","5","10"
"2019","(CAH24) media, journalism and communications","All","England","Male","1175","630","365","2170"
"2019","(CAH24) media, journalism and communications","All","Northern Ireland","Male","15","5","5","25"
"2019","(CAH24) media, journalism and communications","All","Wales","Male","45","50","10","105"
"2020","(CAH24) media, journalism and communications","All","England","Male","560","1275","750","2585"
"2020","(CAH24) media, journalism and communications","All","Northern Ireland","Male","0","15","35","50"
"2020","(CAH24) media, journalism and communications","All","Wales","Male","5","55","65","125"
