"Year","Subject group HECoS","Age group","Domicile","Gender","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2023","(CAH24) media, journalism and communications","18","Wales","Female","0","20","5","25"
"2019","(CAH23) combined and general studies","18","England","Female","225","30","5","260"
"2019","(CAH23) combined and general studies","18","Wales","Female","5","0","0","5"
"2020","(CAH23) combined and general studies","18","England","Female","15","80","25","120"
"2020","(CAH23) combined and general studies","18","Northern Ireland","Female","0","0","0","5"
"2020","(CAH23) combined and general studies","18","Wales","Female","0","0","5","5"
"2021","(CAH23) combined and general studies","18","England","Female","0","25","5","30"
"2022","(CAH23) combined and general studies","18","England","Female","5","40","5","55"
"2023","(CAH23) combined and general studies","18","England","Female","0","25","0","30"
"2019","(CAH17) business and management","18","England","Female","5225","2135","1325","8685"
"2019","(CAH17) business and management","18","Northern Ireland","Female","40","20","10","75"
"2019","(CAH17) business and management","18","Wales","Female","105","100","65","270"
"2020","(CAH17) business and management","18","England","Female","2485","4680","3075","10240"
"2020","(CAH17) business and management","18","Northern Ireland","Female","10","50","220","280"
"2020","(CAH17) business and management","18","Wales","Female","20","155","300","475"
"2021","(CAH17) business and management","18","England","Female","0","1420","270","1690"
"2021","(CAH17) business and management","18","Northern Ireland","Female","0","10","0","10"
"2021","(CAH17) business and management","18","Wales","Female","0","110","80","190"
"2022","(CAH17) business and management","18","England","Female","195","2480","495","3165"
"2022","(CAH17) business and management","18","Northern Ireland","Female","5","15","5","25"
"2022","(CAH17) business and management","18","Wales","Female","0","60","65","130"
"2023","(CAH17) business and management","18","England","Female","0","1490","220","1710"
"2023","(CAH17) business and management","18","Northern Ireland","Female","0","5","0","5"
"2023","(CAH17) business and management","18","Wales","Female","0","20","10","25"
"2019","(CAH15) social sciences","18","England","Female","6965","2560","1655","11180"
"2019","(CAH15) social sciences","18","Northern Ireland","Female","40","25","15","85"
"2019","(CAH15) social sciences","18","Wales","Female","160","200","55","415"
"2020","(CAH15) social sciences","18","England","Female","2880","4710","3710","11295"
"2020","(CAH15) social sciences","18","Northern Ireland","Female","15","30","280","325"
"2020","(CAH15) social sciences","18","Wales","Female","35","300","325","665"
"2021","(CAH15) social sciences","18","England","Female","0","1525","195","1720"
"2021","(CAH15) social sciences","18","Northern Ireland","Female","0","25","0","25"
"2021","(CAH15) social sciences","18","Wales","Female","0","240","5","245"
"2022","(CAH15) social sciences","18","England","Female","665","2680","675","4020"
"2022","(CAH15) social sciences","18","Northern Ireland","Female","0","15","0","15"
"2022","(CAH15) social sciences","18","Wales","Female","15","55","25","95"
"2023","(CAH15) social sciences","18","England","Female","0","1895","410","2310"
"2023","(CAH15) social sciences","18","Northern Ireland","Female","0","10","0","15"
"2023","(CAH15) social sciences","18","Wales","Female","0","20","30","50"
"2019","(CAH03) biological and sport sciences","18","England","Female","2745","1270","755","4770"
"2019","(CAH03) biological and sport sciences","18","Northern Ireland","Female","30","10","5","40"
"2019","(CAH03) biological and sport sciences","18","Wales","Female","80","80","25","190"
"2020","(CAH03) biological and sport sciences","18","England","Female","640","2990","2270","5900"
"2020","(CAH03) biological and sport sciences","18","Northern Ireland","Female","5","25","105","130"
"2020","(CAH03) biological and sport sciences","18","Wales","Female","20","155","305","475"
"2021","(CAH03) biological and sport sciences","18","England","Female","0","580","230","815"
"2021","(CAH03) biological and sport sciences","18","Northern Ireland","Female","0","10","0","10"
"2021","(CAH03) biological and sport sciences","18","Wales","Female","0","130","105","235"
"2022","(CAH03) biological and sport sciences","18","England","Female","295","840","425","1560"
"2022","(CAH03) biological and sport sciences","18","Northern Ireland","Female","5","0","0","5"
"2022","(CAH03) biological and sport sciences","18","Wales","Female","10","15","105","130"
"2023","(CAH03) biological and sport sciences","18","England","Female","0","795","300","1095"
"2023","(CAH03) biological and sport sciences","18","Northern Ireland","Female","0","5","5","10"
"2023","(CAH03) biological and sport sciences","18","Wales","Female","0","5","15","20"
"2019","(CAH13) architecture, building and planning","18","England","Female","760","315","105","1180"
"2019","(CAH13) architecture, building and planning","18","Northern Ireland","Female","10","10","0","20"
"2019","(CAH13) architecture, building and planning","18","Wales","Female","10","5","0","15"
"2020","(CAH13) architecture, building and planning","18","England","Female","475","505","280","1260"
"2020","(CAH13) architecture, building and planning","18","Northern Ireland","Female","5","5","10","20"
"2020","(CAH13) architecture, building and planning","18","Wales","Female","15","10","25","45"
"2021","(CAH13) architecture, building and planning","18","England","Female","0","370","140","510"
"2021","(CAH13) architecture, building and planning","18","Northern Ireland","Female","0","5","0","5"
"2021","(CAH13) architecture, building and planning","18","Wales","Female","0","15","0","15"
"2022","(CAH13) architecture, building and planning","18","England","Female","20","505","95","620"
"2022","(CAH13) architecture, building and planning","18","Northern Ireland","Female","0","5","0","5"
"2022","(CAH13) architecture, building and planning","18","Wales","Female","0","20","5","25"
"2023","(CAH13) architecture, building and planning","18","England","Female","0","370","125","490"
"2023","(CAH13) architecture, building and planning","18","Wales","Female","0","10","10","20"
"2019","(CAH01) medicine and dentistry","18","England","Female","40","5","20","60"
"2019","(CAH01) medicine and dentistry","18","Wales","Female","5","0","0","5"
"2020","(CAH01) medicine and dentistry","18","England","Female","0","65","70","130"
"2020","(CAH01) medicine and dentistry","18","Wales","Female","0","5","10","15"
"2021","(CAH01) medicine and dentistry","18","England","Female","0","20","5","25"
"2022","(CAH01) medicine and dentistry","18","England","Female","0","5","0","5"
"2023","(CAH01) medicine and dentistry","18","England","Female","0","10","10","20"
"2019","(CAH20) historical, philosophical and religious studies","18","England","Female","2895","450","420","3765"
"2019","(CAH20) historical, philosophical and religious studies","18","Northern Ireland","Female","15","5","0","25"
"2019","(CAH20) historical, philosophical and religious studies","18","Wales","Female","90","45","15","145"
"2020","(CAH20) historical, philosophical and religious studies","18","England","Female","920","1220","620","2765"
"2020","(CAH20) historical, philosophical and religious studies","18","Northern Ireland","Female","5","5","30","40"
"2020","(CAH20) historical, philosophical and religious studies","18","Wales","Female","20","55","50","125"
"2021","(CAH20) historical, philosophical and religious studies","18","England","Female","0","260","55","315"
"2021","(CAH20) historical, philosophical and religious studies","18","Northern Ireland","Female","0","5","0","5"
"2021","(CAH20) historical, philosophical and religious studies","18","Wales","Female","0","25","0","25"
"2022","(CAH20) historical, philosophical and religious studies","18","England","Female","55","510","185","755"
"2022","(CAH20) historical, philosophical and religious studies","18","Wales","Female","0","5","15","20"
"2023","(CAH20) historical, philosophical and religious studies","18","England","Female","0","500","100","600"
"2023","(CAH20) historical, philosophical and religious studies","18","Northern Ireland","Female","0","5","0","5"
"2023","(CAH20) historical, philosophical and religious studies","18","Wales","Female","0","5","10","15"
"2019","(CAH11) computing","18","England","Female","670","280","180","1125"
"2019","(CAH11) computing","18","Northern Ireland","Female","20","10","5","40"
"2019","(CAH11) computing","18","Wales","Female","15","35","5","55"
"2020","(CAH11) computing","18","England","Female","245","675","415","1335"
"2020","(CAH11) computing","18","Northern Ireland","Female","5","10","40","55"
"2020","(CAH11) computing","18","Wales","Female","0","40","15","55"
"2021","(CAH11) computing","18","England","Female","0","335","35","370"
"2021","(CAH11) computing","18","Northern Ireland","Female","0","5","0","5"
"2021","(CAH11) computing","18","Wales","Female","0","40","0","40"
"2022","(CAH11) computing","18","England","Female","40","505","110","660"
"2022","(CAH11) computing","18","Northern Ireland","Female","0","5","0","10"
"2022","(CAH11) computing","18","Wales","Female","0","20","5","25"
"2023","(CAH11) computing","18","England","Female","0","255","90","350"
"2023","(CAH11) computing","18","Northern Ireland","Female","0","5","0","5"
"2023","(CAH11) computing","18","Wales","Female","0","10","5","15"
"2019","(CAH26) geography, earth and environmental studies","18","England","Female","1585","260","295","2140"
"2019","(CAH26) geography, earth and environmental studies","18","Northern Ireland","Female","10","5","5","20"
"2019","(CAH26) geography, earth and environmental studies","18","Wales","Female","70","15","10","90"
"2020","(CAH26) geography, earth and environmental studies","18","England","Female","445","690","440","1580"
"2020","(CAH26) geography, earth and environmental studies","18","Northern Ireland","Female","5","5","15","20"
"2020","(CAH26) geography, earth and environmental studies","18","Wales","Female","5","20","45","70"
"2021","(CAH26) geography, earth and environmental studies","18","England","Female","0","340","50","390"
"2021","(CAH26) geography, earth and environmental studies","18","Wales","Female","0","30","5","30"
"2022","(CAH26) geography, earth and environmental studies","18","England","Female","30","285","130","445"
