"Year","Tariff group of provider released from","Tariff group of provider accepted to","Age group","Domicile","Gender","Placed after self-releasing"
"2019","Medium tariff","Medium tariff","35 and over","England","Female","5"
"2020","Medium tariff","Medium tariff","35 and over","England","Female","5"
"2021","Medium tariff","Medium tariff","35 and over","England","Female","5"
"2022","Medium tariff","Medium tariff","35 and over","England","Female","10"
"2023","Medium tariff","Medium tariff","35 and over","England","Female","10"
"2020","Higher tariff","Medium tariff","35 and over","England","Female","5"
"2020","Medium tariff","Higher tariff","35 and over","England","Female","5"
"2020","Higher tariff","Higher tariff","35 and over","England","Female","5"
"2022","Medium tariff","Medium tariff","17 and under","Scotland","Female","5"
"2023","Medium tariff","Medium tariff","17 and under","Scotland","Female","5"
"2020","Higher tariff","Higher tariff","17 and under","Scotland","Female","5"
"2023","Higher tariff","Higher tariff","17 and under","Scotland","Female","5"
"2020","Lower tariff","Medium tariff","18","Scotland","Female","5"
"2023","Lower tariff","Medium tariff","18","Scotland","Female","5"
"2019","Medium tariff","Medium tariff","18","Scotland","Female","45"
"2020","Medium tariff","Medium tariff","18","Scotland","Female","80"
"2021","Medium tariff","Medium tariff","18","Scotland","Female","35"
"2022","Medium tariff","Medium tariff","18","Scotland","Female","60"
"2023","Medium tariff","Medium tariff","18","Scotland","Female","90"
"2019","Higher tariff","Medium tariff","18","Scotland","Female","15"
"2020","Higher tariff","Medium tariff","18","Scotland","Female","25"
"2021","Higher tariff","Medium tariff","18","Scotland","Female","15"
"2022","Higher tariff","Medium tariff","18","Scotland","Female","25"
"2023","Higher tariff","Medium tariff","18","Scotland","Female","35"
"2019","Medium tariff","Higher tariff","18","Scotland","Female","30"
"2020","Medium tariff","Higher tariff","18","Scotland","Female","55"
"2021","Medium tariff","Higher tariff","18","Scotland","Female","20"
"2022","Medium tariff","Higher tariff","18","Scotland","Female","15"
"2023","Medium tariff","Higher tariff","18","Scotland","Female","30"
"2019","Higher tariff","Higher tariff","18","Scotland","Female","20"
"2020","Higher tariff","Higher tariff","18","Scotland","Female","50"
"2021","Higher tariff","Higher tariff","18","Scotland","Female","20"
"2022","Higher tariff","Higher tariff","18","Scotland","Female","20"
"2023","Higher tariff","Higher tariff","18","Scotland","Female","30"
"2022","Medium tariff","Lower tariff","19","Scotland","Female","5"
"2019","Medium tariff","Medium tariff","19","Scotland","Female","15"
"2020","Medium tariff","Medium tariff","19","Scotland","Female","15"
"2021","Medium tariff","Medium tariff","19","Scotland","Female","15"
"2022","Medium tariff","Medium tariff","19","Scotland","Female","20"
"2023","Medium tariff","Medium tariff","19","Scotland","Female","25"
"2019","Higher tariff","Medium tariff","19","Scotland","Female","5"
"2021","Higher tariff","Medium tariff","19","Scotland","Female","5"
"2022","Higher tariff","Medium tariff","19","Scotland","Female","10"
"2023","Higher tariff","Medium tariff","19","Scotland","Female","5"
"2019","Medium tariff","Higher tariff","19","Scotland","Female","5"
"2020","Medium tariff","Higher tariff","19","Scotland","Female","10"
"2021","Medium tariff","Higher tariff","19","Scotland","Female","5"
"2022","Medium tariff","Higher tariff","19","Scotland","Female","5"
"2023","Medium tariff","Higher tariff","19","Scotland","Female","5"
"2019","Higher tariff","Higher tariff","19","Scotland","Female","5"
"2020","Higher tariff","Higher tariff","19","Scotland","Female","10"
"2022","Higher tariff","Higher tariff","19","Scotland","Female","5"
"2023","Higher tariff","Higher tariff","19","Scotland","Female","10"
"2019","Medium tariff","Medium tariff","20","Scotland","Female","10"
"2020","Medium tariff","Medium tariff","20","Scotland","Female","10"
"2021","Medium tariff","Medium tariff","20","Scotland","Female","5"
"2022","Medium tariff","Medium tariff","20","Scotland","Female","5"
"2023","Medium tariff","Medium tariff","20","Scotland","Female","15"
"2020","Higher tariff","Medium tariff","20","Scotland","Female","5"
"2022","Higher tariff","Medium tariff","20","Scotland","Female","5"
"2023","Higher tariff","Medium tariff","20","Scotland","Female","5"
"2020","Medium tariff","Higher tariff","20","Scotland","Female","5"
"2022","Medium tariff","Higher tariff","20","Scotland","Female","5"
"2019","Medium tariff","Medium tariff","21 - 24","Scotland","Female","10"
"2020","Medium tariff","Medium tariff","21 - 24","Scotland","Female","15"
