"Year","Predicted SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2010","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2013","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2014","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2015","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2016","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2017","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2018","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.839","0"
"2019","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2020","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","30","0.886","0"
"2021","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2022","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2023","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.833","0"
"2011","6 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","7 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
