"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","Female","25 - 29","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","30 - 34","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","30 - 34","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","35 and over","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","18","England","Main scheme applicant","Not main scheme application","115","80","0.6930000000000001","0"
"2020","Female","18","England","Main scheme applicant","Not main scheme application","100","85","0.851","0"
"2021","Female","18","England","Main scheme applicant","Not main scheme application","90","40","0.455","0"
"2022","Female","18","England","Main scheme applicant","Not main scheme application","190","110","0.579","0"
"2023","Female","18","England","Main scheme applicant","Not main scheme application","165","135","0.8230000000000001","0"
"2019","Female","19","England","Main scheme applicant","Not main scheme application","45","30","0.674","0"
"2020","Female","19","England","Main scheme applicant","Not main scheme application","35","20","0.5760000000000001","0"
"2021","Female","19","England","Main scheme applicant","Not main scheme application","40","15","0.325","0"
"2022","Female","19","England","Main scheme applicant","Not main scheme application","50","25","0.542","0"
"2023","Female","19","England","Main scheme applicant","Not main scheme application","65","45","0.667","0"
"2019","Female","20","England","Main scheme applicant","Not main scheme application","25","15","0.538","0"
"2020","Female","20","England","Main scheme applicant","Not main scheme application","25","15","0.609","0"
"2021","Female","20","England","Main scheme applicant","Not main scheme application","25","5"," ","0"
"2022","Female","20","England","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2023","Female","20","England","Main scheme applicant","Not main scheme application","35","20","0.595","0"
"2019","Female","21 - 24","England","Main scheme applicant","Not main scheme application","65","30","0.46900000000000003","0"
"2020","Female","21 - 24","England","Main scheme applicant","Not main scheme application","35","20","0.559","0"
"2021","Female","21 - 24","England","Main scheme applicant","Not main scheme application","50","25","0.47100000000000003","0"
"2022","Female","21 - 24","England","Main scheme applicant","Not main scheme application","60","20","0.339","0"
"2023","Female","21 - 24","England","Main scheme applicant","Not main scheme application","45","20","0.5","0"
"2019","Female","25 - 29","England","Main scheme applicant","Not main scheme application","55","30","0.582","0"
"2020","Female","25 - 29","England","Main scheme applicant","Not main scheme application","30","20","0.656","0"
"2021","Female","25 - 29","England","Main scheme applicant","Not main scheme application","35","15","0.424","0"
