"Year","Difference between predicted and achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","2 points","Quintile 5","Main scheme applicant","Main scheme application","2210","1955","0.884","0"
"2012","2 points","Quintile 5","Main scheme applicant","Main scheme application","1570","1265","0.807","0"
"2013","2 points","Quintile 5","Main scheme applicant","Main scheme application","1360","1105","0.8130000000000001","0"
"2014","2 points","Quintile 5","Main scheme applicant","Main scheme application","1315","1080","0.8230000000000001","0"
"2015","2 points","Quintile 5","Main scheme applicant","Main scheme application","1375","1120","0.8130000000000001","0"
"2016","2 points","Quintile 5","Main scheme applicant","Main scheme application","1250","1035","0.8280000000000001","0"
"2017","2 points","Quintile 5","Main scheme applicant","Main scheme application","1585","1290","0.8150000000000001","0"
"2018","2 points","Quintile 5","Main scheme applicant","Main scheme application","1420","1150","0.809","0"
"2019","2 points","Quintile 5","Main scheme applicant","Main scheme application","1260","1015","0.803","0"
"2020","2 points","Quintile 5","Main scheme applicant","Main scheme application","2350","1985","0.845","0"
"2021","2 points","Quintile 5","Main scheme applicant","Main scheme application","5375","4595","0.855","0"
"2022","2 points","Quintile 5","Main scheme applicant","Main scheme application","3425","2760","0.806","0"
"2023","2 points","Quintile 5","Main scheme applicant","Main scheme application","1035","815","0.786","0"
"2010","3 points","Quintile 5","Main scheme applicant","Main scheme application","785","660","0.843","0"
"2011","3 points","Quintile 5","Main scheme applicant","Main scheme application","610","525","0.861","0"
"2012","3 points","Quintile 5","Main scheme applicant","Main scheme application","370","280","0.753","0"
"2013","3 points","Quintile 5","Main scheme applicant","Main scheme application","290","210","0.725","0"
"2014","3 points","Quintile 5","Main scheme applicant","Main scheme application","330","260","0.793","0"
"2015","3 points","Quintile 5","Main scheme applicant","Main scheme application","305","230","0.753","0"
"2016","3 points","Quintile 5","Main scheme applicant","Main scheme application","315","240","0.766","0"
"2017","3 points","Quintile 5","Main scheme applicant","Main scheme application","385","265","0.685","0"
"2018","3 points","Quintile 5","Main scheme applicant","Main scheme application","390","280","0.721","0"
"2019","3 points","Quintile 5","Main scheme applicant","Main scheme application","390","290","0.74","0"
"2020","3 points","Quintile 5","Main scheme applicant","Main scheme application","500","400","0.807","0"
"2021","3 points","Quintile 5","Main scheme applicant","Main scheme application","1640","1340","0.8150000000000001","0"
"2022","3 points","Quintile 5","Main scheme applicant","Main scheme application","1225","950","0.774","0"
"2023","3 points","Quintile 5","Main scheme applicant","Main scheme application","265","180","0.681","0"
"2010","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","160","120","0.753","0"
"2011","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","125","95","0.748","0"
"2012","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","80","50","0.63","0"
"2013","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","60","35","0.5650000000000001","0"
"2014","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","65","40","0.594","0"
"2015","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","85","55","0.671","0"
"2016","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","80","35","0.457","0"
"2017","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","120","70","0.5660000000000001","0"
"2018","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","125","75","0.589","0"
"2019","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","110","60","0.546","0"
"2020","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","70","55","0.746","0"
"2021","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","450","315","0.7010000000000001","0"
"2022","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","435","290","0.668","0"
"2023","More than 3 points","Quintile 5","Main scheme applicant","Main scheme application","75","40","0.533","0"
"2010","-1 points","Quintile 5","Main scheme applicant","Main scheme application","15695","12560","0.8","0"
"2011","-1 points","Quintile 5","Main scheme applicant","Main scheme application","15665","12870","0.8210000000000001","0"
"2012","-1 points","Quintile 5","Main scheme applicant","Main scheme application","15550","12875","0.8280000000000001","0"
"2013","-1 points","Quintile 5","Main scheme applicant","Main scheme application","15450","13030","0.843","0"
"2014","-1 points","Quintile 5","Main scheme applicant","Main scheme application","14235","12015","0.844","0"
"2015","-1 points","Quintile 5","Main scheme applicant","Main scheme application","14635","12405","0.847","0"
"2016","-1 points","Quintile 5","Main scheme applicant","Main scheme application","14390","12150","0.845","0"
"2017","-1 points","Quintile 5","Main scheme applicant","Main scheme application","13170","11040","0.838","0"
"2018","-1 points","Quintile 5","Main scheme applicant","Main scheme application","12425","10465","0.842","0"
"2019","-1 points","Quintile 5","Main scheme applicant","Main scheme application","11160","9400","0.842","0"
"2020","-1 points","Quintile 5","Main scheme applicant","Main scheme application","14420","10795","0.748","0"
"2021","-1 points","Quintile 5","Main scheme applicant","Main scheme application","12475","10015","0.803","0"
"2022","-1 points","Quintile 5","Main scheme applicant","Main scheme application","13315","10635","0.799","0"
"2023","-1 points","Quintile 5","Main scheme applicant","Main scheme application","12060","10150","0.841","0"
"2010","-2 points","Quintile 5","Main scheme applicant","Main scheme application","12310","8650","0.7030000000000001","0"
"2011","-2 points","Quintile 5","Main scheme applicant","Main scheme application","13100","9500","0.725","0"
"2012","-2 points","Quintile 5","Main scheme applicant","Main scheme application","13570","10275","0.757","0"
"2013","-2 points","Quintile 5","Main scheme applicant","Main scheme application","13870","10975","0.791","0"
"2014","-2 points","Quintile 5","Main scheme applicant","Main scheme application","13345","10275","0.77","0"
"2015","-2 points","Quintile 5","Main scheme applicant","Main scheme application","13770","10795","0.784","0"
"2016","-2 points","Quintile 5","Main scheme applicant","Main scheme application","13815","10645","0.771","0"
"2017","-2 points","Quintile 5","Main scheme applicant","Main scheme application","12635","9825","0.777","0"
"2018","-2 points","Quintile 5","Main scheme applicant","Main scheme application","11770","9215","0.783","0"
"2019","-2 points","Quintile 5","Main scheme applicant","Main scheme application","11460","8915","0.778","0"
"2020","-2 points","Quintile 5","Main scheme applicant","Main scheme application","9575","6435","0.672","0"
"2021","-2 points","Quintile 5","Main scheme applicant","Main scheme application","7675","5540","0.722","0"
"2022","-2 points","Quintile 5","Main scheme applicant","Main scheme application","10825","7935","0.733","0"
"2023","-2 points","Quintile 5","Main scheme applicant","Main scheme application","13135","10500","0.8","0"
"2010","-3 points","Quintile 5","Main scheme applicant","Main scheme application","7375","4365","0.592","0"
"2011","-3 points","Quintile 5","Main scheme applicant","Main scheme application","7680","4500","0.586","0"
"2012","-3 points","Quintile 5","Main scheme applicant","Main scheme application","8380","5340","0.637","0"
"2013","-3 points","Quintile 5","Main scheme applicant","Main scheme application","8570","5775","0.674","0"
"2014","-3 points","Quintile 5","Main scheme applicant","Main scheme application","9035","5925","0.656","0"
"2015","-3 points","Quintile 5","Main scheme applicant","Main scheme application","8995","6075","0.676","0"
"2016","-3 points","Quintile 5","Main scheme applicant","Main scheme application","9515","6360","0.668","0"
"2017","-3 points","Quintile 5","Main scheme applicant","Main scheme application","9200","6295","0.684","0"
"2018","-3 points","Quintile 5","Main scheme applicant","Main scheme application","9020","6355","0.705","0"
"2019","-3 points","Quintile 5","Main scheme applicant","Main scheme application","9175","6430","0.7010000000000001","0"
"2020","-3 points","Quintile 5","Main scheme applicant","Main scheme application","5290","3000","0.5670000000000001","0"
"2021","-3 points","Quintile 5","Main scheme applicant","Main scheme application","4220","2620","0.621","0"
"2022","-3 points","Quintile 5","Main scheme applicant","Main scheme application","7235","4705","0.651","0"
"2023","-3 points","Quintile 5","Main scheme applicant","Main scheme application","11365","8115","0.714","0"
"2010","-4 points","Quintile 5","Main scheme applicant","Main scheme application","3320","1500","0.452","0"
"2011","-4 points","Quintile 5","Main scheme applicant","Main scheme application","3620","1635","0.452","0"
"2012","-4 points","Quintile 5","Main scheme applicant","Main scheme application","3935","1970","0.501","0"
"2013","-4 points","Quintile 5","Main scheme applicant","Main scheme application","4090","2210","0.541","0"
"2014","-4 points","Quintile 5","Main scheme applicant","Main scheme application","4545","2380","0.523","0"
"2015","-4 points","Quintile 5","Main scheme applicant","Main scheme application","4885","2665","0.546","0"
"2016","-4 points","Quintile 5","Main scheme applicant","Main scheme application","5170","2890","0.559","0"
"2017","-4 points","Quintile 5","Main scheme applicant","Main scheme application","5645","3305","0.585","0"
"2018","-4 points","Quintile 5","Main scheme applicant","Main scheme application","5650","3435","0.608","0"
"2019","-4 points","Quintile 5","Main scheme applicant","Main scheme application","6345","3795","0.598","0"
"2020","-4 points","Quintile 5","Main scheme applicant","Main scheme application","2525","1330","0.527","0"
"2021","-4 points","Quintile 5","Main scheme applicant","Main scheme application","2135","1185","0.554","0"
"2022","-4 points","Quintile 5","Main scheme applicant","Main scheme application","4505","2490","0.553","0"
"2023","-4 points","Quintile 5","Main scheme applicant","Main scheme application","7860","4950","0.629","0"
"2010","-5 points","Quintile 5","Main scheme applicant","Main scheme application","1475","520","0.353","0"
"2011","-5 points","Quintile 5","Main scheme applicant","Main scheme application","1590","510","0.319","0"
"2012","-5 points","Quintile 5","Main scheme applicant","Main scheme application","1705","645","0.378","0"
"2013","-5 points","Quintile 5","Main scheme applicant","Main scheme application","1840","840","0.456","0"
"2014","-5 points","Quintile 5","Main scheme applicant","Main scheme application","2175","910","0.419","0"
"2015","-5 points","Quintile 5","Main scheme applicant","Main scheme application","2325","1065","0.459","0"
"2016","-5 points","Quintile 5","Main scheme applicant","Main scheme application","2525","1225","0.486","0"
"2017","-5 points","Quintile 5","Main scheme applicant","Main scheme application","3020","1525","0.505","0"
"2018","-5 points","Quintile 5","Main scheme applicant","Main scheme application","3240","1735","0.535","0"
"2019","-5 points","Quintile 5","Main scheme applicant","Main scheme application","3910","2040","0.521","0"
"2020","-5 points","Quintile 5","Main scheme applicant","Main scheme application","1165","530","0.455","0"
"2021","-5 points","Quintile 5","Main scheme applicant","Main scheme application","970","455","0.47000000000000003","0"
"2022","-5 points","Quintile 5","Main scheme applicant","Main scheme application","2595","1245","0.48","0"
"2023","-5 points","Quintile 5","Main scheme applicant","Main scheme application","5190","2705","0.521","0"
"2010","-6 points","Quintile 5","Main scheme applicant","Main scheme application","690","185","0.266","0"
"2011","-6 points","Quintile 5","Main scheme applicant","Main scheme application","655","165","0.249","0"
"2012","-6 points","Quintile 5","Main scheme applicant","Main scheme application","745","240","0.325","0"
"2013","-6 points","Quintile 5","Main scheme applicant","Main scheme application","785","275","0.35100000000000003","0"
"2014","-6 points","Quintile 5","Main scheme applicant","Main scheme application","900","325","0.362","0"
"2015","-6 points","Quintile 5","Main scheme applicant","Main scheme application","1065","400","0.374","0"
"2016","-6 points","Quintile 5","Main scheme applicant","Main scheme application","1150","455","0.393","0"
"2017","-6 points","Quintile 5","Main scheme applicant","Main scheme application","1635","705","0.432","0"
"2018","-6 points","Quintile 5","Main scheme applicant","Main scheme application","1825","875","0.481","0"
"2019","-6 points","Quintile 5","Main scheme applicant","Main scheme application","2420","1115","0.461","0"
"2020","-6 points","Quintile 5","Main scheme applicant","Main scheme application","515","200","0.394","0"
"2021","-6 points","Quintile 5","Main scheme applicant","Main scheme application","465","200","0.434","0"
"2022","-6 points","Quintile 5","Main scheme applicant","Main scheme application","1425","610","0.428","0"
"2023","-6 points","Quintile 5","Main scheme applicant","Main scheme application","2995","1390","0.464","0"
"2010","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","790","130","0.167","0"
"2011","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","705","120","0.171","0"
"2012","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","820","150","0.183","0"
"2013","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","755","155","0.20400000000000001","0"
"2014","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","985","235","0.23900000000000002","0"
"2015","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","1015","220","0.215","0"
"2016","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","1120","335","0.298","0"
"2017","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","1740","560","0.322","0"
"2018","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","2085","765","0.367","0"
"2019","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","2845","1025","0.36","0"
"2020","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","510","195","0.386","0"
"2021","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","440","120","0.272","0"
"2022","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","1865","475","0.253","0"
"2023","Less than -6 points","Quintile 5","Main scheme applicant","Main scheme application","3685","1090","0.295","0"
"2010","All","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","All","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","All","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2013","All","Quintile 1","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2014","All","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","All","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","All","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","All","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2018","All","Quintile 1","Not main scheme applicant","Not main scheme application","15","15","0.875","0"
"2019","All","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","All","Quintile 1","Not main scheme applicant","Not main scheme application","40","40","1","5"
"2021","All","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","All","Quintile 1","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","All","Quintile 1","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","5"
"2010","All","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","All","Quintile 2","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2012","All","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","All","Quintile 2","Not main scheme applicant","Not main scheme application","25","25","0.96","5"
"2014","All","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2015","All","Quintile 2","Not main scheme applicant","Not main scheme application","15","15","0.929","5"
"2016","All","Quintile 2","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2017","All","Quintile 2","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2018","All","Quintile 2","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","All","Quintile 2","Not main scheme applicant","Not main scheme application","15","15","0.929","5"
"2020","All","Quintile 2","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001","5"
"2021","All","Quintile 2","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2022","All","Quintile 2","Not main scheme applicant","Not main scheme application","20","15","0.895","5"
"2023","All","Quintile 2","Not main scheme applicant","Not main scheme application","20","15","0.8","0"
"2010","All","Quintile 3","Not main scheme applicant","Not main scheme application","10","5"," ","10"
"2011","All","Quintile 3","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2012","All","Quintile 3","Not main scheme applicant","Not main scheme application","20","15","0.81","10"
"2013","All","Quintile 3","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2014","All","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 3","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2016","All","Quintile 3","Not main scheme applicant","Not main scheme application","25","20","0.913","0"
"2017","All","Quintile 3","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","5"
"2018","All","Quintile 3","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","5"
"2019","All","Quintile 3","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","5"
"2020","All","Quintile 3","Not main scheme applicant","Not main scheme application","65","60","0.9390000000000001","5"
"2021","All","Quintile 3","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","10"
"2022","All","Quintile 3","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","All","Quintile 3","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2010","All","Quintile 4","Not main scheme applicant","Not main scheme application","15","10","0.846","5"
"2011","All","Quintile 4","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","15"
"2012","All","Quintile 4","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2013","All","Quintile 4","Not main scheme applicant","Not main scheme application","20","20","0.909","5"
"2014","All","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2015","All","Quintile 4","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2016","All","Quintile 4","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2017","All","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2018","All","Quintile 4","Not main scheme applicant","Not main scheme application","25","25","0.96","5"
"2019","All","Quintile 4","Not main scheme applicant","Not main scheme application","40","35","0.921","5"
"2020","All","Quintile 4","Not main scheme applicant","Not main scheme application","95","90","0.9580000000000001","25"
"2021","All","Quintile 4","Not main scheme applicant","Not main scheme application","30","30","0.935","5"
"2022","All","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","0.882","5"
"2023","All","Quintile 4","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001","5"
"2010","All","Quintile 5","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","All","Quintile 5","Not main scheme applicant","Not main scheme application","40","40","0.976","10"
"2012","All","Quintile 5","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2013","All","Quintile 5","Not main scheme applicant","Not main scheme application","30","30","0.967","5"
"2014","All","Quintile 5","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","10"
"2015","All","Quintile 5","Not main scheme applicant","Not main scheme application","30","30","0.969","5"
"2016","All","Quintile 5","Not main scheme applicant","Not main scheme application","25","25","0.923","5"
"2017","All","Quintile 5","Not main scheme applicant","Not main scheme application","35","30","0.848","5"
"2018","All","Quintile 5","Not main scheme applicant","Not main scheme application","45","45","0.9560000000000001","10"
"2019","All","Quintile 5","Not main scheme applicant","Not main scheme application","45","40","0.913","5"
"2020","All","Quintile 5","Not main scheme applicant","Not main scheme application","145","140","0.965","45"
"2021","All","Quintile 5","Not main scheme applicant","Not main scheme application","30","30","0.967","5"
"2022","All","Quintile 5","Not main scheme applicant","Not main scheme application","25","25","0.92","5"
"2023","All","Quintile 5","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","15"
"2010","All","Unknown","Main scheme applicant","Not main scheme application","30","25","0.857","0"
"2011","All","Unknown","Main scheme applicant","Not main scheme application","30","25","0.964","0"
"2012","All","Unknown","Main scheme applicant","Not main scheme application","35","30","0.882","0"
"2013","All","Unknown","Main scheme applicant","Not main scheme application","25","25","1","0"
"2014","All","Unknown","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2015","All","Unknown","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2016","All","Unknown","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2017","All","Unknown","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2018","All","Unknown","Main scheme applicant","Not main scheme application","20","20","1","0"
"2019","All","Unknown","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2020","All","Unknown","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2021","All","Unknown","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","All","Unknown","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","All","Unknown","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","All","Quintile 1","Main scheme applicant","Not main scheme application","1370","1205","0.879","0"
"2011","All","Quintile 1","Main scheme applicant","Not main scheme application","1755","1530","0.872","0"
"2012","All","Quintile 1","Main scheme applicant","Not main scheme application","1565","1415","0.905","0"
"2013","All","Quintile 1","Main scheme applicant","Not main scheme application","1505","1380","0.919","0"
"2014","All","Quintile 1","Main scheme applicant","Not main scheme application","1735","1610","0.927","0"
"2015","All","Quintile 1","Main scheme applicant","Not main scheme application","1805","1680","0.93","0"
"2016","All","Quintile 1","Main scheme applicant","Not main scheme application","1955","1815","0.926","0"
"2017","All","Quintile 1","Main scheme applicant","Not main scheme application","2140","2025","0.9460000000000001","0"
"2018","All","Quintile 1","Main scheme applicant","Not main scheme application","2060","1915","0.931","0"
"2019","All","Quintile 1","Main scheme applicant","Not main scheme application","2395","2280","0.9520000000000001","0"
"2020","All","Quintile 1","Main scheme applicant","Not main scheme application","2275","2170","0.9540000000000001","0"
"2021","All","Quintile 1","Main scheme applicant","Not main scheme application","1700","1580","0.929","0"
"2022","All","Quintile 1","Main scheme applicant","Not main scheme application","2505","2320","0.925","0"
"2023","All","Quintile 1","Main scheme applicant","Not main scheme application","2910","2705","0.929","0"
"2010","All","Quintile 2","Main scheme applicant","Not main scheme application","2395","2100","0.878","0"
"2011","All","Quintile 2","Main scheme applicant","Not main scheme application","2905","2560","0.882","0"
"2012","All","Quintile 2","Main scheme applicant","Not main scheme application","2645","2415","0.913","0"
"2013","All","Quintile 2","Main scheme applicant","Not main scheme application","2450","2255","0.919","0"
"2014","All","Quintile 2","Main scheme applicant","Not main scheme application","2780","2555","0.92","0"
"2015","All","Quintile 2","Main scheme applicant","Not main scheme application","2925","2710","0.927","0"
"2016","All","Quintile 2","Main scheme applicant","Not main scheme application","2945","2755","0.936","0"
"2017","All","Quintile 2","Main scheme applicant","Not main scheme application","3015","2830","0.9390000000000001","0"
"2018","All","Quintile 2","Main scheme applicant","Not main scheme application","3120","2955","0.9460000000000001","0"
"2019","All","Quintile 2","Main scheme applicant","Not main scheme application","3480","3280","0.9420000000000001","0"
"2020","All","Quintile 2","Main scheme applicant","Not main scheme application","3540","3395","0.9590000000000001","0"
"2021","All","Quintile 2","Main scheme applicant","Not main scheme application","2495","2340","0.937","0"
"2022","All","Quintile 2","Main scheme applicant","Not main scheme application","3560","3280","0.922","0"
"2023","All","Quintile 2","Main scheme applicant","Not main scheme application","4080","3775","0.926","0"
"2010","All","Quintile 3","Main scheme applicant","Not main scheme application","3425","3060","0.894","0"
"2011","All","Quintile 3","Main scheme applicant","Not main scheme application","3965","3520","0.887","0"
"2012","All","Quintile 3","Main scheme applicant","Not main scheme application","3670","3360","0.916","0"
"2013","All","Quintile 3","Main scheme applicant","Not main scheme application","3485","3210","0.921","0"
"2014","All","Quintile 3","Main scheme applicant","Not main scheme application","3770","3485","0.923","0"
"2015","All","Quintile 3","Main scheme applicant","Not main scheme application","3920","3665","0.935","0"
"2016","All","Quintile 3","Main scheme applicant","Not main scheme application","4270","3950","0.926","0"
"2017","All","Quintile 3","Main scheme applicant","Not main scheme application","4350","4095","0.9410000000000001","0"
"2018","All","Quintile 3","Main scheme applicant","Not main scheme application","4420","4180","0.9450000000000001","0"
"2019","All","Quintile 3","Main scheme applicant","Not main scheme application","4750","4485","0.9440000000000001","0"
"2020","All","Quintile 3","Main scheme applicant","Not main scheme application","5130","4875","0.9510000000000001","0"
"2021","All","Quintile 3","Main scheme applicant","Not main scheme application","3590","3335","0.929","0"
"2022","All","Quintile 3","Main scheme applicant","Not main scheme application","5055","4630","0.917","0"
"2023","All","Quintile 3","Main scheme applicant","Not main scheme application","5665","5260","0.928","0"
"2010","All","Quintile 4","Main scheme applicant","Not main scheme application","4585","4100","0.894","0"
"2011","All","Quintile 4","Main scheme applicant","Not main scheme application","5475","4900","0.895","0"
"2012","All","Quintile 4","Main scheme applicant","Not main scheme application","4995","4585","0.918","0"
"2013","All","Quintile 4","Main scheme applicant","Not main scheme application","4750","4385","0.924","0"
"2014","All","Quintile 4","Main scheme applicant","Not main scheme application","5330","4950","0.929","0"
"2015","All","Quintile 4","Main scheme applicant","Not main scheme application","5335","4990","0.935","0"
"2016","All","Quintile 4","Main scheme applicant","Not main scheme application","5600","5200","0.928","0"
"2017","All","Quintile 4","Main scheme applicant","Not main scheme application","6105","5705","0.934","0"
"2018","All","Quintile 4","Main scheme applicant","Not main scheme application","5980","5640","0.9430000000000001","0"
"2019","All","Quintile 4","Main scheme applicant","Not main scheme application","6665","6260","0.9390000000000001","0"
"2020","All","Quintile 4","Main scheme applicant","Not main scheme application","7230","6905","0.9550000000000001","0"
"2021","All","Quintile 4","Main scheme applicant","Not main scheme application","4685","4375","0.934","0"
"2022","All","Quintile 4","Main scheme applicant","Not main scheme application","6505","6015","0.924","0"
"2023","All","Quintile 4","Main scheme applicant","Not main scheme application","7430","6905","0.93","0"
"2010","All","Quintile 5","Main scheme applicant","Not main scheme application","6365","5720","0.899","0"
"2011","All","Quintile 5","Main scheme applicant","Not main scheme application","7780","7010","0.901","0"
"2012","All","Quintile 5","Main scheme applicant","Not main scheme application","7065","6550","0.927","0"
"2013","All","Quintile 5","Main scheme applicant","Not main scheme application","6770","6285","0.929","0"
"2014","All","Quintile 5","Main scheme applicant","Not main scheme application","7670","7100","0.926","0"
"2015","All","Quintile 5","Main scheme applicant","Not main scheme application","7770","7275","0.936","0"
"2016","All","Quintile 5","Main scheme applicant","Not main scheme application","8580","8005","0.933","0"
"2017","All","Quintile 5","Main scheme applicant","Not main scheme application","9000","8460","0.9400000000000001","0"
"2018","All","Quintile 5","Main scheme applicant","Not main scheme application","8615","8095","0.9400000000000001","0"
"2019","All","Quintile 5","Main scheme applicant","Not main scheme application","9845","9305","0.9450000000000001","0"
"2020","All","Quintile 5","Main scheme applicant","Not main scheme application","11140","10665","0.9570000000000001","0"
"2021","All","Quintile 5","Main scheme applicant","Not main scheme application","6570","6145","0.935","0"
"2022","All","Quintile 5","Main scheme applicant","Not main scheme application","9105","8325","0.915","0"
"2023","All","Quintile 5","Main scheme applicant","Not main scheme application","10500","9720","0.926","0"
"2010","All","Unknown","Main scheme applicant","Main scheme application","235","170","0.738","0"
"2011","All","Unknown","Main scheme applicant","Main scheme application","205","140","0.6880000000000001","0"
"2012","All","Unknown","Main scheme applicant","Main scheme application","200","130","0.653","0"
"2013","All","Unknown","Main scheme applicant","Main scheme application","165","120","0.742","0"
"2014","All","Unknown","Main scheme applicant","Main scheme application","170","115","0.6920000000000001","0"
"2015","All","Unknown","Main scheme applicant","Main scheme application","135","95","0.7010000000000001","0"
"2016","All","Unknown","Main scheme applicant","Main scheme application","140","95","0.6980000000000001","0"
"2017","All","Unknown","Main scheme applicant","Main scheme application","140","105","0.725","0"
"2018","All","Unknown","Main scheme applicant","Main scheme application","145","95","0.674","0"
"2019","All","Unknown","Main scheme applicant","Main scheme application","130","95","0.712","0"
"2020","All","Unknown","Main scheme applicant","Main scheme application","115","85","0.709","0"
"2021","All","Unknown","Main scheme applicant","Main scheme application","115","85","0.741","0"
"2022","All","Unknown","Main scheme applicant","Main scheme application","60","45","0.746","0"
"2023","All","Unknown","Main scheme applicant","Main scheme application","60","40","0.667","0"
"2010","All","Quintile 1","Main scheme applicant","Main scheme application","14900","10625","0.713","0"
"2011","All","Quintile 1","Main scheme applicant","Main scheme application","14865","10635","0.715","0"
"2012","All","Quintile 1","Main scheme applicant","Main scheme application","14140","10305","0.729","0"
"2013","All","Quintile 1","Main scheme applicant","Main scheme application","14185","10685","0.753","0"
"2014","All","Quintile 1","Main scheme applicant","Main scheme application","14355","10730","0.748","0"
"2015","All","Quintile 1","Main scheme applicant","Main scheme application","14970","11160","0.746","0"
"2016","All","Quintile 1","Main scheme applicant","Main scheme application","14925","11100","0.744","0"
"2017","All","Quintile 1","Main scheme applicant","Main scheme application","15655","11625","0.743","0"
"2018","All","Quintile 1","Main scheme applicant","Main scheme application","15060","11220","0.745","0"
"2019","All","Quintile 1","Main scheme applicant","Main scheme application","15190","11070","0.729","0"
"2020","All","Quintile 1","Main scheme applicant","Main scheme application","15150","11545","0.762","0"
