"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","25","20","0.8320000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","15","10","0.733"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","35","20","0.629"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","20","10","0.525"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","30","10","0.342"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","10","5"," "
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","10","10"," "
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Unknown","5","0"," "
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Unknown","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","15","15","0.967"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","10","5"," "
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","5","0"," "
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","20","10","0.5"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","20","15","0.75"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","20","10"," "
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","5","5"," "
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","5","0"," "
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","25","20","0.7000000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","15","15","1"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","45","30","0.66"
