"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Wales","21 - 24","England","Female","Main scheme applicant","Main scheme application","65","40","0.619"
"2023","Wales","21 - 24","England","Female","Main scheme applicant","Main scheme application","65","30","0.444"
"2019","England","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","England","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2021","England","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2023","England","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2019","Scotland","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Scotland","25 - 29","England","Female","Main scheme applicant","Main scheme application","15","10"," "
"2021","Scotland","25 - 29","England","Female","Main scheme applicant","Main scheme application","30","10","0.367"
"2022","Scotland","25 - 29","England","Female","Main scheme applicant","Main scheme application","20","5"," "
"2023","Scotland","25 - 29","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2022","Wales","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Wales","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2019","England","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","England","30 - 34","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","England","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Scotland","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2021","Scotland","30 - 34","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Scotland","30 - 34","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","England","35 and over","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2020","England","35 and over","England","Female","Main scheme applicant","Main scheme application","15","5"," "
"2021","England","35 and over","England","Female","Main scheme applicant","Main scheme application","10","10"," "
"2022","England","35 and over","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2023","England","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Scotland","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Scotland","35 and over","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2022","Scotland","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Scotland","18","Scotland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2021","Scotland","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","Scotland","18","Scotland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2023","Scotland","18","Scotland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2019","Scotland","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Scotland","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Scotland","19","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","Scotland","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Scotland","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Scotland","20","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","Scotland","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Scotland","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1145","615","0.54"
"2020","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1270","700","0.549"
"2021","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1580","675","0.429"
"2022","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1125","610","0.543"
