"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","60"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","50"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","65"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","100"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","105"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","75"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","100"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","175"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","200"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","175"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","170"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","150"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","190"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","190"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","180"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","170"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","205"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","405"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","455"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","365"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","350"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","375"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","320"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","365"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","240"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","230"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","275"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
