"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH11) computing","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","35"
"2020","(CAH11) computing","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH11) computing","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH11) computing","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH11) computing","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","65"
"2019","(CAH26) geography, earth and environmental studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH26) geography, earth and environmental studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH26) geography, earth and environmental studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH26) geography, earth and environmental studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH26) geography, earth and environmental studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH07) physical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH07) physical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH07) physical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH07) physical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH07) physical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH04) psychology","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH04) psychology","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH04) psychology","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH04) psychology","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH04) psychology","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","30"
"2019","(CAH09) mathematical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH09) mathematical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH09) mathematical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH09) mathematical sciences","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH22) education and teaching","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH22) education and teaching","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH22) education and teaching","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH22) education and teaching","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH22) education and teaching","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH06) agriculture, food and related studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH06) agriculture, food and related studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH06) agriculture, food and related studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH06) agriculture, food and related studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH06) agriculture, food and related studies","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH16) law","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH16) law","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH16) law","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH16) law","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH16) law","All","All","Long-term illness/health condition","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH25) design, and creative and performing arts","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","385"
"2020","(CAH25) design, and creative and performing arts","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","440"
"2021","(CAH25) design, and creative and performing arts","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","415"
"2022","(CAH25) design, and creative and performing arts","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","410"
"2023","(CAH25) design, and creative and performing arts","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","520"
"2019","(CAH10) engineering and technology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH10) engineering and technology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","80"
"2021","(CAH10) engineering and technology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","60"
"2022","(CAH10) engineering and technology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","80"
"2023","(CAH10) engineering and technology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","85"
"2019","(CAH02) subjects allied to medicine","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","205"
"2020","(CAH02) subjects allied to medicine","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","215"
"2021","(CAH02) subjects allied to medicine","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","185"
"2022","(CAH02) subjects allied to medicine","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","285"
"2023","(CAH02) subjects allied to medicine","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","475"
"2019","(CAH19) language and area studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","95"
"2020","(CAH19) language and area studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","125"
"2021","(CAH19) language and area studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","80"
"2022","(CAH19) language and area studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","90"
"2023","(CAH19) language and area studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","115"
"2019","(CAH24) media, journalism and communications","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","60"
"2020","(CAH24) media, journalism and communications","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","65"
"2021","(CAH24) media, journalism and communications","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH24) media, journalism and communications","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","65"
"2023","(CAH24) media, journalism and communications","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","85"
"2019","(CAH23) combined and general studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH23) combined and general studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH23) combined and general studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH23) combined and general studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH23) combined and general studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH17) business and management","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","235"
"2020","(CAH17) business and management","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","245"
"2021","(CAH17) business and management","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","215"
"2022","(CAH17) business and management","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","240"
"2023","(CAH17) business and management","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","355"
"2019","(CAH15) social sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","385"
"2020","(CAH15) social sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","365"
"2021","(CAH15) social sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","335"
"2022","(CAH15) social sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","365"
"2023","(CAH15) social sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","475"
"2019","(CAH03) biological and sport sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","95"
"2020","(CAH03) biological and sport sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","95"
"2021","(CAH03) biological and sport sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","90"
"2022","(CAH03) biological and sport sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","95"
"2023","(CAH03) biological and sport sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","125"
"2019","(CAH13) architecture, building and planning","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH13) architecture, building and planning","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH13) architecture, building and planning","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH13) architecture, building and planning","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH13) architecture, building and planning","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","80"
"2019","(CAH01) medicine and dentistry","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH01) medicine and dentistry","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH01) medicine and dentistry","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH01) medicine and dentistry","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH01) medicine and dentistry","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH20) historical, philosophical and religious studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH20) historical, philosophical and religious studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","60"
"2021","(CAH20) historical, philosophical and religious studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH20) historical, philosophical and religious studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH20) historical, philosophical and religious studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","75"
"2019","(CAH11) computing","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","145"
"2020","(CAH11) computing","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","160"
"2021","(CAH11) computing","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","125"
"2022","(CAH11) computing","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","150"
"2023","(CAH11) computing","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","225"
"2019","(CAH26) geography, earth and environmental studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH26) geography, earth and environmental studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH26) geography, earth and environmental studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH26) geography, earth and environmental studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH26) geography, earth and environmental studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH07) physical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","35"
"2020","(CAH07) physical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH07) physical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH07) physical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH07) physical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","45"
"2019","(CAH04) psychology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","180"
"2020","(CAH04) psychology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","165"
"2021","(CAH04) psychology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","150"
"2022","(CAH04) psychology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","170"
"2023","(CAH04) psychology","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","205"
"2019","(CAH09) mathematical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH09) mathematical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH09) mathematical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH09) mathematical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH09) mathematical sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH22) education and teaching","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","75"
"2020","(CAH22) education and teaching","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","75"
"2021","(CAH22) education and teaching","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","70"
"2022","(CAH22) education and teaching","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","95"
"2023","(CAH22) education and teaching","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","125"
"2019","(CAH06) agriculture, food and related studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH06) agriculture, food and related studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","85"
"2021","(CAH06) agriculture, food and related studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH06) agriculture, food and related studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH06) agriculture, food and related studies","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH16) law","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","95"
"2020","(CAH16) law","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","80"
"2021","(CAH16) law","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH16) law","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","85"
"2023","(CAH16) law","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","125"
"2020","(CAH05) veterinary sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH05) veterinary sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH05) veterinary sciences","All","All","Mental health condition/challenge/disorder","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH25) design, and creative and performing arts","All","All","Learning difference","Not main scheme applicant","Not main scheme application","340"
"2020","(CAH25) design, and creative and performing arts","All","All","Learning difference","Not main scheme applicant","Not main scheme application","375"
"2021","(CAH25) design, and creative and performing arts","All","All","Learning difference","Not main scheme applicant","Not main scheme application","305"
"2022","(CAH25) design, and creative and performing arts","All","All","Learning difference","Not main scheme applicant","Not main scheme application","400"
"2023","(CAH25) design, and creative and performing arts","All","All","Learning difference","Not main scheme applicant","Not main scheme application","380"
"2019","(CAH10) engineering and technology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","90"
"2020","(CAH10) engineering and technology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","115"
"2021","(CAH10) engineering and technology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","100"
"2022","(CAH10) engineering and technology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","130"
"2023","(CAH10) engineering and technology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","120"
"2019","(CAH02) subjects allied to medicine","All","All","Learning difference","Not main scheme applicant","Not main scheme application","225"
"2020","(CAH02) subjects allied to medicine","All","All","Learning difference","Not main scheme applicant","Not main scheme application","265"
"2021","(CAH02) subjects allied to medicine","All","All","Learning difference","Not main scheme applicant","Not main scheme application","175"
"2022","(CAH02) subjects allied to medicine","All","All","Learning difference","Not main scheme applicant","Not main scheme application","300"
"2023","(CAH02) subjects allied to medicine","All","All","Learning difference","Not main scheme applicant","Not main scheme application","410"
"2019","(CAH19) language and area studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","30"
"2020","(CAH19) language and area studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH19) language and area studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH19) language and area studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH19) language and area studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH24) media, journalism and communications","All","All","Learning difference","Not main scheme applicant","Not main scheme application","50"
"2020","(CAH24) media, journalism and communications","All","All","Learning difference","Not main scheme applicant","Not main scheme application","55"
"2021","(CAH24) media, journalism and communications","All","All","Learning difference","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH24) media, journalism and communications","All","All","Learning difference","Not main scheme applicant","Not main scheme application","60"
"2023","(CAH24) media, journalism and communications","All","All","Learning difference","Not main scheme applicant","Not main scheme application","50"
"2019","(CAH23) combined and general studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH23) combined and general studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH23) combined and general studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH23) combined and general studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH23) combined and general studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH17) business and management","All","All","Learning difference","Not main scheme applicant","Not main scheme application","260"
"2020","(CAH17) business and management","All","All","Learning difference","Not main scheme applicant","Not main scheme application","240"
"2021","(CAH17) business and management","All","All","Learning difference","Not main scheme applicant","Not main scheme application","160"
"2022","(CAH17) business and management","All","All","Learning difference","Not main scheme applicant","Not main scheme application","220"
"2023","(CAH17) business and management","All","All","Learning difference","Not main scheme applicant","Not main scheme application","320"
"2019","(CAH15) social sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","315"
"2020","(CAH15) social sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","285"
"2021","(CAH15) social sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","195"
"2022","(CAH15) social sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","285"
"2023","(CAH15) social sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","260"
"2019","(CAH03) biological and sport sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","110"
"2020","(CAH03) biological and sport sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","135"
"2021","(CAH03) biological and sport sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","100"
"2022","(CAH03) biological and sport sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","115"
"2023","(CAH03) biological and sport sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","135"
"2019","(CAH13) architecture, building and planning","All","All","Learning difference","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH13) architecture, building and planning","All","All","Learning difference","Not main scheme applicant","Not main scheme application","50"
"2021","(CAH13) architecture, building and planning","All","All","Learning difference","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH13) architecture, building and planning","All","All","Learning difference","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH13) architecture, building and planning","All","All","Learning difference","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH01) medicine and dentistry","All","All","Learning difference","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH01) medicine and dentistry","All","All","Learning difference","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH01) medicine and dentistry","All","All","Learning difference","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH01) medicine and dentistry","All","All","Learning difference","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH20) historical, philosophical and religious studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","30"
"2020","(CAH20) historical, philosophical and religious studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH20) historical, philosophical and religious studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH20) historical, philosophical and religious studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH20) historical, philosophical and religious studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH11) computing","All","All","Learning difference","Not main scheme applicant","Not main scheme application","110"
"2020","(CAH11) computing","All","All","Learning difference","Not main scheme applicant","Not main scheme application","135"
"2021","(CAH11) computing","All","All","Learning difference","Not main scheme applicant","Not main scheme application","125"
"2022","(CAH11) computing","All","All","Learning difference","Not main scheme applicant","Not main scheme application","160"
"2023","(CAH11) computing","All","All","Learning difference","Not main scheme applicant","Not main scheme application","180"
"2019","(CAH26) geography, earth and environmental studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH26) geography, earth and environmental studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH26) geography, earth and environmental studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH26) geography, earth and environmental studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH26) geography, earth and environmental studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH07) physical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH07) physical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH07) physical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH07) physical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH07) physical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH04) psychology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH04) psychology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","55"
"2021","(CAH04) psychology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","60"
"2022","(CAH04) psychology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","75"
"2023","(CAH04) psychology","All","All","Learning difference","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH09) mathematical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH09) mathematical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH09) mathematical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH09) mathematical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH09) mathematical sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH22) education and teaching","All","All","Learning difference","Not main scheme applicant","Not main scheme application","90"
"2020","(CAH22) education and teaching","All","All","Learning difference","Not main scheme applicant","Not main scheme application","80"
"2021","(CAH22) education and teaching","All","All","Learning difference","Not main scheme applicant","Not main scheme application","60"
"2022","(CAH22) education and teaching","All","All","Learning difference","Not main scheme applicant","Not main scheme application","110"
"2023","(CAH22) education and teaching","All","All","Learning difference","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH06) agriculture, food and related studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","50"
"2020","(CAH06) agriculture, food and related studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","75"
"2021","(CAH06) agriculture, food and related studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","60"
"2022","(CAH06) agriculture, food and related studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH06) agriculture, food and related studies","All","All","Learning difference","Not main scheme applicant","Not main scheme application","70"
"2019","(CAH16) law","All","All","Learning difference","Not main scheme applicant","Not main scheme application","50"
"2020","(CAH16) law","All","All","Learning difference","Not main scheme applicant","Not main scheme application","50"
"2021","(CAH16) law","All","All","Learning difference","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH16) law","All","All","Learning difference","Not main scheme applicant","Not main scheme application","70"
"2023","(CAH16) law","All","All","Learning difference","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH05) veterinary sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH05) veterinary sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH05) veterinary sciences","All","All","Learning difference","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH25) design, and creative and performing arts","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH25) design, and creative and performing arts","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH25) design, and creative and performing arts","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH25) design, and creative and performing arts","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH25) design, and creative and performing arts","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH10) engineering and technology","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH02) subjects allied to medicine","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH02) subjects allied to medicine","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH02) subjects allied to medicine","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH19) language and area studies","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH24) media, journalism and communications","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
