"Year","Predicted BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 point (PPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2018","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2020","2 points (MPP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2015","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","3 points (MMP)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2012","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2014","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2021","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2022","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 points (MMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2016","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","5 points (DMM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 points (DDM)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","10"
"2012","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2021","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","7 points (DDD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","8 points (D*DD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","8 points (D*DD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 points (D*DD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 points (D*DD)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 points (D*DD)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","9 points (D*D*D)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 points (D*D*D)","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2020","9 points (D*D*D)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","9 points (D*D*D)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","15","10","0.857","0"
"2021","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","10 points (D*D*D*)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","1 point (PPP)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 point (PPP)","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","3 points (MMP)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 points (MMM)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 points (DMM)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 points (DMM)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 point (PPP)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","2 points (MPP)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","3 points (MMP)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","3 points (MMP)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 points (DDD)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 points (DDD)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 points (DMM)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","White","Main scheme applicant","Not main scheme application","45","30","0.659","0"
"2011","1 point (PPP)","White","Main scheme applicant","Not main scheme application","35","25","0.657","0"
"2012","1 point (PPP)","White","Main scheme applicant","Not main scheme application","25","25","0.963","0"
"2013","1 point (PPP)","White","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2014","1 point (PPP)","White","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2015","1 point (PPP)","White","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2016","1 point (PPP)","White","Main scheme applicant","Not main scheme application","20","15","0.833","0"
"2017","1 point (PPP)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","1 point (PPP)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","1 point (PPP)","White","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2020","1 point (PPP)","White","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","1 point (PPP)","White","Main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2022","1 point (PPP)","White","Main scheme applicant","Not main scheme application","20","10","0.667","0"
"2023","1 point (PPP)","White","Main scheme applicant","Not main scheme application","20","15","0.762","0"
"2010","2 points (MPP)","White","Main scheme applicant","Not main scheme application","70","50","0.704","0"
"2011","2 points (MPP)","White","Main scheme applicant","Not main scheme application","45","30","0.744","0"
"2012","2 points (MPP)","White","Main scheme applicant","Not main scheme application","40","25","0.6920000000000001","0"
"2013","2 points (MPP)","White","Main scheme applicant","Not main scheme application","30","25","0.833","0"
"2014","2 points (MPP)","White","Main scheme applicant","Not main scheme application","40","30","0.842","0"
"2015","2 points (MPP)","White","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2016","2 points (MPP)","White","Main scheme applicant","Not main scheme application","30","25","0.8210000000000001","0"
"2017","2 points (MPP)","White","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2018","2 points (MPP)","White","Main scheme applicant","Not main scheme application","30","25","0.897","0"
"2019","2 points (MPP)","White","Main scheme applicant","Not main scheme application","20","15","0.842","0"
"2020","2 points (MPP)","White","Main scheme applicant","Not main scheme application","30","25","0.964","0"
"2021","2 points (MPP)","White","Main scheme applicant","Not main scheme application","25","20","0.87","0"
"2022","2 points (MPP)","White","Main scheme applicant","Not main scheme application","35","30","0.857","0"
"2023","2 points (MPP)","White","Main scheme applicant","Not main scheme application","30","25","0.862","0"
"2010","3 points (MMP)","White","Main scheme applicant","Not main scheme application","80","65","0.778","0"
"2011","3 points (MMP)","White","Main scheme applicant","Not main scheme application","70","45","0.662","0"
"2012","3 points (MMP)","White","Main scheme applicant","Not main scheme application","55","35","0.679","0"
"2013","3 points (MMP)","White","Main scheme applicant","Not main scheme application","55","45","0.836","0"
"2014","3 points (MMP)","White","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2015","3 points (MMP)","White","Main scheme applicant","Not main scheme application","40","35","0.833","0"
"2016","3 points (MMP)","White","Main scheme applicant","Not main scheme application","45","40","0.867","0"
"2017","3 points (MMP)","White","Main scheme applicant","Not main scheme application","25","15","0.615","0"
"2018","3 points (MMP)","White","Main scheme applicant","Not main scheme application","25","25","1","0"
"2019","3 points (MMP)","White","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2020","3 points (MMP)","White","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2021","3 points (MMP)","White","Main scheme applicant","Not main scheme application","30","30","0.906","0"
"2022","3 points (MMP)","White","Main scheme applicant","Not main scheme application","40","35","0.902","0"
"2023","3 points (MMP)","White","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2010","4 points (MMM)","White","Main scheme applicant","Not main scheme application","220","165","0.744","0"
"2011","4 points (MMM)","White","Main scheme applicant","Not main scheme application","220","155","0.707","0"
"2012","4 points (MMM)","White","Main scheme applicant","Not main scheme application","190","140","0.755","0"
"2013","4 points (MMM)","White","Main scheme applicant","Not main scheme application","165","130","0.783","0"
"2014","4 points (MMM)","White","Main scheme applicant","Not main scheme application","130","110","0.837","0"
"2015","4 points (MMM)","White","Main scheme applicant","Not main scheme application","135","110","0.836","0"
"2016","4 points (MMM)","White","Main scheme applicant","Not main scheme application","100","85","0.85","0"
"2017","4 points (MMM)","White","Main scheme applicant","Not main scheme application","65","50","0.81","0"
"2018","4 points (MMM)","White","Main scheme applicant","Not main scheme application","65","55","0.857","0"
"2019","4 points (MMM)","White","Main scheme applicant","Not main scheme application","60","50","0.862","0"
"2020","4 points (MMM)","White","Main scheme applicant","Not main scheme application","60","55","0.919","0"
"2021","4 points (MMM)","White","Main scheme applicant","Not main scheme application","70","60","0.912","0"
"2022","4 points (MMM)","White","Main scheme applicant","Not main scheme application","95","80","0.871","0"
"2023","4 points (MMM)","White","Main scheme applicant","Not main scheme application","70","65","0.931","0"
"2010","5 points (DMM)","White","Main scheme applicant","Not main scheme application","170","130","0.762","0"
"2011","5 points (DMM)","White","Main scheme applicant","Not main scheme application","250","190","0.767","0"
"2012","5 points (DMM)","White","Main scheme applicant","Not main scheme application","210","160","0.752","0"
"2013","5 points (DMM)","White","Main scheme applicant","Not main scheme application","180","145","0.808","0"
"2014","5 points (DMM)","White","Main scheme applicant","Not main scheme application","180","150","0.8190000000000001","0"
"2015","5 points (DMM)","White","Main scheme applicant","Not main scheme application","190","150","0.784","0"
"2016","5 points (DMM)","White","Main scheme applicant","Not main scheme application","140","120","0.857","0"
"2017","5 points (DMM)","White","Main scheme applicant","Not main scheme application","130","110","0.867","0"
"2018","5 points (DMM)","White","Main scheme applicant","Not main scheme application","90","80","0.89","0"
"2019","5 points (DMM)","White","Main scheme applicant","Not main scheme application","95","85","0.914","0"
"2020","5 points (DMM)","White","Main scheme applicant","Not main scheme application","90","85","0.924","0"
"2021","5 points (DMM)","White","Main scheme applicant","Not main scheme application","120","100","0.84","0"
"2022","5 points (DMM)","White","Main scheme applicant","Not main scheme application","130","105","0.8170000000000001","0"
"2023","5 points (DMM)","White","Main scheme applicant","Not main scheme application","125","115","0.906","0"
"2010","6 points (DDM)","White","Main scheme applicant","Not main scheme application","140","100","0.732","0"
"2011","6 points (DDM)","White","Main scheme applicant","Not main scheme application","240","170","0.713","0"
"2012","6 points (DDM)","White","Main scheme applicant","Not main scheme application","185","140","0.76","0"
"2013","6 points (DDM)","White","Main scheme applicant","Not main scheme application","170","135","0.799","0"
"2014","6 points (DDM)","White","Main scheme applicant","Not main scheme application","215","155","0.714","0"
"2015","6 points (DDM)","White","Main scheme applicant","Not main scheme application","210","160","0.769","0"
"2016","6 points (DDM)","White","Main scheme applicant","Not main scheme application","235","185","0.794","0"
"2017","6 points (DDM)","White","Main scheme applicant","Not main scheme application","150","120","0.804","0"
"2018","6 points (DDM)","White","Main scheme applicant","Not main scheme application","130","115","0.891","0"
"2019","6 points (DDM)","White","Main scheme applicant","Not main scheme application","95","85","0.874","0"
"2020","6 points (DDM)","White","Main scheme applicant","Not main scheme application","120","105","0.907","0"
"2021","6 points (DDM)","White","Main scheme applicant","Not main scheme application","165","145","0.878","0"
"2022","6 points (DDM)","White","Main scheme applicant","Not main scheme application","175","145","0.8240000000000001","0"
"2023","6 points (DDM)","White","Main scheme applicant","Not main scheme application","115","95","0.85","0"
"2010","7 points (DDD)","White","Main scheme applicant","Not main scheme application","225","155","0.6950000000000001","0"
"2011","7 points (DDD)","White","Main scheme applicant","Not main scheme application","335","240","0.713","0"
"2012","7 points (DDD)","White","Main scheme applicant","Not main scheme application","290","220","0.757","0"
"2013","7 points (DDD)","White","Main scheme applicant","Not main scheme application","250","175","0.708","0"
"2014","7 points (DDD)","White","Main scheme applicant","Not main scheme application","270","190","0.713","0"
"2015","7 points (DDD)","White","Main scheme applicant","Not main scheme application","275","205","0.749","0"
"2016","7 points (DDD)","White","Main scheme applicant","Not main scheme application","235","180","0.761","0"
"2017","7 points (DDD)","White","Main scheme applicant","Not main scheme application","160","130","0.8200000000000001","0"
"2018","7 points (DDD)","White","Main scheme applicant","Not main scheme application","165","150","0.91","0"
"2019","7 points (DDD)","White","Main scheme applicant","Not main scheme application","155","135","0.87","0"
"2020","7 points (DDD)","White","Main scheme applicant","Not main scheme application","150","130","0.872","0"
"2021","7 points (DDD)","White","Main scheme applicant","Not main scheme application","215","180","0.8200000000000001","0"
"2022","7 points (DDD)","White","Main scheme applicant","Not main scheme application","180","160","0.884","0"
"2023","7 points (DDD)","White","Main scheme applicant","Not main scheme application","165","145","0.886","0"
"2012","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2013","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2014","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","70","60","0.8310000000000001","0"
"2015","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","120","95","0.787","0"
"2016","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","115","95","0.803","0"
"2017","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","115","95","0.835","0"
"2018","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","95","85","0.903","0"
"2019","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","90","80","0.911","0"
"2020","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","75","65","0.88","0"
"2021","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","125","115","0.897","0"
"2022","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","120","100","0.803","0"
"2023","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","90","85","0.9440000000000001","0"
"2012","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","55","45","0.796","0"
"2013","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","40","30","0.795","0"
"2014","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","65","40","0.656","0"
"2015","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","90","75","0.8130000000000001","0"
"2016","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","125","95","0.768","0"
"2017","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","90","75","0.844","0"
"2018","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","85","70","0.835","0"
"2019","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","70","65","0.913","0"
"2020","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","75","70","0.896","0"
"2021","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","125","115","0.911","0"
"2022","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","125","105","0.854","0"
"2023","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","80","70","0.85","0"
"2013","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","125","95","0.758","0"
"2014","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","195","140","0.711","0"
"2015","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","275","215","0.779","0"
"2016","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","265","200","0.753","0"
"2017","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","260","215","0.833","0"
"2018","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","205","175","0.849","0"
"2019","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","165","140","0.86","0"
"2020","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","180","160","0.868","0"
"2021","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","225","195","0.872","0"
"2022","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","145","120","0.839","0"
"2023","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","85","75","0.885","0"
"2010","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2011","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","25","20","0.704","0"
"2012","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","15","10","0.714","0"
"2013","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","15","15","1","0"
"2016","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2017","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2018","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2022","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2023","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2010","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","15","10","0.625","0"
"2011","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","25","20","0.769","0"
"2012","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","25","25","1","0"
"2013","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2014","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","25","20","0.8","0"
"2015","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2016","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","15","15","1","0"
"2017","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2018","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","10","10","1","0"
"2019","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","10","10","1","0"
"2020","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2021","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","15","15","1","0"
"2022","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","45","40","0.9530000000000001","0"
"2023","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2010","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","30","20","0.714","0"
"2011","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","25","20","0.72","0"
"2012","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2013","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2014","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","25","25","0.885","0"
"2015","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","25","20","0.846","0"
"2016","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","25","25","0.926","0"
"2017","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2018","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2019","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2020","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","30","30","0.967","0"
"2022","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","40","35","0.881","0"
"2023","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","40","35","0.897","0"
"2010","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","40","25","0.684","0"
"2011","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","55","40","0.745","0"
"2012","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","50","40","0.765","0"
"2013","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","85","75","0.871","0"
"2014","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","55","50","0.842","0"
"2015","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","75","70","0.895","0"
"2016","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","60","55","0.902","0"
"2017","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","50","50","0.9410000000000001","0"
"2018","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","40","40","0.929","0"
"2019","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","40","35","0.925","0"
"2020","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","45","40","0.909","0"
"2021","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","55","50","0.963","0"
"2022","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","90","80","0.888","0"
"2023","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","80","75","0.936","0"
"2010","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2011","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","55","45","0.782","0"
"2012","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","70","55","0.764","0"
"2013","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","70","60","0.857","0"
"2014","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","75","65","0.892","0"
"2015","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","85","75","0.895","0"
"2016","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","75","60","0.8160000000000001","0"
"2017","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","65","55","0.873","0"
"2018","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","70","60","0.868","0"
"2019","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","65","60","0.892","0"
"2020","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","60","55","0.871","0"
"2021","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","85","80","0.929","0"
"2022","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","100","90","0.899","0"
