"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","International","EU (excluding UK)","France","25 - 29","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","International","EU (excluding UK)","France","25 - 29","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","International","EU (excluding UK)","France","25 - 29","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2020","International","EU (excluding UK)","Germany","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","EU (excluding UK)","Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","25","10"," ","0"
"2020","International","EU (excluding UK)","Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","45","15","0.356","0"
"2021","International","EU (excluding UK)","Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","25","5"," ","0"
"2022","International","EU (excluding UK)","Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","25","10"," ","0"
"2023","International","EU (excluding UK)","Ireland","25 - 29","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","International","EU (excluding UK)","Spain","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","EU (excluding UK)","Spain","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","Not EU","Canada","25 - 29","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","International","Not EU","Canada","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","Not EU","China","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","China","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","Not EU","China","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","Hong Kong","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","Not EU","United States of America","25 - 29","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","International","Not EU","United States of America","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","Not EU","United States of America","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","United States of America","25 - 29","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","Not EU","United States of America","25 - 29","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","UK","England","England","30 - 34","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","UK","England","England","30 - 34","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","UK","England","England","30 - 34","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","UK","England","England","30 - 34","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","UK","England","England","30 - 34","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","UK","Northern Ireland","Northern Ireland","30 - 34","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","UK","Northern Ireland","Northern Ireland","30 - 34","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Main scheme application","410","185","0.448","0"
"2020","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Main scheme application","435","235","0.543","0"
"2021","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Main scheme application","485","185","0.386","0"
"2022","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Main scheme application","310","170","0.549","0"
"2023","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Main scheme application","255","145","0.5710000000000001","0"
"2022","UK","Wales","Wales","30 - 34","Female","Main scheme applicant","Main scheme application","60","45","0.767","0"
"2023","UK","Wales","Wales","30 - 34","Female","Main scheme applicant","Main scheme application","55","35","0.632","0"
"2019","International","EU (excluding UK)","Ireland","30 - 34","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","International","EU (excluding UK)","Ireland","30 - 34","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","EU (excluding UK)","Ireland","30 - 34","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","EU (excluding UK)","Ireland","30 - 34","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","EU (excluding UK)","Italy","30 - 34","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","Not EU","India","30 - 34","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","Not EU","Nigeria","30 - 34","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","England","England","35 and over","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2020","UK","England","England","35 and over","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","UK","England","England","35 and over","Female","Main scheme applicant","Main scheme application","15","10","0.706","0"
"2022","UK","England","England","35 and over","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","UK","England","England","35 and over","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","UK","Northern Ireland","Northern Ireland","35 and over","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Main scheme application","760","325","0.426","0"
"2020","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Main scheme application","835","385","0.461","0"
"2021","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Main scheme application","875","335","0.382","0"
"2022","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Main scheme application","595","300","0.5","0"
"2023","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Main scheme application","515","275","0.538","0"
"2022","UK","Wales","Wales","35 and over","Female","Main scheme applicant","Main scheme application","90","50","0.533","0"
"2023","UK","Wales","Wales","35 and over","Female","Main scheme applicant","Main scheme application","65","40","0.621","0"
"2019","International","Not EU","China","35 and over","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","Not EU","Nigeria","35 and over","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
