"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","North East","45","35","0.8150000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","North East","35","20","0.626"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","North East","45","40","0.872"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","North East","40","35","0.916"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","North East","30","30","1.006"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","190","145","0.775"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","170","145","0.858"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","195","160","0.81"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","235","195","0.8300000000000001"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","150","110","0.748"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","355","290","0.8150000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","380","300","0.792"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","375","300","0.806"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","335","245","0.725"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","375","300","0.804"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","555","450","0.807"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","500","370","0.744"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","625","495","0.793"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","635","470","0.743"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","575","405","0.7010000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","535","440","0.8200000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","655","540","0.8270000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","575","465","0.811"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","545","435","0.796"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","560","440","0.788"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","North East","15","10","0.771"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","North East","10","5"," "
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","North East","5","5"," "
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","North East","10","10"," "
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","North East","10","10"," "
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","370","330","0.886"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","400","350","0.876"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","310","265","0.859"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","315","265","0.846"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","320","285","0.883"
"2021","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","North East","5","0"," "
"2022","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","North East","10","5"," "
"2023","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","North East","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","470","340","0.719"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","395","280","0.712"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","455","335","0.733"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","445","300","0.679"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","490","370","0.759"
"2021","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","North East","5","0"," "
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","1010","855","0.845"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","995","840","0.845"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","955","800","0.839"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","910","745","0.8180000000000001"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","1155","935","0.808"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","North East","20","20","0.875"
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","North East","25","20","0.84"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","North East","20","15","0.85"
"2022","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","North East","15","15","0.867"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","North East","15","15","0.933"
"2019","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","North East","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","North East","10","10","1"
"2021","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","North East","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-03-07) materials science","North East","25","15","0.593"
"2020","(CAH10) engineering and technology","(CAH10-03-07) materials science","North East","20","10"," "
"2021","(CAH10) engineering and technology","(CAH10-03-07) materials science","North East","10","5"," "
"2022","(CAH10) engineering and technology","(CAH10-03-07) materials science","North East","20","10"," "
"2023","(CAH10) engineering and technology","(CAH10-03-07) materials science","North East","15","10","0.8230000000000001"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","North East","105","75","0.714"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","North East","140","100","0.7000000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","North East","90","50","0.544"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","North East","130","75","0.5690000000000001"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","North East","120","75","0.642"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","North East","115","95","0.841"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","North East","105","90","0.835"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","North East","125","105","0.844"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","North East","120","80","0.647"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","North East","105","70","0.682"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","North East","265","105","0.404"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","North East","330","140","0.423"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","North East","305","135","0.438"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","North East","335","150","0.454"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","North East","250","120","0.47600000000000003"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","50","30","0.64"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","80","60","0.75"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","95","75","0.781"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","110","70","0.654"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","50","40","0.758"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","1405","470","0.333"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","1560","535","0.34400000000000003"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","1840","630","0.341"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","1590","475","0.299"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","1695","565","0.334"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","North East","170","125","0.724"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","North East","160","120","0.75"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","North East","165","120","0.729"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","North East","145","115","0.788"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","North East","110","70","0.644"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","North East","50","45","0.927"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","North East","55","50","0.9420000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","North East","55","55","1.006"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","North East","50","45","0.9500000000000001"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","North East","55","55","1.006"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","305","185","0.599"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","525","280","0.538"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","475","290","0.611"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","475","300","0.632"
