"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","North West","2845","2505","0.88"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","North West","2410","2125","0.882"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","North West","2300","2015","0.876"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","North West","2390","2125","0.888"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","North West","300","220","0.737"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","North West","285","225","0.788"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","North West","335","265","0.789"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","North West","365","270","0.742"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","North West","365","280","0.761"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","North West","2040","1620","0.793"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","North West","2070","1620","0.784"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","North West","2095","1695","0.809"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","North West","2065","1585","0.768"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","North West","1960","1560","0.795"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","North West","155","50","0.307"
"2020","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","North West","20","5"," "
"2021","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","North West","15","5"," "
"2022","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","North West","20","5"," "
"2023","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","North West","20","10"," "
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","North West","1735","1600","0.922"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","North West","1615","1465","0.907"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","North West","1770","1645","0.928"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","North West","1915","1755","0.918"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","North West","1920","1590","0.8280000000000001"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","North West","100","95","0.9430000000000001"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","North West","120","115","0.965"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","North West","110","110","0.98"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","North West","140","130","0.929"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","North West","100","90","0.902"
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","North West","415","370","0.896"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","North West","375","335","0.892"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","North West","385","355","0.916"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","North West","400","330","0.8290000000000001"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","North West","450","370","0.8180000000000001"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","North West","10785","9325","0.864"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","North West","10725","9175","0.855"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","North West","10290","8770","0.852"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","North West","11560","9260","0.801"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","North West","11335","9110","0.804"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","North West","125","115","0.902"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","North West","125","110","0.869"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","North West","140","115","0.8190000000000001"
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","North West","135","100","0.749"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","North West","90","60","0.6880000000000001"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","North West","3490","2925","0.838"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","North West","3525","2885","0.8180000000000001"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","North West","3575","2955","0.8270000000000001"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","North West","3540","2810","0.794"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","North West","3255","2600","0.798"
"2019","(CAH09) mathematical sciences","(CAH09-01-02) operational research","North West","20","15","0.807"
"2020","(CAH09) mathematical sciences","(CAH09-01-02) operational research","North West","30","20","0.683"
"2021","(CAH09) mathematical sciences","(CAH09-01-02) operational research","North West","15","15","0.888"
"2022","(CAH09) mathematical sciences","(CAH09-01-02) operational research","North West","20","15","0.806"
"2023","(CAH09) mathematical sciences","(CAH09-01-02) operational research","North West","25","25","0.9470000000000001"
"2019","(CAH09) mathematical sciences","(CAH09-01-03) statistics","North West","60","45","0.78"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","North West","90","65","0.727"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","North West","115","90","0.797"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","North West","145","100","0.6920000000000001"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","North West","130","75","0.589"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","North West","2350","2085","0.887"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","North West","2155","1880","0.872"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","North West","2415","2170","0.899"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","North West","2450","2150","0.877"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","North West","2345","2060","0.878"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","North West","4100","2100","0.512"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","North West","3955","2145","0.542"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","North West","4150","2645","0.638"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","North West","4290","2390","0.557"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","North West","3705","1985","0.535"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","North West","15","15","1.119"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","North West","10","10"," "
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","North West","15","15","0.975"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","North West","10","10"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","North West","10","10"," "
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","North West","50","40","0.8300000000000001"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","North West","75","60","0.807"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","North West","70","60","0.874"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","North West","70","60","0.872"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","North West","55","40","0.767"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","North West","365","310","0.856"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","North West","440","385","0.874"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","North West","470","425","0.9"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","North West","475","430","0.902"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","North West","410","360","0.883"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","North West","1005","920","0.916"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","North West","995","890","0.895"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","North West","1135","1020","0.898"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","North West","1100","995","0.906"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","North West","935","850","0.91"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","North West","20","20","0.9430000000000001"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","North West","55","50","0.893"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","North West","50","45","0.898"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","North West","35","35","0.93"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","North West","35","30","0.917"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","North West","25","25","0.902"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","North West","15","10","0.723"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","North West","20","20","0.914"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","North West","20","20","1.06"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","North West","15","15","0.897"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","North West","80","70","0.852"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","North West","65","55","0.8260000000000001"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","North West","70","65","0.922"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","North West","80","70","0.881"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","North West","40","30","0.805"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","North West","20","15","0.8240000000000001"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","North West","10","10"," "
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","North West","15","10","0.787"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","North West","15","15","0.867"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","North West","10","5"," "
"2019","(CAH16) law","(CAH16-01-01) law","North West","12245","10340","0.844"
"2020","(CAH16) law","(CAH16-01-01) law","North West","12970","11045","0.852"
"2021","(CAH16) law","(CAH16-01-01) law","North West","13305","11235","0.844"
"2022","(CAH16) law","(CAH16-01-01) law","North West","13915","10880","0.782"
"2023","(CAH16) law","(CAH16-01-01) law","North West","14825","11650","0.786"
"2019","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","North West","845","300","0.356"
"2020","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","North West","855","315","0.366"
"2021","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","North West","1015","315","0.312"
"2022","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","North West","955","225","0.23700000000000002"
"2023","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","North West","1020","275","0.268"
"2019","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","North West","465","230","0.492"
"2020","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","North West","405","200","0.492"
"2021","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","North West","480","255","0.532"
"2022","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","North West","425","210","0.489"
"2023","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","North West","320","195","0.602"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Yorkshire and The Humber","5245","3085","0.588"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Yorkshire and The Humber","5190","3225","0.621"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Yorkshire and The Humber","5405","3640","0.673"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Yorkshire and The Humber","5745","3520","0.613"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Yorkshire and The Humber","5805","3750","0.646"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Yorkshire and The Humber","2325","1405","0.605"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Yorkshire and The Humber","2435","1485","0.611"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Yorkshire and The Humber","2840","1730","0.609"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Yorkshire and The Humber","2685","1530","0.5690000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Yorkshire and The Humber","2965","1645","0.556"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Yorkshire and The Humber","2810","1790","0.637"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Yorkshire and The Humber","2700","1835","0.68"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Yorkshire and The Humber","2560","1910","0.747"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Yorkshire and The Humber","3080","2050","0.665"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Yorkshire and The Humber","2865","1935","0.675"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Yorkshire and The Humber","1455","825","0.5670000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Yorkshire and The Humber","1430","825","0.577"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Yorkshire and The Humber","1440","910","0.631"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Yorkshire and The Humber","1520","770","0.506"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Yorkshire and The Humber","1465","830","0.5660000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Yorkshire and The Humber","2325","970","0.417"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Yorkshire and The Humber","2215","990","0.446"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Yorkshire and The Humber","2165","980","0.452"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Yorkshire and The Humber","2220","975","0.438"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Yorkshire and The Humber","2090","880","0.421"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Yorkshire and The Humber","350","145","0.41600000000000004"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Yorkshire and The Humber","415","155","0.369"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Yorkshire and The Humber","585","260","0.441"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Yorkshire and The Humber","540","210","0.393"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Yorkshire and The Humber","560","215","0.387"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Yorkshire and The Humber","330","120","0.359"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Yorkshire and The Humber","265","105","0.389"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Yorkshire and The Humber","160","100","0.625"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Yorkshire and The Humber","180","100","0.5660000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Yorkshire and The Humber","125","70","0.5670000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Yorkshire and The Humber","300","205","0.6880000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Yorkshire and The Humber","275","195","0.715"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Yorkshire and The Humber","200","155","0.77"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Yorkshire and The Humber","265","185","0.6910000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Yorkshire and The Humber","190","130","0.6940000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Yorkshire and The Humber","75","45","0.6"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Yorkshire and The Humber","75","40","0.54"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Yorkshire and The Humber","110","65","0.607"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Yorkshire and The Humber","140","75","0.52"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Yorkshire and The Humber","125","60","0.466"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Yorkshire and The Humber","330","285","0.869"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Yorkshire and The Humber","360","310","0.868"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Yorkshire and The Humber","305","275","0.903"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Yorkshire and The Humber","375","315","0.838"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Yorkshire and The Humber","420","355","0.845"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Yorkshire and The Humber","55","45","0.8190000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Yorkshire and The Humber","35","25","0.771"
"2021","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Yorkshire and The Humber","40","30","0.806"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Yorkshire and The Humber","30","20","0.721"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Yorkshire and The Humber","35","30","0.8290000000000001"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Yorkshire and The Humber","180","150","0.844"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Yorkshire and The Humber","220","185","0.838"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Yorkshire and The Humber","215","175","0.8130000000000001"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Yorkshire and The Humber","200","180","0.888"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Yorkshire and The Humber","195","170","0.884"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Yorkshire and The Humber","560","475","0.848"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Yorkshire and The Humber","520","415","0.8"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Yorkshire and The Humber","655","525","0.802"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Yorkshire and The Humber","650","510","0.787"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Yorkshire and The Humber","645","500","0.777"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Yorkshire and The Humber","1060","840","0.79"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Yorkshire and The Humber","1060","830","0.782"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Yorkshire and The Humber","1085","845","0.777"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Yorkshire and The Humber","1040","810","0.777"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Yorkshire and The Humber","1250","955","0.764"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Yorkshire and The Humber","915","675","0.738"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Yorkshire and The Humber","895","640","0.713"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Yorkshire and The Humber","955","670","0.7010000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Yorkshire and The Humber","940","640","0.682"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Yorkshire and The Humber","1000","695","0.6950000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Yorkshire and The Humber","1120","905","0.806"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Yorkshire and The Humber","1175","925","0.788"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Yorkshire and The Humber","1290","980","0.761"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Yorkshire and The Humber","1145","880","0.769"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Yorkshire and The Humber","1095","870","0.793"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Yorkshire and The Humber","40","35","0.881"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Yorkshire and The Humber","45","35","0.733"
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Yorkshire and The Humber","30","25","0.801"
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Yorkshire and The Humber","50","30","0.636"
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Yorkshire and The Humber","30","25","0.785"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Yorkshire and The Humber","815","660","0.811"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Yorkshire and The Humber","800","650","0.8140000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Yorkshire and The Humber","645","525","0.8140000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Yorkshire and The Humber","615","485","0.789"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Yorkshire and The Humber","930","810","0.871"
"2019","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","Yorkshire and The Humber","20","20","0.9500000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","Yorkshire and The Humber","25","15","0.643"
"2021","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","Yorkshire and The Humber","15","10","0.6970000000000001"
"2022","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","Yorkshire and The Humber","30","25","0.801"
"2023","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","Yorkshire and The Humber","50","40","0.75"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Yorkshire and The Humber","815","580","0.71"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Yorkshire and The Humber","780","585","0.747"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Yorkshire and The Humber","885","645","0.728"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Yorkshire and The Humber","890","660","0.744"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Yorkshire and The Humber","875","665","0.761"
"2019","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","Yorkshire and The Humber","5","5"," "
"2021","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","Yorkshire and The Humber","5","5"," "
"2022","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","Yorkshire and The Humber","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Yorkshire and The Humber","1860","1575","0.846"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Yorkshire and The Humber","1970","1610","0.8170000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Yorkshire and The Humber","2205","1805","0.8190000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Yorkshire and The Humber","2145","1700","0.793"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Yorkshire and The Humber","2170","1730","0.798"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","Yorkshire and The Humber","10","10"," "
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","Yorkshire and The Humber","15","10","0.733"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","Yorkshire and The Humber","10","10"," "
"2022","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","Yorkshire and The Humber","15","10","0.7000000000000001"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","Yorkshire and The Humber","15","10","0.723"
"2019","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","Yorkshire and The Humber","10","10"," "
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","Yorkshire and The Humber","15","10","0.747"
"2022","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","Yorkshire and The Humber","10","10"," "
"2023","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","Yorkshire and The Humber","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-03-07) materials science","Yorkshire and The Humber","60","35","0.5730000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-07) materials science","Yorkshire and The Humber","55","35","0.658"
"2021","(CAH10) engineering and technology","(CAH10-03-07) materials science","Yorkshire and The Humber","60","35","0.5730000000000001"
"2022","(CAH10) engineering and technology","(CAH10-03-07) materials science","Yorkshire and The Humber","50","30","0.62"
"2023","(CAH10) engineering and technology","(CAH10-03-07) materials science","Yorkshire and The Humber","40","25","0.641"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Yorkshire and The Humber","1110","555","0.5"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Yorkshire and The Humber","1175","605","0.514"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Yorkshire and The Humber","1040","620","0.594"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Yorkshire and The Humber","1195","585","0.49"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Yorkshire and The Humber","1135","595","0.524"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Yorkshire and The Humber","275","180","0.661"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Yorkshire and The Humber","325","240","0.744"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Yorkshire and The Humber","320","225","0.7000000000000001"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Yorkshire and The Humber","325","190","0.59"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Yorkshire and The Humber","280","180","0.636"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Yorkshire and The Humber","1290","355","0.277"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Yorkshire and The Humber","1225","410","0.333"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Yorkshire and The Humber","1470","410","0.279"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Yorkshire and The Humber","1505","370","0.244"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Yorkshire and The Humber","1445","425","0.295"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Yorkshire and The Humber","100","70","0.684"
