"Year","Predicted SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","13 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","14 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","16 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","17 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","20 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","13 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","14 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","15 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","16 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","17 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","17 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","17 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","18 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","18 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","18 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","19 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","20 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","20 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","9 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2014","9 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2013","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2015","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2016","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","10 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","10","0.611","0"
"2011","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","5"," ","0"
"2013","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2014","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2016","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","11 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","10"," ","0"
"2011","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2012","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","10"," ","0"
"2013","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2014","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","5"," ","0"
"2015","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2016","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2017","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","12 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2010","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","10","0.444","0"
"2011","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","10","0.435","0"
"2012","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","10","0.294","0"
"2013","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","10"," ","0"
"2014","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","15","0.394","0"
"2015","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
"2016","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10"," ","0"
"2017","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2020","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","10","0.579","0"
"2022","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2023","13 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2010","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","10","0.455","0"
"2011","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","10","0.417","0"
"2012","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","10","0.387","0"
"2013","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","15","0.35100000000000003","0"
"2014","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","40","20","0.452","0"
"2015","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","40","10","0.316","0"
"2016","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","10","0.44","0"
"2017","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","10","0.48","0"
"2018","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.517","0"
"2019","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2020","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","20","0.667","0"
"2021","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10"," ","0"
"2022","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","14 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10","0.625","0"
"2010","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","10","0.41400000000000003","0"
"2011","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.5","0"
"2012","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","45","20","0.447","0"
"2013","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","25","0.676","0"
"2014","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","45","20","0.404","0"
"2015","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","45","25","0.578","0"
"2016","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","15","0.654","0"
"2017","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.484","0"
"2018","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","20","0.583","0"
"2019","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","20","0.5630000000000001","0"
"2020","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","10","0.526","0"
"2021","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","15","0.739","0"
"2022","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","15 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","10","0.632","0"
"2010","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.682","0"
"2011","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","15","0.519","0"
"2012","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","20","0.667","0"
"2013","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.81","0"
"2014","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","20","0.543","0"
"2015","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","10","0.28600000000000003","0"
"2016","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.46900000000000003","0"
"2017","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","20","0.528","0"
"2018","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.586","0"
"2019","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.607","0"
