"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2015","Not deferred","19","Northern Ireland","Female","7650","4855","0.635"
"2016","Not deferred","19","Northern Ireland","Female","9090","5910","0.65"
"2017","Not deferred","19","Northern Ireland","Female","8560","5575","0.651"
"2018","Not deferred","19","Northern Ireland","Female","7875","5275","0.67"
"2019","Not deferred","19","Northern Ireland","Female","8200","5585","0.681"
"2020","Not deferred","19","Northern Ireland","Female","7355","5080","0.6910000000000001"
"2021","Not deferred","19","Northern Ireland","Female","6910","4260","0.616"
"2022","Not deferred","19","Northern Ireland","Female","6240","3660","0.587"
"2023","Not deferred","19","Northern Ireland","Female","6055","3815","0.63"
"2006","Deferred","19","Northern Ireland","Female","70","55","0.771"
"2007","Deferred","19","Northern Ireland","Female","100","80","0.8200000000000001"
"2008","Deferred","19","Northern Ireland","Female","80","50","0.637"
"2009","Deferred","19","Northern Ireland","Female","75","60","0.8130000000000001"
"2010","Deferred","19","Northern Ireland","Female","100","60","0.6"
"2011","Deferred","19","Northern Ireland","Female","60","30","0.483"
"2012","Deferred","19","Northern Ireland","Female","60","20","0.35000000000000003"
"2013","Deferred","19","Northern Ireland","Female","60","45","0.75"
"2014","Deferred","19","Northern Ireland","Female","75","55","0.707"
"2015","Deferred","19","Northern Ireland","Female","80","45","0.588"
"2016","Deferred","19","Northern Ireland","Female","60","45","0.75"
"2017","Deferred","19","Northern Ireland","Female","105","70","0.667"
"2018","Deferred","19","Northern Ireland","Female","115","70","0.6"
"2019","Deferred","19","Northern Ireland","Female","80","60","0.738"
"2020","Deferred","19","Northern Ireland","Female","65","50","0.738"
"2021","Deferred","19","Northern Ireland","Female","65","50","0.769"
"2022","Deferred","19","Northern Ireland","Female","55","35","0.655"
"2023","Deferred","19","Northern Ireland","Female","55","35","0.673"
"2006","Not deferred","20","Northern Ireland","Female","1950","1005","0.514"
"2007","Not deferred","20","Northern Ireland","Female","2075","1170","0.5640000000000001"
"2008","Not deferred","20","Northern Ireland","Female","2000","1190","0.596"
"2009","Not deferred","20","Northern Ireland","Female","2045","1195","0.584"
"2010","Not deferred","20","Northern Ireland","Female","2375","1240","0.521"
"2011","Not deferred","20","Northern Ireland","Female","2735","1280","0.468"
"2012","Not deferred","20","Northern Ireland","Female","2890","1425","0.493"
"2013","Not deferred","20","Northern Ireland","Female","2955","1495","0.506"
"2014","Not deferred","20","Northern Ireland","Female","3580","1935","0.541"
"2015","Not deferred","20","Northern Ireland","Female","3165","1700","0.537"
"2016","Not deferred","20","Northern Ireland","Female","3145","1720","0.546"
"2017","Not deferred","20","Northern Ireland","Female","3315","1895","0.5720000000000001"
"2018","Not deferred","20","Northern Ireland","Female","3410","2110","0.619"
"2019","Not deferred","20","Northern Ireland","Female","3140","1955","0.622"
"2020","Not deferred","20","Northern Ireland","Female","2845","1755","0.617"
"2021","Not deferred","20","Northern Ireland","Female","2825","1710","0.606"
"2022","Not deferred","20","Northern Ireland","Female","2440","1345","0.551"
"2023","Not deferred","20","Northern Ireland","Female","2170","1250","0.5750000000000001"
"2006","Deferred","20","Northern Ireland","Female","30","20","0.633"
"2007","Deferred","20","Northern Ireland","Female","25","10","0.4"
"2008","Deferred","20","Northern Ireland","Female","30","15","0.5670000000000001"
"2009","Deferred","20","Northern Ireland","Female","15","10","0.733"
"2010","Deferred","20","Northern Ireland","Female","35","15","0.486"
"2011","Deferred","20","Northern Ireland","Female","30","5"," "
"2012","Deferred","20","Northern Ireland","Female","15","10","0.667"
"2013","Deferred","20","Northern Ireland","Female","30","20","0.733"
"2014","Deferred","20","Northern Ireland","Female","30","20","0.733"
"2015","Deferred","20","Northern Ireland","Female","35","15","0.429"
"2016","Deferred","20","Northern Ireland","Female","30","10","0.333"
"2017","Deferred","20","Northern Ireland","Female","50","25","0.5"
"2018","Deferred","20","Northern Ireland","Female","55","40","0.709"
"2019","Deferred","20","Northern Ireland","Female","35","15","0.486"
"2020","Deferred","20","Northern Ireland","Female","45","30","0.622"
"2021","Deferred","20","Northern Ireland","Female","35","25","0.657"
"2022","Deferred","20","Northern Ireland","Female","35","15","0.486"
"2023","Deferred","20","Northern Ireland","Female","30","20","0.6"
"2006","Not deferred","21 - 24","Northern Ireland","Female","3205","1340","0.417"
"2007","Not deferred","21 - 24","Northern Ireland","Female","3515","1595","0.454"
"2008","Not deferred","21 - 24","Northern Ireland","Female","3010","1525","0.507"
"2009","Not deferred","21 - 24","Northern Ireland","Female","3025","1475","0.488"
"2010","Not deferred","21 - 24","Northern Ireland","Female","3960","1725","0.436"
"2011","Not deferred","21 - 24","Northern Ireland","Female","4405","1605","0.365"
"2012","Not deferred","21 - 24","Northern Ireland","Female","3875","1605","0.41500000000000004"
"2013","Not deferred","21 - 24","Northern Ireland","Female","4965","1955","0.394"
"2014","Not deferred","21 - 24","Northern Ireland","Female","4905","1930","0.393"
"2015","Not deferred","21 - 24","Northern Ireland","Female","5065","2040","0.402"
"2016","Not deferred","21 - 24","Northern Ireland","Female","4970","2060","0.41500000000000004"
"2017","Not deferred","21 - 24","Northern Ireland","Female","4310","1975","0.458"
"2018","Not deferred","21 - 24","Northern Ireland","Female","4100","1930","0.47100000000000003"
"2019","Not deferred","21 - 24","Northern Ireland","Female","3920","1970","0.502"
"2020","Not deferred","21 - 24","Northern Ireland","Female","3595","1925","0.536"
"2021","Not deferred","21 - 24","Northern Ireland","Female","4380","1995","0.456"
"2022","Not deferred","21 - 24","Northern Ireland","Female","3580","1700","0.47500000000000003"
"2023","Not deferred","21 - 24","Northern Ireland","Female","3165","1480","0.467"
"2006","Deferred","21 - 24","Northern Ireland","Female","20","15","0.8"
"2007","Deferred","21 - 24","Northern Ireland","Female","30","15","0.533"
"2008","Deferred","21 - 24","Northern Ireland","Female","60","35","0.6"
"2009","Deferred","21 - 24","Northern Ireland","Female","40","30","0.725"
"2010","Deferred","21 - 24","Northern Ireland","Female","85","35","0.435"
"2011","Deferred","21 - 24","Northern Ireland","Female","95","25","0.242"
"2012","Deferred","21 - 24","Northern Ireland","Female","55","20","0.382"
"2013","Deferred","21 - 24","Northern Ireland","Female","75","30","0.373"
"2014","Deferred","21 - 24","Northern Ireland","Female","80","25","0.338"
"2015","Deferred","21 - 24","Northern Ireland","Female","90","35","0.389"
"2016","Deferred","21 - 24","Northern Ireland","Female","90","35","0.378"
"2017","Deferred","21 - 24","Northern Ireland","Female","85","25","0.28200000000000003"
"2018","Deferred","21 - 24","Northern Ireland","Female","70","30","0.457"
"2019","Deferred","21 - 24","Northern Ireland","Female","75","50","0.667"
"2020","Deferred","21 - 24","Northern Ireland","Female","75","55","0.72"
"2021","Deferred","21 - 24","Northern Ireland","Female","50","25","0.54"
"2022","Deferred","21 - 24","Northern Ireland","Female","65","20","0.292"
"2023","Deferred","21 - 24","Northern Ireland","Female","55","35","0.618"
"2006","Not deferred","25 - 29","Northern Ireland","Female","1205","460","0.381"
"2007","Not deferred","25 - 29","Northern Ireland","Female","1320","625","0.47500000000000003"
"2008","Not deferred","25 - 29","Northern Ireland","Female","975","500","0.512"
"2009","Not deferred","25 - 29","Northern Ireland","Female","1030","500","0.483"
"2010","Not deferred","25 - 29","Northern Ireland","Female","1500","650","0.433"
"2011","Not deferred","25 - 29","Northern Ireland","Female","1670","625","0.373"
"2012","Not deferred","25 - 29","Northern Ireland","Female","1420","580","0.40700000000000003"
"2013","Not deferred","25 - 29","Northern Ireland","Female","1920","700","0.365"
"2014","Not deferred","25 - 29","Northern Ireland","Female","1995","650","0.326"
"2015","Not deferred","25 - 29","Northern Ireland","Female","1980","705","0.356"
"2016","Not deferred","25 - 29","Northern Ireland","Female","1940","715","0.368"
"2017","Not deferred","25 - 29","Northern Ireland","Female","1635","630","0.385"
"2018","Not deferred","25 - 29","Northern Ireland","Female","1605","675","0.419"
"2019","Not deferred","25 - 29","Northern Ireland","Female","1395","590","0.424"
"2020","Not deferred","25 - 29","Northern Ireland","Female","1405","660","0.46900000000000003"
"2021","Not deferred","25 - 29","Northern Ireland","Female","1760","625","0.356"
"2022","Not deferred","25 - 29","Northern Ireland","Female","1290","535","0.41500000000000004"
"2023","Not deferred","25 - 29","Northern Ireland","Female","1075","480","0.447"
"2006","Deferred","25 - 29","Northern Ireland","Female","25","15","0.56"
"2007","Deferred","25 - 29","Northern Ireland","Female","15","10","0.733"
"2008","Deferred","25 - 29","Northern Ireland","Female","15","10"," "
"2009","Deferred","25 - 29","Northern Ireland","Female","40","20","0.47500000000000003"
"2010","Deferred","25 - 29","Northern Ireland","Female","55","15","0.291"
"2011","Deferred","25 - 29","Northern Ireland","Female","45","10","0.267"
"2012","Deferred","25 - 29","Northern Ireland","Female","40","25","0.65"
"2013","Deferred","25 - 29","Northern Ireland","Female","50","15","0.34"
"2014","Deferred","25 - 29","Northern Ireland","Female","70","25","0.357"
"2015","Deferred","25 - 29","Northern Ireland","Female","35","15","0.371"
"2016","Deferred","25 - 29","Northern Ireland","Female","40","10","0.275"
"2017","Deferred","25 - 29","Northern Ireland","Female","60","25","0.383"
"2018","Deferred","25 - 29","Northern Ireland","Female","30","20","0.6"
"2019","Deferred","25 - 29","Northern Ireland","Female","30","15","0.5"
"2020","Deferred","25 - 29","Northern Ireland","Female","30","20","0.733"
"2021","Deferred","25 - 29","Northern Ireland","Female","35","20","0.543"
"2022","Deferred","25 - 29","Northern Ireland","Female","40","15","0.425"
"2023","Deferred","25 - 29","Northern Ireland","Female","40","25","0.5750000000000001"
"2006","Not deferred","30 - 34","Northern Ireland","Female","690","325","0.47000000000000003"
"2007","Not deferred","30 - 34","Northern Ireland","Female","480","245","0.513"
"2008","Not deferred","30 - 34","Northern Ireland","Female","410","240","0.59"
"2009","Not deferred","30 - 34","Northern Ireland","Female","455","250","0.547"
"2010","Not deferred","30 - 34","Northern Ireland","Female","535","270","0.503"
"2011","Not deferred","30 - 34","Northern Ireland","Female","600","250","0.41500000000000004"
"2012","Not deferred","30 - 34","Northern Ireland","Female","555","255","0.456"
"2013","Not deferred","30 - 34","Northern Ireland","Female","730","265","0.363"
"2014","Not deferred","30 - 34","Northern Ireland","Female","820","305","0.374"
"2015","Not deferred","30 - 34","Northern Ireland","Female","850","345","0.405"
"2016","Not deferred","30 - 34","Northern Ireland","Female","855","345","0.405"
"2017","Not deferred","30 - 34","Northern Ireland","Female","810","360","0.444"
"2018","Not deferred","30 - 34","Northern Ireland","Female","740","305","0.41100000000000003"
"2019","Not deferred","30 - 34","Northern Ireland","Female","850","360","0.424"
"2020","Not deferred","30 - 34","Northern Ireland","Female","745","310","0.417"
"2021","Not deferred","30 - 34","Northern Ireland","Female","855","330","0.386"
"2022","Not deferred","30 - 34","Northern Ireland","Female","810","335","0.41100000000000003"
"2023","Not deferred","30 - 34","Northern Ireland","Female","640","265","0.41200000000000003"
"2006","Deferred","30 - 34","Northern Ireland","Female","10","5"," "
"2007","Deferred","30 - 34","Northern Ireland","Female","15","15","0.867"
"2008","Deferred","30 - 34","Northern Ireland","Female","10","10"," "
"2009","Deferred","30 - 34","Northern Ireland","Female","10","5"," "
"2010","Deferred","30 - 34","Northern Ireland","Female","20","15","0.65"
"2011","Deferred","30 - 34","Northern Ireland","Female","20","10","0.5"
"2012","Deferred","30 - 34","Northern Ireland","Female","10","5"," "
"2013","Deferred","30 - 34","Northern Ireland","Female","15","5"," "
"2014","Deferred","30 - 34","Northern Ireland","Female","20","10"," "
"2015","Deferred","30 - 34","Northern Ireland","Female","35","15","0.429"
"2016","Deferred","30 - 34","Northern Ireland","Female","25","10","0.4"
"2017","Deferred","30 - 34","Northern Ireland","Female","35","15","0.429"
"2018","Deferred","30 - 34","Northern Ireland","Female","15","10","0.733"
"2019","Deferred","30 - 34","Northern Ireland","Female","20","10","0.5"
"2020","Deferred","30 - 34","Northern Ireland","Female","25","15","0.52"
"2021","Deferred","30 - 34","Northern Ireland","Female","35","20","0.6"
"2022","Deferred","30 - 34","Northern Ireland","Female","15","5"," "
"2023","Deferred","30 - 34","Northern Ireland","Female","15","10"," "
"2006","Not deferred","35 and over","Northern Ireland","Female","820","410","0.502"
"2007","Not deferred","35 and over","Northern Ireland","Female","765","450","0.587"
"2008","Not deferred","35 and over","Northern Ireland","Female","755","470","0.62"
"2009","Not deferred","35 and over","Northern Ireland","Female","575","310","0.543"
"2010","Not deferred","35 and over","Northern Ireland","Female","775","410","0.53"
"2011","Not deferred","35 and over","Northern Ireland","Female","830","400","0.482"
"2012","Not deferred","35 and over","Northern Ireland","Female","590","305","0.519"
"2013","Not deferred","35 and over","Northern Ireland","Female","890","355","0.397"
"2014","Not deferred","35 and over","Northern Ireland","Female","940","475","0.503"
"2015","Not deferred","35 and over","Northern Ireland","Female","940","395","0.419"
"2016","Not deferred","35 and over","Northern Ireland","Female","1010","430","0.428"
"2017","Not deferred","35 and over","Northern Ireland","Female","970","405","0.41600000000000004"
"2018","Not deferred","35 and over","Northern Ireland","Female","905","435","0.483"
"2019","Not deferred","35 and over","Northern Ireland","Female","1015","495","0.486"
"2020","Not deferred","35 and over","Northern Ireland","Female","935","490","0.522"
"2021","Not deferred","35 and over","Northern Ireland","Female","1175","435","0.37"
"2022","Not deferred","35 and over","Northern Ireland","Female","975","390","0.401"
"2023","Not deferred","35 and over","Northern Ireland","Female","915","440","0.483"
"2006","Deferred","35 and over","Northern Ireland","Female","10","10"," "
"2007","Deferred","35 and over","Northern Ireland","Female","10","10","1.2"
"2008","Deferred","35 and over","Northern Ireland","Female","10","10"," "
"2009","Deferred","35 and over","Northern Ireland","Female","25","15","0.6"
"2010","Deferred","35 and over","Northern Ireland","Female","25","15","0.56"
"2011","Deferred","35 and over","Northern Ireland","Female","25","5"," "
"2012","Deferred","35 and over","Northern Ireland","Female","15","10"," "
"2013","Deferred","35 and over","Northern Ireland","Female","25","10","0.4"
"2014","Deferred","35 and over","Northern Ireland","Female","15","10"," "
"2015","Deferred","35 and over","Northern Ireland","Female","35","15","0.429"
"2016","Deferred","35 and over","Northern Ireland","Female","20","5"," "
"2017","Deferred","35 and over","Northern Ireland","Female","30","15","0.5"
"2018","Deferred","35 and over","Northern Ireland","Female","20","10","0.5"
"2019","Deferred","35 and over","Northern Ireland","Female","15","10"," "
"2020","Deferred","35 and over","Northern Ireland","Female","25","15","0.52"
"2021","Deferred","35 and over","Northern Ireland","Female","20","15","0.7000000000000001"
"2022","Deferred","35 and over","Northern Ireland","Female","25","15","0.52"
"2023","Deferred","35 and over","Northern Ireland","Female","15","10"," "
"2006","Not deferred","17 and under","England","Female","2835","1850","0.653"
"2007","Not deferred","17 and under","England","Female","3125","2050","0.656"
"2008","Not deferred","17 and under","England","Female","2900","1710","0.59"
"2009","Not deferred","17 and under","England","Female","2935","1670","0.5690000000000001"
"2010","Not deferred","17 and under","England","Female","2930","1475","0.504"
"2011","Not deferred","17 and under","England","Female","2660","1540","0.579"
"2012","Not deferred","17 and under","England","Female","1950","1255","0.643"
"2013","Not deferred","17 and under","England","Female","1845","1205","0.652"
"2014","Not deferred","17 and under","England","Female","2090","1380","0.659"
"2015","Not deferred","17 and under","England","Female","2025","1360","0.671"
"2016","Not deferred","17 and under","England","Female","1935","1300","0.672"
"2017","Not deferred","17 and under","England","Female","1935","1335","0.6890000000000001"
"2018","Not deferred","17 and under","England","Female","1915","1345","0.7020000000000001"
"2019","Not deferred","17 and under","England","Female","1870","1285","0.6880000000000001"
"2020","Not deferred","17 and under","England","Female","1995","1375","0.6890000000000001"
"2021","Not deferred","17 and under","England","Female","2115","1375","0.651"
"2022","Not deferred","17 and under","England","Female","2560","1465","0.5730000000000001"
"2023","Not deferred","17 and under","England","Female","2640","1510","0.5710000000000001"
"2006","Deferred","17 and under","England","Female","770","575","0.744"
"2007","Deferred","17 and under","England","Female","855","575","0.674"
"2008","Deferred","17 and under","England","Female","590","385","0.656"
"2009","Deferred","17 and under","England","Female","480","355","0.735"
"2010","Deferred","17 and under","England","Female","530","350","0.662"
"2011","Deferred","17 and under","England","Female","345","185","0.53"
"2012","Deferred","17 and under","England","Female","320","240","0.753"
"2013","Deferred","17 and under","England","Female","235","170","0.732"
"2014","Deferred","17 and under","England","Female","235","175","0.745"
"2015","Deferred","17 and under","England","Female","250","175","0.708"
"2016","Deferred","17 and under","England","Female","185","145","0.773"
"2017","Deferred","17 and under","England","Female","230","160","0.6960000000000001"
"2018","Deferred","17 and under","England","Female","215","170","0.781"
"2019","Deferred","17 and under","England","Female","220","170","0.782"
"2020","Deferred","17 and under","England","Female","240","170","0.708"
"2021","Deferred","17 and under","England","Female","240","185","0.779"
"2022","Deferred","17 and under","England","Female","225","150","0.671"
"2023","Deferred","17 and under","England","Female","185","110","0.605"
"2006","Not deferred","18","England","Female","501285","356935","0.712"
"2007","Not deferred","18","England","Female","516155","366300","0.71"
"2008","Not deferred","18","England","Female","469985","340795","0.725"
"2009","Not deferred","18","England","Female","497055","354215","0.713"
"2010","Not deferred","18","England","Female","535705","362860","0.677"
"2011","Not deferred","18","England","Female","566645","376180","0.664"
"2012","Not deferred","18","England","Female","531660","368290","0.6930000000000001"
"2013","Not deferred","18","England","Female","537485","392175","0.73"
"2014","Not deferred","18","England","Female","554135","411270","0.742"
"2015","Not deferred","18","England","Female","582665","439820","0.755"
"2016","Not deferred","18","England","Female","587740","448865","0.764"
"2017","Not deferred","18","England","Female","587380","458090","0.78"
"2018","Not deferred","18","England","Female","578250","456245","0.789"
"2019","Not deferred","18","England","Female","585500","462775","0.79"
"2020","Not deferred","18","England","Female","606590","481695","0.794"
"2021","Not deferred","18","England","Female","670925","522180","0.778"
"2022","Not deferred","18","England","Female","717515","524080","0.73"
"2023","Not deferred","18","England","Female","694575","523235","0.753"
"2006","Deferred","18","England","Female","55330","40465","0.731"
"2007","Deferred","18","England","Female","53465","38850","0.727"
"2008","Deferred","18","England","Female","44740","32995","0.737"
"2009","Deferred","18","England","Female","42950","31305","0.729"
"2010","Deferred","18","England","Female","39850","28095","0.705"
"2011","Deferred","18","England","Female","18355","11535","0.628"
"2012","Deferred","18","England","Female","32200","23950","0.744"
"2013","Deferred","18","England","Female","29525","22970","0.778"
"2014","Deferred","18","England","Female","29840","23800","0.798"
"2015","Deferred","18","England","Female","32795","26390","0.805"
"2016","Deferred","18","England","Female","33095","26950","0.8140000000000001"
"2017","Deferred","18","England","Female","34540","28590","0.8280000000000001"
"2018","Deferred","18","England","Female","34015","28360","0.834"
"2019","Deferred","18","England","Female","35670","30125","0.844"
"2020","Deferred","18","England","Female","35045","29700","0.847"
"2021","Deferred","18","England","Female","43870","36975","0.843"
"2022","Deferred","18","England","Female","38285","30375","0.793"
"2023","Deferred","18","England","Female","42635","35360","0.8290000000000001"
"2006","Not deferred","19","England","Female","131545","79135","0.602"
"2007","Not deferred","19","England","Female","165415","99960","0.604"
"2008","Not deferred","19","England","Female","159410","97195","0.61"
"2009","Not deferred","19","England","Female","172285","102905","0.597"
"2010","Not deferred","19","England","Female","204165","110665","0.542"
"2011","Not deferred","19","England","Female","222150","119690","0.539"
"2012","Not deferred","19","England","Female","179350","101430","0.5660000000000001"
"2013","Not deferred","19","England","Female","199905","121865","0.61"
"2014","Not deferred","19","England","Female","206410","128545","0.623"
"2015","Not deferred","19","England","Female","208010","133570","0.642"
"2016","Not deferred","19","England","Female","207650","135445","0.652"
"2017","Not deferred","19","England","Female","191020","128435","0.672"
"2018","Not deferred","19","England","Female","180510","124070","0.687"
"2019","Not deferred","19","England","Female","175960","121680","0.6920000000000001"
"2020","Not deferred","19","England","Female","168500","116955","0.6940000000000001"
"2021","Not deferred","19","England","Female","169840","114360","0.673"
"2022","Not deferred","19","England","Female","179140","113130","0.632"
"2023","Not deferred","19","England","Female","176965","114140","0.645"
"2006","Deferred","19","England","Female","2955","2055","0.6950000000000001"
"2007","Deferred","19","England","Female","3830","2640","0.6900000000000001"
"2008","Deferred","19","England","Female","3765","2580","0.686"
"2009","Deferred","19","England","Female","3775","2500","0.663"
"2010","Deferred","19","England","Female","4485","2625","0.585"
"2011","Deferred","19","England","Female","2555","1290","0.505"
"2012","Deferred","19","England","Female","3170","1950","0.615"
"2013","Deferred","19","England","Female","3695","2525","0.683"
"2014","Deferred","19","England","Female","3750","2610","0.6950000000000001"
"2015","Deferred","19","England","Female","4010","2845","0.71"
"2016","Deferred","19","England","Female","3920","2845","0.726"
"2017","Deferred","19","England","Female","3955","2890","0.731"
"2018","Deferred","19","England","Female","3725","2845","0.763"
"2019","Deferred","19","England","Female","3405","2645","0.776"
"2020","Deferred","19","England","Female","3335","2670","0.801"
"2021","Deferred","19","England","Female","3395","2730","0.804"
"2022","Deferred","19","England","Female","3325","2470","0.743"
"2023","Deferred","19","England","Female","3195","2395","0.75"
"2006","Not deferred","20","England","Female","42345","23030","0.544"
"2007","Not deferred","20","England","Female","47865","25810","0.539"
"2008","Not deferred","20","England","Female","53305","28610","0.537"
"2009","Not deferred","20","England","Female","57605","29740","0.516"
"2010","Not deferred","20","England","Female","68125","30805","0.452"
"2011","Not deferred","20","England","Female","73205","31805","0.434"
"2012","Not deferred","20","England","Female","62090","28035","0.451"
"2013","Not deferred","20","England","Female","62805","31280","0.498"
"2014","Not deferred","20","England","Female","68190","34725","0.509"
"2015","Not deferred","20","England","Female","64665","33600","0.52"
"2016","Not deferred","20","England","Female","62380","33075","0.53"
"2017","Not deferred","20","England","Female","59165","33815","0.5720000000000001"
"2018","Not deferred","20","England","Female","55660","33310","0.598"
"2019","Not deferred","20","England","Female","54055","33010","0.611"
"2020","Not deferred","20","England","Female","55940","34820","0.622"
"2021","Not deferred","20","England","Female","56015","33890","0.605"
"2022","Not deferred","20","England","Female","54700","30985","0.5660000000000001"
"2023","Not deferred","20","England","Female","54045","31565","0.584"
"2006","Deferred","20","England","Female","855","605","0.709"
"2007","Deferred","20","England","Female","930","605","0.651"
"2008","Deferred","20","England","Female","1110","710","0.641"
"2009","Deferred","20","England","Female","1355","840","0.619"
"2010","Deferred","20","England","Female","1575","830","0.527"
"2011","Deferred","20","England","Female","1065","415","0.389"
"2012","Deferred","20","England","Female","1215","650","0.536"
"2013","Deferred","20","England","Female","1110","625","0.5640000000000001"
"2014","Deferred","20","England","Female","1380","815","0.589"
"2015","Deferred","20","England","Female","1190","670","0.5630000000000001"
"2016","Deferred","20","England","Female","1140","680","0.598"
"2017","Deferred","20","England","Female","1150","785","0.681"
"2018","Deferred","20","England","Female","1105","795","0.72"
"2019","Deferred","20","England","Female","940","670","0.712"
"2020","Deferred","20","England","Female","1080","820","0.76"
"2021","Deferred","20","England","Female","1050","800","0.762"
"2022","Deferred","20","England","Female","920","635","0.6880000000000001"
