"Year","Estranged status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.9490000000000001","0"
"2023","Is not estranged from parents","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Is not estranged from parents","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","695","550","0.788","170"
"2023","Is not estranged from parents","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","75","60","0.753","30"
"2023","Is not estranged from parents","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","50","40","0.765","15"
"2023","Is estranged from parents","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","125","95","0.76","25"
"2023","Is estranged from parents","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Is estranged from parents","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","3355","3170","0.9440000000000001","5"
"2023","Not declared","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","100","95","0.98","0"
"2023","Not declared","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2023","Is not estranged from parents","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","520","390","0.749","125"
"2023","Is not estranged from parents","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","70","50","0.676","15"
"2023","Is not estranged from parents","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","30","20","0.724","20"
"2023","Is estranged from parents","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","90","75","0.8220000000000001","25"
"2023","Is estranged from parents","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Is estranged from parents","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Female","Not main scheme applicant","Not main scheme application","8100","7645","0.9440000000000001","20"
"2023","Not declared","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","270","260","0.963","0"
"2023","Not declared","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","135","130","0.97","0"
"2023","Is not estranged from parents","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Is not estranged from parents","35 and over","England","Female","Not main scheme applicant","Not main scheme application","1220","915","0.751","500"
"2023","Is not estranged from parents","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","135","95","0.6990000000000001","60"
"2023","Is not estranged from parents","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","75","55","0.74","15"
"2023","Is estranged from parents","35 and over","England","Female","Not main scheme applicant","Not main scheme application","205","155","0.744","80"
"2023","Is estranged from parents","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.588","15"
"2023","Is estranged from parents","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Not declared","17 and under","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2023","Not declared","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.989","0"
"2023","Not declared","17 and under","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Is not estranged from parents","17 and under","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is not estranged from parents","17 and under","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.81","5"
"2023","Is not estranged from parents","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","5"
"2023","Not declared","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Not main scheme applicant","Not main scheme application","1185","1135","0.96","5"
"2023","Not declared","18","Scotland","Male","Not main scheme applicant","Not main scheme application","190","190","0.99","0"
"2023","Not declared","18","Wales","Male","Not main scheme applicant","Not main scheme application","55","55","0.981","0"
"2023","Is not estranged from parents","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","Is not estranged from parents","18","England","Male","Not main scheme applicant","Not main scheme application","1070","960","0.897","145"
"2023","Is not estranged from parents","18","Scotland","Male","Not main scheme applicant","Not main scheme application","45","40","0.907","15"
"2023","Is not estranged from parents","18","Wales","Male","Not main scheme applicant","Not main scheme application","60","55","0.9","5"
"2023","Is estranged from parents","18","England","Male","Not main scheme applicant","Not main scheme application","20","20","0.9","0"
"2023","Not declared","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","England","Male","Not main scheme applicant","Not main scheme application","1835","1750","0.9540000000000001","10"
"2023","Not declared","19","Scotland","Male","Not main scheme applicant","Not main scheme application","145","145","0.986","0"
"2023","Not declared","19","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.929","0"
"2023","Is not estranged from parents","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","55","50","0.926","5"
"2023","Is not estranged from parents","19","England","Male","Not main scheme applicant","Not main scheme application","2260","2040","0.904","215"
"2023","Is not estranged from parents","19","Scotland","Male","Not main scheme applicant","Not main scheme application","75","65","0.892","25"
"2023","Is not estranged from parents","19","Wales","Male","Not main scheme applicant","Not main scheme application","90","80","0.901","10"
"2023","Is estranged from parents","19","England","Male","Not main scheme applicant","Not main scheme application","65","60","0.892","10"
"2023","Is estranged from parents","19","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","19","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Not main scheme applicant","Not main scheme application","1500","1415","0.9430000000000001","5"
"2023","Not declared","20","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.969","0"
"2023","Not declared","20","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.985","0"
"2023","Is not estranged from parents","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","40","0.933","5"
"2023","Is not estranged from parents","20","England","Male","Not main scheme applicant","Not main scheme application","1415","1255","0.888","175"
"2023","Is not estranged from parents","20","Scotland","Male","Not main scheme applicant","Not main scheme application","75","65","0.867","20"
"2023","Is not estranged from parents","20","Wales","Male","Not main scheme applicant","Not main scheme application","60","55","0.914","10"
"2023","Is estranged from parents","20","England","Male","Not main scheme applicant","Not main scheme application","65","55","0.836","10"
"2023","Not declared","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","4205","3940","0.9380000000000001","15"
"2023","Not declared","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","180","170","0.961","0"
"2023","Not declared","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.977","0"
"2023","Is not estranged from parents","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","40","35","0.857","5"
"2023","Is not estranged from parents","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","1930","1665","0.862","285"
"2023","Is not estranged from parents","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","130","110","0.867","30"
"2023","Is not estranged from parents","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","110","95","0.874","20"
