"Year","FSM status","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","41040","0.002"
"2006","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","560","250770","0.002"
"2007","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","39940","0.003"
"2007","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","650","247450","0.003"
"2008","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","38610","0.003"
"2008","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","680","252690","0.003"
"2009","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","37480","0.002"
"2009","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","630","253130","0.002"
"2010","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","36250","0.001"
"2010","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","280","251960","0.001"
"2011","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","36700","0.001"
"2011","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","350","251540","0.001"
"2012","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","38950","0.002"
"2012","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","480","249670","0.002"
"2013","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","39780","0.003"
"2013","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","650","242950","0.003"
"2014","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","40410","0.003"
"2014","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","620","239270","0.003"
"2015","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","140","42610","0.003"
"2015","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","660","243100","0.003"
"2016","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","40300","0.002"
"2016","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","680","238550","0.003"
"2017","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","38130","0.003"
"2017","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","850","237470","0.004"
"2018","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","36150","0.005"
"2018","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1020","233570","0.004"
"2019","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","35200","0.006"
"2019","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1130","227560","0.005"
"2020","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","33440","0.006"
"2020","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1520","227450","0.007"
"2021","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","190","38080","0.005"
"2021","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1020","232450","0.004"
"2022","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","44380","0.005"
"2022","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","950","234790","0.004"
"2023","Receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","220","54660","0.004"
"2023","Not receiving FSM","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","910","243110","0.004"
"2006","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","41040","0"
"2006","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","250770","0"
"2007","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","39940","0"
"2007","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","247450","0"
"2008","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","38610","0"
"2008","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","252690","0"
"2009","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","37480","0"
"2009","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","253130","0"
"2010","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","36250","0"
"2010","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","251960","0"
"2011","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","36700","0"
"2011","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","251540","0"
"2012","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","38950","0"
"2012","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","249670","0"
"2013","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","39780","0"
"2013","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","242950","0"
"2014","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40410","0"
"2014","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","239270","0"
"2015","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","42610","0"
"2015","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","243100","0"
"2016","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40300","0"
"2016","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","238550","0"
"2017","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","38130","0"
"2017","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","237470","0"
"2018","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","36150","0"
"2018","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","233570","0"
"2019","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","35200","0"
"2019","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","227560","0"
"2020","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","33440","0"
"2020","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","227450","0"
"2021","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","38080","0"
"2021","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","232450","0"
"2022","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","44380","0"
"2022","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","234790","0"
"2023","Receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","54660","0"
"2023","Not receiving FSM","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","243110","0"
"2006","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","41040","0"
"2006","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","250770","0.001"
"2007","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","39940","0"
"2007","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","247450","0.001"
"2008","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","38610","0"
"2008","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","252690","0.001"
"2009","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","37480","0"
"2009","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","253130","0"
"2010","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","36250","0"
"2010","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","251960","0"
"2011","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","36700","0"
"2011","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","251540","0"
"2012","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","38950","0"
"2012","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","160","249670","0.001"
"2013","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","39780","0"
"2013","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","150","242950","0.001"
"2014","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","40410","0"
"2014","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","239270","0.001"
"2015","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","42610","0"
"2015","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","170","243100","0.001"
"2016","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","40300","0"
"2016","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","238550","0.001"
"2017","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","38130","0.001"
"2017","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","250","237470","0.001"
"2018","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","36150","0.001"
"2018","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","290","233570","0.001"
"2019","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","35200","0.001"
"2019","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","360","227560","0.002"
"2020","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","33440","0.002"
"2020","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","520","227450","0.002"
"2021","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","38080","0.001"
"2021","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","290","232450","0.001"
"2022","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","44380","0.001"
"2022","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","290","234790","0.001"
"2023","Receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","54660","0.001"
"2023","Not receiving FSM","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","320","243110","0.001"
"2006","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","110","41820","0.003"
"2006","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","770","257630","0.003"
"2007","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","80","40220","0.002"
"2007","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","730","255160","0.003"
"2008","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","130","39560","0.003"
"2008","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","810","262070","0.003"
"2009","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","100","37950","0.003"
"2009","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","750","261500","0.003"
"2010","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","37230","0.001"
"2010","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","360","261650","0.001"
"2011","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","37710","0.001"
"2011","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","360","263550","0.001"
"2012","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","110","41130","0.003"
"2012","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","630","262360","0.002"
"2013","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","110","42020","0.003"
"2013","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","760","254820","0.003"
"2014","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","120","42140","0.003"
"2014","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","670","252540","0.003"
"2015","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","150","44940","0.003"
"2015","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","720","254180","0.003"
"2016","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","130","42780","0.003"
"2016","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","740","249660","0.003"
"2017","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","150","40770","0.004"
"2017","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","850","248880","0.003"
"2018","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","180","38590","0.005"
"2018","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","1020","244340","0.004"
"2019","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","210","36730","0.006"
"2019","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","1350","238280","0.006"
"2020","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","180","35510","0.005"
"2020","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","1730","238950","0.007"
"2021","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","200","40760","0.005"
"2021","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","1320","243760","0.005"
"2022","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","200","46850","0.004"
"2022","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","1050","246310","0.004"
"2023","Receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","240","56890","0.004"
"2023","Not receiving FSM","Lower tariff","18","England","Male","Not main scheme applicant","Not main scheme application","1020","242630","0.004"
"2006","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","41820","0"
"2006","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","257630","0"
"2007","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","40220","0"
"2007","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","40","255160","0"
"2008","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","39560","0"
"2008","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","262070","0"
"2009","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","37950","0"
"2009","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","10","261500","0"
"2010","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","37230","0"
"2010","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","261650","0"
"2011","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","37710","0"
"2011","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","263550","0"
"2012","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","41130","0"
"2012","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","262360","0"
"2013","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","42020","0"
"2013","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","10","254820","0"
"2014","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","42140","0"
"2014","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","252540","0"
"2015","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","44940","0"
"2015","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","254180","0"
"2016","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","42780","0"
"2016","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","249660","0"
"2017","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","40770","0"
"2017","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","248880","0"
"2018","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","38590","0"
"2018","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","244340","0"
"2019","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","36730","0"
"2019","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","60","238280","0"
"2020","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","10","35510","0"
"2020","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","80","238950","0"
"2021","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","40760","0"
"2021","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","243760","0"
"2022","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","46850","0"
"2022","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","246310","0"
"2023","Receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","56890","0"
"2023","Not receiving FSM","Higher tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","242630","0"
"2006","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","41820","0.001"
"2006","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","250","257630","0.001"
"2007","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","40220","0"
"2007","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","270","255160","0.001"
"2008","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","39560","0"
"2008","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","220","262070","0.001"
"2009","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","37950","0"
"2009","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","90","261500","0"
"2010","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","37230","0"
"2010","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","261650","0"
"2011","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","0","37710","0"
"2011","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","263550","0"
"2012","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","41130","0"
"2012","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","180","262360","0.001"
"2013","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","10","42020","0"
"2013","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","140","254820","0.001"
"2014","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","10","42140","0"
"2014","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","130","252540","0"
"2015","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","44940","0"
"2015","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","140","254180","0.001"
"2016","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","42780","0.001"
"2016","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","200","249660","0.001"
"2017","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","40770","0.001"
"2017","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","280","248880","0.001"
"2018","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","20","38590","0.001"
"2018","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","280","244340","0.001"
"2019","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","30","36730","0.001"
"2019","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","400","238280","0.002"
"2020","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","60","35510","0.002"
"2020","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","690","238950","0.003"
"2021","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","40760","0.001"
"2021","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","400","243760","0.002"
"2022","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","46850","0.001"
"2022","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","340","246310","0.001"
"2023","Receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","50","56890","0.001"
"2023","Not receiving FSM","Medium tariff","18","England","Male","Not main scheme applicant","Not main scheme application","340","242630","0.001"
"2006","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","400","41040","0.01"
"2006","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","2720","250770","0.011"
"2007","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","440","39940","0.011"
"2007","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","2860","247450","0.012"
"2008","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","530","38610","0.014"
"2008","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","3330","252690","0.013000000000000001"
"2009","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","690","37480","0.018000000000000002"
"2009","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","4170","253130","0.016"
"2010","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","750","36250","0.021"
"2010","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5270","251960","0.021"
"2011","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","1110","36700","0.03"
"2011","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","6880","251540","0.027"
"2012","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","970","38950","0.025"
"2012","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5250","249670","0.021"
"2013","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","1010","39780","0.025"
"2013","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5120","242950","0.021"
"2014","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","1010","40410","0.025"
"2014","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5520","239270","0.023"
"2015","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","1150","42610","0.027"
"2015","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5590","243100","0.023"
"2016","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","1030","40300","0.026000000000000002"
"2016","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5440","238550","0.023"
"2017","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","880","38130","0.023"
"2017","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5310","237470","0.022"
"2018","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","830","36150","0.023"
"2018","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5130","233570","0.022"
"2019","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","870","35200","0.025"
"2019","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","5850","227560","0.026000000000000002"
"2020","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","670","33440","0.02"
"2020","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","4600","227450","0.02"
"2021","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","800","38080","0.021"
"2021","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","4900","232450","0.021"
"2022","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","1190","44380","0.027"
"2022","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","6470","234790","0.028"
"2023","Receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","1370","54660","0.025"
"2023","Not receiving FSM","Lower tariff","18","England","Female","Main scheme applicant","Not main scheme application","6190","243110","0.025"
"2006","Receiving FSM","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","50","41040","0.001"
"2006","Not receiving FSM","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","1100","250770","0.004"
"2007","Receiving FSM","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","60","39940","0.001"
"2007","Not receiving FSM","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","1100","247450","0.004"
"2008","Receiving FSM","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","70","38610","0.002"
"2008","Not receiving FSM","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","1220","252690","0.005"
"2009","Receiving FSM","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","50","37480","0.001"
