"Year","Domicile UK International","Domicile","Age group","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2010","UK","England","18","Female","Not main scheme applicant","Not main scheme application","460","324070","0.001"
"2011","UK","England","18","Female","Not main scheme applicant","Not main scheme application","540","314540","0.002"
"2012","UK","England","18","Female","Not main scheme applicant","Not main scheme application","910","315630","0.003"
"2013","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1170","310320","0.004"
"2014","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1070","306120","0.003"
"2015","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1200","313890","0.004"
"2016","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1200","307070","0.004"
"2017","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1550","304090","0.005"
"2018","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1850","296680","0.006"
"2019","UK","England","18","Female","Not main scheme applicant","Not main scheme application","2120","292160","0.007"
"2020","UK","England","18","Female","Not main scheme applicant","Not main scheme application","2800","286880","0.01"
"2021","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1860","296020","0.006"
"2022","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1800","305000","0.006"
"2023","UK","England","18","Female","Not main scheme applicant","Not main scheme application","1890","313350","0.006"
"2006","UK","Scotland","18","Female","Not main scheme applicant","Not main scheme application","70","31170","0.002"
