"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","5 points (DMM)","White","Main scheme applicant","Not main scheme application","145","115","0.796","0"
"2014","5 points (DMM)","White","Main scheme applicant","Not main scheme application","140","110","0.79","0"
"2015","5 points (DMM)","White","Main scheme applicant","Not main scheme application","130","110","0.8240000000000001","0"
"2016","5 points (DMM)","White","Main scheme applicant","Not main scheme application","115","95","0.8290000000000001","0"
"2017","5 points (DMM)","White","Main scheme applicant","Not main scheme application","105","85","0.8290000000000001","0"
"2018","5 points (DMM)","White","Main scheme applicant","Not main scheme application","100","90","0.908","0"
"2019","5 points (DMM)","White","Main scheme applicant","Not main scheme application","85","75","0.88","0"
"2020","5 points (DMM)","White","Main scheme applicant","Not main scheme application","90","80","0.91","0"
"2021","5 points (DMM)","White","Main scheme applicant","Not main scheme application","100","80","0.837","0"
"2022","5 points (DMM)","White","Main scheme applicant","Not main scheme application","120","105","0.861","0"
"2023","5 points (DMM)","White","Main scheme applicant","Not main scheme application","105","95","0.913","0"
"2010","6 points (DDM)","White","Main scheme applicant","Not main scheme application","125","90","0.717","0"
"2011","6 points (DDM)","White","Main scheme applicant","Not main scheme application","155","110","0.718","0"
"2012","6 points (DDM)","White","Main scheme applicant","Not main scheme application","150","115","0.764","0"
"2013","6 points (DDM)","White","Main scheme applicant","Not main scheme application","140","110","0.79","0"
"2014","6 points (DDM)","White","Main scheme applicant","Not main scheme application","130","95","0.712","0"
"2015","6 points (DDM)","White","Main scheme applicant","Not main scheme application","135","110","0.788","0"
"2016","6 points (DDM)","White","Main scheme applicant","Not main scheme application","150","120","0.8240000000000001","0"
"2017","6 points (DDM)","White","Main scheme applicant","Not main scheme application","100","90","0.863","0"
"2018","6 points (DDM)","White","Main scheme applicant","Not main scheme application","100","85","0.869","0"
"2019","6 points (DDM)","White","Main scheme applicant","Not main scheme application","95","85","0.916","0"
