"Year","Predicted A level points","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2023","All","18","Northern Ireland","Female","0","55","15","70","0","65","15","80"
"2023","All","18","Wales","Female","0","155","110","255","0","190","130","320"
"2013","All","18","England","Male","0","215","270","480","0","220","270","490"
"2013","All","18","Northern Ireland","Male","0","5","0","10","0","5","0","10"
"2013","All","18","Wales","Male","0","5","55","60","0","5","55","60"
"2014","All","18","England","Male","2355","1295","870","4405","2430","1325","895","4645"
"2014","All","18","Northern Ireland","Male","20","20","10","50","20","20","15","55"
"2014","All","18","Wales","Male","60","30","90","180","65","30","95","190"
"2015","All","18","England","Male","4510","1625","2160","7875","4785","1680","2190","8655"
"2015","All","18","Northern Ireland","Male","35","30","40","100","35","35","45","110"
"2015","All","18","Wales","Male","90","70","135","280","90","75","170","335"
"2016","All","18","England","Male","5905","3110","2485","10845","6380","3275","2525","12180"
"2016","All","18","Northern Ireland","Male","40","60","25","120","40","65","25","125"
"2016","All","18","Wales","Male","140","165","125","405","145","185","145","475"
"2017","All","18","England","Male","9740","3890","3220","15550","11005","4175","3335","18515"
"2017","All","18","Northern Ireland","Male","100","65","75","220","105","70","80","255"
"2017","All","18","Wales","Male","210","220","170","560","225","260","195","685"
"2018","All","18","England","Male","14000","4750","4585","20840","16520","5220","4680","26420"
"2018","All","18","Northern Ireland","Male","165","110","65","315","180","125","65","375"
"2018","All","18","Wales","Male","400","175","155","665","465","195","170","830"
"2019","All","18","England","Male","17050","5380","4140","23265","20755","6080","4270","31105"
"2019","All","18","Northern Ireland","Male","170","60","35","250","205","70","40","310"
"2019","All","18","Wales","Male","395","320","95","735","480","385","105","970"
"2020","All","18","England","Male","7810","10765","8140","22480","8570","13150","9550","31270"
"2020","All","18","Northern Ireland","Male","40","120","315","445","45","145","400","585"
"2020","All","18","Wales","Male","130","360","455","815","135","460","585","1180"
"2021","All","18","England","Male","5","4240","850","4935","5","4790","875","5665"
"2021","All","18","Northern Ireland","Male","0","75","5","80","0","85","5","90"
"2021","All","18","Wales","Male","0","380","60","420","0","465","70","530"
"2022","All","18","England","Male","1085","6210","2205","9010","1140","7090","2295","10525"
"2022","All","18","Northern Ireland","Male","10","40","10","55","10","45","10","65"
"2022","All","18","Wales","Male","25","180","145","335","30","205","175","410"
"2023","All","18","England","Male","0","4810","1915","6460","0","5360","2055","7415"
"2023","All","18","Northern Ireland","Male","0","20","15","30","0","20","15","35"
"2023","All","18","Wales","Male","0","80","85","160","0","90","95","185"
"2021","3 point(s)","All","England","Female","0","0","0","0","0","5","0","5"
"2018","4 point(s)","All","England","Female","0","0","0","5","0","0","0","5"
"2020","4 point(s)","All","England","Female","0","5","5","10","0","5","5","10"
"2014","5 point(s)","All","England","Female","0","5","0","5","0","5","0","5"
"2016","5 point(s)","All","England","Female","0","0","5","5","0","0","5","5"
"2017","5 point(s)","All","England","Female","0","5","0","5","0","5","0","5"
"2018","5 point(s)","All","England","Female","0","0","5","5","0","5","5","10"
"2019","5 point(s)","All","England","Female","0","5","0","10","5","5","0","10"
"2020","5 point(s)","All","England","Female","0","5","15","15","0","5","15","15"
"2021","5 point(s)","All","England","Female","0","5","0","5","0","5","0","5"
"2022","5 point(s)","All","England","Female","0","5","0","5","0","5","0","5"
"2023","5 point(s)","All","England","Female","0","5","0","5","0","5","0","5"
"2013","6 point(s)","All","England","Female","0","5","0","5","0","5","0","5"
"2014","6 point(s)","All","England","Female","0","5","0","5","0","5","0","5"
"2015","6 point(s)","All","England","Female","0","0","5","5","0","0","5","5"
"2016","6 point(s)","All","England","Female","0","5","5","10","0","5","5","10"
"2017","6 point(s)","All","England","Female","5","5","5","10","5","5","5","10"
"2018","6 point(s)","All","England","Female","10","5","5","20","10","10","5","20"
"2019","6 point(s)","All","England","Female","10","10","10","30","10","10","10","30"
"2020","6 point(s)","All","England","Female","5","10","50","60","5","15","55","70"
"2020","6 point(s)","All","Wales","Female","0","0","0","0","0","0","5","5"
"2021","6 point(s)","All","England","Female","0","25","5","30","0","30","5","35"
"2022","6 point(s)","All","England","Female","0","25","0","25","0","30","0","30"
"2023","6 point(s)","All","England","Female","0","5","5","10","0","10","5","10"
"2013","7 point(s)","All","England","Female","0","10","5","15","0","10","5","15"
"2014","7 point(s)","All","England","Female","0","15","0","20","0","20","0","20"
"2015","7 point(s)","All","England","Female","0","10","10","25","0","10","10","25"
"2016","7 point(s)","All","England","Female","5","15","10","30","5","15","10","30"
"2016","7 point(s)","All","Wales","Female","0","0","5","5","0","0","5","5"
"2017","7 point(s)","All","England","Female","10","15","10","35","10","20","15","40"
"2018","7 point(s)","All","England","Female","15","30","20","60","15","30","20","65"
"2019","7 point(s)","All","England","Female","20","20","25","60","20","20","25","65"
"2020","7 point(s)","All","England","Female","10","35","90","125","10","35","110","155"
"2020","7 point(s)","All","Wales","Female","0","0","10","10","0","0","10","15"
"2021","7 point(s)","All","England","Female","0","30","5","35","0","30","5","35"
"2021","7 point(s)","All","Wales","Female","0","5","0","5","0","5","0","5"
"2022","7 point(s)","All","England","Female","0","60","10","65","0","65","10","75"
"2022","7 point(s)","All","Wales","Female","0","0","0","5","0","0","0","5"
"2023","7 point(s)","All","England","Female","0","20","10","25","0","25","10","30"
"2013","8 point(s)","All","England","Female","0","10","5","15","0","10","5","15"
"2014","8 point(s)","All","England","Female","0","20","10","25","0","20","10","25"
"2015","8 point(s)","All","England","Female","5","30","15","45","5","30","15","50"
"2016","8 point(s)","All","England","Female","15","40","35","85","15","45","35","95"
"2016","8 point(s)","All","Wales","Female","0","5","5","5","0","5","5","5"
"2017","8 point(s)","All","England","Female","20","40","50","95","20","40","50","110"
"2018","8 point(s)","All","England","Female","35","70","55","150","35","80","55","165"
"2019","8 point(s)","All","England","Female","45","55","60","155","50","65","60","175"
"2019","8 point(s)","All","Wales","Female","0","5","0","5","0","5","0","10"
"2020","8 point(s)","All","England","Female","35","70","245","330","35","70","290","395"
"2020","8 point(s)","All","Wales","Female","0","5","15","15","0","5","15","20"
"2021","8 point(s)","All","England","Female","0","80","15","90","0","90","15","100"
"2021","8 point(s)","All","Wales","Female","0","5","0","5","0","5","0","5"
"2022","8 point(s)","All","England","Female","5","105","25","135","5","120","25","150"
"2022","8 point(s)","All","Wales","Female","0","0","0","5","0","0","0","5"
"2023","8 point(s)","All","England","Female","0","45","30","70","0","50","35","85"
"2013","9 point(s)","All","England","Female","0","15","5","20","0","15","5","20"
"2014","9 point(s)","All","England","Female","0","25","15","45","0","25","15","45"
"2014","9 point(s)","All","Wales","Female","0","0","5","10","0","0","10","10"
"2015","9 point(s)","All","England","Female","10","50","65","125","10","55","65","130"
"2015","9 point(s)","All","Wales","Female","0","0","5","10","0","0","5","10"
"2016","9 point(s)","All","England","Female","90","200","120","390","95","215","125","435"
"2016","9 point(s)","All","Wales","Female","0","5","5","10","0","5","5","10"
"2017","9 point(s)","All","England","Female","100","150","225","455","105","160","225","495"
"2017","9 point(s)","All","Wales","Female","5","5","15","20","5","5","15","25"
"2018","9 point(s)","All","England","Female","155","325","275","700","165","370","275","810"
"2018","9 point(s)","All","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2018","9 point(s)","All","Wales","Female","5","10","10","20","5","10","10","25"
"2019","9 point(s)","All","England","Female","395","180","270","755","425","195","275","900"
"2019","9 point(s)","All","Northern Ireland","Female","0","0","0","5","0","0","0","5"
"2019","9 point(s)","All","Wales","Female","5","10","10","25","5","15","10","30"
"2020","9 point(s)","All","England","Female","365","310","655","1160","420","355","760","1540"
"2020","9 point(s)","All","Northern Ireland","Female","0","0","10","10","0","0","15","20"
"2020","9 point(s)","All","Wales","Female","5","20","35","50","5","20","40","70"
"2021","9 point(s)","All","England","Female","0","230","65","285","0","275","65","340"
"2021","9 point(s)","All","Wales","Female","0","20","5","25","0","25","5","30"
"2022","9 point(s)","All","England","Female","20","255","85","335","20","300","85","405"
"2022","9 point(s)","All","Wales","Female","0","20","10","25","0","30","10","40"
"2023","9 point(s)","All","England","Female","0","205","85","280","0","235","85","320"
"2023","9 point(s)","All","Wales","Female","0","0","0","5","0","0","0","5"
"2013","10 point(s)","All","England","Female","0","30","15","45","0","30","15","45"
"2013","10 point(s)","All","Wales","Female","0","5","0","5","0","5","0","5"
"2014","10 point(s)","All","England","Female","5","45","20","70","5","50","20","75"
"2014","10 point(s)","All","Wales","Female","0","0","10","10","0","0","10","10"
"2015","10 point(s)","All","England","Female","25","80","105","200","25","80","105","210"
"2015","10 point(s)","All","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2015","10 point(s)","All","Wales","Female","0","0","10","15","0","5","10","15"
"2016","10 point(s)","All","England","Female","175","535","130","810","180","560","135","875"
"2016","10 point(s)","All","Northern Ireland","Female","0","0","0","5","0","0","0","5"
"2016","10 point(s)","All","Wales","Female","5","10","10","25","5","15","15","30"
"2017","10 point(s)","All","England","Female","255","445","370","1010","270","475","375","1120"
"2017","10 point(s)","All","Northern Ireland","Female","0","0","5","5","0","0","5","5"
"2017","10 point(s)","All","Wales","Female","5","20","20","45","5","20","25","50"
"2018","10 point(s)","All","England","Female","310","725","700","1555","335","810","710","1860"
"2018","10 point(s)","All","Northern Ireland","Female","0","10","5","15","0","15","5","20"
"2018","10 point(s)","All","Wales","Female","5","25","25","50","5","25","25","60"
"2019","10 point(s)","All","England","Female","825","495","520","1600","945","550","535","2030"
"2019","10 point(s)","All","Northern Ireland","Female","5","0","0","5","5","5","0","10"
"2019","10 point(s)","All","Wales","Female","20","25","15","55","25","30","15","70"
"2020","10 point(s)","All","England","Female","660","765","1040","2095","745","915","1265","2925"
"2020","10 point(s)","All","Northern Ireland","Female","5","5","35","40","5","5","45","55"
"2020","10 point(s)","All","Wales","Female","10","50","70","110","10","65","90","165"
"2021","10 point(s)","All","England","Female","0","410","105","490","0","470","105","575"
"2021","10 point(s)","All","Northern Ireland","Female","0","0","0","0","0","5","0","5"
"2021","10 point(s)","All","Wales","Female","0","45","10","55","0","60","15","75"
"2022","10 point(s)","All","England","Female","40","625","135","785","40","730","140","910"
"2022","10 point(s)","All","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2022","10 point(s)","All","Wales","Female","0","25","15","35","0","30","15","40"
"2023","10 point(s)","All","England","Female","0","415","130","530","0","470","140","610"
"2023","10 point(s)","All","Wales","Female","0","10","5","20","0","15","5","25"
"2013","11 point(s)","All","England","Female","0","35","15","50","0","35","15","50"
"2013","11 point(s)","All","Wales","Female","0","5","5","10","0","5","5","10"
"2014","11 point(s)","All","England","Female","10","70","30","110","10","75","30","115"
"2014","11 point(s)","All","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2014","11 point(s)","All","Wales","Female","0","5","10","15","0","5","10","15"
"2015","11 point(s)","All","England","Female","70","125","410","595","70","130","410","610"
"2015","11 point(s)","All","Northern Ireland","Female","0","5","5","10","0","5","5","10"
"2015","11 point(s)","All","Wales","Female","5","5","20","30","5","5","25","35"
"2016","11 point(s)","All","England","Female","390","845","430","1585","400","900","435","1735"
"2016","11 point(s)","All","Northern Ireland","Female","5","5","0","10","5","5","0","10"
"2016","11 point(s)","All","Wales","Female","5","10","20","35","5","10","25","40"
"2017","11 point(s)","All","England","Female","930","1065","725","2490","995","1175","745","2915"
"2017","11 point(s)","All","Northern Ireland","Female","5","10","15","25","5","10","15","30"
"2017","11 point(s)","All","Wales","Female","15","25","55","90","15","30","65","105"
"2018","11 point(s)","All","England","Female","1605","1335","1090","3425","1850","1530","1105","4485"
"2018","11 point(s)","All","Northern Ireland","Female","10","15","20","45","10","15","20","50"
"2018","11 point(s)","All","Wales","Female","35","40","35","100","35","50","35","120"
"2019","11 point(s)","All","England","Female","2185","1115","825","3430","2770","1315","855","4935"
"2019","11 point(s)","All","Northern Ireland","Female","15","5","5","25","15","10","5","30"
"2019","11 point(s)","All","Wales","Female","45","85","20","125","55","105","20","180"
"2020","11 point(s)","All","England","Female","1110","1935","1650","3770","1245","2425","1945","5615"
"2020","11 point(s)","All","Northern Ireland","Female","5","20","55","65","5","20","70","95"
"2020","11 point(s)","All","Wales","Female","15","90","100","170","15","120","140","275"
"2021","11 point(s)","All","England","Female","0","1000","210","1165","0","1175","215","1385"
"2021","11 point(s)","All","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2021","11 point(s)","All","Wales","Female","0","90","15","95","0","115","15","135"
"2022","11 point(s)","All","England","Female","95","1415","260","1685","100","1730","270","2100"
"2022","11 point(s)","All","Northern Ireland","Female","0","10","0","10","0","10","0","10"
"2022","11 point(s)","All","Wales","Female","0","45","15","55","0","50","15","65"
"2023","11 point(s)","All","England","Female","0","945","240","1130","0","1070","255","1325"
"2023","11 point(s)","All","Northern Ireland","Female","0","10","0","10","0","10","0","10"
"2023","11 point(s)","All","Wales","Female","0","20","10","25","0","30","10","35"
"2013","12 point(s)","All","England","Female","0","55","35","90","0","55","35","90"
"2013","12 point(s)","All","Wales","Female","0","0","10","15","0","0","10","15"
"2014","12 point(s)","All","England","Female","285","70","40","390","300","70","40","405"
"2014","12 point(s)","All","Northern Ireland","Female","0","10","0","10","0","10","0","10"
"2014","12 point(s)","All","Wales","Female","0","0","10","15","0","5","15","15"
"2015","12 point(s)","All","England","Female","635","205","445","1215","675","215","445","1335"
"2015","12 point(s)","All","Northern Ireland","Female","0","5","5","10","0","5","5","10"
"2015","12 point(s)","All","Wales","Female","10","10","20","40","10","10","25","45"
"2016","12 point(s)","All","England","Female","1310","1020","765","2810","1370","1105","775","3245"
"2016","12 point(s)","All","Northern Ireland","Female","10","5","5","20","10","5","5","25"
"2016","12 point(s)","All","Wales","Female","10","30","30","65","10","35","35","75"
"2017","12 point(s)","All","England","Female","2310","1335","1035","4115","2685","1460","1080","5220"
"2017","12 point(s)","All","Northern Ireland","Female","30","20","20","65","30","20","25","75"
"2017","12 point(s)","All","Wales","Female","45","55","60","145","50","60","65","175"
"2018","12 point(s)","All","England","Female","3230","1710","1375","5265","3995","1945","1405","7350"
"2018","12 point(s)","All","Northern Ireland","Female","30","25","30","75","30","25","30","90"
"2018","12 point(s)","All","Wales","Female","80","70","60","185","85","80","65","225"
"2019","12 point(s)","All","England","Female","3680","1985","1150","5525","4965","2325","1180","8470"
"2019","12 point(s)","All","Northern Ireland","Female","30","20","10","50","35","25","10","70"
"2019","12 point(s)","All","Wales","Female","75","105","35","180","90","115","35","240"
"2020","12 point(s)","All","England","Female","1435","3595","2190","5730","1630","4750","2555","8935"
"2020","12 point(s)","All","Northern Ireland","Female","10","25","100","130","10","40","135","185"
"2020","12 point(s)","All","Wales","Female","15","100","125","195","15","125","160","300"
"2021","12 point(s)","All","England","Female","0","1355","305","1585","0","1590","320","1910"
"2021","12 point(s)","All","Northern Ireland","Female","0","5","0","10","0","10","0","10"
"2021","12 point(s)","All","Wales","Female","0","120","20","130","0","145","25","165"
"2022","12 point(s)","All","England","Female","280","1720","415","2265","290","2090","425","2805"
"2022","12 point(s)","All","Northern Ireland","Female","0","10","0","15","0","15","0","15"
"2022","12 point(s)","All","Wales","Female","5","50","25","75","5","65","25","95"
"2023","12 point(s)","All","England","Female","0","1250","330","1510","0","1430","340","1770"
"2023","12 point(s)","All","Northern Ireland","Female","0","10","5","10","0","10","5","15"
"2023","12 point(s)","All","Wales","Female","0","15","15","35","0","20","20","40"
"2013","13 point(s)","All","England","Female","0","45","20","65","0","45","20","65"
"2013","13 point(s)","All","Wales","Female","0","0","10","10","0","0","10","10"
"2014","13 point(s)","All","England","Female","330","300","180","785","345","310","190","840"
"2014","13 point(s)","All","Northern Ireland","Female","5","10","5","20","5","15","5","20"
"2014","13 point(s)","All","Wales","Female","5","10","25","40","5","10","30","45"
"2015","13 point(s)","All","England","Female","970","455","660","1935","1025","475","670","2165"
"2015","13 point(s)","All","Northern Ireland","Female","5","20","20","40","5","20","25","45"
"2015","13 point(s)","All","Wales","Female","15","25","25","65","15","30","30","75"
"2016","13 point(s)","All","England","Female","1835","1130","690","3285","2040","1225","700","3960"
"2016","13 point(s)","All","Northern Ireland","Female","20","25","10","50","20","25","10","55"
"2016","13 point(s)","All","Wales","Female","30","85","30","135","30","105","40","175"
"2017","13 point(s)","All","England","Female","3100","1410","1070","4880","3660","1550","1105","6315"
"2017","13 point(s)","All","Northern Ireland","Female","25","20","30","65","25","20","30","75"
"2017","13 point(s)","All","Wales","Female","50","85","50","170","50","90","55","195"
"2018","13 point(s)","All","England","Female","4485","1605","1280","6180","5790","1800","1300","8890"
"2018","13 point(s)","All","Northern Ireland","Female","55","40","30","115","60","45","30","140"
"2018","13 point(s)","All","Wales","Female","135","95","60","250","165","110","60","335"
"2019","13 point(s)","All","England","Female","4595","1925","1205","6365","6135","2180","1230","9545"
"2019","13 point(s)","All","Northern Ireland","Female","45","25","20","85","55","30","20","105"
"2019","13 point(s)","All","Wales","Female","105","80","30","185","130","100","30","260"
"2020","13 point(s)","All","England","Female","2415","3480","1960","6200","2765","4410","2240","9415"
"2020","13 point(s)","All","Northern Ireland","Female","10","35","130","165","10","40","160","215"
"2020","13 point(s)","All","Wales","Female","30","130","115","235","35","165","140","340"
"2021","13 point(s)","All","England","Female","0","1365","310","1595","0","1570","325","1895"
"2021","13 point(s)","All","Northern Ireland","Female","0","15","5","20","0","15","10","25"
"2021","13 point(s)","All","Wales","Female","0","115","20","130","0","155","25","180"
"2022","13 point(s)","All","England","Female","270","1915","495","2500","275","2330","515","3120"
"2022","13 point(s)","All","Northern Ireland","Female","5","15","5","25","5","20","5","25"
"2022","13 point(s)","All","Wales","Female","5","45","30","80","5","55","35","95"
"2023","13 point(s)","All","England","Female","0","1390","320","1640","0","1585","335","1920"
"2023","13 point(s)","All","Northern Ireland","Female","0","5","5","5","0","5","5","5"
"2023","13 point(s)","All","Wales","Female","0","30","20","45","0","35","20","55"
"2013","14 point(s)","All","England","Female","0","35","15","50","0","35","15","50"
"2013","14 point(s)","All","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2013","14 point(s)","All","Wales","Female","0","0","10","10","0","0","10","10"
"2014","14 point(s)","All","England","Female","265","250","255","750","270","260","265","795"
"2014","14 point(s)","All","Northern Ireland","Female","5","10","5","20","5","15","5","25"
"2014","14 point(s)","All","Wales","Female","0","5","25","35","0","5","30","35"
"2015","14 point(s)","All","England","Female","1015","350","585","1830","1075","375","595","2050"
"2015","14 point(s)","All","Northern Ireland","Female","10","5","25","35","10","5","25","40"
"2015","14 point(s)","All","Wales","Female","20","35","20","70","25","45","20","90"
"2016","14 point(s)","All","England","Female","1525","780","590","2655","1660","840","600","3100"
"2016","14 point(s)","All","Northern Ireland","Female","5","20","10","35","5","20","10","40"
"2016","14 point(s)","All","Wales","Female","40","90","30","140","40","105","40","180"
"2017","14 point(s)","All","England","Female","2675","1090","790","4110","3105","1190","810","5105"
"2017","14 point(s)","All","Northern Ireland","Female","25","20","20","60","30","20","20","70"
"2017","14 point(s)","All","Wales","Female","60","90","40","165","60","105","45","210"
"2018","14 point(s)","All","England","Female","4295","1335","1025","5800","5345","1485","1045","7875"
"2018","14 point(s)","All","Northern Ireland","Female","60","30","20","105","70","30","20","115"
"2018","14 point(s)","All","Wales","Female","155","70","45","240","175","85","50","315"
"2019","14 point(s)","All","England","Female","4360","1710","935","5870","5605","1895","955","8460"
"2019","14 point(s)","All","Northern Ireland","Female","50","30","25","95","55","35","30","120"
"2019","14 point(s)","All","Wales","Female","135","80","30","215","170","95","30","290"
"2020","14 point(s)","All","England","Female","1985","3190","1495","5470","2235","3925","1695","7850"
"2020","14 point(s)","All","Northern Ireland","Female","20","40","140","185","20","50","165","235"
"2020","14 point(s)","All","Wales","Female","25","85","80","170","25","95","100","220"
"2021","14 point(s)","All","England","Female","0","1040","210","1200","0","1215","220","1435"
"2021","14 point(s)","All","Northern Ireland","Female","0","25","0","25","0","25","0","25"
"2021","14 point(s)","All","Wales","Female","0","85","30","105","0","105","30","135"
"2022","14 point(s)","All","England","Female","245","1765","430","2300","255","2105","445","2800"
"2022","14 point(s)","All","Northern Ireland","Female","5","25","5","35","5","25","5","40"
"2022","14 point(s)","All","Wales","Female","5","60","50","115","5","75","55","135"
"2023","14 point(s)","All","England","Female","0","1215","315","1475","0","1385","335","1720"
"2023","14 point(s)","All","Northern Ireland","Female","0","15","5","20","0","20","5","25"
"2023","14 point(s)","All","Wales","Female","0","25","20","40","0","30","20","50"
"2013","15 point(s)","All","England","Female","0","45","75","120","0","50","75","125"
"2013","15 point(s)","All","Wales","Female","0","0","15","15","0","0","15","15"
"2014","15 point(s)","All","England","Female","845","630","315","1700","895","640","320","1855"
"2014","15 point(s)","All","Northern Ireland","Female","10","20","5","30","10","20","5","30"
"2014","15 point(s)","All","Wales","Female","35","20","25","75","35","20","30","85"
"2015","15 point(s)","All","England","Female","1635","830","585","2805","1795","855","590","3245"
"2015","15 point(s)","All","Northern Ireland","Female","10","20","20","50","15","20","20","55"
"2015","15 point(s)","All","Wales","Female","50","50","30","120","55","50","40","145"
"2016","15 point(s)","All","England","Female","1890","1120","725","3390","2075","1190","730","3995"
"2016","15 point(s)","All","Northern Ireland","Female","20","25","10","55","20","30","10","60"
"2016","15 point(s)","All","Wales","Female","70","85","35","170","70","105","35","215"
"2017","15 point(s)","All","England","Female","3225","1215","590","4510","3755","1325","605","5685"
"2017","15 point(s)","All","Northern Ireland","Female","35","20","20","70","40","20","20","80"
"2017","15 point(s)","All","Wales","Female","120","90","35","215","130","100","35","270"
"2018","15 point(s)","All","England","Female","4150","1170","730","5355","5160","1255","735","7150"
"2018","15 point(s)","All","Northern Ireland","Female","65","20","30","105","80","20","30","125"
"2018","15 point(s)","All","Wales","Female","165","60","35","220","215","65","35","315"
"2019","15 point(s)","All","England","Female","4515","1150","760","5660","5805","1270","775","7845"
"2019","15 point(s)","All","Northern Ireland","Female","55","15","15","80","70","20","15","100"
"2019","15 point(s)","All","Wales","Female","145","55","20","205","165","65","25","255"
"2020","15 point(s)","All","England","Female","1815","2515","1010","4550","1990","3020","1090","6100"
"2020","15 point(s)","All","Northern Ireland","Female","20","35","90","135","20","35","105","165"
"2020","15 point(s)","All","Wales","Female","35","70","65","145","40","90","80","210"
"2021","15 point(s)","All","England","Female","0","925","190","1060","0","1055","195","1250"
"2021","15 point(s)","All","Northern Ireland","Female","0","30","0","30","0","30","0","35"
"2021","15 point(s)","All","Wales","Female","0","70","10","75","0","80","10","90"
"2022","15 point(s)","All","England","Female","170","1335","405","1820","175","1560","415","2150"
"2022","15 point(s)","All","Northern Ireland","Female","5","20","5","35","5","25","5","40"
"2022","15 point(s)","All","Wales","Female","5","65","35","105","5","75","35","115"
"2023","15 point(s)","All","England","Female","0","1010","310","1270","0","1135","330","1470"
"2023","15 point(s)","All","Northern Ireland","Female","0","10","0","10","0","10","0","10"
"2023","15 point(s)","All","Wales","Female","0","25","15","35","0","35","20","50"
"2013","16 point(s)","All","England","Female","0","20","55","75","0","20","55","75"
"2013","16 point(s)","All","Wales","Female","0","0","5","5","0","0","5","5"
"2014","16 point(s)","All","England","Female","695","360","155","1155","735","365","155","1260"
"2014","16 point(s)","All","Northern Ireland","Female","0","5","5","15","0","5","5","15"
"2014","16 point(s)","All","Wales","Female","25","5","10","40","25","5","10","40"
"2015","16 point(s)","All","England","Female","1330","425","325","1950","1465","445","330","2235"
"2015","16 point(s)","All","Northern Ireland","Female","10","5","5","20","10","5","5","25"
"2015","16 point(s)","All","Wales","Female","55","20","15","80","60","20","15","100"
"2016","16 point(s)","All","England","Female","1505","490","350","2180","1680","500","355","2530"
"2016","16 point(s)","All","Northern Ireland","Female","15","10","5","30","20","10","5","30"
"2016","16 point(s)","All","Wales","Female","50","30","20","95","55","40","20","115"
"2017","16 point(s)","All","England","Female","2390","490","225","2875","2755","525","225","3505"
"2017","16 point(s)","All","Northern Ireland","Female","30","10","15","55","35","10","15","60"
"2017","16 point(s)","All","Wales","Female","85","25","15","115","85","35","20","140"
"2018","16 point(s)","All","England","Female","2700","425","245","3135","3285","450","250","3990"
"2018","16 point(s)","All","Northern Ireland","Female","35","5","0","40","40","5","0","50"
"2018","16 point(s)","All","Wales","Female","90","15","10","105","110","20","10","135"
"2019","16 point(s)","All","England","Female","2990","375","320","3435","3765","405","320","4490"
"2019","16 point(s)","All","Northern Ireland","Female","35","5","5","45","40","5","5","45"
"2019","16 point(s)","All","Wales","Female","105","25","15","130","135","30","15","180"
"2020","16 point(s)","All","England","Female","1020","1210","400","2310","1095","1400","435","2935"
"2020","16 point(s)","All","Northern Ireland","Female","10","30","25","60","15","35","30","80"
"2020","16 point(s)","All","Wales","Female","30","35","25","80","35","40","30","105"
"2021","16 point(s)","All","England","Female","0","515","80","570","0","565","85","650"
"2021","16 point(s)","All","Northern Ireland","Female","0","25","0","25","0","30","0","30"
"2021","16 point(s)","All","Wales","Female","0","35","5","35","0","40","5","45"
"2022","16 point(s)","All","England","Female","105","685","205","950","105","805","215","1125"
"2022","16 point(s)","All","Northern Ireland","Female","0","5","5","5","0","5","5","10"
"2022","16 point(s)","All","Wales","Female","0","30","15","50","0","35","15","55"
"2023","16 point(s)","All","England","Female","0","595","195","765","0","665","210","875"
"2023","16 point(s)","All","Northern Ireland","Female","0","5","0","5","0","5","0","10"
"2023","16 point(s)","All","Wales","Female","0","10","15","25","0","10","25","30"
"2013","17 point(s)","All","England","Female","0","10","15","30","0","15","15","30"
"2014","17 point(s)","All","England","Female","460","155","65","655","480","160","65","705"
"2014","17 point(s)","All","Northern Ireland","Female","0","5","5","10","0","5","5","10"
"2014","17 point(s)","All","Wales","Female","20","0","5","25","20","0","5","25"
"2015","17 point(s)","All","England","Female","780","200","115","1040","860","200","120","1180"
"2015","17 point(s)","All","Northern Ireland","Female","5","5","5","10","5","5","5","15"
"2015","17 point(s)","All","Wales","Female","25","5","5","35","30","5","5","40"
"2016","17 point(s)","All","England","Female","910","215","140","1195","1015","220","140","1375"
"2016","17 point(s)","All","Northern Ireland","Female","5","0","0","10","10","0","0","10"
"2016","17 point(s)","All","Wales","Female","40","10","10","60","40","10","10","60"
"2017","17 point(s)","All","England","Female","1330","180","75","1515","1520","190","75","1790"
"2017","17 point(s)","All","Northern Ireland","Female","10","0","5","15","10","0","5","15"
"2017","17 point(s)","All","Wales","Female","50","10","5","60","55","10","5","70"
"2018","17 point(s)","All","England","Female","1535","165","75","1705","1835","170","75","2080"
"2018","17 point(s)","All","Northern Ireland","Female","15","5","5","25","15","5","5","25"
"2018","17 point(s)","All","Wales","Female","50","5","10","60","60","10","10","80"
"2019","17 point(s)","All","England","Female","1810","125","100","1935","2210","145","105","2460"
"2019","17 point(s)","All","Northern Ireland","Female","20","5","0","25","20","5","0","25"
"2019","17 point(s)","All","Wales","Female","70","5","5","75","85","5","5","90"
"2020","17 point(s)","All","England","Female","505","560","170","1105","525","630","185","1340"
"2020","17 point(s)","All","Northern Ireland","Female","5","10","5","20","5","15","5","25"
"2020","17 point(s)","All","Wales","Female","10","15","10","30","10","15","10","35"
"2021","17 point(s)","All","England","Female","0","315","40","340","0","345","40","385"
"2021","17 point(s)","All","Northern Ireland","Female","0","15","0","15","0","20","0","20"
"2021","17 point(s)","All","Wales","Female","0","10","5","15","0","10","5","15"
"2022","17 point(s)","All","England","Female","40","350","120","490","40","420","120","580"
"2022","17 point(s)","All","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2022","17 point(s)","All","Wales","Female","0","10","15","25","0","10","15","30"
"2023","17 point(s)","All","England","Female","0","320","100","405","0","360","105","470"
"2023","17 point(s)","All","Wales","Female","0","10","5","15","0","10","5","15"
"2013","18 point(s)","All","England","Female","0","5","10","15","0","5","10","15"
