"Year","FSM status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","18","Northern Ireland","Male","All","Not main scheme application","10","10"," ","0"
"2023","Not declared","18","England","Male","All","Not main scheme application","1420","1355","0.9530000000000001","5"
"2023","Not declared","18","Scotland","Male","All","Not main scheme application","200","195","0.99","0"
"2023","Not declared","18","Wales","Male","All","Not main scheme application","60","60","0.983","0"
"2023","In receipt of free school meals","19","Northern Ireland","Male","All","Not main scheme application","30","25","0.844","5"
"2023","In receipt of free school meals","19","England","Male","All","Not main scheme application","1260","1120","0.889","35"
"2023","In receipt of free school meals","19","Scotland","Male","All","Not main scheme application","15","10","0.667","0"
"2023","In receipt of free school meals","19","Wales","Male","All","Not main scheme application","25","25","0.926","0"
"2023","Not in receipt of free school meals","19","Northern Ireland","Male","All","Not main scheme application","105","90","0.876","5"
"2023","Not in receipt of free school meals","19","England","Male","All","Not main scheme application","4300","3830","0.89","175"
"2023","Not in receipt of free school meals","19","Scotland","Male","All","Not main scheme application","215","170","0.793","20"
"2023","Not in receipt of free school meals","19","Wales","Male","All","Not main scheme application","160","150","0.925","5"
"2023","Don't know","19","Northern Ireland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Don't know","19","England","Male","All","Not main scheme application","430","380","0.882","15"
"2023","Don't know","19","Scotland","Male","All","Not main scheme application","10","5"," ","0"
"2023","Don't know","19","Wales","Male","All","Not main scheme application","10","5"," ","0"
"2023","Not declared","19","Northern Ireland","Male","All","Not main scheme application","10","10","0.909","0"
"2023","Not declared","19","England","Male","All","Not main scheme application","1925","1830","0.9510000000000001","10"
"2023","Not declared","19","Scotland","Male","All","Not main scheme application","145","145","0.979","0"
"2023","Not declared","19","Wales","Male","All","Not main scheme application","70","65","0.931","0"
"2023","In receipt of free school meals","20","Northern Ireland","Male","All","Not main scheme application","15","10"," ","0"
"2023","In receipt of free school meals","20","England","Male","All","Not main scheme application","565","480","0.851","35"
"2023","In receipt of free school meals","20","Scotland","Male","All","Not main scheme application","15","10"," ","5"
"2023","In receipt of free school meals","20","Wales","Male","All","Not main scheme application","15","15","0.9380000000000001","0"
"2023","Not in receipt of free school meals","20","Northern Ireland","Male","All","Not main scheme application","65","55","0.891","0"
"2023","Not in receipt of free school meals","20","England","Male","All","Not main scheme application","1855","1605","0.865","130"
"2023","Not in receipt of free school meals","20","Scotland","Male","All","Not main scheme application","120","95","0.805","15"
"2023","Not in receipt of free school meals","20","Wales","Male","All","Not main scheme application","75","65","0.89","10"
"2023","Don't know","20","England","Male","All","Not main scheme application","200","170","0.859","20"
"2023","Don't know","20","Scotland","Male","All","Not main scheme application","10","10"," ","0"
"2023","Don't know","20","Wales","Male","All","Not main scheme application","10","10"," ","0"
"2023","Not declared","20","Northern Ireland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","All","Not main scheme application","1535","1445","0.9400000000000001","10"
"2023","Not declared","20","Scotland","Male","All","Not main scheme application","95","95","0.969","0"
"2023","Not declared","20","Wales","Male","All","Not main scheme application","70","65","0.985","0"
"2023","In receipt of free school meals","21 - 24","Northern Ireland","Male","All","Not main scheme application","15","10","0.769","0"
"2023","In receipt of free school meals","21 - 24","England","Male","All","Not main scheme application","595","505","0.854","50"
"2023","In receipt of free school meals","21 - 24","Scotland","Male","All","Not main scheme application","30","20","0.714","5"
"2023","In receipt of free school meals","21 - 24","Wales","Male","All","Not main scheme application","30","25","0.897","5"
"2023","Not in receipt of free school meals","21 - 24","Northern Ireland","Male","All","Not main scheme application","60","50","0.847","5"
"2023","Not in receipt of free school meals","21 - 24","England","Male","All","Not main scheme application","2450","2015","0.8230000000000001","240"
"2023","Not in receipt of free school meals","21 - 24","Scotland","Male","All","Not main scheme application","220","170","0.789","25"
"2023","Not in receipt of free school meals","21 - 24","Wales","Male","All","Not main scheme application","120","105","0.851","15"
"2023","Don't know","21 - 24","Northern Ireland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Don't know","21 - 24","England","Male","All","Not main scheme application","230","200","0.877","25"
"2023","Don't know","21 - 24","Scotland","Male","All","Not main scheme application","10","10"," ","5"
"2023","Don't know","21 - 24","Wales","Male","All","Not main scheme application","5","5"," ","5"
"2023","Not declared","21 - 24","Northern Ireland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","All","Not main scheme application","4240","3970","0.937","15"
"2023","Not declared","21 - 24","Scotland","Male","All","Not main scheme application","185","170","0.9400000000000001","0"
"2023","Not declared","21 - 24","Wales","Male","All","Not main scheme application","90","85","0.977","0"
"2023","In receipt of free school meals","25 - 29","Northern Ireland","Male","All","Not main scheme application","5","0"," ","0"
"2023","In receipt of free school meals","25 - 29","England","Male","All","Not main scheme application","105","75","0.724","20"
"2023","In receipt of free school meals","25 - 29","Scotland","Male","All","Not main scheme application","15","10","0.714","0"
"2023","In receipt of free school meals","25 - 29","Wales","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not in receipt of free school meals","25 - 29","Northern Ireland","Male","All","Not main scheme application","30","20","0.714","5"
"2023","Not in receipt of free school meals","25 - 29","England","Male","All","Not main scheme application","770","610","0.792","115"
"2023","Not in receipt of free school meals","25 - 29","Scotland","Male","All","Not main scheme application","100","85","0.84","20"
"2023","Not in receipt of free school meals","25 - 29","Wales","Male","All","Not main scheme application","55","45","0.804","5"
"2023","Don't know","25 - 29","England","Male","All","Not main scheme application","70","50","0.735","10"
"2023","Don't know","25 - 29","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Don't know","25 - 29","Wales","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not declared","25 - 29","Northern Ireland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not declared","25 - 29","England","Male","All","Not main scheme application","3655","3445","0.9420000000000001","5"
"2023","Not declared","25 - 29","Scotland","Male","All","Not main scheme application","95","90","0.9570000000000001","0"
"2023","Not declared","25 - 29","Wales","Male","All","Not main scheme application","45","45","0.9570000000000001","0"
"2023","In receipt of free school meals","30 - 34","England","Male","All","Not main scheme application","40","35","0.81","5"
"2023","In receipt of free school meals","30 - 34","Scotland","Male","All","Not main scheme application","10","5"," ","0"
"2023","Not in receipt of free school meals","30 - 34","Northern Ireland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not in receipt of free school meals","30 - 34","England","Male","All","Not main scheme application","445","300","0.671","80"
"2023","Not in receipt of free school meals","30 - 34","Scotland","Male","All","Not main scheme application","45","25","0.614","5"
"2023","Not in receipt of free school meals","30 - 34","Wales","Male","All","Not main scheme application","25","20","0.808","5"
"2023","Don't know","30 - 34","England","Male","All","Not main scheme application","30","25","0.8130000000000001","5"
"2023","Don't know","30 - 34","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Don't know","30 - 34","Wales","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Male","All","Not main scheme application","3315","3115","0.9400000000000001","0"
"2023","Not declared","30 - 34","Scotland","Male","All","Not main scheme application","60","60","0.9510000000000001","0"
"2023","Not declared","30 - 34","Wales","Male","All","Not main scheme application","30","30","1","0"
"2023","In receipt of free school meals","35 and over","England","Male","All","Not main scheme application","50","35","0.712","15"
"2023","In receipt of free school meals","35 and over","Scotland","Male","All","Not main scheme application","10","5"," ","5"
"2023","In receipt of free school meals","35 and over","Wales","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not in receipt of free school meals","35 and over","Northern Ireland","Male","All","Not main scheme application","10","10"," ","0"
"2023","Not in receipt of free school meals","35 and over","England","Male","All","Not main scheme application","1070","720","0.671","225"
"2023","Not in receipt of free school meals","35 and over","Scotland","Male","All","Not main scheme application","100","70","0.724","30"
"2023","Not in receipt of free school meals","35 and over","Wales","Male","All","Not main scheme application","50","35","0.75","10"
"2023","Don't know","35 and over","England","Male","All","Not main scheme application","65","45","0.6920000000000001","10"
"2023","Don't know","35 and over","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Male","All","Not main scheme application","7525","7085","0.9420000000000001","15"
"2023","Not declared","35 and over","Scotland","Male","All","Not main scheme application","90","90","0.978","0"
"2023","Not declared","35 and over","Wales","Male","All","Not main scheme application","55","50","0.962","0"
