"Year","Qualification group","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","SQA Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","SQA Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","SQA Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","SQA Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","SQA Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","IB Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","IB Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","IB Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","IB Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","IB Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","IB Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Cambridge Technicals only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Access to HE only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
