"Year","Number of applications","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","930","445","0.48","0"
"2013","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","970","490","0.504","0"
"2014","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","1015","555","0.546","0"
"2015","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","950","550","0.58","0"
"2016","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","965","540","0.5630000000000001","0"
"2017","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","955","525","0.55","0"
"2018","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","930","580","0.623","0"
"2019","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","915","570","0.625","0"
"2020","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","920","600","0.651","0"
"2021","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","1085","615","0.5650000000000001","0"
"2022","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","960","590","0.612","0"
"2023","All","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","735","425","0.579","0"
"2006","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","435","245","0.56","0"
"2007","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","430","245","0.5760000000000001","0"
"2008","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","395","230","0.577","0"
"2009","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","440","260","0.584","0"
"2010","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","495","235","0.46900000000000003","0"
"2011","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","550","250","0.457","0"
"2012","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","535","245","0.458","0"
"2013","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","510","255","0.498","0"
"2014","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","555","300","0.543","0"
"2015","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","565","335","0.59","0"
"2016","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","585","345","0.589","0"
"2017","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","540","320","0.595","0"
"2018","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","580","360","0.622","0"
"2019","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","595","370","0.621","0"
"2020","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","620","395","0.635","0"
"2021","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","685","405","0.588","0"
"2022","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","625","365","0.585","0"
"2023","All","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","475","295","0.619","0"
"2006","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","785","450","0.5700000000000001","0"
"2007","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","755","440","0.587","0"
"2008","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","625","385","0.62","0"
"2009","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","795","500","0.628","0"
"2010","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","775","400","0.519","0"
"2011","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","800","375","0.46900000000000003","0"
"2012","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","790","355","0.452","0"
"2013","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","705","370","0.522","0"
"2014","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","745","420","0.5680000000000001","0"
"2015","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","765","455","0.598","0"
"2016","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","815","490","0.598","0"
"2017","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","765","480","0.628","0"
"2018","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","860","550","0.637","0"
"2019","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","875","560","0.64","0"
"2020","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","870","570","0.655","0"
"2021","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","950","555","0.585","0"
"2022","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","885","535","0.605","0"
"2023","All","35 and over","Wales","Female","Main scheme applicant","Main scheme application","710","420","0.594","0"
"2006","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","1110","530","0.47800000000000004","0"
"2007","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","1240","525","0.424","0"
"2008","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","1435","640","0.446","0"
"2009","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","1580","710","0.449","0"
"2010","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","1800","760","0.421","0"
"2011","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","1955","820","0.42","0"
"2012","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","2340","930","0.398","0"
"2013","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","2720","1045","0.385","0"
"2014","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","3145","1205","0.383","0"
"2015","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","3030","1235","0.40800000000000003","0"
"2016","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","3340","1310","0.393","0"
"2017","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","3600","1435","0.398","0"
"2018","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","4285","1725","0.403","0"
"2019","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","4120","1570","0.38","0"
"2020","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","4880","1980","0.406","0"
"2021","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","5675","2105","0.371","0"
"2022","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","6745","2415","0.358","0"
"2023","All","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","6275","2105","0.335","0"
"2006","All","18","Not EU","Female","Main scheme applicant","Main scheme application","5145","2900","0.5640000000000001","0"
"2007","All","18","Not EU","Female","Main scheme applicant","Main scheme application","5835","3215","0.551","0"
"2008","All","18","Not EU","Female","Main scheme applicant","Main scheme application","6360","3425","0.539","0"
"2009","All","18","Not EU","Female","Main scheme applicant","Main scheme application","7045","3595","0.51","0"
"2010","All","18","Not EU","Female","Main scheme applicant","Main scheme application","7775","3755","0.483","0"
"2011","All","18","Not EU","Female","Main scheme applicant","Main scheme application","8745","4275","0.489","0"
"2012","All","18","Not EU","Female","Main scheme applicant","Main scheme application","9885","4580","0.463","0"
"2013","All","18","Not EU","Female","Main scheme applicant","Main scheme application","11365","5230","0.46","0"
"2014","All","18","Not EU","Female","Main scheme applicant","Main scheme application","12415","5525","0.445","0"
"2015","All","18","Not EU","Female","Main scheme applicant","Main scheme application","13280","6195","0.467","0"
"2016","All","18","Not EU","Female","Main scheme applicant","Main scheme application","13580","6280","0.462","0"
"2017","All","18","Not EU","Female","Main scheme applicant","Main scheme application","14335","6725","0.46900000000000003","0"
"2018","All","18","Not EU","Female","Main scheme applicant","Main scheme application","16435","7485","0.456","0"
"2019","All","18","Not EU","Female","Main scheme applicant","Main scheme application","18380","8240","0.448","0"
"2020","All","18","Not EU","Female","Main scheme applicant","Main scheme application","20185","9405","0.466","0"
"2021","All","18","Not EU","Female","Main scheme applicant","Main scheme application","23985","9995","0.417","0"
"2022","All","18","Not EU","Female","Main scheme applicant","Main scheme application","25595","10605","0.41400000000000003","0"
"2023","All","18","Not EU","Female","Main scheme applicant","Main scheme application","26545","10560","0.398","0"
"2006","All","19","Not EU","Female","Main scheme applicant","Main scheme application","4575","2680","0.586","0"
"2007","All","19","Not EU","Female","Main scheme applicant","Main scheme application","5060","2875","0.5680000000000001","0"
"2008","All","19","Not EU","Female","Main scheme applicant","Main scheme application","5770","3160","0.547","0"
"2009","All","19","Not EU","Female","Main scheme applicant","Main scheme application","6080","3255","0.535","0"
"2010","All","19","Not EU","Female","Main scheme applicant","Main scheme application","6870","3630","0.529","0"
"2011","All","19","Not EU","Female","Main scheme applicant","Main scheme application","7535","3940","0.523","0"
"2012","All","19","Not EU","Female","Main scheme applicant","Main scheme application","8175","4115","0.504","0"
"2013","All","19","Not EU","Female","Main scheme applicant","Main scheme application","8460","4340","0.513","0"
"2014","All","19","Not EU","Female","Main scheme applicant","Main scheme application","9415","4580","0.487","0"
"2015","All","19","Not EU","Female","Main scheme applicant","Main scheme application","9455","4765","0.504","0"
"2016","All","19","Not EU","Female","Main scheme applicant","Main scheme application","9105","4375","0.481","0"
"2017","All","19","Not EU","Female","Main scheme applicant","Main scheme application","9185","4620","0.503","0"
"2018","All","19","Not EU","Female","Main scheme applicant","Main scheme application","9430","4655","0.494","0"
"2019","All","19","Not EU","Female","Main scheme applicant","Main scheme application","10500","5015","0.47800000000000004","0"
"2020","All","19","Not EU","Female","Main scheme applicant","Main scheme application","11410","5595","0.49","0"
"2021","All","19","Not EU","Female","Main scheme applicant","Main scheme application","11960","5610","0.46900000000000003","0"
"2022","All","19","Not EU","Female","Main scheme applicant","Main scheme application","12195","5600","0.459","0"
"2023","All","19","Not EU","Female","Main scheme applicant","Main scheme application","12590","5510","0.438","0"
"2006","All","20","Not EU","Female","Main scheme applicant","Main scheme application","2480","1360","0.549","0"
"2007","All","20","Not EU","Female","Main scheme applicant","Main scheme application","2610","1500","0.5740000000000001","0"
"2008","All","20","Not EU","Female","Main scheme applicant","Main scheme application","2905","1560","0.536","0"
"2009","All","20","Not EU","Female","Main scheme applicant","Main scheme application","3260","1705","0.523","0"
"2010","All","20","Not EU","Female","Main scheme applicant","Main scheme application","3825","2045","0.535","0"
"2011","All","20","Not EU","Female","Main scheme applicant","Main scheme application","3905","2105","0.539","0"
"2012","All","20","Not EU","Female","Main scheme applicant","Main scheme application","4225","2150","0.508","0"
"2013","All","20","Not EU","Female","Main scheme applicant","Main scheme application","4500","2400","0.534","0"
"2014","All","20","Not EU","Female","Main scheme applicant","Main scheme application","5065","2500","0.494","0"
"2015","All","20","Not EU","Female","Main scheme applicant","Main scheme application","4950","2525","0.51","0"
"2016","All","20","Not EU","Female","Main scheme applicant","Main scheme application","4600","2270","0.493","0"
"2017","All","20","Not EU","Female","Main scheme applicant","Main scheme application","4345","2195","0.505","0"
"2018","All","20","Not EU","Female","Main scheme applicant","Main scheme application","4110","2085","0.507","0"
"2019","All","20","Not EU","Female","Main scheme applicant","Main scheme application","4300","2110","0.491","0"
"2020","All","20","Not EU","Female","Main scheme applicant","Main scheme application","4685","2345","0.501","0"
"2021","All","20","Not EU","Female","Main scheme applicant","Main scheme application","5045","2505","0.496","0"
"2022","All","20","Not EU","Female","Main scheme applicant","Main scheme application","5430","2670","0.492","0"
"2023","All","20","Not EU","Female","Main scheme applicant","Main scheme application","5385","2470","0.458","0"
"2006","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","3295","1600","0.486","0"
"2007","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","3355","1655","0.494","0"
"2008","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","3420","1620","0.47300000000000003","0"
"2009","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","3700","1675","0.453","0"
"2010","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4245","1955","0.461","0"
"2011","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4545","2040","0.449","0"
"2012","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4690","1960","0.417","0"
"2013","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4750","2115","0.445","0"
"2014","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4735","1980","0.418","0"
"2015","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4865","2050","0.421","0"
"2016","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4455","1875","0.421","0"
"2017","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4335","1845","0.426","0"
"2018","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4300","1840","0.428","0"
"2019","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4195","1810","0.432","0"
"2020","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4270","1855","0.434","0"
"2021","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","4785","2045","0.427","0"
"2022","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","5460","2295","0.42","0"
"2023","All","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","5890","2210","0.375","0"
"2006","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1160","480","0.41500000000000004","0"
"2007","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1040","465","0.449","0"
"2008","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1135","485","0.428","0"
"2009","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","985","345","0.352","0"
"2010","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1090","410","0.377","0"
"2011","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1055","385","0.363","0"
"2012","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","970","325","0.336","0"
"2013","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","995","335","0.339","0"
"2014","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1020","335","0.327","0"
"2015","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1135","395","0.34700000000000003","0"
"2016","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","970","315","0.324","0"
"2017","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1060","375","0.352","0"
"2018","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1030","350","0.34","0"
"2019","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1150","415","0.361","0"
"2020","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1200","480","0.399","0"
"2021","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1545","500","0.325","0"
"2022","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1905","555","0.293","0"
"2023","All","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","1965","610","0.311","0"
"2006","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","390","170","0.437","0"
"2007","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","385","145","0.379","0"
"2008","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","340","130","0.391","0"
"2009","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","385","125","0.321","0"
"2010","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","365","110","0.299","0"
"2011","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","355","110","0.314","0"
"2012","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","335","100","0.302","0"
"2013","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","320","105","0.321","0"
"2014","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","310","95","0.307","0"
"2015","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","340","100","0.299","0"
"2016","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","310","80","0.255","0"
"2017","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","365","90","0.248","0"
"2018","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","340","85","0.246","0"
"2019","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","345","95","0.272","0"
"2020","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","495","145","0.295","0"
"2021","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","705","185","0.264","0"
"2022","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","1000","210","0.211","0"
"2023","All","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","900","200","0.22","0"
"2006","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","290","120","0.422","0"
"2007","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","275","110","0.40700000000000003","0"
"2008","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","275","105","0.373","0"
"2009","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","260","100","0.375","0"
"2010","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","300","110","0.366","0"
"2011","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","265","85","0.313","0"
"2012","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","250","65","0.254","0"
"2013","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","230","65","0.28700000000000003","0"
"2014","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","245","65","0.27","0"
"2015","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","260","70","0.268","0"
"2016","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","260","55","0.215","0"
"2017","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","250","70","0.278","0"
"2018","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","290","80","0.281","0"
"2019","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","345","100","0.297","0"
"2020","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","480","145","0.299","0"
"2021","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","795","165","0.209","0"
"2022","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","1095","215","0.196","0"
"2023","All","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","905","190","0.209","0"
"2006","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1490","715","0.48","0"
"2007","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1680","830","0.494","0"
"2008","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1580","800","0.507","0"
"2009","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1730","870","0.502","0"
"2010","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1855","805","0.435","0"
"2011","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1920","835","0.434","0"
"2012","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1875","860","0.457","0"
"2013","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1910","880","0.461","0"
"2014","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2180","1035","0.47500000000000003","0"
"2015","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2400","1240","0.518","0"
"2016","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2470","1265","0.512","0"
"2017","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2530","1325","0.525","0"
"2018","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2655","1395","0.526","0"
"2019","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2720","1410","0.519","0"
"2020","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2835","1530","0.539","0"
"2021","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1995","805","0.402","0"
"2022","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1790","730","0.40800000000000003","0"
"2023","All","17 and under","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1640","640","0.39","0"
"2006","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","4390","2230","0.508","0"
"2007","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","4870","2575","0.528","0"
"2008","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5405","2885","0.534","0"
"2009","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","6035","3185","0.528","0"
"2010","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","7680","3670","0.47800000000000004","0"
"2011","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","8255","4050","0.491","0"
"2012","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","7805","3755","0.481","0"
"2013","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","8285","4035","0.487","0"
"2014","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","8810","4530","0.514","0"
"2015","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","9930","5285","0.532","0"
"2016","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10865","5840","0.538","0"
"2017","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10320","5720","0.554","0"
"2018","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10825","5950","0.55","0"
"2019","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","11125","6030","0.542","0"
"2020","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","11010","6115","0.555","0"
"2021","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","7475","3300","0.442","0"
"2022","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","6515","2910","0.446","0"
"2023","All","18","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","6345","2675","0.422","0"
"2006","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3185","1720","0.54","0"
"2007","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","4030","2250","0.559","0"
"2008","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","4280","2395","0.559","0"
"2009","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5225","2925","0.56","0"
"2010","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","6840","3460","0.505","0"
"2011","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","7730","3970","0.514","0"
"2012","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","6925","3460","0.5","0"
"2013","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","7355","3845","0.522","0"
"2014","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","7880","4175","0.53","0"
"2015","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","8450","4630","0.548","0"
"2016","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","9250","5135","0.555","0"
"2017","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","8735","4855","0.556","0"
"2018","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","8955","5090","0.5680000000000001","0"
"2019","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","9230","5125","0.555","0"
"2020","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","8940","5020","0.562","0"
"2021","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","4115","1750","0.425","0"
"2022","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3285","1390","0.424","0"
"2023","All","19","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3315","1345","0.406","0"
"2006","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1810","1035","0.5700000000000001","0"
"2007","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2080","1235","0.594","0"
"2008","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2090","1185","0.5680000000000001","0"
"2009","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2435","1340","0.551","0"
"2010","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2955","1495","0.506","0"
"2011","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3110","1565","0.504","0"
"2012","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2570","1185","0.461","0"
"2013","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2780","1355","0.488","0"
"2014","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2965","1490","0.503","0"
"2015","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3115","1670","0.536","0"
"2016","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3250","1750","0.539","0"
"2017","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3095","1680","0.543","0"
"2018","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3085","1775","0.5750000000000001","0"
"2019","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3160","1760","0.557","0"
"2020","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3065","1720","0.561","0"
"2021","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1365","600","0.438","0"
"2022","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1010","400","0.394","0"
"2023","All","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","930","370","0.399","0"
"2006","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3450","1905","0.552","0"
"2007","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3550","2015","0.5670000000000001","0"
"2008","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3340","1795","0.538","0"
"2009","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3625","1945","0.536","0"
"2010","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","4255","1970","0.463","0"
"2011","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","4290","2015","0.46900000000000003","0"
"2012","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3250","1385","0.426","0"
"2013","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3395","1505","0.443","0"
"2014","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3370","1545","0.458","0"
"2015","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3500","1610","0.46","0"
"2016","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3545","1655","0.466","0"
"2017","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3105","1555","0.501","0"
"2018","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3150","1590","0.505","0"
"2019","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","3045","1560","0.512","0"
"2020","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","2870","1495","0.521","0"
"2021","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1620","650","0.403","0"
"2022","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1190","415","0.34900000000000003","0"
"2023","All","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1075","390","0.362","0"
"2006","All","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","870","415","0.47600000000000003","0"
"2007","All","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","860","425","0.494","0"
"2008","All","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","795","360","0.455","0"
"2009","All","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","775","345","0.445","0"
"2010","All","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","1030","375","0.362","0"
