"Year","NPD ethnic group","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2009","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1070","0"
"2009","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","7490","0.003"
"2009","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","560","248720","0.002"
"2010","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","2620","0.002"
"2010","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","19350","0.002"
"2010","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","11500","0.002"
"2010","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1110","0"
"2010","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","8100","0.002"
"2010","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","250","246260","0.001"
"2011","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","2760","0.004"
"2011","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","19930","0.001"
"2011","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","11960","0.003"
"2011","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1040","0"
"2011","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","8500","0.003"
"2011","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","300","236310","0.001"
"2012","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","3040","0.003"
"2012","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","20280","0.003"
"2012","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","12230","0.003"
"2012","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1050","0.003"
"2012","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","9050","0.002"
"2012","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","430","234860","0.002"
"2013","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","3080","0.005"
"2013","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","110","20640","0.005"
"2013","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","12910","0.005"
"2013","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1080","0.001"
"2013","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","9440","0.003"
"2013","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","550","228580","0.002"
"2014","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","3300","0.005"
"2014","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","21420","0.005"
"2014","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","13040","0.004"
"2014","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1150","0.001"
"2014","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","10060","0.002"
"2014","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","550","223500","0.002"
"2015","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","3380","0.005"
"2015","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","22730","0.004"
"2015","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","13770","0.005"
"2015","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1080","0.004"
"2015","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","10900","0.004"
"2015","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","560","226450","0.002"
"2016","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","3520","0.004"
"2016","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","23140","0.003"
"2016","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","13650","0.004"
"2016","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","1030","0.001"
"2016","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","11220","0.003"
"2016","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","580","220380","0.003"
"2017","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","3600","0.006"
"2017","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","23730","0.005"
"2017","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","13650","0.005"
"2017","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","960","0.001"
"2017","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","11380","0.005"
"2017","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","700","216430","0.003"
"2018","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","3850","0.006"
"2018","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","24550","0.005"
"2018","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","13990","0.005"
"2018","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","950","0.001"
"2018","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","11450","0.004"
"2018","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","900","209250","0.004"
"2019","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","3900","0.004"
"2019","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","160","25570","0.006"
"2019","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","13990","0.007"
"2019","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","930","0.004"
"2019","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","11900","0.005"
"2019","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","990","201350","0.005"
"2020","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","4060","0.006"
"2020","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","160","27050","0.006"
"2020","Black","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","14610","0.007"
"2020","Chinese","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","940","0.002"
"2020","Mixed","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","12350","0.008"
"2020","White","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","1320","196050","0.007"
"2021","Any Other Ethnic Group","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","4560","0.004"
"2021","Asian","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","27980","0.004"
