"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Wales","20","England","Female","Main scheme applicant","Main scheme application","30","0"," "
"2021","Wales","20","England","Female","Main scheme applicant","Main scheme application","60","0"," "
"2022","Wales","20","England","Female","Main scheme applicant","Main scheme application","40","0"," "
"2023","Wales","20","England","Female","Main scheme applicant","Main scheme application","30","5"," "
"2019","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","1190","450","0.378"
"2020","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","1220","530","0.435"
"2021","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","1515","505","0.334"
"2022","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","1270","375","0.296"
"2023","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","930","330","0.356"
"2019","Northern Ireland","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Northern Ireland","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Northern Ireland","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Northern Ireland","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Northern Ireland","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","21 - 24","England","Female","Main scheme applicant","Main scheme application","25","5"," "
"2020","Scotland","21 - 24","England","Female","Main scheme applicant","Main scheme application","15","0"," "
"2021","Scotland","21 - 24","England","Female","Main scheme applicant","Main scheme application","30","0"," "
