"Year","POLAR4 Quintile","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2500","0"
"2006","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1610","0"
"2006","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2220","0.001"
"2006","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2980","0.003"
"2006","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3850","0"
"2007","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2410","0.001"
"2007","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1540","0.001"
"2007","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2170","0"
"2007","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2910","0.001"
"2007","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3730","0.001"
"2008","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2390","0"
"2008","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1540","0"
"2008","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2190","0"
"2008","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2920","0.001"
"2008","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3710","0.001"
"2009","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2360","0"
"2009","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1530","0"
"2009","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2180","0"
"2009","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2920","0.001"
"2009","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3680","0"
"2010","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2310","0"
"2010","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1510","0.001"
"2010","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2170","0"
"2010","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2890","0"
"2010","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3570","0"
"2011","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2290","0"
"2011","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1490","0"
"2011","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2170","0"
"2011","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2870","0.001"
"2011","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3510","0.001"
"2012","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2300","0"
"2012","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1510","0.001"
"2012","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2200","0.001"
"2012","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2890","0.001"
"2012","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3500","0.001"
"2013","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2250","0"
"2013","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1470","0"
"2013","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2160","0"
"2013","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2820","0"
"2013","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3380","0.001"
"2014","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2230","0"
"2014","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1460","0.001"
"2014","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2160","0"
"2014","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2780","0"
"2014","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3300","0"
"2015","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2290","0.001"
"2015","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1490","0"
"2015","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2210","0"
"2015","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2820","0"
"2015","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3340","0"
"2016","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2260","0"
"2016","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","1450","0.003"
"2016","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2180","0.001"
"2016","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2760","0"
"2016","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3270","0"
"2017","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2260","0"
"2017","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1450","0.001"
"2017","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2160","0.001"
"2017","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2720","0"
"2017","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3220","0.001"
"2018","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2150","0.001"
"2018","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1360","0.001"
"2018","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2030","0.001"
"2018","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2560","0.001"
"2018","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","3030","0.002"
"2019","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2120","0.001"
"2019","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1330","0"
"2019","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2000","0.002"
"2019","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2500","0"
"2019","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2970","0"
"2020","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2120","0.003"
"2020","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","1330","0.004"
"2020","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","1990","0.003"
"2020","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2480","0.003"
"2020","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2960","0.002"
"2021","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2140","0"
"2021","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1330","0"
"2021","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2000","0.002"
"2021","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2500","0.002"
"2021","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2980","0.001"
"2022","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2180","0"
"2022","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1350","0.001"
"2022","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2020","0.001"
"2022","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2510","0.003"
"2022","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3020","0.001"
"2023","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2210","0"
"2023","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1370","0.002"
"2023","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2050","0.001"
"2023","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2540","0"
"2023","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3070","0.001"
"2006","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","170","64230","0.003"
"2006","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","190","62910","0.003"
"2006","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","220","61410","0.004"
"2006","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","260","63390","0.004"
"2006","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","260","67910","0.004"
"2007","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","190","62830","0.003"
"2007","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","240","61530","0.004"
"2007","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","250","61000","0.004"
"2007","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","270","62910","0.004"
"2007","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","260","67400","0.004"
"2008","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","170","62440","0.003"
"2008","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","220","62400","0.003"
"2008","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","270","61840","0.004"
"2008","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","280","64300","0.004"
"2008","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","270","69350","0.004"
"2009","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","160","63070","0.003"
"2009","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","180","63510","0.003"
"2009","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","210","63580","0.003"
"2009","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","220","64890","0.003"
"2009","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","210","70470","0.003"
"2010","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","50","62810","0.001"
"2010","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","90","63550","0.001"
"2010","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","100","63720","0.002"
"2010","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","100","64040","0.002"
"2010","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","120","69950","0.002"
"2011","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","80","61200","0.001"
"2011","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","90","61030","0.001"
"2011","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","120","61240","0.002"
"2011","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","140","62850","0.002"
"2011","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","120","68220","0.002"
"2012","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","130","60870","0.002"
"2012","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","160","60800","0.003"
"2012","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","180","60990","0.003"
"2012","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","200","63220","0.003"
"2012","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","230","69750","0.003"
"2013","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","180","59080","0.003"
"2013","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","220","59400","0.004"
"2013","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","200","60060","0.003"
"2013","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","260","62590","0.004"
"2013","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","300","69180","0.004"
"2014","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","170","58850","0.003"
"2014","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","210","58800","0.004"
"2014","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","220","58970","0.004"
"2014","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","250","61820","0.004"
"2014","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","220","67680","0.003"
"2015","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","200","60230","0.003"
"2015","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","220","60170","0.004"
"2015","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","270","60880","0.004"
"2015","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","250","63100","0.004"
"2015","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","260","69510","0.004"
"2016","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","160","57180","0.003"
"2016","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","230","58620","0.004"
"2016","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","220","59570","0.004"
"2016","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","280","62110","0.005"
"2016","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","290","69590","0.004"
"2017","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","230","56440","0.004"
"2017","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","300","57780","0.005"
"2017","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","310","58830","0.005"
"2017","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","350","61910","0.006"
"2017","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","360","69120","0.005"
"2018","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","310","54590","0.006"
"2018","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","380","55940","0.007"
"2018","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","340","57550","0.006"
"2018","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","390","60230","0.007"
"2018","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","410","68370","0.006"
"2019","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","370","53600","0.007"
"2019","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","400","54490","0.007"
"2019","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","440","56320","0.008"
"2019","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","440","59980","0.007"
"2019","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","460","67760","0.007"
"2020","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","470","52620","0.009000000000000001"
"2020","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","540","53580","0.01"
"2020","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","550","55520","0.01"
"2020","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","560","58880","0.01"
"2020","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","660","66280","0.01"
"2021","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","380","54160","0.007"
"2021","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","380","55240","0.007"
"2021","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","380","56520","0.007"
"2021","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","400","60510","0.007"
"2021","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","270","69590","0.004"
"2022","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","340","56120","0.006"
"2022","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","350","57140","0.006"
"2022","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","370","58520","0.006"
"2022","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","310","61760","0.005"
"2022","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","380","71450","0.005"
"2023","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","340","58180","0.006"
"2023","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","350","58960","0.006"
"2023","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","390","60080","0.007"
"2023","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","390","63400","0.006"
"2023","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","390","72720","0.005"
"2006","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","0","3340","0.001"
"2006","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5320","0.001"
"2006","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6610","0.002"
"2006","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6840","0.003"
"2006","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","9060","0.002"
"2007","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","0","3260","0.001"
"2007","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5270","0.002"
"2007","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6530","0.002"
"2007","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6850","0.002"
"2007","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","9020","0.004"
"2008","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","0","3320","0.001"
"2008","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5400","0.007"
"2008","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","6760","0.008"
"2008","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","90","7120","0.012"
"2008","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","9370","0.007"
"2009","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","0","3310","0.001"
"2009","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5380","0.002"
"2009","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6730","0.004"
"2009","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","7200","0.002"
"2009","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","9460","0.003"
"2010","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","3220","0.003"
"2010","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5250","0.005"
"2010","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","6560","0.008"
"2010","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","80","7080","0.012"
"2010","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","9370","0.005"
"2011","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","3080","0.003"
"2011","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5040","0.002"
"2011","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","6390","0.003"
"2011","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","6930","0.004"
"2011","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","9260","0.004"
"2012","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","2990","0.003"
"2012","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4910","0.005"
"2012","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","6200","0.006"
"2012","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","6850","0.007"
"2012","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","9170","0.004"
"2013","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","2980","0.004"
"2013","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4850","0.006"
"2013","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","6130","0.006"
"2013","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","6760","0.011"
"2013","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","9030","0.005"
"2014","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","0","3030","0.001"
"2014","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","0","4910","0.001"
"2014","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6060","0.001"
"2014","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","6690","0.001"
"2014","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","9090","0.001"
"2015","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","2960","0.002"
"2015","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","4830","0.008"
"2015","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5900","0.006"
"2015","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","6630","0.009000000000000001"
"2015","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","9020","0.005"
"2016","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","2830","0.004"
"2016","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","4510","0.009000000000000001"
"2016","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5960","0.005"
"2016","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","6490","0.008"
"2016","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","8860","0.006"
"2017","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","2700","0.006"
"2017","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4500","0.006"
"2017","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5600","0.007"
"2017","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","6320","0.009000000000000001"
"2017","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","8700","0.005"
"2018","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","2790","0.003"
"2018","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4390","0.007"
"2018","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5500","0.007"
"2018","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","6200","0.009000000000000001"
"2018","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","8450","0.006"
"2019","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","2710","0.002"
"2019","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4230","0.007"
"2019","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5340","0.006"
"2019","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","5890","0.01"
"2019","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","8230","0.006"
"2020","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","2580","0.006"
"2020","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","4160","0.009000000000000001"
"2020","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5330","0.007"
"2020","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","5810","0.012"
"2020","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","8120","0.008"
"2021","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","2590","0.004"
"2021","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","4270","0.005"
"2021","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5510","0.006"
"2021","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","5930","0.008"
"2021","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","50","8470","0.006"
"2022","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","2640","0.003"
"2022","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4360","0.007"
"2022","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","5560","0.005"
"2022","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","6130","0.007"
"2022","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","8700","0.004"
"2023","Quintile 1","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","2840","0.005"
"2023","Quintile 2","18","Scotland","Female","Not main scheme applicant","Not main scheme application","30","4390","0.008"
"2023","Quintile 3","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","5720","0.006"
"2023","Quintile 4","18","Scotland","Female","Not main scheme applicant","Not main scheme application","60","6220","0.009000000000000001"
"2023","Quintile 5","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","8810","0.007"
"2006","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","4490","0.004"
"2006","Quintile 2","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","5240","0.006"
"2006","Quintile 3","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","4270","0.005"
"2006","Quintile 4","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","2970","0.006"
"2006","Quintile 5","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","2390","0.008"
"2007","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","4500","0.006"
"2007","Quintile 2","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","5040","0.004"
"2007","Quintile 3","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","4090","0.007"
"2007","Quintile 4","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","3010","0.006"
"2007","Quintile 5","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","2350","0.005"
"2008","Quintile 1","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","4840","0.004"
"2008","Quintile 2","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","4970","0.006"
"2008","Quintile 3","18","Wales","Female","Not main scheme applicant","Not main scheme application","30","4220","0.006"
"2008","Quintile 4","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","2870","0.006"
"2008","Quintile 5","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","2190","0.008"
