Final Outcome of the 2020 Leaving Certificate (Calculated Grades and Written Examinations),,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    EALAÍN,51,141,299,355,301,224,55,78,1504
,,,,,,,,,
    ART,3.4,9.4,19.9,23.6,20,14.9,3.7,5.2,
,,,,,,,,,
    TOTAL FEMALE,30,79,170,171,125,81,14,28,698
,,,,,,,,,
    % FEMALE ,4.3,11.3,24.4,24.5,17.9,11.6,2,4,
,,,,,,,,,
    TOTAL MALE,21,62,129,184,176,143,41,50,806
,,,,,,,,,
    % MALE ,2.6,7.7,16,22.8,21.8,17.7,5.1,6.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC FHEIDHMEACH,24,14,10,7,3,6,0,3,67
,,,,,,,,,
    APPLIED MATHEMATIC,35.8,20.9,14.9,10.4,4.5,9,0,4.5,
,,,,,,,,,
    TOTAL FEMALE,4,3,1,2,0,1,0,0,11
,,,,,,,,,
    % FEMALE ,36.4,27.3,9.1,18.2,0,9.1,0,0,
,,,,,,,,,
    TOTAL MALE,20,11,9,5,3,5,0,3,56
,,,,,,,,,
    % MALE ,35.7,19.6,16.1,8.9,5.4,8.9,0,5.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC,57,128,200,231,201,154,50,39,1060
,,,,,,,,,
    PHYSICS,5.4,12.1,18.9,21.8,19,14.5,4.7,3.7,
,,,,,,,,,
    TOTAL FEMALE,16,30,41,46,28,19,7,4,191
,,,,,,,,,
    % FEMALE ,8.4,15.7,21.5,24.1,14.7,9.9,3.7,2.1,
,,,,,,,,,
    TOTAL MALE,41,98,159,185,173,135,43,35,869
,,,,,,,,,
    % MALE ,4.7,11.3,18.3,21.3,19.9,15.5,4.9,4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEIMIC,39,123,176,183,212,139,48,46,966
,,,,,,,,,
    CHEMISTRY,4,12.7,18.2,18.9,21.9,14.4,5,4.8,
,,,,,,,,,
    TOTAL FEMALE,26,69,91,89,111,57,17,14,474
,,,,,,,,,
    % FEMALE ,5.5,14.6,19.2,18.8,23.4,12,3.6,3,
,,,,,,,,,
    TOTAL MALE,13,54,85,94,101,82,31,32,492
,,,,,,,,,
    % MALE ,2.6,11,17.3,19.1,20.5,16.7,6.3,6.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC & CEIMIC,3,4,12,12,5,14,7,12,69
,,,,,,,,,
    PHYSICS & CHEMISTRY,4.3,5.8,17.4,17.4,7.2,20.3,10.1,17.4,
,,,,,,,,,
    TOTAL FEMALE,3,3,7,5,2,4,3,3,30
,,,,,,,,,
    % FEMALE ,10,10,23.3,16.7,6.7,13.3,10,10,
,,,,,,,,,
    TOTAL MALE,0,1,5,7,3,10,4,9,39
,,,,,,,,,
    % MALE ,0,2.6,12.8,17.9,7.7,25.6,10.3,23.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EOLAÍOCHT TALMHAÍOCHTA,9,68,179,242,295,228,56,53,1130
,,,,,,,,,
    AGRICULTURAL SCIENCE,0.8,6,15.8,21.4,26.1,20.2,5,4.7,
,,,,,,,,,
    TOTAL FEMALE,2,30,53,61,71,60,12,13,302
,,,,,,,,,
    % FEMALE ,0.7,9.9,17.5,20.2,23.5,19.9,4,4.3,
,,,,,,,,,
    TOTAL MALE,7,38,126,181,224,168,44,40,828
,,,,,,,,,
    % MALE ,0.8,4.6,15.2,21.9,27.1,20.3,5.3,4.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BITHEOLAÍOCHT,49,350,785,1207,1314,1061,326,178,5270
,,,,,,,,,
    BIOLOGY,0.9,6.6,14.9,22.9,24.9,20.1,6.2,3.4,
,,,,,,,,,
    TOTAL FEMALE,31,191,445,640,645,461,141,62,2616
,,,,,,,,,
    % FEMALE ,1.2,7.3,17,24.5,24.7,17.6,5.4,2.4,
,,,,,,,,,
    TOTAL MALE,18,159,340,567,669,600,185,116,2654
,,,,,,,,,
    % MALE ,0.7,6,12.8,21.4,25.2,22.6,7,4.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    INNEALTÓIREACHT,13,69,165,178,166,110,31,47,779
,,,,,,,,,
    ENGINEERING,1.7,8.9,21.2,22.8,21.3,14.1,4,6,
,,,,,,,,,
    TOTAL FEMALE,1,7,17,19,11,5,0,2,62
,,,,,,,,,
    % FEMALE ,1.6,11.3,27.4,30.6,17.7,8.1,0,3.2,
,,,,,,,,,
    TOTAL MALE,12,62,148,159,155,105,31,45,717
,,,,,,,,,
    % MALE ,1.7,8.6,20.6,22.2,21.6,14.6,4.3,6.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIDÉAR FOIRGNÍOCHTA,27,94,204,261,250,192,63,53,1144
,,,,,,,,,
    CONSTRUCTION STUDIES,2.4,8.2,17.8,22.8,21.9,16.8,5.5,4.6,
,,,,,,,,,
