Final Outcome of the 2020 Leaving Certificate (Calculated Grades and Written Examinations),,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    % MALE ,24.7,16.1,21.5,15.1,9.7,3.2,9.7,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EALAÍN,713,1662,2256,1891,973,423,122,72,8112
,,,,,,,,,
    ART,8.8,20.5,27.8,23.3,12,5.2,1.5,0.9,
,,,,,,,,,
    TOTAL FEMALE,608,1345,1679,1262,554,213,58,38,5757
,,,,,,,,,
    % FEMALE ,10.6,23.4,29.2,21.9,9.6,3.7,1,0.7,
,,,,,,,,,
    TOTAL MALE,105,317,577,629,419,210,64,34,2355
,,,,,,,,,
    % MALE ,4.5,13.5,24.5,26.7,17.8,8.9,2.7,1.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    PORTAINGÉILIS,29,12,14,2,1,4,0,1,63
,,,,,,,,,
    PORTUGUESE,46,19,22.2,3.2,1.6,6.3,0,1.6,
,,,,,,,,,
    TOTAL FEMALE,16,3,4,1,1,0,0,1,26
,,,,,,,,,
    % FEMALE ,61.5,11.5,15.4,3.8,3.8,0,0,3.8,
,,,,,,,,,
    TOTAL MALE,13,9,10,1,0,4,0,0,37
,,,,,,,,,
    % MALE ,35.1,24.3,27,2.7,0,10.8,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC FHEIDHM,632,563,412,243,170,69,14,11,2114
,,,,,,,,,
    APPLIED MATHEMATIC,29.9,26.6,19.5,11.5,8,3.3,0.7,0.5,
,,,,,,,,,
    TOTAL FEMALE,172,160,120,60,48,15,3,2,580
,,,,,,,,,
    % FEMALE ,29.7,27.6,20.7,10.3,8.3,2.6,0.5,0.3,
,,,,,,,,,
    TOTAL MALE,460,403,292,183,122,54,11,9,1534
,,,,,,,,,
    % MALE ,30,26.3,19,11.9,8,3.5,0.7,0.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC,1133,1358,1448,1311,957,557,207,65,7036
,,,,,,,,,
    PHYSICS,16.1,19.3,20.6,18.6,13.6,7.9,2.9,0.9,
,,,,,,,,,
    TOTAL FEMALE,453,483,453,336,221,89,43,7,2085
,,,,,,,,,
    % FEMALE ,21.7,23.2,21.7,16.1,10.6,4.3,2.1,0.3,
,,,,,,,,,
    TOTAL MALE,680,875,995,975,736,468,164,58,4951
,,,,,,,,,
    % MALE ,13.7,17.7,20.1,19.7,14.9,9.5,3.3,1.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEIMIC,1571,1815,1813,1485,1064,617,229,101,8695
,,,,,,,,,
    CHEMISTRY,18.1,20.9,20.9,17.1,12.2,7.1,2.6,1.2,
,,,,,,,,,
    TOTAL FEMALE,966,1153,1156,915,597,352,130,45,5314
,,,,,,,,,
    % FEMALE ,18.2,21.7,21.8,17.2,11.2,6.6,2.4,0.8,
,,,,,,,,,
    TOTAL MALE,605,662,657,570,467,265,99,56,3381
,,,,,,,,,
    % MALE ,17.9,19.6,19.4,16.9,13.8,7.8,2.9,1.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC & CEIMIC,71,78,85,77,61,45,26,17,460
,,,,,,,,,
    PHYSICS & CHEMISTR,15.4,17,18.5,16.7,13.3,9.8,5.7,3.7,
,,,,,,,,,
    TOTAL FEMALE,41,46,47,33,26,10,8,4,215
,,,,,,,,,
    % FEMALE ,19.1,21.4,21.9,15.3,12.1,4.7,3.7,1.9,
,,,,,,,,,
    TOTAL MALE,30,32,38,44,35,35,18,13,245
,,,,,,,,,
    % MALE ,12.2,13.1,15.5,18,14.3,14.3,7.3,5.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EOLAÍOCHT TALMHAÍO,701,1198,1585,1602,1300,724,203,58,7371
,,,,,,,,,
    AGRICULTURAL SCIEN,9.5,16.3,21.5,21.7,17.6,9.8,2.8,0.8,
,,,,,,,,,
    TOTAL FEMALE,416,653,777,653,473,223,62,10,3267
,,,,,,,,,
    % FEMALE ,12.7,20,23.8,20,14.5,6.8,1.9,0.3,
,,,,,,,,,
    TOTAL MALE,285,545,808,949,827,501,141,48,4104
,,,,,,,,,
    % MALE ,6.9,13.3,19.7,23.1,20.2,12.2,3.4,1.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BITHEOLAÍOCHT,3443,4928,5941,5935,4755,3051,1154,375,29582
,,,,,,,,,
    BIOLOGY,11.6,16.7,20.1,20.1,16.1,10.3,3.9,1.3,
,,,,,,,,,
    TOTAL FEMALE,2461,3466,3903,3666,2775,1661,574,189,18695
,,,,,,,,,
    % FEMALE ,13.2,18.5,20.9,19.6,14.8,8.9,3.1,1,
,,,,,,,,,
    TOTAL MALE,982,1462,2038,2269,1980,1390,580,186,10887
,,,,,,,,,
    % MALE ,9,13.4,18.7,20.8,18.2,12.8,5.3,1.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    INNEALTÓIREACHT,451,992,1472,1289,721,295,74,32,5326
,,,,,,,,,
    ENGINEERING,8.5,18.6,27.6,24.2,13.5,5.5,1.4,0.6,
,,,,,,,,,
    TOTAL FEMALE,45,99,113,74,65,22,3,0,421
,,,,,,,,,
    % FEMALE ,10.7,23.5,26.8,17.6,15.4,5.2,0.7,0,
,,,,,,,,,
    TOTAL MALE,406,893,1359,1215,656,273,71,32,4905
,,,,,,,,,
    % MALE ,8.3,18.2,27.7,24.8,13.4,5.6,1.4,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIDÉAR FOIRGNÍOC,644,1510,2249,2095,1349,549,128,41,8565
,,,,,,,,,
    CONSTRUCTION STUDI,7.5,17.6,26.3,24.5,15.8,6.4,1.5,0.5,
,,,,,,,,,
    TOTAL FEMALE,114,218,258,186,124,34,11,4,949
,,,,,,,,,
    % FEMALE ,12,23,27.2,19.6,13.1,3.6,1.2,0.4,
,,,,,,,,,
    TOTAL MALE,530,1292,1991,1909,1225,515,117,37,7616
,,,,,,,,,
    % MALE ,7,17,26.1,25.1,16.1,6.8,1.5,0.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CUNTASAÍOCHT,1130,1472,1458,1104,661,334,103,54,6316
,,,,,,,,,
    ACCOUNTING,17.9,23.3,23.1,17.5,10.5,5.3,1.6,0.9,
,,,,,,,,,
    TOTAL FEMALE,627,781,742,532,280,151,41,22,3176
,,,,,,,,,
    % FEMALE ,19.7,24.6,23.4,16.8,8.8,4.8,1.3,0.7,
,,,,,,,,,
    TOTAL MALE,503,691,716,572,381,183,62,32,3140
,,,,,,,,,
    % MALE ,16,22,22.8,18.2,12.1,5.8,2,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GNÓ,1328,2532,3452,3421,2561,1431,408,92,15225
,,,,,,,,,
    BUSINESS,8.7,16.6,22.7,22.5,16.8,9.4,2.7,0.6,
,,,,,,,,,
    TOTAL FEMALE,839,1466,1868,1673,1155,604,176,34,7815
,,,,,,,,,
    % FEMALE ,10.7,18.8,23.9,21.4,14.8,7.7,2.3,0.4,
,,,,,,,,,
    TOTAL MALE,489,1066,1584,1748,1406,827,232,58,7410
,,,,,,,,,
    % MALE ,6.6,14.4,21.4,23.6,19,11.2,3.1,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT,549,1014,1180,1034,734,403,122,45,5081
,,,,,,,,,
    ECONOMICS,10.8,20,23.2,20.4,14.4,7.9,2.4,0.9,
,,,,,,,,,
    TOTAL FEMALE,245,448,464,364,229,110,31,16,1907
,,,,,,,,,
    % FEMALE ,12.8,23.5,24.3,19.1,12,5.8,1.6,0.8,
,,,,,,,,,
    TOTAL MALE,304,566,716,670,505,293,91,29,3174
,,,,,,,,,
    % MALE ,9.6,17.8,22.6,21.1,15.9,9.2,2.9,0.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SEAPÁINIS,53,50,44,34,30,13,6,2,232
,,,,,,,,,
    JAPANESE,22.8,21.6,19,14.7,12.9,5.6,2.6,0.9,
,,,,,,,,,
    TOTAL FEMALE,27,32,36,20,19,7,3,1,145
,,,,,,,,,
    % FEMALE ,18.6,22.1,24.8,13.8,13.1,4.8,2.1,0.7,
,,,,,,,,,
    TOTAL MALE,26,18,8,14,11,6,3,1,87
,,,,,,,,,
    % MALE ,29.9,20.7,9.2,16.1,12.6,6.9,3.4,1.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    ARAIBIS,41,65,32,11,12,2,0,0,163
,,,,,,,,,
    ARABIC,25.2,39.9,19.6,6.7,7.4,1.2,0,0,
,,,,,,,,,
    TOTAL FEMALE,28,32,17,6,3,0,0,0,86
,,,,,,,,,
    % FEMALE ,32.6,37.2,19.8,7,3.5,0,0,0,
,,,,,,,,,
    TOTAL MALE,13,33,15,5,9,2,0,0,77
,,,,,,,,,
    % MALE ,16.9,42.9,19.5,6.5,11.7,2.6,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TEICNEOLAÍOCHT,175,358,427,364,230,107,22,13,1696
,,,,,,,,,
    TECHNOLOGY,10.3,21.1,25.2,21.5,13.6,6.3,1.3,0.8,
,,,,,,,,,
    TOTAL FEMALE,45,61,65,45,36,13,2,2,269
,,,,,,,,,
    % FEMALE ,16.7,22.7,24.2,16.7,13.4,4.8,0.7,0.7,
,,,,,,,,,
    TOTAL MALE,130,297,362,319,194,94,20,11,1427
,,,,,,,,,
    % MALE ,9.1,20.8,25.4,22.4,13.6,6.6,1.4,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEOL,851,2263,2006,983,294,84,15,13,6509
,,,,,,,,,
    MUSIC,13.1,34.8,30.8,15.1,4.5,1.3,0.2,0.2,
,,,,,,,,,
    TOTAL FEMALE,623,1674,1428,651,159,56,9,5,4605
,,,,,,,,,
    % FEMALE ,13.5,36.4,31,14.1,3.5,1.2,0.2,0.1,
,,,,,,,,,
